GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "45000","South Carolina",5,SAINC12,1,"...","Percent change in personal income ","Percent change",-10.2,-14.7,-23.1,10.3,20.8,10.5,13.2,7.2,-6.7,12.9,16.2,36.2,43.7,13.9,10.2,0.9,3.8,4.2,15.3,-2.9,11.0,25.9,7.5,3.0,-5.2,6.2,4.0,4.5,3.6,7.9,5.0,5.0,7.2,5.8,7.4,10.5,12.4,7.9,11.0,11.9,10.2,9.6,12.3,13.4,13.2,8.8,11.8,9.3,13.0,12.1,12.1,12.5,6.3,8.6,11.4,7.0,6.9,7.0,9.0,8.8,7.5,4.5,6.3,5.1,6.1,6.0,6.3,6.4,7.2,4.9,7.0,3.5,2.9,3.6,5.6,5.9,7.8,6.6,4.8,-2.1,3.4,5.7,4.9,1.1,6.2,6.2,4.2,5.2,4.5,6.5,6.8,10.8,4.0,7.9,7.0
 "45000","South Carolina",5,SAINC12,2,"..."," Net earnings by place of residence contribution ","Percentage points",-9.85,-16.12,-18.80,12.97,19.62,10.26,9.48,8.70,-6.98,10.70,15.41,34.79,42.04,13.47,9.31,-1.16,-0.51,2.68,13.81,-4.38,8.16,26.19,7.06,2.12,-6.11,5.35,2.95,2.93,1.89,6.62,3.75,3.27,5.72,4.40,6.36,8.59,10.86,5.90,8.98,8.90,6.08,6.83,9.65,9.91,8.80,3.40,9.72,7.18,9.85,8.53,6.59,7.31,2.61,5.82,8.32,4.38,4.74,5.95,6.27,4.57,4.79,1.96,4.09,3.17,3.48,3.51,3.65,4.22,4.84,4.31,4.29,1.47,1.57,2.66,3.20,3.33,4.01,3.38,0.95,-2.64,1.75,3.66,3.72,0.87,3.16,3.53,2.41,3.11,2.52,3.19,0.65,4.79,4.11,3.74,3.75
 "45000","South Carolina",5,SAINC12,3,"..."," Dividends, interest, and rent contribution ","Percentage points",-0.55,-1.22,-2.61,-2.04,1.11,0.57,0.54,1.07,-0.17,1.88,0.56,1.56,1.58,0.33,0.38,0.52,1.05,0.64,1.58,0.62,1.05,1.32,0.66,0.94,0.44,0.53,0.75,0.81,1.08,0.97,0.95,0.93,1.08,0.95,0.76,1.36,0.88,0.97,0.91,2.03,2.39,1.42,1.57,1.88,2.04,1.62,1.32,1.58,2.03,1.86,2.99,3.30,2.46,1.92,2.37,1.63,1.47,0.69,1.91,2.45,1.37,0.69,0.50,0.88,1.28,1.38,1.46,1.46,1.60,-0.33,1.53,0.26,-0.05,0.07,0.98,1.24,2.32,2.05,1.06,-1.63,-0.25,1.78,1.09,-0.32,1.67,1.29,1.06,1.29,0.83,1.85,0.49,2.71,1.81,2.81,1.22
 "45000","South Carolina",5,SAINC12,4,"..."," Personal current transfer receipts contribution ","Percentage points",0.18,2.62,-1.73,-0.61,0.10,-0.33,3.17,-2.60,0.40,0.32,0.23,-0.15,0.10,0.07,0.53,1.59,3.22,0.87,-0.05,0.85,1.79,-1.58,-0.26,-0.02,0.46,0.37,0.32,0.73,0.64,0.32,0.30,0.80,0.40,0.46,0.30,0.56,0.63,1.05,1.15,0.96,1.74,1.31,1.06,1.63,2.35,3.75,0.79,0.53,1.12,1.71,2.48,1.93,1.25,0.87,0.70,1.02,0.68,0.34,0.79,1.81,1.32,1.85,1.73,1.05,1.29,1.06,1.18,0.74,0.79,0.92,1.14,1.78,1.42,0.89,1.44,1.36,1.51,1.19,2.82,2.13,1.89,0.26,0.10,0.60,1.42,1.39,0.68,0.77,1.19,1.48,5.67,3.32,-1.88,1.33,2.02
 "45000","South Carolina",5,SAINC12,5,"...","Personal income dollar change (thousands) ","Thousands of dollars",-47543,-61397,-82301,28245,62859,38252,53160,32695,-32967,58788,83374,216408,356009,162304,136190,13822,55868,64419,245794,-53701,197394,516670,187139,81986,-144618,164490,112613,130397,109739,249333,169978,178299,269952,233630,315279,480394,624359,448528,675700,808118,776063,800480,1127934,1383437,1542359,1159640,1701992,1496213,2286639,2404095,2688530,3130076,1776436,2573900,3696695,2542753,2663251,2884889,3966330,4260451,3924465,2539879,3723774,3197364,3985489,4159940,4654531,5044789,6055116,4396575,6556870,3536730,3063227,3891398,6255134,6965165,9757167,8880972,6899281,-3200709,4992155,8645274,7880103,1933533,10632902,11217013,7972750,10360125,9554517,14353347,15955099,27072041,11190078,22722903,21747163
 "45000","South Carolina",5,SAINC12,6,"..."," Net earnings by place of residence dollar change (thousands) ","Thousands of dollars",-45795,-67245,-66870,35483,59199,37397,38192,39678,-34096,48770,79282,208001,342332,157642,124086,-17056,-7537,41160,221418,-80956,146456,521723,177107,57234,-169642,141019,82621,85412,57452,208558,127406,116657,214474,176860,270572,392530,548348,334367,549723,604808,462308,571985,886410,1021845,1029351,449715,1399507,1155241,1732842,1695370,1468528,1824963,734129,1739348,2699801,1583884,1832226,2459431,2772507,2204620,2512624,1106837,2410210,1987039,2290500,2453948,2703391,3315253,4054637,3867688,4035925,1481235,1632668,2856670,3556990,3912108,4993660,4540311,1359365,-3954110,2573388,5549914,5959396,1462914,5376894,6377840,4637490,6226975,5309309,7025280,1520401,11984802,11400670,10783112,11671137
 "45000","South Carolina",5,SAINC12,7,"..."," Dividends, interest, and rent dollar change (thousands) ","Thousands of dollars",-2563,-5088,-9291,-5572,3344,2071,2188,4862,-829,8558,2901,9321,12858,3825,5035,7582,15603,9862,25253,11451,18814,26384,16595,25231,12306,13855,20950,23603,32757,30660,32288,33107,40424,38107,32115,62150,44367,54874,55739,137924,181419,118728,144062,193865,238816,214102,189383,254959,357104,369182,666848,823347,691206,573733,768377,589333,567175,284155,844247,1182292,718224,390404,295681,552107,842343,964037,1077356,1144865,1340754,-297674,1443413,262076,-49757,78316,1093466,1454769,2890601,2744635,1510889,-2441420,-360709,2703996,1752598,-533940,2843197,2324446,2028469,2583120,1747747,4075436,1141037,6789788,5016451,8109615,3799704
 "45000","South Carolina",5,SAINC12,8,"..."," Personal current transfer receipts dollar change (thousands) ","Thousands of dollars",815,10936,-6140,-1666,316,-1216,12780,-11845,1958,1460,1191,-914,819,837,7069,23296,47802,13397,-877,15804,32124,-31437,-6563,-479,12718,9616,9042,21382,19530,10115,10284,28535,15054,18663,12592,25714,31644,59287,70238,65386,132336,109767,97462,167727,274192,495823,113102,86013,196693,339543,553154,481766,351101,260819,228517,369536,263850,141303,349576,873539,693617,1042638,1017883,658218,852646,741955,873784,584671,659725,826561,1077532,1793419,1480316,956412,1604678,1598288,1872906,1596026,4029027,3194821,2779476,391364,168109,1004559,2412811,2514727,1306791,1550030,2497461,3252631,13293661,8297451,-5227043,3830176,6276322
"Note: See the included footnote file."
"SAINC12: Personal income change by component 1."
