GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "95000","Southeast",5,SAINC12,1,"...","Percent change in personal income ","Percent change",-14.1,-12.2,-24.6,2.1,20.8,10.1,15.2,8.8,-7.1,7.9,9.0,32.8,39.1,23.6,10.0,3.5,2.5,4.5,12.0,-1.2,12.0,14.8,7.0,4.7,0.1,8.6,8.2,5.6,4.7,7.1,3.6,5.5,6.8,6.7,8.0,8.7,9.7,8.5,10.8,11.7,9.8,10.3,12.4,13.6,11.4,9.5,11.1,11.0,13.6,12.3,12.8,13.0,7.2,7.8,11.0,7.6,6.6,6.4,9.1,8.7,6.5,4.9,7.2,5.6,6.0,6.5,6.1,6.2,7.4,4.8,7.1,4.7,2.8,4.5,6.9,6.7,7.1,5.5,3.6,-2.8,4.2,5.2,4.0,0.3,5.3,5.0,3.0,5.2,5.1,5.3,7.0,10.9,4.2,7.6,6.1
 "95000","Southeast",5,SAINC12,2,"..."," Net earnings by place of residence contribution ","Percentage points",-13.03,-12.27,-20.51,4.83,19.52,9.66,10.53,9.85,-7.29,6.44,8.27,31.34,37.32,22.70,9.05,1.27,-2.30,3.46,10.98,-2.67,8.68,15.49,6.20,3.62,-1.56,6.98,6.45,3.69,2.74,5.48,2.13,3.38,5.14,5.09,6.50,6.78,7.98,5.93,8.27,8.28,5.65,6.92,9.39,9.58,6.72,4.50,8.41,8.13,9.96,8.09,6.51,7.01,3.29,4.78,7.51,4.87,4.32,5.33,5.84,4.18,3.88,2.70,5.13,3.64,3.82,3.58,3.82,4.10,5.33,4.26,4.60,2.79,2.00,3.06,4.57,3.96,3.88,2.20,0.49,-2.20,2.11,2.81,2.51,0.54,2.79,2.66,1.75,2.78,2.78,2.83,1.09,5.76,4.11,3.78,3.34
 "95000","Southeast",5,SAINC12,3,"..."," Dividends, interest, and rent contribution ","Percentage points",-1.12,-2.13,-2.59,-2.19,1.17,0.53,1.96,1.19,-0.34,1.39,0.44,1.36,1.76,0.92,0.43,0.51,1.09,0.78,1.29,0.54,1.62,0.71,0.77,1.06,1.02,1.06,1.40,1.01,0.99,1.13,1.08,1.06,1.28,1.13,1.15,1.25,1.03,1.17,1.32,2.41,2.42,1.79,1.71,2.25,2.57,1.73,1.50,2.02,2.50,2.43,3.88,4.18,2.45,1.81,2.72,1.85,1.39,0.57,2.32,3.15,1.38,0.46,0.24,0.91,1.28,1.75,1.35,1.51,1.69,-0.08,1.58,0.45,-0.35,0.64,1.16,1.44,2.26,2.18,0.98,-2.17,0.39,1.79,1.40,-0.82,1.57,1.26,0.61,1.73,1.37,1.33,0.28,2.17,2.17,2.95,1.20
 "95000","Southeast",5,SAINC12,4,"..."," Personal current transfer receipts contribution ","Percentage points",0.09,2.25,-1.48,-0.54,0.10,-0.12,2.76,-2.20,0.49,0.05,0.34,0.07,0.05,-0.01,0.50,1.70,3.70,0.30,-0.25,0.96,1.68,-1.34,0.07,0.04,0.62,0.51,0.35,0.90,0.95,0.47,0.40,1.03,0.37,0.46,0.32,0.65,0.65,1.36,1.21,1.04,1.72,1.64,1.27,1.80,2.12,3.28,1.22,0.83,1.17,1.82,2.36,1.85,1.43,1.20,0.73,0.88,0.85,0.53,0.92,1.38,1.24,1.71,1.81,1.06,0.94,1.18,0.91,0.58,0.43,0.62,0.97,1.46,1.18,0.77,1.13,1.34,0.99,1.10,2.18,1.58,1.67,0.59,0.07,0.55,0.90,1.12,0.62,0.72,0.91,1.17,5.60,3.01,-2.10,0.85,1.56
 "95000","Southeast",5,SAINC12,5,"...","Personal income dollar change (thousands) ","Thousands of dollars",-1387095,-1031259,-1830353,117881,1192599,697543,1162739,776707,-683651,699840,867011,3425379,5428771,4556904,2383617,911084,675859,1263814,3496893,-378578,3856264,5356201,2915908,2093398,37797,3974214,4134698,3054391,2692602,4274210,2327223,3663290,4797056,5034261,6409989,7533268,9119306,8746654,12113702,14591847,13610636,15785143,20823803,25796922,24522169,22780131,29201462,32025742,44109592,45353917,52658256,60760920,37767514,43956410,66638298,51256496,47609363,49775038,74785359,78197600,63440580,50648030,78257161,65495744,74605342,85197140,84653463,91519927,116909306,80949100,126384709,89078036,56268529,91122240,146339391,153204122,173279323,142647958,99992708,-79584015,115274011,149442348,120520528,8319843,165941206,167703439,104107926,188418018,191636435,211911206,292038001,490569947,207533349,392961254,339734288
 "95000","Southeast",5,SAINC12,6,"..."," Net earnings by place of residence dollar change (thousands) ","Thousands of dollars",-1285860,-1040855,-1527768,271313,1119745,669109,802822,865950,-697614,571598,792099,3275121,5178048,4381689,2159971,332143,-623446,963020,3194013,-869581,2794736,5586115,2570062,1605860,-724404,3244034,3252300,2012292,1576452,3307381,1375529,2261736,3631156,3836438,5225147,5886787,7529425,6133747,9280529,10301828,7856703,10559070,15811060,18129419,14445017,10779087,22068759,23708750,32233551,29732243,26886430,32652231,17342812,26944887,45667716,32846815,31356355,41254697,48064286,37505908,37883906,28102666,55933820,42562868,47171407,46862554,53235197,60648334,83756891,71816372,81285171,52934386,39737805,62443420,97482691,90068666,94303958,57173927,13362999,-62702987,58261578,80846107,76211273,16956580,88058840,88509444,61268125,100123339,105421033,112723836,45658836,258092791,204230543,195913408,185872695
 "95000","Southeast",5,SAINC12,7,"..."," Dividends, interest, and rent dollar change (thousands) ","Thousands of dollars",-110574,-180914,-192594,-123092,67394,36700,149127,104418,-32839,123884,42441,142489,243712,178099,103413,133667,294979,217787,374912,176639,520867,254920,317177,469739,474831,492054,707618,550050,568495,682562,696259,709316,904958,852997,928262,1081332,972100,1207408,1479061,3000120,3365351,2725308,2871688,4258272,5515693,4138545,3933341,5893653,8100227,8936899,16010413,19476036,12901575,10216598,16511000,12496967,10063107,4413365,19140633,28258026,13463708,4773619,2573463,10591868,15859193,22904601,18758503,22320515,26466027,-1390376,28015037,8572233,-6916682,12956997,24789747,32726251,54936518,56757529,26803623,-61848027,10851307,51528631,42307127,-25949353,49512103,41877189,21140908,62229016,51895365,52803153,11750942,97371004,107707825,152946836,67033466
 "95000","Southeast",5,SAINC12,8,"..."," Personal current transfer receipts dollar change (thousands) ","Thousands of dollars",9339,190510,-109991,-30340,5460,-8266,210790,-193661,46802,4358,32471,7769,7011,-2884,120233,445274,1004326,83007,-72032,314364,540661,-484834,28669,17799,287370,238126,174780,492049,547655,284267,255435,692238,260942,344826,256580,565149,617781,1405499,1354112,1289899,2388582,2500765,2141055,3409231,4561459,7862499,3199362,2423339,3775814,6684775,9761413,8632653,7523127,6794925,4459582,5912714,6189901,4106976,7580440,12433666,12092966,17771745,19749878,12341008,11574742,15429985,12659763,8551078,6686388,10523104,17084501,27571417,23447406,15721823,24066953,30409205,24038847,28716502,59826086,44966999,46161126,17067610,2002128,17312616,28370263,37316806,21698893,26065663,34320037,46384217,234628223,135106152,-104405019,44101010,86828127
"Note: See the included footnote file."
"SAINC12: Personal income change by component 1."
