GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "96000","Southwest",6,SAINC12,1,"...","Percent change in personal income ","Percent change",-14.2,-15.7,-24.7,-0.8,15.3,14.7,13.9,13.5,-4.0,3.9,6.4,23.2,42.9,32.1,8.6,1.2,3.2,10.8,10.2,7.0,7.6,14.6,8.8,3.1,2.5,7.6,7.4,7.1,4.6,6.1,3.7,5.6,5.1,4.3,7.1,7.3,8.8,8.8,11.3,11.8,10.7,9.4,11.3,13.7,12.5,13.0,12.1,11.6,15.2,15.4,14.8,16.7,9.9,6.7,9.5,7.8,3.1,2.3,6.4,6.8,7.2,4.7,7.5,6.0,6.1,7.0,7.3,8.5,8.5,5.2,8.7,6.4,2.0,4.4,5.8,8.7,9.8,5.8,8.7,-4.8,5.4,8.4,5.8,2.7,6.6,1.9,0.1,6.5,6.6,5.3,5.5,11.1,6.9,7.7,5.4
 "96000","Southwest",6,SAINC12,2,"..."," Net earnings by place of residence contribution ","Percentage points",-12.69,-14.54,-19.76,1.53,13.73,13.87,7.69,13.33,-4.96,3.38,6.66,22.76,40.01,30.40,7.57,-1.17,-2.00,9.24,9.49,5.47,4.59,14.98,7.74,1.52,0.91,6.05,6.13,5.21,2.69,4.15,2.14,4.03,3.79,2.80,5.70,5.66,7.17,6.52,8.88,8.43,6.71,6.20,8.56,9.73,8.03,8.33,9.68,9.13,11.47,11.52,9.41,11.16,5.17,3.27,6.39,4.67,1.75,2.02,4.26,3.78,5.18,3.26,5.33,4.43,3.95,4.26,5.22,6.55,6.65,4.37,6.29,4.56,1.07,2.49,4.24,5.30,6.91,2.85,3.92,-4.14,3.41,5.72,3.96,2.44,4.21,0.45,-0.35,4.12,4.38,3.13,-0.09,5.75,6.73,5.23,3.53
 "96000","Southwest",6,SAINC12,3,"..."," Dividends, interest, and rent contribution ","Percentage points",-1.55,-3.25,-3.46,-1.87,1.52,0.67,3.24,2.14,0.86,0.18,-0.36,0.13,2.53,1.72,0.61,0.63,1.64,1.06,1.10,1.27,1.55,0.90,1.08,1.27,1.36,0.98,0.87,1.25,1.28,1.48,1.20,0.86,0.88,0.98,1.15,1.06,1.01,0.96,1.16,2.55,2.58,1.83,1.71,2.34,2.76,2.09,1.37,1.87,2.67,2.53,3.73,4.16,3.50,2.26,2.45,2.38,0.47,-0.33,1.44,1.94,0.78,0.21,0.19,0.60,1.23,1.61,1.18,1.37,1.50,0.33,1.66,0.56,-0.33,0.99,0.74,1.99,1.82,1.74,2.80,-2.11,0.24,2.23,1.83,-0.29,1.58,0.53,-0.35,1.86,1.45,1.21,-0.04,2.29,2.27,2.22,1.10
 "96000","Southwest",6,SAINC12,4,"..."," Personal current transfer receipts contribution ","Percentage points",0.07,2.08,-1.45,-0.49,0.05,0.12,2.96,-1.99,0.14,0.29,0.14,0.32,0.32,-0.03,0.45,1.71,3.55,0.53,-0.35,0.21,1.51,-1.25,-0.01,0.29,0.27,0.54,0.38,0.67,0.64,0.45,0.32,0.72,0.47,0.49,0.28,0.57,0.58,1.36,1.26,0.87,1.39,1.35,1.04,1.63,1.75,2.54,1.04,0.65,1.08,1.37,1.66,1.38,1.25,1.14,0.62,0.71,0.89,0.59,0.66,1.13,1.22,1.27,1.98,0.92,0.96,1.12,0.92,0.57,0.33,0.48,0.72,1.24,1.21,0.97,0.86,1.39,1.08,1.26,1.98,1.46,1.70,0.43,0.01,0.51,0.83,0.96,0.75,0.56,0.78,1.00,5.63,3.10,-2.11,0.28,0.82
 "96000","Southwest",6,SAINC12,5,"...","Personal income dollar change (thousands) ","Thousands of dollars",-597788,-569576,-753417,-19026,349321,385757,419009,463196,-154277,144384,250028,960466,2185726,2338400,831122,121822,337618,1181903,1239227,927537,1090802,2247119,1551634,589749,501882,1533121,1608077,1666741,1153641,1592702,1018181,1613518,1565873,1365880,2378508,2605314,3359968,3683881,5127744,5982992,6037973,5869335,7736999,10437143,10853255,12632916,13308704,14364298,20955579,24466300,27118039,35130523,24347249,17973893,27225305,24427378,10533064,7973707,22733554,26064103,29176611,20688854,34216998,29202772,31934194,38625190,43176226,53825443,58358141,38697139,67975059,54179904,17685320,41087470,56322081,88687909,108923401,71266900,112392210,-67127227,71486856,117909665,88424131,42849371,109598500,34248323,1017406,117918383,126815178,109416324,118444968,253416867,173905597,208764214,158533089
 "96000","Southwest",6,SAINC12,6,"..."," Net earnings by place of residence dollar change (thousands) ","Thousands of dollars",-535581,-527104,-603572,35272,313413,365037,232119,458094,-193214,126736,258919,942067,2040263,2215014,728326,-122827,-211337,1008447,1148438,729684,654950,2299845,1362165,291205,179162,1224659,1334557,1218884,672961,1086878,595367,1159901,1154001,895431,1900493,2022801,2750095,2717818,4032028,4256791,3793610,3878925,5854390,7411642,6949156,8121198,10649128,11259096,15801583,18283417,17230825,23469590,12690654,8815828,18400159,14700493,5930968,7065519,15233968,14374682,21075633,14209977,24332272,21749946,20523043,23538234,30798629,41498217,45754697,32631472,49332841,38836692,9670022,22980839,40894579,54159948,76782243,34739965,50629341,-58034765,45568375,80458716,60476598,39342403,69696120,7959476,-6323635,74243922,84012951,64147802,-2030789,130724521,170017627,141291244,102741568
 "96000","Southwest",6,SAINC12,7,"..."," Dividends, interest, and rent dollar change (thousands) ","Thousands of dollars",-65284,-117738,-105687,-43110,34746,17637,97643,73436,33558,6835,-14144,5258,129133,125324,59054,66347,173336,115504,132528,169825,220390,138644,190618,242340,268947,198405,190022,291621,321440,387819,334232,247310,267931,313126,383234,377944,386935,398450,525392,1286364,1458227,1143784,1173101,1780872,2386596,2037654,1510494,2304325,3671823,4012175,6840568,8756334,8598526,6083834,7037107,7501583,1584804,-1146532,5145717,7392573,3156381,932287,859716,2930365,6406282,8904002,6939518,8705892,10309081,2493144,13013319,4802676,-2954007,9156886,7115231,20328494,20198127,21202116,36145253,-29609031,3260075,31385925,27855479,-4749289,26203413,9323349,-6241730,33565240,27792100,24840350,-873552,52115346,57309106,59929621,31937934
 "96000","Southwest",6,SAINC12,8,"..."," Personal current transfer receipts dollar change (thousands) ","Thousands of dollars",3077,75266,-44158,-11188,1162,3083,89247,-68334,5379,10813,5253,13141,16330,-1938,43742,178302,375619,57952,-41739,28028,215462,-191370,-1149,56204,53773,110057,83498,156236,159240,118005,88582,206307,143941,157323,94781,204569,222938,567613,570324,439837,786136,846626,709508,1244629,1517503,2474064,1149082,800877,1482173,2170708,3046646,2904599,3058069,3074231,1788039,2225302,3017292,2054720,2353869,4296848,4944597,5546590,9025010,4522461,5004869,6182954,5438079,3621334,2294363,3572523,5628899,10540536,10969305,8949745,8312271,14199467,11943031,15324819,25617616,20516569,22658406,6065024,92054,8256257,13698967,16965498,13582771,10109221,15010127,20428172,121349309,70577000,-53421136,7543349,23853587
"Note: See the included footnote file."
"SAINC12: Personal income change by component 1."
