GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "47000","Tennessee",5,SAINC12,1,"...","Percent change in personal income ","Percent change",-13.3,-13.9,-27.4,5.0,22.1,9.0,14.9,9.9,-9.4,6.0,11.6,31.8,28.5,30.0,15.5,5.3,1.7,4.8,9.8,-0.4,11.1,11.5,4.6,7.3,1.3,5.6,7.2,4.6,4.1,7.2,2.7,5.8,6.2,6.1,7.5,9.0,10.1,7.1,11.5,8.5,8.7,10.4,12.6,13.6,10.6,9.1,12.0,10.8,14.0,11.5,10.3,11.2,6.3,6.7,11.2,7.0,7.0,7.5,8.9,7.3,6.4,5.3,9.2,6.4,6.4,7.4,5.6,5.9,9.4,3.9,6.0,2.7,3.0,4.3,5.9,4.6,6.4,4.8,4.1,-0.6,4.8,6.1,4.6,0.7,3.7,5.1,3.3,4.5,5.6,6.1,7.3,11.6,3.8,8.7,5.9
 "47000","Tennessee",5,SAINC12,2,"..."," Net earnings by place of residence contribution ","Percentage points",-12.92,-13.24,-22.15,6.76,20.91,8.96,10.85,11.64,-10.29,4.34,10.49,29.58,26.75,28.46,13.95,3.19,-3.43,3.75,10.50,-2.41,7.54,13.08,4.43,6.16,-0.64,5.11,5.70,2.96,2.83,6.16,1.51,4.09,4.83,4.90,6.33,7.41,8.70,4.93,8.70,6.10,5.14,7.44,10.14,10.04,6.29,3.90,9.60,8.60,10.90,7.68,4.72,6.13,2.41,4.58,8.09,5.03,5.01,6.30,5.93,4.14,3.84,3.17,7.04,4.60,4.58,4.41,3.79,4.51,7.61,3.20,3.83,1.10,2.49,2.75,4.51,2.83,4.09,1.74,0.58,-0.99,2.53,4.54,3.32,0.70,2.70,3.34,2.28,2.76,3.47,3.47,2.07,7.42,4.43,5.78,3.50
 "47000","Tennessee",5,SAINC12,3,"..."," Dividends, interest, and rent contribution ","Percentage points",-0.49,-2.82,-3.71,-0.92,0.88,-0.04,1.43,0.53,0.07,1.63,0.61,2.31,1.63,1.48,0.98,0.33,0.66,0.94,-0.50,1.05,2.06,0.04,0.54,0.94,0.95,0.13,1.36,0.93,0.42,0.70,0.87,0.84,1.09,0.79,0.88,0.87,0.71,0.77,1.66,1.42,1.76,1.43,1.42,1.82,2.13,1.62,1.15,1.58,1.97,1.88,2.98,3.32,2.53,1.12,2.41,1.15,1.01,0.44,1.97,1.89,1.13,0.19,0.29,0.68,1.04,1.48,0.96,0.78,1.08,0.09,0.95,0.22,-0.64,0.55,0.27,0.59,1.31,1.32,1.28,-1.08,0.29,1.10,1.09,-0.57,0.73,0.71,0.57,1.04,1.20,1.38,0.09,1.62,1.50,2.21,0.87
 "47000","Tennessee",5,SAINC12,4,"..."," Personal current transfer receipts contribution ","Percentage points",0.09,2.17,-1.55,-0.82,0.27,0.06,2.60,-2.28,0.83,0.00,0.54,-0.08,0.11,0.01,0.55,1.79,4.49,0.15,-0.19,0.91,1.49,-1.64,-0.36,0.16,0.95,0.35,0.17,0.75,0.89,0.30,0.31,0.92,0.29,0.38,0.32,0.70,0.69,1.39,1.15,0.94,1.86,1.55,1.00,1.74,2.23,3.55,1.25,0.65,1.13,1.94,2.56,1.80,1.34,1.05,0.67,0.85,0.99,0.72,0.99,1.31,1.43,1.91,1.88,1.12,0.77,1.48,0.83,0.62,0.68,0.63,1.25,1.36,1.16,1.02,1.08,1.19,0.97,1.72,2.26,1.49,2.02,0.43,0.21,0.61,0.26,1.07,0.45,0.66,0.97,1.29,5.14,2.60,-2.10,0.71,1.55
 "47000","Tennessee",5,SAINC12,5,"...","Personal income dollar change (thousands) ","Thousands of dollars",-129356,-116958,-198716,26419,121853,60590,109339,83541,-87030,50167,103690,316421,373490,504711,338887,134117,45925,131178,278622,-13999,344137,395814,177384,292185,54476,244031,333574,229423,214415,386113,155310,346809,389784,404203,532444,682246,836728,646722,1123893,921792,1033772,1338765,1782439,2171075,1931951,1820028,2626061,2656062,3803509,3564753,3546028,4284314,2661660,3037539,5371711,3752354,4008873,4563776,5842795,5262639,4911543,4305892,7929225,6019240,6392363,7842104,6373266,7135887,11975112,5471605,8758166,4135145,4754143,7050119,9963429,8284634,12011339,9557872,8625688,-1277773,10518315,13818712,11160592,1872281,9391422,13500086,9176162,12775396,16868868,19425181,24492941,41929992,15399713,36341296,26905580
 "47000","Tennessee",5,SAINC12,6,"..."," Net earnings by place of residence dollar change (thousands) ","Thousands of dollars",-125521,-111499,-160544,35584,115546,60419,79757,98326,-95449,36485,93433,294262,350714,479461,305521,80536,-91364,101645,298217,-75061,233982,450954,170355,247640,-27653,223020,263031,146549,146485,331805,86969,242378,303407,326686,447450,563174,720797,449681,849511,664129,606893,955686,1438871,1602677,1140983,782040,2101863,2107833,2962677,2380137,1631550,2334105,1021480,2060794,3888474,2687668,2864113,3857566,3897893,2967547,2949107,2590664,6062773,4324446,4586011,4688477,4331631,5441806,9727567,4465800,5557604,1693520,3930685,4483144,7667045,5090897,7704944,3474024,1207345,-2159974,5494210,10334499,8021000,1774413,6873059,8822195,6329772,7916075,10394575,10976056,6938454,26730476,17806497,24135160,15897741
 "47000","Tennessee",5,SAINC12,7,"..."," Dividends, interest, and rent dollar change (thousands) ","Thousands of dollars",-4747,-23741,-26903,-4838,4840,-240,10478,4498,692,13676,5412,22977,21343,25001,21371,8445,17640,25341,-14194,32693,64027,1480,20882,37961,40990,5772,62573,45937,21782,37888,50195,49585,68347,52348,62225,65960,58467,70156,161979,154840,207642,183607,201268,290448,387080,324831,250975,388636,534113,582304,1031136,1262943,1071966,503595,1159525,611975,580435,267268,1295679,1354831,865301,155206,251069,642003,1040703,1575136,1092070,945972,1379156,121360,1382336,346396,-1012181,901543,463915,1053520,2472210,2642076,2686682,-2366050,633476,2508562,2637181,-1442553,1865802,1866958,1590641,2972818,3579283,4362034,318684,5835046,6033399,9226228,3963183
 "47000","Tennessee",5,SAINC12,8,"..."," Personal current transfer receipts dollar change (thousands) ","Thousands of dollars",912,18282,-11269,-4327,1467,411,19104,-19283,7727,6,4845,-818,1433,249,11995,45136,119649,4192,-5401,28369,46128,-56620,-13853,6584,41139,15239,7970,36937,46148,16420,18146,54846,18030,25169,22769,53112,57464,126885,112403,102823,219237,199472,142300,277950,403888,713157,273223,159593,306719,602312,883342,687266,568214,473150,323712,452711,564325,438942,649223,940261,1097135,1560022,1615383,1052791,765649,1578491,949565,748109,868389,884445,1818226,2095229,1835639,1665432,1832469,2140217,1834185,3441772,4731661,3248251,4390629,975651,502411,1540421,652561,2810933,1255749,1886503,2895010,4087091,17235803,9364470,-8440183,2979908,7044656
"Note: See the included footnote file."
"SAINC12: Personal income change by component 1."
