GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "48000","Texas",6,SAINC12,1,"...","Percent change in personal income ","Percent change",-12.7,-14.4,-23.4,-2.0,15.3,12.8,15.7,13.6,-2.6,4.2,6.2,26.1,41.4,34.1,8.8,0.7,3.5,11.5,9.3,8.0,7.7,14.1,8.1,2.4,3.0,7.7,6.9,7.0,3.1,5.8,2.7,5.7,5.0,4.4,7.2,7.6,9.4,9.2,11.4,11.3,10.2,8.5,11.0,13.6,12.8,14.1,12.7,11.6,15.2,15.1,14.8,17.5,10.2,6.8,9.3,7.8,2.3,1.6,6.3,6.8,8.0,4.7,7.9,5.8,5.7,6.9,7.5,9.2,9.0,5.6,8.8,6.6,1.3,4.0,4.7,8.4,9.6,6.2,10.2,-4.6,6.3,9.5,6.3,2.7,7.1,1.9,-0.4,7.2,7.0,5.0,4.3,11.4,7.5,8.0,5.3
 "48000","Texas",6,SAINC12,2,"..."," Net earnings by place of residence contribution ","Percentage points",-11.36,-13.53,-19.00,0.72,13.67,12.03,9.60,13.11,-4.19,4.15,6.63,25.81,38.53,32.20,7.66,-1.52,-1.48,9.91,8.82,6.68,4.57,14.52,7.13,1.19,1.20,6.16,5.92,5.00,1.43,3.96,1.39,4.37,3.65,2.90,5.94,6.07,7.84,7.03,9.38,8.21,6.47,5.67,8.30,9.74,8.41,9.79,10.51,9.29,11.70,11.51,9.85,12.34,5.46,3.50,6.34,4.76,1.14,1.65,4.34,4.13,6.00,3.29,5.67,4.52,3.75,4.34,5.54,7.29,7.30,4.88,6.53,5.05,0.58,2.04,3.51,4.92,7.03,3.27,4.78,-3.86,4.26,6.49,4.40,2.46,4.74,0.39,-0.49,4.59,4.74,2.98,-0.78,6.00,7.27,5.64,3.53
 "48000","Texas",6,SAINC12,3,"..."," Dividends, interest, and rent contribution ","Percentage points",-1.43,-2.81,-3.06,-2.26,1.48,0.66,3.35,2.37,1.44,-0.06,-0.50,-0.07,2.46,1.95,0.69,0.63,1.68,1.15,0.92,1.19,1.56,0.87,1.06,1.05,1.51,1.03,0.66,1.36,1.09,1.46,1.06,0.69,0.91,1.07,1.08,1.04,1.07,1.02,0.78,2.29,2.41,1.61,1.69,2.19,2.72,2.01,1.25,1.67,2.49,2.38,3.50,3.93,3.58,2.19,2.42,2.38,0.30,-0.51,1.42,1.69,0.78,0.22,0.21,0.46,0.98,1.50,1.05,1.31,1.46,0.40,1.61,0.55,-0.38,1.08,0.55,2.10,1.71,1.70,3.62,-2.09,0.37,2.39,1.97,-0.26,1.68,0.53,-0.62,2.19,1.57,1.19,-0.16,2.31,2.49,2.15,1.10
 "48000","Texas",6,SAINC12,4,"..."," Personal current transfer receipts contribution ","Percentage points",0.05,1.96,-1.37,-0.42,0.14,0.11,2.73,-1.93,0.15,0.14,0.05,0.40,0.37,0.00,0.40,1.60,3.28,0.47,-0.41,0.10,1.56,-1.26,-0.12,0.18,0.26,0.51,0.37,0.62,0.59,0.36,0.25,0.64,0.48,0.46,0.22,0.53,0.51,1.19,1.26,0.82,1.28,1.24,0.98,1.63,1.64,2.25,0.93,0.61,1.03,1.24,1.50,1.21,1.19,1.15,0.59,0.63,0.87,0.50,0.52,1.00,1.22,1.18,2.06,0.87,0.94,1.10,0.90,0.60,0.26,0.34,0.67,1.04,1.12,0.85,0.68,1.37,0.88,1.24,1.79,1.30,1.71,0.57,-0.05,0.51,0.73,0.95,0.73,0.38,0.70,0.85,5.23,3.11,-2.25,0.23,0.70
 "48000","Texas",6,SAINC12,5,"...","Personal income dollar change (thousands) ","Thousands of dollars",-347473,-342699,-477799,-30697,233879,225844,311912,311898,-67964,107672,164008,736396,1469840,1715482,590105,51623,256504,880840,794469,741897,773183,1530184,998307,323097,407000,1083736,1053567,1131631,540887,1033332,508417,1108216,1036270,956816,1632193,1845424,2451841,2632493,3552838,3921083,3922049,3619224,5057205,6939584,7419260,9214416,9480892,9751026,14314667,16381577,18504586,25026612,17221325,12674859,18518899,16827872,5392022,3925069,15242044,17605151,22051112,13984080,24736154,19662888,20164994,26140220,30131787,39783264,42614790,28915030,47940726,39341873,8362925,25371794,31566385,58394545,72663798,51462756,89596883,-45028567,58582033,92805206,68029524,30859924,83892178,23530542,-4839545,91495414,95963840,73415855,65756862,183098324,134193734,153970575,110608079
 "48000","Texas",6,SAINC12,6,"..."," Net earnings by place of residence dollar change (thousands) ","Thousands of dollars",-309857,-322269,-387422,11160,209107,212254,190943,301840,-109550,105631,175893,727034,1369066,1617568,516390,-111467,-109060,756784,750924,621665,459180,1572414,881332,159310,164353,867824,897945,811469,247984,708686,262183,849439,750456,626862,1338459,1466093,2040892,2002528,2918783,2844335,2497346,2409609,3828558,4986304,4886099,6418234,7853002,7826210,10998949,12466104,12276766,17665701,9190927,6482357,12555636,10303341,2658351,3949905,10536096,10663127,16546497,9798652,17666729,15216307,13350295,16343314,22283615,31509740,34475355,25106075,35528416,29898145,3671620,13019103,23363763,34285525,53086854,27074042,42053559,-37340801,39366125,63762567,47334347,28061450,55584354,4943024,-6293166,58633340,64822154,43591911,-12032516,96238957,129926655,108283552,73268048
 "48000","Texas",6,SAINC12,7,"..."," Dividends, interest, and rent dollar change (thousands) ","Thousands of dollars",-39036,-67022,-62460,-35261,22615,11660,66690,54582,37576,-1419,-13172,-2043,87569,97807,46741,46079,123795,88175,78190,110997,157039,93721,131195,140195,206519,144539,99876,220288,189720,260975,199848,134246,186364,230408,244174,252061,279259,290590,243332,792738,929319,682449,778862,1119484,1579037,1320009,935341,1410073,2343885,2572161,4360382,5626047,6022120,4065614,4785414,5166401,692720,-1219750,3449300,4362615,2139585,659001,653368,1534192,3475256,5652789,4228687,5679163,6909421,2069986,8759784,3269133,-2407273,6915275,3659722,14595165,12903325,14094308,31837578,-20245592,3387436,23434772,21205553,-3004772,19756043,6631914,-7918969,27991486,21521257,17352683,-2532839,37015107,44533017,41320769,22718490
 "48000","Texas",6,SAINC12,8,"..."," Personal current transfer receipts dollar change (thousands) ","Thousands of dollars",1420,46592,-27917,-6596,2157,1930,54279,-44524,4010,3460,1287,11405,13205,107,26974,117011,241769,35881,-34645,9235,156964,-135951,-14220,23592,36128,71373,55746,99874,103183,63671,46386,124531,99450,99546,49560,127270,131690,339375,390723,284010,495384,527166,449785,833796,954124,1476173,692549,514743,971833,1343312,1867438,1734864,2008278,2126888,1177849,1358130,2040951,1194914,1256648,2579409,3365030,3526427,6416057,2912389,3339443,4144117,3619485,2594361,1230014,1738969,3652526,6174595,7098578,5437416,4542900,9513855,6673619,10294406,15705746,12557826,15828472,5607867,-510376,5803246,8551781,11955604,9372590,4870588,9620429,12471261,80322217,49844260,-40265938,4366254,14621541
"Note: See the included footnote file."
"SAINC12: Personal income change by component 1."
