GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "00000","United States", ,SAINC12,1,"...","Percent change in personal income ","Percent change",-10.3,-14.2,-23.5,-6.1,14.5,12.5,13.8,8.0,-7.6,6.6,7.8,23.0,28.6,21.8,7.0,3.0,6.9,7.1,9.9,-1.2,11.4,12.7,6.9,6.0,1.1,7.3,7.4,5.8,2.8,6.4,4.3,4.4,6.4,5.1,7.1,8.0,8.6,7.2,9.8,9.8,8.1,8.1,9.9,11.5,9.8,9.4,9.8,10.4,12.4,11.7,11.6,12.0,7.2,6.9,10.3,7.1,6.0,5.8,8.5,8.0,6.3,3.6,6.6,4.4,5.1,5.8,6.1,6.1,7.3,5.2,8.0,4.3,1.7,3.6,5.6,5.3,7.1,5.6,4.2,-2.9,4.1,6.0,4.6,1.1,5.1,4.7,2.7,4.9,5.1,4.8,6.9,9.5,3.1,6.5,5.6
 "00000","United States", ,SAINC12,2,"..."," Net earnings by place of residence contribution ","Percentage points",-8.67,-12.63,-18.36,-2.55,13.79,11.51,9.28,8.67,-6.67,5.10,6.99,21.66,27.72,21.21,6.08,0.80,2.69,5.96,9.21,-2.31,8.20,13.06,5.84,4.63,-0.56,5.78,6.07,3.97,1.03,5.09,2.89,2.67,4.92,3.60,5.56,6.19,6.90,4.81,7.38,7.29,4.73,5.13,7.52,8.17,5.76,4.94,7.47,7.94,9.33,8.13,5.92,6.36,3.06,4.23,7.17,4.87,4.26,5.10,5.74,4.30,4.08,1.84,4.82,2.88,3.34,3.26,4.13,4.50,5.40,4.70,5.72,2.78,1.31,2.35,4.03,3.20,4.09,2.73,1.01,-2.42,2.62,3.89,2.83,1.24,2.73,2.54,1.53,3.00,3.17,2.78,0.90,5.47,3.71,3.35,3.30
 "00000","United States", ,SAINC12,3,"..."," Dividends, interest, and rent contribution ","Percentage points",-1.65,-3.06,-4.17,-3.42,0.63,0.56,2.67,0.88,-1.46,1.31,0.57,1.40,0.88,0.78,0.48,0.65,1.24,1.02,0.94,0.68,1.86,0.71,0.84,1.13,1.02,1.04,1.01,1.01,0.66,1.13,1.09,0.84,1.27,1.13,1.32,1.30,1.05,1.02,1.14,1.61,1.82,1.37,1.34,1.90,2.24,1.56,1.25,1.80,2.10,2.20,3.54,3.93,2.74,1.65,2.58,1.50,0.96,0.22,1.97,2.59,1.11,0.29,0.19,0.67,1.16,1.62,1.24,1.23,1.48,-0.05,1.56,0.29,-0.59,0.56,0.83,1.16,2.11,1.87,1.26,-2.06,-0.04,1.84,1.69,-0.55,1.52,1.15,0.58,1.38,1.24,1.01,0.06,1.90,1.79,2.59,1.03
 "00000","United States", ,SAINC12,4,"..."," Personal current transfer receipts contribution ","Percentage points",0.04,1.48,-0.92,-0.11,0.13,0.42,1.82,-1.60,0.57,0.17,0.22,-0.03,0.01,-0.14,0.40,1.55,2.92,0.15,-0.30,0.45,1.34,-1.10,0.18,0.23,0.61,0.46,0.36,0.78,1.08,0.21,0.36,0.89,0.22,0.39,0.27,0.51,0.61,1.37,1.23,0.86,1.57,1.58,1.07,1.45,1.83,2.95,1.06,0.69,0.94,1.39,2.15,1.68,1.40,1.03,0.56,0.75,0.74,0.44,0.75,1.10,1.15,1.45,1.58,0.83,0.64,0.92,0.73,0.39,0.41,0.56,0.77,1.22,1.03,0.68,0.78,0.95,0.92,1.01,1.90,1.54,1.48,0.27,0.03,0.44,0.83,0.97,0.59,0.50,0.72,0.98,5.93,2.17,-2.42,0.53,1.27
 "00000","United States", ,SAINC12,5,"...","Personal income dollar change (thousands) ","Thousands of dollars",-8757000,-10863000,-15369000,-3048000,6853000,6737000,8359000,5493000,-5632000,4532000,5722000,18229000,27862000,27368000,10638000,4911000,11524000,12815000,18970000,-2486000,23826639,29495071,18005103,16807082,3159152,21832298,23949200,19937669,10130066,24177506,17371214,18347000,27953000,23780000,34853000,41811000,48269000,44115000,64049000,70352000,64296000,69088000,91795000,117060000,111444000,117593000,133199000,155928000,204217000,217447000,240676000,277023000,186645000,191693000,306082000,233067000,209274000,214044000,332633000,340674000,292225000,174959000,334255000,237102000,290290000,344187000,382729000,407568000,515581000,394446000,641785000,369870000,156596000,327984000,534245000,531871000,750646000,633598000,498366000,-365157000,489248000,752317000,605931000,157534000,714877000,688953000,417628000,774221000,855440000,835182000,1263475000,1871109000,660646000,1432394000,1320405000
 "00000","United States", ,SAINC12,6,"..."," Net earnings by place of residence dollar change (thousands) ","Thousands of dollars",-7384000,-9649000,-12031000,-1277000,6496000,6212000,5632000,5991000,-4970000,3513000,5138000,17148000,26999000,26564000,9284000,1310000,4526000,10708000,17732000,-4892000,17135366,30419918,15324166,12991449,-1664300,17346803,19558193,13729480,3784766,19153142,11565017,11137000,21452000,16699000,27099000,32365000,38926000,29486000,48475000,52520000,37461000,43885000,69491000,83024000,65246000,61445000,101754000,118760000,154163000,150863000,122813000,147227000,79402000,117362000,212935000,159557000,149585000,189513000,225667000,183342000,187835000,90143000,244493000,155866000,188694000,193385000,259027000,299719000,381660000,356163000,456234000,239385000,117455000,214829000,381474000,320287000,430932000,308003000,121004000,-300744000,315833000,487587000,376766000,172469000,383853000,374701000,237001000,476577000,528704000,486927000,165008000,1073043000,797224000,741518000,777895000
 "00000","United States", ,SAINC12,7,"..."," Dividends, interest, and rent dollar change (thousands) ","Thousands of dollars",-1405000,-2341000,-2735000,-1717000,296000,301000,1622000,608000,-1086000,900000,421000,1106000,855000,979000,736000,1066000,2090000,1837000,1806000,1446000,3893159,1642893,2208123,3179138,3018545,3108780,3247163,3501633,2400570,4246746,4372250,3500000,5559000,5264000,6459000,6772000,5904000,6232000,7494000,11604000,14424000,11688000,12422000,19318000,25407000,19363000,17024000,26902000,34604000,40769000,73365000,90908000,70864000,45801000,76586000,48981000,33739000,8148000,77650000,110556000,51345000,13999000,9871000,36269000,65622000,96308000,77948000,82180000,104840000,-3983000,124415000,25200000,-53484000,51117000,78793000,116079000,222611000,211344000,150345000,-256024000,-5009000,231193000,224831000,-76264000,213825000,170398000,89014000,218982000,206142000,177435000,10382000,373024000,383996000,573831000,243782000
 "00000","United States", ,SAINC12,8,"..."," Personal current transfer receipts dollar change (thousands) ","Thousands of dollars",32000,1127000,-603000,-54000,61000,224000,1105000,-1106000,424000,119000,163000,-25000,8000,-175000,618000,2535000,4908000,270000,-568000,960000,2798114,-2567740,472814,636495,1804907,1376715,1143844,2706556,3944730,777618,1433947,3710000,942000,1817000,1295000,2674000,3439000,8397000,8080000,6228000,12411000,13515000,9882000,14718000,20791000,36785000,14421000,10266000,15450000,25815000,44498000,38888000,36379000,28530000,16561000,24529000,25950000,16383000,29316000,46776000,53045000,70817000,79891000,44967000,35974000,54494000,45754000,25669000,29081000,42266000,61136000,105285000,92625000,62038000,73978000,95505000,97103000,114251000,227017000,191611000,178424000,33537000,4334000,61329000,117199000,143854000,91613000,78662000,120594000,170820000,1088085000,425042000,-520574000,117045000,298728000
"Note: See the included footnote file."
"SAINC12: Personal income change by component 1."
