GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "49000","Utah",7,SAINC12,1,"...","Percent change in personal income ","Percent change",-9.6,-24.1,-17.5,-1.8,6.0,25.4,18.6,-3.0,0.8,4.6,7.0,23.9,59.5,38.4,-9.1,3.5,4.1,6.3,10.4,3.5,11.4,16.7,6.2,2.7,-0.2,10.6,9.1,8.5,3.5,7.2,6.9,7.2,8.9,3.9,5.3,6.0,6.5,5.5,7.2,9.5,11.3,11.9,11.7,11.4,11.9,11.5,13.2,13.1,15.1,13.0,12.3,12.7,8.5,7.2,10.3,7.1,5.1,4.5,6.6,7.3,8.5,7.3,8.0,7.8,8.2,8.9,8.9,8.0,6.9,5.3,7.0,4.7,3.0,3.9,6.6,9.1,11.2,8.9,5.2,-3.7,2.7,7.8,6.3,3.0,5.7,7.7,5.7,6.3,7.5,7.7,9.2,14.6,5.8,7.9,6.2
 "49000","Utah",7,SAINC12,2,"..."," Net earnings by place of residence contribution ","Percentage points",-8.70,-22.52,-14.28,-0.02,5.20,23.67,15.15,-1.91,0.40,4.15,5.87,21.46,57.90,36.81,-9.35,1.41,-0.89,5.76,7.19,1.38,8.47,17.05,5.47,0.77,-0.92,8.54,6.53,6.69,2.33,5.64,4.63,5.55,7.34,3.11,3.20,4.26,4.98,4.15,5.96,7.05,7.62,8.20,8.78,8.44,8.30,7.52,10.62,10.34,11.23,9.44,7.68,7.90,4.44,4.27,7.61,4.75,3.24,3.16,4.72,4.68,6.31,5.27,6.28,5.69,5.95,5.61,6.14,6.19,5.21,4.73,4.45,2.94,1.52,2.27,5.32,5.64,8.50,5.18,1.33,-3.03,1.33,5.02,4.75,2.50,3.57,4.73,3.76,4.16,5.31,4.90,4.63,6.39,5.32,4.95,3.55
 "49000","Utah",7,SAINC12,3,"..."," Dividends, interest, and rent contribution ","Percentage points",-0.92,-3.37,-2.31,-1.79,0.67,1.03,1.40,0.51,-0.78,0.38,0.73,1.87,1.91,1.67,-0.20,0.49,1.27,0.57,3.43,1.90,1.79,0.73,0.66,1.71,0.14,1.52,2.25,1.15,0.45,1.25,1.97,1.01,1.24,0.38,1.68,1.27,1.16,0.32,0.21,1.54,2.18,2.29,1.80,1.51,2.33,1.69,1.74,2.00,2.77,2.26,2.97,3.13,2.58,1.94,2.38,1.46,1.02,0.57,1.40,1.55,1.13,0.90,0.48,1.17,1.90,2.40,2.12,1.34,1.23,0.05,1.82,0.80,0.50,0.87,0.62,2.38,1.68,2.69,1.98,-2.04,-0.19,2.27,1.67,0.07,1.67,2.17,1.38,1.73,1.36,1.59,0.73,5.02,1.87,2.96,1.35
 "49000","Utah",7,SAINC12,4,"..."," Personal current transfer receipts contribution ","Percentage points",0.04,1.74,-0.96,0.05,0.16,0.70,2.04,-1.60,1.22,0.11,0.39,0.59,-0.31,-0.11,0.49,1.56,3.77,0.01,-0.18,0.18,1.12,-1.08,0.05,0.23,0.62,0.56,0.32,0.64,0.73,0.34,0.25,0.62,0.27,0.42,0.38,0.47,0.37,1.06,1.00,0.90,1.49,1.42,1.16,1.47,1.25,2.30,0.89,0.75,1.06,1.25,1.64,1.64,1.49,0.95,0.33,0.86,0.83,0.75,0.48,1.09,1.05,1.14,1.23,0.98,0.35,0.94,0.65,0.43,0.45,0.56,0.75,0.98,1.00,0.72,0.68,1.04,0.99,1.01,1.89,1.33,1.57,0.51,-0.11,0.47,0.50,0.85,0.60,0.44,0.84,1.16,3.82,3.18,-1.41,-0.06,1.25
 "49000","Utah",7,SAINC12,5,"...","Personal income dollar change (thousands) ","Thousands of dollars",-26661,-60728,-33484,-2774,9325,41647,38211,-7291,1977,11084,17436,63853,196844,202462,-66142,22952,28507,45325,79456,29028,98875,161609,69837,32472,-1997,130601,123803,125854,56612,120377,122544,137032,181180,87066,121822,146254,168115,152177,208120,295271,384564,451673,498301,541482,627516,680116,873096,976846,1271196,1258545,1348238,1559965,1179598,1078090,1664847,1258868,970055,898273,1381192,1632810,2033776,1901542,2228451,2360588,2664582,3143686,3408019,3317749,3097984,2571476,3560565,2558113,1719904,2261864,4024517,5866885,7899260,6967367,4439296,-3373094,2345836,6941199,6046425,3099843,6028469,8605033,6879093,8006160,10098768,11065958,14280101,24807515,11256619,16182116,13669575
 "49000","Utah",7,SAINC12,6,"..."," Net earnings by place of residence dollar change (thousands) ","Thousands of dollars",-24192,-56640,-27243,-36,8039,38801,31135,-4649,939,9907,14646,57286,191530,194213,-68256,9329,-6101,41215,54720,11556,73608,165049,61823,9218,-11366,105100,88807,99292,37510,94006,82827,105942,150305,69183,74005,103877,128678,114187,172994,219298,259618,310993,372542,400180,438280,444539,699857,771410,947920,917040,842779,972884,615806,643640,1227494,845142,617849,633736,988617,1043768,1511812,1370211,1750884,1712571,1933329,1969497,2348448,2582212,2342892,2275543,2257272,1592641,863510,1328204,3233041,3656384,6009214,4065700,1133344,-2730014,1149897,4466589,4554871,2543545,3748189,5256598,4504577,5261433,7141593,7084256,7208603,10863927,10363096,10193666,7886957
 "49000","Utah",7,SAINC12,7,"..."," Dividends, interest, and rent dollar change (thousands) ","Thousands of dollars",-2573,-8468,-4409,-2822,1040,1696,2883,1253,-1841,914,1813,4987,6325,8811,-1469,3283,8731,4052,26071,15970,15540,7020,7476,20482,1700,18671,30622,17134,7320,20785,35162,19333,25350,8509,38918,30869,29858,8837,6202,47941,74324,86756,76333,71524,123146,99872,114472,149254,233965,219893,325876,385453,357439,291976,384235,260659,193707,114559,292404,345043,270012,234351,134552,353549,616465,844595,812037,558178,551687,24277,923022,433453,286426,509504,377821,1539665,1189170,2110588,1693562,-1838440,-161078,2021253,1600731,73913,1757506,2408379,1655716,2191399,1828651,2302014,1130915,8533715,3635680,6104062,3001992
 "49000","Utah",7,SAINC12,8,"..."," Personal current transfer receipts dollar change (thousands) ","Thousands of dollars",104,4380,-1832,84,246,1150,4193,-3895,2879,263,977,1580,-1011,-562,3583,10340,25877,58,-1335,1502,9727,-10460,538,2772,7669,6830,4374,9428,11782,5586,4555,11757,5525,9374,8899,11508,9579,29153,28924,28032,50622,53924,49426,69778,66090,135705,58767,56182,89311,121612,179583,201628,206353,142474,53118,153067,158499,149978,100171,243999,251952,296980,343015,294468,114788,329594,247534,177359,203405,271656,380271,532019,569968,424156,413655,670836,700876,791079,1612390,1195360,1357017,453357,-109177,482385,522774,940056,718800,553328,1128524,1679688,5940583,5409873,-2742157,-115612,2780626
"Note: See the included footnote file."
"SAINC12: Personal income change by component 1."
