GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "51000","Virginia",5,SAINC12,1,"...","Percent change in personal income ","Percent change",-11.0,-3.4,-22.6,0.4,13.8,11.1,12.7,9.9,-6.0,10.7,13.5,40.1,53.4,11.1,9.7,3.1,0.5,-2.8,12.0,1.2,12.8,18.0,9.0,3.5,1.7,5.6,8.2,5.4,3.3,6.9,3.1,6.5,7.9,7.6,10.3,7.9,8.2,9.4,10.6,13.2,8.5,10.5,11.0,12.0,10.8,9.8,10.5,10.8,13.5,11.5,13.1,12.2,8.1,7.9,11.2,8.1,7.9,7.7,9.8,8.2,5.2,4.3,6.2,5.1,5.2,5.1,4.9,6.6,7.1,7.1,8.3,5.4,2.9,6.0,6.9,6.5,6.7,5.5,4.2,-1.7,4.4,5.7,4.3,-0.9,4.0,4.4,2.7,4.0,3.8,4.6,5.8,9.7,3.8,6.8,5.6
 "51000","Virginia",5,SAINC12,2,"..."," Net earnings by place of residence contribution ","Percentage points",-10.62,-4.62,-19.59,3.58,12.10,11.57,8.02,10.85,-5.37,9.39,11.77,38.86,50.45,10.52,9.38,1.71,-2.68,-3.40,10.13,-0.30,9.67,18.18,8.07,2.24,-0.11,4.19,7.08,3.36,2.07,5.11,2.05,4.49,6.14,5.66,8.39,6.01,6.69,7.13,8.79,9.58,4.75,7.13,8.29,8.45,7.08,5.99,8.03,8.09,9.90,8.05,7.96,7.09,4.57,5.53,7.91,5.97,5.76,6.48,6.67,4.76,3.20,2.60,4.47,3.24,3.20,2.85,3.22,4.85,5.57,6.19,5.92,3.82,2.17,4.15,5.80,4.38,3.58,2.86,1.51,-0.76,3.23,3.52,2.35,-0.52,2.12,2.78,1.32,2.25,2.24,2.65,1.30,5.41,3.30,3.79,3.69
 "51000","Virginia",5,SAINC12,3,"..."," Dividends, interest, and rent contribution ","Percentage points",-0.45,-0.74,-1.70,-2.84,1.86,-0.47,2.02,1.16,-0.97,1.24,1.39,1.30,2.95,0.53,-0.08,0.14,1.09,0.48,2.76,1.22,1.09,1.25,0.77,1.12,1.46,1.01,0.92,1.50,0.51,1.35,0.94,1.35,1.51,1.56,1.68,1.51,1.11,1.32,1.01,2.82,2.66,2.19,1.73,2.21,2.36,1.62,1.57,2.05,2.71,2.25,3.45,3.66,2.65,1.62,2.70,1.54,1.59,0.89,2.49,2.61,1.28,0.82,0.63,1.26,1.46,1.40,1.14,1.38,1.18,0.36,1.74,0.50,0.12,1.07,0.52,1.23,2.13,1.91,1.06,-1.80,-0.08,1.73,1.78,-0.83,1.24,0.97,0.83,1.16,0.79,1.06,-0.23,1.90,1.62,2.46,1.02
 "51000","Virginia",5,SAINC12,4,"..."," Personal current transfer receipts contribution ","Percentage points",0.07,2.00,-1.32,-0.38,-0.11,0.04,2.64,-2.08,0.37,0.12,0.30,-0.04,0.03,0.02,0.39,1.21,2.14,0.15,-0.92,0.28,2.03,-1.40,0.12,0.20,0.38,0.40,0.21,0.57,0.73,0.41,0.15,0.68,0.28,0.35,0.26,0.43,0.42,0.95,0.84,0.79,1.12,1.21,0.97,1.33,1.37,2.19,0.87,0.65,0.91,1.25,1.67,1.42,0.88,0.78,0.55,0.63,0.54,0.34,0.59,0.79,0.72,0.91,1.15,0.56,0.58,0.82,0.58,0.36,0.35,0.52,0.67,1.06,0.60,0.74,0.58,0.92,0.98,0.69,1.62,0.87,1.19,0.50,0.13,0.49,0.68,0.68,0.52,0.57,0.73,0.88,4.70,2.36,-1.15,0.60,0.89
 "51000","Virginia",5,SAINC12,5,"...","Personal income dollar change (thousands) ","Thousands of dollars",-116078,-31535,-204992,2488,97506,89377,113106,99740,-65954,111572,154829,523307,976639,310435,301897,104391,19126,-98171,411937,46329,498605,793645,465004,200771,101523,333292,515986,370122,236953,509066,247802,532346,690140,710939,1044422,886471,989207,1224478,1517030,2079425,1523991,2039324,2353205,2848538,2876880,2890185,3391049,3860376,5359192,5195952,6559742,6905177,5153963,5448605,8295943,6719355,7041152,7427443,10118026,9295402,6410455,5614371,8440874,7275599,7900254,8051231,8239838,11542830,13257007,14142088,17844140,12444499,7043383,14967484,18362067,18601625,20264942,17646489,14306043,-6040991,15212550,20957216,16436951,-3492315,16130285,18378182,11603183,17680767,17394412,22004167,29000792,51306322,21961573,41366439,36146271
 "51000","Virginia",5,SAINC12,6,"..."," Net earnings by place of residence dollar change (thousands) ","Thousands of dollars",-111973,-43394,-177628,25124,85211,92811,71507,108998,-59300,97453,135365,506889,922172,294995,292259,58460,-94390,-120262,348662,-11540,377195,799948,418929,126566,-6166,249595,445250,228785,148514,378931,162123,366856,534413,531862,847857,669741,805750,928963,1253203,1510675,848361,1381368,1774859,2007044,1884496,1766786,2600793,2894044,3924231,3620529,3993721,4023086,2909882,3802099,5876730,4928146,5141151,6239852,6922786,5416878,3945379,3369417,6039417,4653677,4822612,4530186,5378114,8499861,10401905,12380920,12672924,8845974,5301936,10432739,15449934,12477261,10852183,9248035,5138145,-2713452,11301972,12820726,9076456,-2105620,8465959,11514416,5730979,9990036,10347433,12714876,6534286,28707420,19187176,22904603,23832546
 "51000","Virginia",5,SAINC12,7,"..."," Dividends, interest, and rent dollar change (thousands) ","Thousands of dollars",-4794,-6919,-15377,-19953,13102,-3771,18037,11630,-10747,12838,15962,17001,53912,14779,-2538,4654,38269,16940,94894,47202,42394,55143,39797,63136,85603,59916,57673,102350,36282,99972,74124,110312,131029,146577,169827,168344,133105,171704,143406,444618,474863,424177,369790,525800,628443,477276,508950,732808,1073784,1011439,1729320,2077778,1686498,1112385,2008234,1274892,1416391,859032,2581248,2976047,1578773,1065678,849841,1815726,2204493,2219301,1896689,2418962,2205333,725378,3730352,1151344,282635,2684108,1376108,3508114,6450234,6165687,3628434,-6403207,-264363,6304911,6870002,-3350799,4939156,4040971,3600008,5157096,3674716,5090392,-1130683,10098842,9450738,14831444,6567668
 "51000","Virginia",5,SAINC12,8,"..."," Personal current transfer receipts dollar change (thousands) ","Thousands of dollars",689,18778,-11987,-2683,-807,337,23562,-20888,4093,1281,3502,-583,555,661,12176,41277,75247,5151,-31619,10667,79016,-61446,6278,11069,22086,23781,13063,38987,52157,30163,11555,55178,24698,32500,26738,48386,50352,123811,120421,124132,200767,233779,208556,315694,363941,646123,281306,233524,361177,563984,836701,804313,557583,534121,410979,516317,483610,328559,613992,902477,886303,1179276,1551616,806196,873149,1301744,965035,624007,649769,1035790,1440864,2447181,1458812,1850637,1536025,2616250,2962525,2232767,5539464,3075668,4174941,1831579,490493,1964104,2725170,2822795,2272196,2533635,3372263,4198899,23597189,12500060,-6676341,3630392,5746057
"Note: See the included footnote file."
"SAINC12: Personal income change by component 1."
"Last updated: September 26, 2025-- revised statistics for 2020-2024."
"U.S. Bureau of Economic Analysis"
