GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "50000","Vermont",1,SAINC12,1,"...","Percent change in personal income ","Percent change",-9.0,-17.9,-23.2,-7.3,13.1,8.7,13.3,3.0,-5.7,8.1,7.0,20.1,19.3,13.9,-1.5,8.8,13.6,6.9,9.3,-3.4,6.5,14.4,2.5,4.8,1.4,4.1,9.4,3.7,2.0,7.5,5.7,4.2,5.0,3.7,7.2,9.5,13.5,8.3,10.1,9.6,9.8,8.3,10.4,9.8,8.2,9.6,11.0,8.5,14.5,12.4,12.2,12.3,8.5,7.6,9.7,8.5,7.6,8.0,9.7,10.5,3.9,2.1,6.8,3.9,4.8,5.2,5.3,6.0,7.7,5.6,8.3,6.3,2.1,3.9,5.5,2.0,6.2,5.5,5.8,-0.9,3.1,6.0,2.7,1.3,3.7,2.9,1.6,2.9,3.6,5.2,7.3,5.8,4.5,6.6,4.9
 "50000","Vermont",1,SAINC12,2,"..."," Net earnings by place of residence contribution ","Percentage points",-8.40,-15.93,-18.96,-3.82,13.65,9.61,9.52,4.53,-6.86,6.58,3.71,17.91,19.08,13.78,-1.86,5.37,9.72,6.92,6.51,-6.25,5.85,13.90,2.49,4.03,-1.69,3.54,7.56,2.56,0.92,5.89,3.99,1.57,3.49,2.35,4.94,7.16,10.72,4.56,6.91,7.34,5.77,4.39,6.98,6.39,3.75,4.16,8.54,6.01,11.50,8.31,6.07,6.12,3.42,4.74,6.40,6.10,5.64,7.27,6.08,5.46,1.85,0.67,4.97,2.75,2.80,2.06,3.73,3.31,5.11,5.17,5.73,4.21,2.31,2.33,3.74,1.90,1.98,2.01,1.89,-0.70,2.60,3.46,1.17,0.45,0.70,1.33,0.92,1.87,2.04,2.71,0.84,4.57,4.14,3.05,2.71
 "50000","Vermont",1,SAINC12,3,"..."," Dividends, interest, and rent contribution ","Percentage points",-0.50,-3.13,-3.29,-2.97,-0.16,-0.98,1.21,0.23,0.83,1.42,3.14,2.29,0.35,-0.06,-0.19,1.55,1.31,-0.17,2.89,2.06,-0.17,1.38,-0.38,0.44,2.21,-0.20,1.68,0.08,0.08,1.19,1.11,1.66,1.15,0.73,1.88,1.94,2.17,1.99,1.66,0.96,2.22,1.92,1.97,1.80,2.07,1.84,1.23,2.13,2.23,2.28,3.73,4.06,3.45,1.77,2.89,1.80,1.55,0.58,2.95,3.93,0.79,0.16,0.15,0.51,1.20,1.99,1.10,1.94,1.97,-0.51,1.51,0.78,-1.15,0.87,1.13,-1.19,2.43,1.76,1.88,-1.78,-0.69,2.35,1.07,-0.09,2.07,0.92,0.20,0.72,1.07,1.78,-0.09,0.57,1.86,3.05,0.76
 "50000","Vermont",1,SAINC12,4,"..."," Personal current transfer receipts contribution ","Percentage points",-0.07,1.19,-0.96,-0.53,-0.40,0.07,2.55,-1.75,0.34,0.06,0.17,-0.08,-0.08,0.22,0.60,1.88,2.59,0.13,-0.10,0.81,0.82,-0.86,0.44,0.37,0.89,0.72,0.12,1.04,0.98,0.43,0.56,1.00,0.31,0.58,0.34,0.39,0.57,1.75,1.49,1.32,1.81,2.00,1.41,1.61,2.42,3.64,1.20,0.35,0.81,1.76,2.45,2.14,1.62,1.05,0.43,0.60,0.40,0.19,0.66,1.07,1.31,1.24,1.72,0.61,0.83,1.19,0.48,0.75,0.58,0.95,1.06,1.33,0.97,0.70,0.67,1.32,1.77,1.76,2.00,1.56,1.15,0.19,0.46,0.96,0.92,0.69,0.43,0.27,0.51,0.70,6.58,0.64,-1.49,0.48,1.46
 "50000","Vermont",1,SAINC12,5,"...","Personal income dollar change (thousands) ","Thousands of dollars",-20292,-36812,-39267,-9501,15764,11839,19651,5044,-9808,13122,12356,37904,43779,37631,-4468,26711,44921,25779,37285,-14800,27476,64991,13103,25621,7780,22843,54741,23474,13161,50798,41207,32455,39715,30785,62417,88573,137554,96275,126374,132986,148496,138360,186776,194815,180145,227758,284231,244080,453316,441455,491673,554804,429802,414866,574310,550832,533665,608494,791811,937961,390829,213406,719695,434116,561919,639149,683449,813348,1099647,867546,1354022,1117222,400674,747722,1103260,428309,1326068,1259518,1386411,-233013,772336,1559051,744097,374104,1058509,873505,475280,886928,1156882,1720892,2554834,2159956,1783792,2722088,2170624
 "50000","Vermont",1,SAINC12,6,"..."," Net earnings by place of residence dollar change (thousands) ","Thousands of dollars",-18999,-32812,-32078,-4964,16438,13080,14093,7599,-11841,10711,6531,33734,43170,37203,-5717,16293,32060,25931,26091,-27373,24750,62623,12831,21312,-9377,19924,44234,16355,6094,39816,29042,12057,27976,19765,43052,66807,109547,52900,86747,101465,87446,73030,125815,127088,81974,98247,221309,172848,358723,297114,243646,275661,173298,260299,378085,395326,396606,550115,496628,489518,182873,68864,522586,308265,326329,251195,480281,448346,733630,799055,934768,744162,433510,446627,745185,400508,425457,457613,454112,-178244,656826,899025,322451,126070,201322,395374,280139,580285,652187,897668,291975,1707004,1635908,1261638,1195550
 "50000","Vermont",1,SAINC12,7,"..."," Dividends, interest, and rent dollar change (thousands) ","Thousands of dollars",-1136,-6443,-5567,-3855,-197,-1339,1789,378,1439,2313,5532,4315,799,-159,-597,4708,4329,-653,11579,9041,-727,6232,-1978,2351,12239,-1109,9830,498,544,8056,8077,12743,9230,6129,16390,18111,22163,23104,20849,13338,33664,32020,35572,35741,45227,43483,31868,61219,69426,81430,149830,182806,174629,97039,170660,116781,108980,43810,241042,352366,78678,16750,16105,56871,139362,242966,140843,263198,282784,-78393,246009,137651,-215880,167400,224799,-250017,521375,401127,452241,-452688,-173571,610534,293966,-24589,593087,273293,62282,222816,340728,590207,-31197,212324,737254,1260974,333280
 "50000","Vermont",1,SAINC12,8,"..."," Personal current transfer receipts dollar change (thousands) ","Thousands of dollars",-157,2443,-1622,-682,-477,98,3769,-2933,594,98,293,-145,-190,587,1846,5710,8532,501,-385,3532,3453,-3864,2250,1958,4918,4028,677,6621,6523,2926,4088,7655,2509,4891,2975,3655,5844,20271,18778,18183,27386,33310,25389,31986,52944,86028,31054,10013,25167,62911,98197,96337,81875,57528,25565,38725,28079,14569,54141,96077,129278,127792,181004,68980,96228,144988,62325,101804,83233,146884,173245,235409,183044,133695,133276,277818,379236,400778,480058,397919,289081,49492,127680,272623,264100,204838,132859,83827,163967,233017,2294056,240628,-589370,199476,641794
"Note: See the included footnote file."
"SAINC12: Personal income change by component 1."
"Last updated: September 26, 2025-- revised statistics for 2020-2024."
"U.S. Bureau of Economic Analysis"
