GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "53000","Washington",8,SAINC12,1,"...","Percent change in personal income ","Percent change",-10.4,-18.1,-24.5,-6.1,19.0,12.3,17.8,7.2,-2.0,7.0,9.6,36.7,48.0,29.7,9.2,-2.4,1.4,3.4,11.1,0.4,12.9,10.5,6.6,5.8,2.7,5.3,5.0,6.3,2.0,6.2,3.6,5.0,7.8,2.3,4.7,7.7,13.0,9.5,11.3,9.2,5.6,5.3,7.8,12.6,13.5,13.3,10.8,11.0,16.3,15.2,13.5,11.0,6.2,6.8,7.0,6.4,6.8,5.5,9.2,10.5,9.9,7.2,7.9,5.1,5.1,5.7,7.5,7.4,9.5,6.2,6.9,2.7,1.8,4.0,7.3,3.8,8.8,8.5,5.3,-4.0,2.7,6.0,7.4,1.9,7.3,5.9,5.6,6.5,6.8,7.3,7.9,9.5,3.5,7.5,6.4
 "53000","Washington",8,SAINC12,2,"..."," Net earnings by place of residence contribution ","Percentage points",-8.83,-16.55,-20.17,-3.34,18.20,11.41,13.20,6.94,-0.83,4.60,7.73,32.49,45.87,28.52,8.31,-4.07,-2.37,2.44,7.87,-1.21,8.23,11.48,5.40,3.49,1.27,3.97,4.11,4.36,0.45,4.78,2.03,3.64,6.57,1.35,3.32,5.89,11.20,6.71,8.69,6.22,0.83,2.35,5.93,8.98,8.98,8.44,8.30,8.21,12.47,11.22,7.57,5.36,2.08,3.65,4.15,3.74,5.16,4.66,6.28,6.20,7.09,4.75,6.13,3.05,2.71,2.92,5.04,5.88,7.56,6.12,4.45,1.43,1.31,2.22,3.52,3.74,5.18,4.70,1.60,-3.03,1.62,4.10,4.58,2.04,3.31,3.60,3.47,4.40,5.27,4.23,2.73,6.23,3.17,4.21,4.20
 "53000","Washington",8,SAINC12,3,"..."," Dividends, interest, and rent contribution ","Percentage points",-1.59,-3.19,-3.22,-2.72,0.89,0.14,2.18,1.78,-1.11,1.72,1.28,3.58,2.05,1.25,0.52,0.23,0.63,0.97,3.78,0.49,1.96,1.27,0.89,1.93,1.00,0.86,0.46,1.21,0.56,1.16,1.16,0.67,1.19,0.59,0.98,1.46,1.51,1.49,1.57,2.03,2.28,1.42,1.18,2.32,2.71,2.27,1.50,2.25,2.90,2.80,3.72,3.97,2.77,2.08,2.21,1.75,0.89,0.23,1.90,3.13,1.64,0.91,0.47,1.18,1.70,1.91,1.79,1.07,1.50,-0.62,1.68,-0.17,-0.28,1.18,3.53,-0.73,2.64,2.75,1.79,-2.72,-0.60,1.95,2.80,-0.45,2.61,2.03,1.23,1.63,0.82,2.14,0.20,1.27,2.62,2.86,1.23
 "53000","Washington",8,SAINC12,4,"..."," Personal current transfer receipts contribution ","Percentage points",0.00,1.69,-1.15,0.00,-0.13,0.70,2.47,-1.56,-0.02,0.66,0.59,0.63,0.08,-0.03,0.42,1.44,3.12,0.04,-0.58,1.14,2.71,-2.26,0.26,0.42,0.47,0.50,0.46,0.74,0.98,0.23,0.42,0.68,0.04,0.38,0.39,0.36,0.27,1.31,1.05,0.97,2.52,1.57,0.72,1.33,1.77,2.55,1.03,0.54,0.91,1.21,2.21,1.72,1.39,1.09,0.62,0.89,0.73,0.63,1.06,1.15,1.16,1.56,1.28,0.89,0.68,0.89,0.63,0.48,0.48,0.70,0.79,1.40,0.81,0.62,0.21,0.75,0.95,1.06,1.93,1.78,1.70,-0.08,0.03,0.28,1.43,0.30,0.85,0.44,0.67,0.92,4.98,2.03,-2.28,0.42,0.97
 "53000","Washington",8,SAINC12,5,"...","Personal income dollar change (thousands) ","Thousands of dollars",-119803,-186070,-207243,-38595,113548,87276,142670,67452,-19774,69115,101685,425990,761636,698406,281708,-80061,44672,113464,377262,15820,490201,450219,311071,295359,146149,292366,290945,383296,129019,406458,253219,361342,593742,190864,393408,677779,1228220,1017085,1324386,1200959,800895,801894,1240455,2157019,2590667,2892882,2679180,3013219,4954625,5386338,5501739,5110414,3208529,3718172,4066923,3978123,4497150,3911709,6906069,8562070,8921395,7153034,8381577,5876559,6143690,7244669,9994466,10681706,14754501,10504893,12447460,5127893,3627450,8094709,15175081,8440860,20416104,21570553,14610678,-11491317,7546942,17024059,22421925,6069837,24324058,21084197,20909812,25746596,28591934,32931730,38321265,49782785,20088011,44396400,40805206
 "53000","Washington",8,SAINC12,6,"..."," Net earnings by place of residence dollar change (thousands) ","Thousands of dollars",-101605,-170583,-170341,-21264,109011,81281,105513,65356,-8379,45557,81901,377096,727817,669778,253108,-135492,-76917,80370,268152,-45743,312575,492492,256137,176384,67810,218002,237514,264930,29115,314791,142179,263732,500226,110985,278715,517807,1059904,717332,1017711,810705,118331,353066,939517,1534526,1728216,1842683,2052750,2249937,3793376,3966854,3085616,2479527,1070253,1990467,2422005,2330463,3424621,3299957,4692496,5065600,6392525,4705912,6519974,3495629,3271913,3701967,6752559,8456456,11682678,10366012,7996808,2750903,2588498,4471792,7361094,8398854,12068384,11910670,4400486,-8766335,4492670,11701538,13847945,6622387,10944050,12795244,13051900,17490861,22305638,19114704,13251539,32562331,18143592,24931999,26786184
 "53000","Washington",8,SAINC12,7,"..."," Dividends, interest, and rent dollar change (thousands) ","Thousands of dollars",-18245,-32861,-27205,-17315,5340,1008,17393,16805,-11218,17008,13566,41565,32485,29394,15736,7579,20392,31794,128815,18493,74628,54471,42419,97726,53268,47135,26717,73380,36415,76247,81360,48207,90243,48376,81941,127985,142666,159724,184224,264361,324455,212882,187477,395975,521704,494664,371714,615579,883383,991917,1514735,1835706,1424571,1134526,1285491,1091032,591508,165100,1421608,2554440,1479210,900911,501915,1355135,2053073,2417974,2403451,1540335,2322523,-1053115,3021491,-325063,-555771,2366745,7375250,-1648433,6141957,6968691,4913155,-7878537,-1679880,5553486,8475913,-1469834,8641800,7225440,4643710,6494670,3453514,9655039,955510,6616065,15008046,16952396,7855465
 "53000","Washington",8,SAINC12,8,"..."," Personal current transfer receipts dollar change (thousands) ","Thousands of dollars",47,17374,-9697,-16,-803,4987,19764,-14709,-177,6550,6218,7329,1334,-766,12864,47852,101197,1300,-19705,43070,102998,-96744,12515,21249,25071,27229,26714,44986,63489,15420,29680,49403,3273,31503,32752,31987,25650,140029,122451,125893,358109,235946,113461,226518,340747,555535,254716,147703,277866,427567,901388,795181,713705,593179,359427,556628,481021,446652,791965,942030,1049660,1546211,1359688,1025795,818704,1124728,838456,684915,749300,1191996,1429161,2702053,1594723,1256172,438737,1690439,2205763,2691192,5297037,5153555,4734152,-230965,98067,917284,4738208,1063513,3214202,1761065,2832782,4161987,24114216,10604389,-13063627,2512005,6163557
"Note: See the included footnote file."
"SAINC12: Personal income change by component 1."
