GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "55000","Wisconsin",3,SAINC12,1,"...","Percent change in personal income ","Percent change",-12.3,-18.7,-22.0,-7.3,14.5,21.9,12.8,6.6,-7.6,2.2,7.2,22.7,26.4,19.8,3.5,6.4,9.1,9.7,12.8,-0.9,10.4,15.5,4.6,3.0,-0.6,7.9,8.0,4.9,1.9,8.4,3.4,3.2,5.7,3.3,7.6,8.1,9.2,5.5,9.5,10.3,7.5,7.4,9.3,11.7,9.8,9.6,9.8,11.8,11.7,12.0,10.5,9.1,5.5,5.1,9.8,5.4,5.5,5.2,6.6,9.0,5.8,4.1,7.7,5.2,6.2,5.2,5.7,6.3,7.0,3.9,6.6,5.1,2.7,2.8,4.5,3.3,5.9,4.7,4.1,-1.4,2.8,5.6,4.2,0.5,3.8,4.3,1.8,4.1,5.0,4.0,6.3,9.1,2.3,5.4,5.0
 "55000","Wisconsin",3,SAINC12,2,"..."," Net earnings by place of residence contribution ","Percentage points",-10.52,-16.77,-18.52,-3.30,15.38,18.45,9.17,8.25,-7.31,1.55,6.49,19.68,24.39,20.24,3.09,4.41,5.32,8.90,11.83,-2.81,7.73,15.65,3.63,1.78,-1.64,5.68,6.53,3.19,0.23,7.11,2.02,1.61,4.79,2.25,6.42,6.35,7.60,3.26,6.52,7.33,4.03,4.55,7.00,8.46,5.74,5.10,7.63,9.32,8.72,8.31,4.43,3.44,1.57,2.52,7.16,3.42,4.17,5.01,4.65,5.47,3.89,2.59,6.00,3.76,4.45,2.79,3.83,4.37,4.88,3.98,4.18,3.61,2.41,2.21,3.60,2.01,3.05,2.40,1.11,-2.23,1.60,4.31,2.33,0.83,2.00,2.41,0.92,2.12,3.02,2.26,1.32,4.29,2.99,2.54,2.88
 "55000","Wisconsin",3,SAINC12,3,"..."," Dividends, interest, and rent contribution ","Percentage points",-1.81,-3.51,-2.44,-3.94,-0.97,2.87,1.77,0.06,-0.70,0.59,0.56,3.02,2.10,-0.21,0.08,0.54,1.65,0.76,1.38,1.49,1.80,0.33,0.58,0.87,0.29,1.82,1.05,0.85,0.52,1.13,0.94,0.61,0.76,0.69,0.93,1.30,0.94,0.72,1.71,2.11,1.97,1.34,1.24,1.86,2.18,1.66,1.13,1.69,1.74,1.97,3.46,3.81,2.34,1.52,2.32,1.13,0.88,-0.13,1.52,2.51,1.00,0.36,0.57,0.87,1.36,1.61,1.39,1.46,1.77,-0.56,1.47,0.09,-0.74,0.19,0.51,0.33,2.04,1.16,1.28,-1.55,-0.13,1.89,1.56,-0.71,1.02,1.15,0.62,1.12,0.95,0.89,0.29,2.14,1.20,2.43,0.95
 "55000","Wisconsin",3,SAINC12,4,"..."," Personal current transfer receipts contribution ","Percentage points",0.02,1.60,-1.04,-0.07,0.08,0.62,1.85,-1.67,0.39,0.01,0.20,0.02,-0.06,-0.20,0.33,1.39,2.12,0.00,-0.39,0.42,0.90,-0.47,0.39,0.40,0.69,0.44,0.41,0.83,1.15,0.18,0.39,0.99,0.13,0.38,0.29,0.50,0.71,1.55,1.28,0.82,1.46,1.54,1.10,1.38,1.93,2.82,1.06,0.75,1.23,1.72,2.62,1.81,1.59,1.09,0.36,0.86,0.44,0.31,0.48,1.03,0.93,1.11,1.13,0.57,0.42,0.79,0.47,0.42,0.32,0.49,0.90,1.41,0.98,0.40,0.40,0.96,0.84,1.16,1.72,2.42,1.33,-0.63,0.33,0.39,0.81,0.74,0.23,0.87,1.00,0.88,4.68,2.65,-1.94,0.42,1.15
 "55000","Wisconsin",3,SAINC12,5,"...","Personal income dollar change (thousands) ","Thousands of dollars",-242128,-322135,-308589,-79920,146864,254712,181107,106057,-129842,33884,116437,391462,558888,530218,112500,210693,320145,371477,540970,-42852,492227,807929,276908,191780,-42025,512095,555985,365252,149674,676112,291542,288132,527263,325592,774193,888954,1090030,713827,1294052,1528302,1224150,1310491,1772324,2426259,2278647,2435494,2737161,3601260,3999473,4587976,4501189,4287484,2839476,2787721,5625594,3404637,3637434,3625857,4882255,7057074,4971465,3671028,7253331,5272623,6651446,5886074,6784832,7871324,9321363,5606988,9757171,8098997,4416813,4784270,7927115,6057754,11279229,9471487,8664669,-2982649,6049044,12370629,9876741,1253966,9403060,10966700,4714597,11132923,14017255,11950699,19350851,29707041,8044677,19669685,19168496
 "55000","Wisconsin",3,SAINC12,6,"..."," Net earnings by place of residence dollar change (thousands) ","Thousands of dollars",-206940,-289231,-259751,-36056,155965,214242,129780,131775,-124553,24455,104328,339137,515861,541098,99153,146408,187492,342304,499231,-133791,364727,815025,218455,111745,-106055,366014,454492,239297,18078,570958,176043,145001,444401,221067,650504,692511,896184,420315,886816,1091718,661186,802718,1328065,1754220,1328600,1297926,2126029,2851903,2982657,3175288,1897545,1626618,808932,1370514,4096370,2149214,2764088,3501354,3415829,4285393,3321013,2345935,5645988,3807310,4748177,3165739,4567273,5503881,6527724,5702492,6223308,5728805,4019841,3777732,6323946,3699219,5796811,4817431,2346678,-4888279,3467258,9570359,5455573,2031125,4913866,6138868,2436856,5737187,8510667,6698520,4062098,14037046,10678800,9274610,11098412
 "55000","Wisconsin",3,SAINC12,7,"..."," Dividends, interest, and rent dollar change (thousands) ","Thousands of dollars",-35574,-60488,-34279,-43120,-9871,33304,25093,952,-11862,9224,8923,52055,44348,-5619,2646,18039,58056,29120,58099,70787,85025,17392,35119,54876,19025,117434,73219,63624,41218,91087,81832,54458,70800,67503,94643,141643,110409,93286,232559,314895,323177,236725,234955,386290,503842,421091,316186,518433,595434,754008,1480266,1802900,1209040,826383,1324787,712067,580155,-91285,1114570,1965825,856876,325228,540874,886495,1453491,1828733,1656110,1832469,2364950,-802694,2193861,135350,-1239832,319795,902036,603230,3879565,2324494,2692468,-3403842,-291182,4196317,3656857,-1732469,2505025,2934087,1658424,3039625,2689888,2645216,881158,6989273,4288405,8866608,3643087
 "55000","Wisconsin",3,SAINC12,8,"..."," Personal current transfer receipts dollar change (thousands) ","Thousands of dollars",386,27584,-14559,-744,770,7166,26234,-26670,6573,205,3186,270,-1321,-5261,10701,46246,74597,53,-16360,20152,42475,-24488,23334,25159,45005,28647,28274,62331,90378,14067,33667,88673,12062,37022,29046,54800,83437,200226,174677,121689,239787,271048,209304,285749,446205,716477,294946,230924,421382,658680,1123378,857966,821504,590824,204437,543356,293191,215788,351856,805856,793576,999865,1066469,578818,449778,891602,561449,534974,428689,707190,1340002,2234842,1636804,686743,701133,1755305,1602853,2329562,3625523,5309472,2872968,-1396047,764311,955310,1984169,1893745,619317,2356111,2816700,2606963,14407595,8680722,-6922528,1528467,4426997
"Note: See the included footnote file."
"SAINC12: Personal income change by component 1."
