GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "54000","West Virginia",5,SAINC12,1,"...","Percent change in personal income ","Percent change",-10.3,-12.7,-27.3,1.1,22.3,9.4,16.7,7.5,-10.8,7.3,7.1,20.9,20.0,15.2,8.7,8.5,10.8,14.5,7.7,-6.6,7.5,11.0,4.1,0.8,-5.2,6.3,10.8,7.2,-0.5,3.4,1.6,1.3,4.4,4.4,6.7,6.9,6.1,6.0,6.0,7.0,11.5,9.8,10.7,9.4,10.8,13.0,11.5,11.9,11.3,11.5,9.9,9.0,6.0,2.7,7.4,4.2,2.4,2.2,6.9,5.8,6.5,4.4,7.5,3.7,4.3,3.4,3.9,4.3,4.2,2.6,5.7,6.2,3.5,1.6,3.6,4.9,6.7,3.9,7.0,0.9,3.5,5.8,2.2,-0.5,3.1,1.9,-0.5,4.0,4.9,3.4,4.8,8.6,1.9,5.4,4.5
 "54000","West Virginia",5,SAINC12,2,"..."," Net earnings by place of residence contribution ","Percentage points",-9.72,-12.24,-23.06,4.51,20.76,9.13,12.15,8.62,-11.26,6.81,7.08,20.10,17.83,15.19,7.87,5.89,4.35,14.25,8.91,-8.40,4.91,12.34,0.54,1.89,-6.56,5.48,9.58,6.02,-3.11,2.57,0.83,-0.37,2.88,3.02,5.63,5.42,5.29,4.18,4.25,4.24,7.41,5.91,7.41,5.04,6.70,8.10,8.46,9.08,7.99,7.08,4.17,3.36,1.79,-0.58,5.03,2.25,0.57,1.84,4.39,2.78,4.05,1.74,3.96,1.92,3.24,1.50,1.72,2.78,2.34,2.50,3.44,3.54,2.01,1.25,3.41,3.82,3.95,1.11,2.78,-0.64,2.05,4.12,1.08,-0.60,0.85,0.20,-1.22,2.44,3.53,1.47,-1.40,3.82,3.34,3.42,2.80
 "54000","West Virginia",5,SAINC12,3,"..."," Dividends, interest, and rent contribution ","Percentage points",-0.67,-2.06,-3.23,-3.17,1.50,0.13,2.39,0.71,-0.95,1.59,-0.09,0.48,1.89,0.33,0.23,0.54,1.37,1.17,-0.43,0.87,0.91,-0.29,0.62,0.43,-0.09,1.09,1.15,0.12,0.27,0.81,0.68,0.43,0.81,1.07,0.89,0.76,0.24,0.36,0.57,1.52,1.59,1.18,1.22,1.58,2.00,1.75,1.31,1.65,1.50,1.67,2.97,3.29,2.35,1.21,1.90,1.07,0.58,-0.24,1.39,1.93,1.00,0.07,0.31,0.25,0.73,1.11,0.95,0.99,1.03,-0.43,1.13,0.24,-0.45,-0.27,0.14,0.19,1.14,1.40,1.50,-0.48,-0.05,1.49,0.64,-0.43,0.76,0.46,-0.06,0.63,0.62,0.98,-0.14,1.00,1.28,1.45,0.45
 "54000","West Virginia",5,SAINC12,4,"..."," Personal current transfer receipts contribution ","Percentage points",0.05,1.59,-1.00,-0.26,0.05,0.17,2.11,-1.82,1.38,-1.05,0.11,0.33,0.25,-0.33,0.55,2.11,5.12,-0.97,-0.77,0.92,1.68,-1.06,2.95,-1.47,1.50,-0.24,0.08,1.06,2.34,0.07,0.04,1.29,0.76,0.35,0.18,0.71,0.59,1.42,1.19,1.19,2.49,2.70,2.10,2.82,2.15,3.16,1.71,1.15,1.81,2.78,2.80,2.35,1.81,2.10,0.45,0.87,1.24,0.57,1.15,1.14,1.48,2.57,3.26,1.53,0.34,0.74,1.28,0.55,0.85,0.49,1.14,2.42,1.93,0.62,0.00,0.94,1.65,1.40,2.69,2.03,1.50,0.22,0.51,0.52,1.47,1.24,0.74,0.94,0.71,0.90,6.38,3.74,-2.71,0.51,1.23
 "54000","West Virginia",5,SAINC12,5,"...","Personal income dollar change (thousands) ","Thousands of dollars",-81362,-89719,-168165,4793,101043,52268,100952,53091,-82342,49797,51690,162992,188235,171796,112728,120837,166567,246201,150246,-138708,146984,231737,96215,20634,-126534,147605,267781,197681,-14520,100752,47018,41511,138414,144480,227972,249722,237444,245287,262261,321329,567696,539719,649142,632520,795518,1057390,1055002,1216159,1295385,1470079,1414799,1407441,1014971,494237,1367735,834734,496486,461661,1506669,1357860,1604899,1147403,2056976,1086958,1314952,1065104,1296399,1475766,1502778,948008,2172979,2498767,1492832,709643,1598397,2303048,3292707,2037712,3774228,528553,2044633,3526931,1429386,-335834,2004182,1281051,-369950,2729764,3437384,2490017,3715257,6882272,1667518,4780925,4199687
 "54000","West Virginia",5,SAINC12,6,"..."," Net earnings by place of residence dollar change (thousands) ","Thousands of dollars",-76523,-86405,-142100,20200,94023,50602,73666,60954,-85646,46160,51536,156668,168031,171802,102515,83378,66891,242702,173653,-176295,96302,260037,12549,45934,-161156,127767,237295,165232,-91425,75186,25221,-11470,89626,98285,191389,196541,205241,172037,185407,196034,366388,325790,448524,338012,491214,658617,777601,929911,915812,902690,593750,525632,305948,-104325,932516,448446,118122,391017,953862,646335,994948,456509,1081976,564121,988429,477525,563710,950621,832221,929071,1308860,1426855,860810,553519,1535135,1777098,1930921,576688,1504340,-369637,1197061,2493170,691609,-392165,552465,137184,-833349,1658343,2495899,1092586,-1077806,3071096,2912224,3041382,2625547
 "54000","West Virginia",5,SAINC12,7,"..."," Dividends, interest, and rent dollar change (thousands) ","Thousands of dollars",-5263,-14564,-19902,-14222,6793,699,14492,5015,-7225,10758,-680,3715,17841,3736,3036,7623,21061,19975,-8464,18365,17784,-6009,14579,10430,-2191,25402,28571,3240,8031,23618,20588,13233,25250,34724,30385,27501,9458,14739,25055,70273,78428,65146,73676,105683,146869,141960,119988,168977,171919,212367,422754,514938,400147,219101,352083,212335,120479,-51293,302018,447436,246569,18176,84659,72125,223080,352014,310527,338362,366078,-161184,429653,98209,-193739,-118065,64907,90532,555985,730913,811961,-278298,-28359,902747,410822,-283755,493100,310756,-43128,429514,435502,730169,-104322,804492,1121529,1289933,424924
 "54000","West Virginia",5,SAINC12,8,"..."," Personal current transfer receipts dollar change (thousands) ","Thousands of dollars",424,11250,-6163,-1185,227,967,12794,-12878,10529,-7121,834,2609,2363,-3742,7177,29836,78615,-16476,-14943,19222,32898,-22291,69087,-35730,36813,-5564,1915,29209,68874,1948,1209,39748,23538,11471,6198,25680,22745,58511,51799,55022,122880,148783,126942,188825,157435,256813,157413,117271,207654,355022,398295,366871,308876,379461,83136,173953,257885,121937,250789,264089,363382,672718,890341,450712,103443,235565,422162,186783,304479,180121,434466,973703,825761,274189,-1645,435418,805801,730111,1457927,1176488,875931,131014,326955,340086,958617,833111,506527,641907,505983,667262,4897385,3006684,-2366235,449610,1149216
"Note: See the included footnote file."
"SAINC12: Personal income change by component 1."
