GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "56000","Wyoming",7,SAINC12,1,"...","Percent change in personal income ","Percent change",-12.2,-16.9,-21.0,-1.0,12.8,22.5,12.2,11.1,-6.4,5.5,3.5,31.2,22.9,18.8,3.5,2.5,12.9,12.0,13.7,7.2,10.2,13.3,-1.1,-0.1,-2.5,8.6,7.2,6.3,1.4,5.8,4.8,5.2,3.6,2.3,3.1,3.2,2.4,7.0,6.7,11.4,10.6,11.1,12.5,16.9,17.0,13.2,10.9,16.8,19.5,16.9,16.8,14.3,5.0,-0.6,4.3,4.5,-0.4,-4.1,2.3,9.1,7.8,5.1,5.5,5.8,4.5,4.7,4.5,7.4,6.3,6.8,7.9,6.2,3.0,6.5,8.0,9.4,14.5,6.6,10.6,-7.7,5.1,9.6,7.5,-0.5,6.5,0.2,-5.1,4.5,4.7,4.6,5.7,10.2,9.3,7.3,4.6
 "56000","Wyoming",7,SAINC12,2,"..."," Net earnings by place of residence contribution ","Percentage points",-10.04,-18.77,-18.77,0.14,12.70,20.70,7.68,12.40,-5.76,3.46,2.45,29.69,22.08,17.48,2.74,1.46,9.59,10.68,10.13,3.26,5.03,15.25,-1.72,-0.82,-3.18,5.53,6.59,4.05,-0.12,4.37,4.07,2.78,2.15,1.62,2.54,1.73,1.52,5.13,5.88,7.47,6.88,7.49,10.27,12.33,12.63,9.45,7.94,13.54,15.51,13.13,11.23,8.43,0.84,-2.94,2.47,2.73,-1.18,-3.68,0.68,5.40,5.08,2.65,3.50,4.03,1.94,1.47,2.20,4.72,2.58,4.47,4.18,4.52,2.67,2.86,2.49,4.39,7.92,4.55,6.95,-2.49,3.26,4.79,2.12,1.17,3.12,-0.27,-4.17,1.72,3.39,1.08,-0.46,3.11,3.62,2.18,2.13
 "56000","Wyoming",7,SAINC12,3,"..."," Dividends, interest, and rent contribution ","Percentage points",-2.25,-0.60,-0.33,-0.58,0.22,1.49,0.85,1.07,-0.22,1.23,0.87,1.66,1.01,1.45,0.50,-0.26,1.37,0.84,3.57,3.64,3.45,-1.00,0.53,0.65,0.16,2.60,0.28,1.63,0.78,0.92,0.32,1.45,1.20,0.49,0.77,1.11,0.55,0.82,-0.14,3.24,2.58,2.42,1.50,3.20,3.31,2.24,1.98,2.47,3.04,2.67,4.24,4.43,3.08,0.81,1.90,1.19,-0.20,-0.57,1.21,2.78,1.93,1.21,0.71,0.62,1.88,2.40,1.65,2.36,3.39,1.87,2.86,0.72,-0.51,2.59,4.76,4.36,5.81,1.37,1.90,-6.20,0.79,4.76,5.37,-2.09,2.76,-0.30,-1.50,2.19,0.52,2.77,2.06,5.24,6.78,4.50,1.60
 "56000","Wyoming",7,SAINC12,4,"..."," Personal current transfer receipts contribution ","Percentage points",0.08,2.46,-1.90,-0.54,-0.17,0.31,3.68,-2.38,-0.42,0.77,0.20,-0.19,-0.17,-0.17,0.30,1.33,1.95,0.52,-0.04,0.28,1.76,-0.96,0.07,0.09,0.53,0.48,0.29,0.58,0.73,0.53,0.40,0.94,0.24,0.20,-0.19,0.39,0.35,1.04,0.91,0.72,1.16,1.19,0.71,1.33,1.03,1.55,0.93,0.77,0.94,1.10,1.31,1.43,1.13,1.49,-0.11,0.57,0.95,0.15,0.45,0.95,0.84,1.25,1.24,1.10,0.73,0.86,0.70,0.35,0.35,0.49,0.89,0.92,0.85,1.04,0.72,0.64,0.73,0.69,1.78,0.95,1.07,0.06,-0.01,0.43,0.60,0.81,0.59,0.58,0.82,0.73,4.08,1.80,-1.12,0.67,0.87
 "56000","Wyoming",7,SAINC12,5,"...","Personal income dollar change (thousands) ","Thousands of dollars",-18303,-22249,-22955,-838,10906,21695,14420,14701,-9421,7537,5117,46884,45236,45519,10175,7539,39506,41584,52847,31565,48265,69023,-6612,-479,-14481,48817,44150,41331,9762,41372,36054,40736,29703,19903,27418,29333,22702,67072,68241,124921,129361,149613,186965,284131,334066,304688,282972,485275,658068,681998,791595,786950,317208,-42501,279376,307798,-30788,-291697,160225,638136,598994,419746,471500,524595,438888,477461,480178,821185,750586,861619,1068532,895476,464536,1031915,1350206,1716970,2891150,1512784,2594202,-2089778,1272678,2514442,2144534,-150310,1985538,75922,-1665425,1397270,1537791,1560380,2017319,3817572,3838809,3323730,2232408
 "56000","Wyoming",7,SAINC12,6,"..."," Net earnings by place of residence dollar change (thousands) ","Thousands of dollars",-15051,-24697,-20517,124,10866,19960,9067,16435,-8477,4773,3560,44682,43578,42400,7885,4348,29331,36885,39192,14333,23706,79236,-10105,-4775,-18486,31378,40593,26710,-858,31057,30634,21886,17794,13945,22291,15681,14255,49159,60299,81655,83859,100983,153823,207705,248666,217506,207001,391427,523666,529567,529576,464144,52658,-194412,162033,187183,-84332,-262125,46388,377345,387966,217740,302808,367672,187338,148221,232081,521278,306575,564013,563014,658172,411625,455364,421789,802201,1584095,1042405,1696210,-671067,811416,1253459,607354,361462,956881,-89080,-1364334,535826,1101104,366732,-165120,1169583,1497613,985441,1032751
 "56000","Wyoming",7,SAINC12,7,"..."," Dividends, interest, and rent dollar change (thousands) ","Thousands of dollars",-3374,-794,-356,-498,187,1439,1006,1414,-325,1702,1263,2492,1999,3525,1440,-763,4197,2894,13824,15994,16246,-5208,3091,3774,914,14741,1741,10786,5489,6544,2402,11410,9934,4209,6758,10077,5185,7900,-1395,35403,31419,32641,22480,53974,65070,51516,51734,71510,102598,107874,200170,244117,193653,53316,124819,81530,-14578,-40526,82864,194637,147179,99192,61289,56656,181575,242290,174652,260927,402397,235564,385749,104195,-78339,411649,806541,797081,1161709,312917,464597,-1674723,195674,1245308,1541089,-643153,845804,-98073,-492715,679762,169029,944112,732084,1971770,2806872,2037068,777057
 "56000","Wyoming",7,SAINC12,8,"..."," Personal current transfer receipts dollar change (thousands) ","Thousands of dollars",122,3242,-2082,-464,-147,296,4347,-3148,-619,1062,294,-290,-341,-406,850,3954,5978,1805,-169,1238,8313,-5005,402,522,3091,2698,1816,3835,5131,3771,3018,7440,1975,1749,-1631,3575,3262,10013,9337,7863,14083,15989,10662,22452,20330,35666,24237,22338,31804,44557,61849,78689,70897,98595,-7476,39085,68122,10954,30973,66154,63849,102814,107403,100267,69975,86950,73445,38980,41614,62042,119769,133109,131250,164902,121876,117688,145346,157462,433395,256012,265588,15675,-3909,131381,182853,263075,191624,181682,267658,249536,1450355,676219,-465676,301221,422600
"Note: See the included footnote file."
"SAINC12: Personal income change by component 1."
"Last updated: September 26, 2025-- revised statistics for 2020-2024."
"U.S. Bureau of Economic Analysis"
