GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "19000","Iowa",4,SAINC30,10,"...","Personal income (millions of dollars) ","Millions of dollars",5463.3,5602.3,5745.1,6083.8,6344.5,6744.2,7059.4,7818.4,8513.1,8671.5,9347.1,10374.0,11095.0,11641.6,13040.1,15654.8,16225.0,18133.7,19280.3,21275.3,24537.2,26300.0,28010.1,31683.5,32545.0,33176.1,36915.9,38212.6,39474.4,41225.1,42726.7,46504.2,49020.2,50210.9,53763.2,54005.6,58888.9,61256.4,66724.7,69908.2,73147.5,74998.7,80082.6,82519.7,84518.2,86330.6,93377.9,96080.0,101998.6,109069.0,116112.8,112963.4,116535.7,125499.8,131137.0,133435.1,137733.5,142521.2,143839.9,147911.5,154686.0,158156.3,168097.8,186318.9,196040.1,201755.9,211425.4
 "19000","Iowa",4,SAINC30,45,"...","Net earnings by place of residence ","Millions of dollars",4370.9,4403.1,4488.9,4723.2,4923.6,5236.1,5463.4,6107.8,6688.7,6750.1,7116.5,7899.7,8285.3,8530.7,9639.7,11724.8,11721.0,12891.9,13557.0,14947.9,17523.5,18383.6,18513.2,20378.3,19621.2,19633.3,22554.9,23418.3,24418.4,26371.2,27275.5,29823.1,31409.7,32009.4,35023.4,34751.6,38888.9,39672.8,43796.4,45662.7,47843.7,49856.7,53294.6,54516.2,55754.2,57731.6,63871.8,65694.2,68673.8,72847.7,76079.8,72799.8,75228.8,81580.2,85177.0,87938.9,89666.9,91903.2,91371.0,94085.9,97943.4,98870.1,100202.5,112055.4,123901.5,125060.5,128470.1
 "19000","Iowa",4,SAINC30,50,"...","Personal current transfer receipts ","Millions of dollars",330.9,362.0,384.6,423.7,444.0,463.9,478.8,521.8,566.0,674.8,782.4,855.5,992.0,1126.7,1215.9,1404.3,1626.2,2017.0,2219.0,2345.0,2583.8,2895.2,3412.2,3882.3,4426.0,4743.1,4858.8,5156.1,5351.3,5465.6,5713.7,6101.2,6630.3,7127.0,7698.1,8058.0,8375.5,8823.9,9268.5,9530.4,9769.2,10133.0,10852.5,11745.7,12932.0,12876.6,13341.2,14254.2,15719.7,16725.8,19053.9,20383.6,21720.6,22059.7,21983.5,22469.9,23657.2,24923.0,25516.1,25554.5,27763.5,29419.9,37621.4,40908.7,37497.6,37741.5,42365.8
 "19000","Iowa",4,SAINC30,60,"..."," Income maintenance benefits 1/","Millions of dollars",46.2,45.4,47.6,43.0,42.1,41.8,40.3,42.4,42.3,55.8,70.2,82.0,100.6,115.5,119.7,94.0,120.0,159.2,178.4,175.0,187.9,218.0,293.2,319.6,325.2,374.3,393.1,407.4,434.0,421.8,425.2,442.4,482.4,528.9,592.5,628.0,651.7,686.6,728.1,698.2,708.7,721.8,718.0,757.2,810.9,899.3,977.4,1076.4,1144.7,1396.6,1526.7,1757.8,1927.3,1950.7,1979.7,1995.9,1954.4,1959.1,1951.2,1925.4,1887.4,1991.0,2351.8,3408.7,3905.0,2268.9,2273.3
 "19000","Iowa",4,SAINC30,70,"..."," Unemployment insurance compensation ","Millions of dollars",17.4,12.9,19.0,27.6,19.5,14.1,12.6,10.1,8.9,13.4,15.3,19.0,33.2,49.0,45.4,33.0,40.7,136.7,154.4,125.4,127.8,124.3,200.2,192.9,362.4,349.0,185.5,197.7,182.0,141.8,128.0,132.7,151.1,199.5,271.8,250.9,168.0,169.2,189.7,183.9,160.5,191.1,213.9,313.2,440.6,468.1,333.1,310.6,324.3,343.1,491.9,1141.1,1084.4,848.9,647.4,524.3,413.8,407.8,419.5,413.1,374.7,381.7,3146.9,1347.8,246.6,268.2,326.7
 "19000","Iowa",4,SAINC30,80,"..."," Retirement and other ","Millions of dollars",267.4,303.6,318.0,353.1,382.4,408.0,425.8,469.4,514.9,605.6,697.0,754.5,858.2,962.2,1050.8,1277.2,1465.5,1721.1,1886.2,2044.7,2268.0,2552.8,2918.8,3369.8,3738.4,4019.9,4280.2,4551.0,4735.4,4901.9,5160.5,5526.2,5996.8,6398.6,6833.8,7179.2,7555.8,7968.1,8350.7,8648.3,8900.0,9220.0,9920.6,10675.2,11680.5,11509.3,12030.6,12867.2,14250.7,14986.2,17035.2,17484.6,18708.9,19260.1,19356.4,19949.6,21288.9,22556.2,23145.4,23216.0,25501.4,27047.2,32122.6,36152.1,33346.1,35204.4,39765.8
 "19000","Iowa",4,SAINC30,90,"...","Dividends, interest, and rent ","Millions of dollars",761.6,837.2,871.6,936.9,976.8,1044.2,1117.2,1188.8,1258.4,1246.6,1448.2,1618.9,1817.6,1984.3,2184.5,2525.7,2877.8,3224.9,3504.3,3982.4,4429.9,5021.2,6084.7,7422.9,8497.8,8799.6,9502.3,9638.2,9704.7,9388.3,9737.5,10579.8,10980.1,11074.4,11041.7,11196.1,11624.5,12759.7,13659.8,14715.2,15534.5,15009.0,15935.6,16257.8,15832.0,15722.3,16164.9,16131.6,17605.1,19495.5,20979.0,19780.0,19586.4,21860.0,23976.5,23026.4,24409.4,25694.9,26952.7,28271.0,28979.1,29866.3,30273.9,33354.8,34641.0,38953.8,40589.5
 "19000","Iowa",4,SAINC30,91,"..."," Personal dividend income ","Millions of dollars",85.3,101.3,111.9,120.8,124.0,130.6,137.0,154.9,154.5,160.1,175.5,190.7,197.1,208.3,227.6,267.3,311.7,330.1,394.0,457.7,520.8,593.8,654.5,706.9,744.0,823.5,827.7,869.3,966.6,980.3,1193.9,1511.0,1623.2,1767.6,1868.1,2044.2,2361.1,2557.1,2982.0,3498.5,3632.4,3464.7,3623.6,3667.1,3978.7,3920.9,5077.6,4764.8,5815.1,6967.5,7250.3,5370.3,5239.3,6594.9,7942.5,7360.0,8270.1,8876.1,9315.6,10086.2,10556.0,10949.8,11640.1,15092.1,15602.3,16965.1,17378.5
 "19000","Iowa",4,SAINC30,92,"..."," Personal interest income ","Millions of dollars",331.3,374.8,407.5,432.2,456.4,486.3,542.8,598.7,640.4,658.1,824.4,1028.5,1214.4,1351.3,1475.6,1714.7,2046.1,2416.3,2669.9,3132.8,3490.0,4015.5,4954.9,6148.9,7169.7,7591.2,8268.4,8369.4,8480.0,8163.4,8251.8,8775.5,9015.4,8868.3,8554.8,8289.9,8212.5,8973.4,9215.7,9647.0,10360.5,9883.2,10592.6,10718.7,9956.3,9791.3,8875.3,9375.0,10068.1,10938.3,11417.0,11413.0,10657.0,10792.6,11166.7,10460.7,10790.4,11430.8,11986.5,12381.3,12684.2,13064.7,12471.3,11984.4,12316.6,14101.7,14739.3
 "19000","Iowa",4,SAINC30,93,"...","  Imputed interest receipts 2/","Millions of dollars",134.3,150.8,166.2,182.2,195.9,205.6,223.5,238.7,257.6,277.7,310.0,374.7,464.6,534.6,590.6,661.3,777.4,998.4,1085.3,1237.2,1376.5,1414.4,1688.5,1902.7,2314.4,2852.2,2968.7,3315.5,3489.8,3654.7,3748.1,3882.2,3986.8,4124.1,4249.1,4381.6,4373.0,4732.9,4800.5,5157.4,5159.9,5037.2,5188.6,5223.6,5268.1,5512.5,5458.2,5578.7,5798.3,6000.2,6506.4,6851.2,6755.9,6927.6,7030.2,6826.2,7125.2,7448.6,7569.0,7779.7,8000.6,8066.9,7498.5,7276.3,7461.7,8183.6,8349.7
 "19000","Iowa",4,SAINC30,94,"...","  Monetary interest receipts ","Millions of dollars",197.0,224.0,241.3,250.0,260.6,280.7,319.3,360.0,382.8,380.4,514.4,653.8,749.8,816.7,885.0,1053.3,1268.8,1417.9,1584.6,1895.6,2113.5,2601.1,3266.4,4246.2,4855.3,4739.0,5299.6,5053.8,4990.2,4508.7,4503.7,4893.3,5028.6,4744.2,4305.7,3908.3,3839.5,4240.5,4415.2,4489.6,5200.6,4846.0,5403.9,5495.1,4688.3,4278.8,3417.1,3796.3,4269.7,4938.1,4910.6,4561.8,3901.1,3865.0,4136.5,3634.5,3665.2,3982.1,4417.5,4601.5,4683.6,4997.9,4972.8,4708.1,4854.9,5918.1,6389.6
 "19000","Iowa",4,SAINC30,95,"..."," Rental income of persons ","Millions of dollars",344.9,361.1,352.2,383.8,396.4,427.2,437.4,435.2,463.5,428.5,448.3,399.6,406.1,424.7,481.3,543.7,519.9,478.5,440.4,391.9,419.1,411.9,475.3,567.2,584.1,384.9,406.2,399.6,258.1,244.6,291.8,293.4,341.5,438.4,618.8,862.0,1050.8,1229.2,1462.1,1569.6,1541.6,1661.1,1719.5,1872.1,1897.0,2010.2,2212.0,1991.8,1721.9,1589.8,2311.8,2996.7,3690.1,4472.5,4867.4,5205.7,5348.9,5388.1,5650.6,5803.5,5738.9,5851.7,6162.5,6278.3,6722.1,7887.0,8471.7
 "19000","Iowa",4,SAINC30,96,"...","  Imputed rent ","Millions of dollars",125.0,135.7,145.7,152.3,160.4,164.5,165.0,168.2,174.2,179.8,175.5,218.1,224.2,233.9,234.7,221.3,225.5,212.8,191.9,144.3,142.5,119.3,118.5,112.3,61.2,38.1,10.4,-19.5,-58.5,-52.1,(L),14.8,46.2,87.1,171.0,328.7,457.8,515.0,632.4,783.6,915.4,1024.5,1089.3,1180.2,1265.7,1394.7,1543.0,1334.2,1059.1,983.7,1595.7,2138.4,2665.0,3258.2,3488.3,3797.4,3933.8,3939.1,4197.2,4525.4,4492.8,4565.3,4810.6,4884.3,5259.0,6202.4,6636.6
 "19000","Iowa",4,SAINC30,97,"...","  Monetary rent ","Millions of dollars",219.9,225.3,206.5,231.4,236.0,262.8,272.5,267.0,289.3,248.6,272.8,181.5,181.8,190.8,246.6,322.4,294.5,265.7,248.5,247.6,276.6,292.6,356.8,454.9,523.0,346.8,395.7,419.1,316.6,296.7,291.9,278.6,295.3,351.3,447.8,533.3,593.0,714.2,829.6,786.1,626.3,636.5,630.1,691.8,631.3,615.4,669.1,657.6,662.8,606.0,716.1,858.3,1025.1,1214.4,1379.0,1408.3,1415.0,1449.1,1453.4,1278.1,1246.2,1286.4,1351.9,1393.9,1463.1,1684.6,1835.1
