GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "18000","Indiana",3,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars) ","Thousands of dollars",1010537,1100145,1221528,1290636,1399978,1512416,1628451,1748039,1868511,1988731,2132451,2452900,2743554,3019906,3251453,3703950,4259661,4767142,5148498,5775448,6392139,7144427,8696265,10615605,11839293,12517654,13679191,14486327,15053802,15094100,16442353,18525694,19617767,19493063,19819122,20611186,22028295,23995395,25394570,27001761,29423902,28381574,30532345,30572140,29583593,29723008,30147429,30141137,32834708,35165770,37607598,34409683,33987327,37083836,39897780,39325219,41644686,43902203,44678024,46982061,49794703,51234139,51859341,58461154,61563446,69586483,72438098
 "18000","Indiana",3,SAINC40,91,"..."," Personal dividend income ","Thousands of dollars",174293,193785,216607,229212,250112,272397,308722,338328,353032,362429,380211,399076,412865,437911,481777,561684,645764,648170,784875,919430,1028538,1154888,1207203,1256662,1257594,1420635,1448150,1670260,1865794,1952337,2574474,3184323,3588036,3775925,4081855,4487260,5385084,5885936,6784554,7399383,8366532,8027975,8499281,7852817,8446037,8686588,10392821,9983828,11760274,13021578,13521386,10045482,9697203,11764186,13865530,13557054,15131864,16239802,16265367,17511620,18689360,19850922,20747495,27718480,28944290,31456775,32198900
 "18000","Indiana",3,SAINC40,92,"..."," Personal interest income ","Thousands of dollars",461546,526559,601265,640080,707065,778798,872038,950904,1062701,1192752,1318175,1602092,1867916,2069753,2258093,2586472,3061901,3560786,3854400,4457871,4944008,5600570,7057822,8853664,10116719,10697900,11827702,12393895,12909990,12875574,13487952,14954621,15511983,15066420,14752598,14637806,14836353,16048475,16332895,16937488,18192896,17265865,18844186,19228366,17533877,17142035,15542301,16496335,18241555,19418064,19689702,18959850,17409203,17418226,17641932,16639853,17105627,18104294,18656449,19337333,20417472,20835749,19444770,18993536,19959199,23189688,24332926
 "18000","Indiana",3,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",208637,239049,271253,297290,325224,348774,385213,416402,460638,510160,574141,689980,834517,952475,1054185,1168993,1365759,1727609,1827159,2059754,2291040,2358841,2792803,3177145,3898219,4808271,5046683,5716659,6134161,6511989,6812787,7228812,7587256,7881165,8159143,8421434,8514074,9185049,9275588,9808781,9849766,9468971,9915686,9947624,9973658,10209670,10108516,10296150,10590171,10836018,11677541,11903559,11543418,11645048,11641831,11296883,11711364,12259634,12326507,12566543,13106814,13212566,12368286,12096619,12578413,14119988,14540547
 "18000","Indiana",3,SAINC40,94,"...","  Monetary interest receipts ","Thousands of dollars",252909,287510,330012,342790,381841,430024,486825,534502,602063,682592,744034,912112,1033399,1117278,1203908,1417479,1696142,1833177,2027241,2398117,2652968,3241729,4265019,5676519,6218500,5889629,6781019,6677236,6775829,6363585,6675165,7725809,7924727,7185255,6593455,6216372,6322279,6863426,7057307,7128707,8343130,7796894,8928500,9280742,7560219,6932365,5433785,6200185,7651384,8582046,8012161,7056291,5865785,5773178,6000101,5342970,5394263,5844660,6329942,6770790,7310658,7623183,7076484,6896917,7380786,9069700,9792379
 "18000","Indiana",3,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",374698,379801,403656,421344,442801,461221,447691,458807,452778,433550,434065,451732,462773,512242,511583,555794,551996,558186,509223,398147,419593,388969,431240,505279,464980,399119,403339,422172,278018,266189,379927,386750,517748,650718,984669,1486120,1806858,2060984,2277121,2664890,2864474,3087734,3188878,3490957,3603679,3894385,4212307,3660974,2832879,2726128,4396510,5404351,6880921,7901424,8390318,9128312,9407195,9558107,9756208,10133108,10687871,10547468,11667076,11749138,12659957,14940020,15906272
 "18000","Indiana",3,SAINC40,96,"...","  Imputed rent ","Thousands of dollars",233385,255785,276684,289338,304914,312530,313096,318494,328783,338330,328931,356844,367798,394361,389421,366276,365135,341877,299227,196627,198794,152862,145185,145462,64123,43849,630,-47407,-124380,-117605,-9991,11273,75489,166189,365473,730309,1022858,1153830,1421871,1699016,2007116,2265979,2385224,2637113,2849584,3149762,3396532,2860947,2071910,1996458,3516447,4470375,5791358,6635240,7059611,7757955,7951575,8044157,8295613,8832633,9326688,9181810,10273305,10249887,10991958,13102840,13922618
 "18000","Indiana",3,SAINC40,97,"...","  Monetary rent ","Thousands of dollars",141313,124016,126972,132006,137887,148691,134595,140313,123995,95220,105134,94888,94975,117881,122162,189518,186861,216309,209996,201520,220799,236107,286055,359817,400857,355270,402709,469579,402398,383794,389918,375477,442259,484529,619196,755811,784000,907154,855250,965874,857358,821755,803654,853844,754095,744623,815775,800027,760969,729670,880063,933976,1089563,1266184,1330707,1370357,1455620,1513950,1460595,1300475,1361183,1365658,1393771,1499251,1667999,1837180,1983654
"Note: See the included footnote file."
"SAINC40: Property income "
"Last updated: September 26, 2025-- new statistics for 2024; revised statistics for 2020-2023."
"U.S. Bureau of Economic Analysis"
