GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "96000","Southwest",6,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars) ","Thousands of dollars",3695133,4082952,4417184,4664494,4932425,5245551,5628785,6006729,6393664,6792114,7317506,8603870,10062097,11205881,12378982,14159854,16546450,18584104,20094598,22398923,26070746,30082921,36923489,45679823,54278349,60362183,67399290,74900873,76485677,75339145,80484862,87877435,91033816,91966103,92825819,95756184,102162466,111066468,118005986,126711878,137020959,139514103,152527422,157330098,154376091,163532977,170648208,190976702,211174829,232376945,268522198,238913167,242173242,273559167,301414646,296665357,322868770,332192119,325950389,359515629,387307729,412148079,411274527,463389873,520698979,580628600,612566534
 "96000","Southwest",6,SAINC40,91,"..."," Personal dividend income ","Thousands of dollars",499767,573489,621557,651116,704802,773902,883798,997367,1048581,1096995,1283778,1363328,1422826,1517546,1680078,1938907,2224483,2288094,2788093,3280901,3854551,4503313,5051839,5555886,6179704,6685823,6724936,7519579,7958035,7537318,9538029,11404775,12409250,13481066,14335561,15625327,18143683,19839848,23297513,26067297,27950526,27388196,31425541,31222969,33841198,36557981,47626883,50672824,64551390,75605745,82949153,61422474,57853354,76308598,90298396,83819978,95878985,103638361,102257650,118691477,128075858,144145362,149753321,191772790,212372511,232421098,240598455
 "96000","Southwest",6,SAINC40,92,"..."," Personal interest income ","Thousands of dollars",1796770,2022547,2241114,2392771,2605234,2803294,3123399,3387005,3716735,4062021,4450782,5445012,6750380,7673139,8600191,10097890,12105846,14090340,15226782,17408673,20313246,23662286,29522421,36854984,44463293,49505554,56571917,63163161,65924995,65541882,68436976,74036075,75452174,74559847,72960093,72449013,74657557,81190621,83094532,87167593,93284658,94246747,101248036,103246894,96480592,98942183,92072068,108620168,118194541,128407663,140775831,132823027,127727304,130143633,139766027,131719058,138449069,148096045,146770723,156727214,167002447,174870292,164704380,163964179,177273903,206582863,217970552
 "96000","Southwest",6,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",1000065,1131138,1240439,1351261,1459518,1555221,1701570,1817369,1972049,2175743,2393302,2904887,3738702,4292211,4845185,5492525,6429590,8037221,8613152,9683883,11110976,11832147,13843854,15853135,20018651,25337465,26935102,31641933,33733194,35221393,36489038,38158894,39317105,40765481,42610500,44391541,45546112,49442414,50376301,54014761,54613125,56547764,58852511,59837290,61388732,64233303,64009810,67281323,71696116,76044046,82067485,85736686,85905439,88075576,90135836,88148863,92603043,97060688,96991597,100298153,103625721,106336893,101338072,100983468,105096818,117890716,122211370
 "96000","Southwest",6,SAINC40,94,"...","  Monetary interest receipts ","Thousands of dollars",796705,891409,1000675,1041510,1145716,1248073,1421829,1569636,1744686,1886278,2057480,2540125,3011678,3380928,3755006,4605365,5676256,6053119,6613630,7724790,9202270,11830139,15678567,21001849,24444642,24168089,29636815,31521228,32191801,30320489,31947938,35877181,36135069,33794366,30349593,28057472,29111445,31748207,32718231,33152832,38671533,37698983,42395525,43409604,35091860,34708880,28062258,41338845,46498425,52363617,58708346,47086341,41821865,42068057,49630191,43570195,45846026,51035357,49779126,56429061,63376726,68533399,63366308,62980711,72177085,88692147,95759182
 "96000","Southwest",6,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",1398596,1486916,1554513,1620607,1622389,1668355,1621588,1622357,1628348,1633098,1582946,1795530,1888891,2015196,2098713,2123057,2216121,2205670,2079723,1709349,1902949,1917322,2349229,3268953,3635352,4170806,4102437,4218133,2602647,2259945,2509857,2436585,3172392,3925190,5530165,7681844,9361226,10035999,11613941,13476988,15785775,17879160,19853845,22860235,24054301,28032813,30949257,31683710,28428898,28363537,44797214,44667666,56592584,67106936,71350223,81126321,88540716,80457713,76922016,84096938,92229424,93132425,96816826,107652904,131052565,141624639,153997527
 "96000","Southwest",6,SAINC40,96,"...","  Imputed rent ","Thousands of dollars",612841,676536,736355,783092,837499,869722,881457,905929,943841,979867,959340,1132191,1178662,1261905,1255793,1198967,1230991,1148402,993207,601107,632899,532358,522259,542809,256750,213362,53486,-134801,-462800,-438199,41598,141996,453895,976070,1980147,3627967,4900494,5409091,6576677,8285742,9905404,11317177,12025961,13658354,15210282,17035235,18481275,15781689,12143238,11754627,20750769,27139513,35212340,41734456,43004537,47857186,49190662,51724192,54839629,57935246,59727743,61775741,70393996,72535603,81960441,97996999,107192624
 "96000","Southwest",6,SAINC40,97,"...","  Monetary rent ","Thousands of dollars",785755,810380,818158,837515,784890,798633,740131,716428,684507,653231,623606,663339,710229,753291,842920,924090,985130,1057268,1086516,1108242,1270050,1384964,1826970,2726144,3378602,3957444,4048951,4352934,3065447,2698144,2468259,2294589,2718497,2949120,3550018,4053877,4460732,4626908,5037264,5191246,5880371,6561983,7827884,9201881,8844019,10997578,12467982,15902021,16285660,16608910,24046445,17528153,21380244,25372480,28345686,33269135,39350054,28733521,22082387,26161692,32501681,31356684,26422830,35117301,49092124,43627640,46804903
"Note: See the included footnote file."
"SAINC40: Property income "
"Last updated: September 26, 2025-- new statistics for 2024; revised statistics for 2020-2023."
"U.S. Bureau of Economic Analysis"
