GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "33000","New Hampshire",1,SAINC50,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",682224,691164,730428,813744,862453,925495,967513,1041228,1104219,1181351,1203260,1309880,1382858,1456125,1556937,1624661,1746943,1883836,2064034,2254816,2490964,2781338,2965678,3220121,3561963,4013324,4417159,4802304,5435993,6146446,7090723,8112454,9281841,10505789,11561572,12714437,14352938,15831032,17499716,19284762,21307463,22825338,23004987,23818174,24951886,25765166,27503132,29175950,30892592,33286146,36597456,38930190,43796122,46179929,46972303,47832952,50732988,52464303,56084854,58305527,60153763,59381531,61880875,64888948,67318055,67121768,69630452,72779569,75228976,78660960,82353730,87724139,93153820,102663326,105210832,111148632,117220259
 "33000","New Hampshire",1,SAINC50,15,"..."," Less: Personal current taxes ","Thousands of dollars",52076,44111,50865,74986,83878,100159,84586,92207,101746,114922,113799,124803,143028,146411,160129,174216,155397,175558,214102,235513,276356,319070,353739,332444,415336,425145,485649,463781,567127,667574,826069,955609,1066711,1236535,1245752,1374715,1515356,1792223,2076340,2315163,2415572,2566623,2476171,2403316,2495516,2674426,2826864,3088366,3534217,4166173,4534976,5027828,5984174,5671704,4695327,4358256,4457932,5033991,5611796,6167725,6165594,4641304,5062723,5973555,5932677,6556305,7071835,7757126,8256078,8294455,8194547,8939216,9320190,11915430,14149143,12442548,13106618
 "33000","New Hampshire",1,SAINC50,16,"...","Equals: Disposable personal income ","Thousands of dollars",630148,647053,679563,738758,778575,825336,882927,949021,1002473,1066429,1089461,1185077,1239830,1309714,1396808,1450445,1591546,1708278,1849932,2019303,2214608,2462268,2611939,2887677,3146627,3588179,3931510,4338523,4868866,5478872,6264654,7156845,8215130,9269254,10315820,11339722,12837582,14038809,15423376,16969599,18891891,20258715,20528816,21414858,22456370,23090740,24676268,26087584,27358375,29119973,32062480,33902362,37811948,40508225,42276976,43474696,46275056,47430312,50473058,52137802,53988169,54740227,56818152,58915393,61385378,60565463,62558617,65022443,66972898,70366505,74159183,78784923,83833630,90747896,91061689,98706084,104113641
 "33000","New Hampshire",1,SAINC50,20,"...","Population (persons) 1/","Number of persons",520000,533000,532000,529000,535000,547000,554000,557000,566000,572000,581000,596000,609000,618000,632000,649000,663000,676000,681000,697000,709000,724000,741932,762173,781699,801824,817073,830025,847025,871860,893974,911893,924250,936621,947720,958134,976863,996753,1025054,1054289,1082576,1104523,1112384,1109929,1117784,1129458,1142560,1157561,1174719,1189425,1205940,1222014,1239882,1255517,1269089,1279840,1290121,1298492,1308389,1312540,1315906,1316102,1317105,1321939,1327372,1331163,1339344,1343764,1351178,1359076,1364941,1371857,1378756,1387677,1396678,1402199,1409032
 "33000","New Hampshire",1,SAINC50,30,"...","Per capita personal income (dollars) 2/","Dollars",1312,1297,1373,1538,1612,1692,1746,1869,1951,2065,2071,2198,2271,2356,2464,2503,2635,2787,3031,3235,3513,3842,3997,4225,4557,5005,5406,5786,6418,7050,7932,8896,10043,11217,12199,13270,14693,15883,17072,18292,19682,20665,20681,21459,22323,22812,24071,25205,26298,27985,30348,31857,35323,36782,37013,37374,39324,40404,42866,44422,45713,45119,46982,49086,50715,50423,51988,54161,55677,57878,60335,63946,67564,73982,75329,79267,83192
 "33000","New Hampshire",1,SAINC50,50,"...","Per capita disposable personal income (dollars) 3/","Dollars",1212,1214,1277,1397,1455,1509,1594,1704,1771,1864,1875,1988,2036,2119,2210,2235,2401,2527,2716,2897,3124,3401,3520,3789,4025,4475,4812,5227,5748,6284,7008,7848,8888,9896,10885,11835,13142,14085,15046,16096,17451,18342,18455,19294,20090,20444,21597,22537,23289,24482,26587,27743,30496,32264,33313,33969,35869,36527,38576,39723,41027,41593,43139,44567,46246,45498,46708,48388,49566,51775,54331,57429,60804,65396,65199,70394,73890
 "33000","New Hampshire",1,SAINC50,60,"...","Personal current taxes ","Thousands of dollars",52076,44111,50865,74986,83878,100159,84586,92207,101746,114922,113799,124803,143028,146411,160129,174216,155397,175558,214102,235513,276356,319070,353739,332444,415336,425145,485649,463781,567127,667574,826069,955609,1066711,1236535,1245752,1374715,1515356,1792223,2076340,2315163,2415572,2566623,2476171,2403316,2495516,2674426,2826864,3088366,3534217,4166173,4534976,5027828,5984174,5671704,4695327,4358256,4457932,5033991,5611796,6167725,6165594,4641304,5062723,5973555,5932677,6556305,7071835,7757126,8256078,8294455,8194547,8939216,9320190,11915430,14149143,12442548,13106618
 "33000","New Hampshire",1,SAINC50,70,"..."," Federal government 4/","Thousands of dollars",48549,40279,46077,68804,77319,93266,77638,84871,93794,106692,105579,115509,133429,136377,149064,162924,143939,163231,199740,221136,260214,294557,325520,300532,381635,388874,449154,429461,532092,629663,785048,913225,1021121,1182377,1184737,1309184,1435331,1709521,1999728,2227894,2319320,2457554,2359421,2294844,2389382,2576249,2723125,2972259,3415721,3977726,4382875,4876017,5828837,5485281,4498288,4164457,4248053,4809665,5383683,5861547,5785329,4293581,4788566,5731603,5679138,6302220,6799159,7470870,7989835,8022462,7886577,8604982,8973708,11519589,13731741,12024970,12649930
 "33000","New Hampshire",1,SAINC50,80,"...","  Income taxes (net of refunds) 4/","Thousands of dollars",48549,40279,46077,68804,77319,93266,77638,84871,93794,106692,105579,115509,133429,136377,149064,162924,143939,163231,199740,221136,260214,294557,325520,300532,381635,388874,449154,429461,532092,629663,785048,913225,1021121,1182377,1184737,1309184,1435331,1709521,1999728,2227894,2319320,2457554,2359421,2294844,2389382,2576249,2723125,2972259,3415721,3977726,4382875,4876017,5828837,5485281,4498288,4164457,4248053,4809665,5383683,5861547,5785329,4293581,4788566,5731603,5679138,6302220,6799159,7470870,7989835,8022462,7886577,8604982,8973708,11519589,13731741,12024970,12649930
 "33000","New Hampshire",1,SAINC50,81,"...","   Income taxes (gross) 4/","Thousands of dollars",53792,46602,50474,73430,83001,99896,86089,93394,102746,116311,117006,127609,146281,151563,164824,179835,162406,177602,217477,246427,290389,326787,365542,349028,428246,464795,528196,542042,612965,720864,899070,1029986,1178417,1364432,1377385,1512589,1660559,1956115,2271764,2509395,2676312,2787464,2762552,2721234,2787122,2940292,3095646,3377069,3830545,4401971,4832075,5447080,6426593,6165378,5348350,5031967,5146727,5654135,6282255,6798059,7064078,5500765,5861309,6699905,6684909,7297567,7755213,8434001,9039941,9139810,9035647,9665660,10019666,12724816,14694136,13272394,13948140
