GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "06000","California",8,SAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",953360541,1022682748,1127550078,1169366357,1187280934,1240604169,1315172209,1387883820,1493216996,1561307156,1588294546,1539818660,1609997470,1713428004,1814763034,1840885251,1955718006,2097049575,2191138011,2295048653,2411055136,2539747399,2770488779,3019215724,3021645501,3182779295,3400237317
 "06000","California",8,SAINC5N,20,"...","Population (persons) 2/","Number of persons",32987675,33499204,33987977,34479458,34871843,35253159,35574576,35827943,36021202,36250311,36604337,36961229,37322523,37651212,37971412,38292557,38637421,38966939,39223789,39424315,39535920,39547995,39521958,39142565,39142414,39198693,39431263
 "06000","California",8,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",28901,30529,33175,33915,34047,35191,36969,38737,41454,43070,43391,41660,43137,45508,47793,48074,50617,53816,55862,58214,60984,64219,70100,77134,77196,81196,86232
 "06000","California",8,SAINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",730064889,794444128,887549245,914764493,932204242,973563433,1041552904,1091397214,1154689337,1189726778,1179658212,1136303217,1185996970,1249077532,1317973597,1366471583,1438253481,1530524415,1597207757,1682986953,1767234742,1860235912,1912684416,2105922256,2161878438,2251224226,2394484106
 "06000","California",8,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",75084585,81356313,90069590,94914950,97854938,102907710,112614177,117629827,120792372,122716310,124987137,121035601,121819506,114606713,119267210,139677841,147558065,156332539,163059362,171586795,181977942,192132575,195083537,213115200,229027358,238099526,257766765
 "06000","California",8,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",39102592,42473342,47153377,49335714,50402283,51996790,56203156,59262763,62007171,64063072,66568508,65482336,66288765,56069024,57745445,75960589,80426766,85049831,88668259,93751825,100706154,106725942,108106990,119823398,129087393,132782318,145885834
 "06000","California",8,SAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",35981993,38882971,42916213,45579236,47452655,50910920,56411021,58367064,58785201,58653238,58418629,55553265,55530741,58537689,61521765,63717252,67131299,71282708,74391103,77834970,81271788,85406633,86976547,93291802,99939965,105317208,111880931
 "06000","California",8,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-73960,-79333,-254062,-314042,-432218,-597373,-791138,-980845,-1236082,-1507690,-1757018,-1517395,-1455292,-1402296,-1308389,-1160959,-1250198,-1457432,-1630142,-1850064,-1904502,-2084884,-2212433,-2608859,-2411084,-2381165,-2475104
 "06000","California",8,SAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",654906344,713008482,797225593,819535501,833917086,870058350,928147589,972786542,1032660883,1065502778,1052914057,1013750221,1062722172,1133068523,1197397998,1225632783,1289445218,1372734444,1432518253,1509550094,1583352298,1666018453,1715388446,1890198197,1930439996,2010743535,2134242237
 "06000","California",8,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",186728849,192288788,208146942,214146192,207318770,216303450,225572817,245796609,278702836,303009360,317313356,285017329,280368166,311855637,346264450,333250186,364838900,398095023,419576944,449925241,475096553,496603548,502811296,539360250,588658375,667250388,696114269
 "06000","California",8,SAINC5N,47,"..."," Plus: Personal current transfer receipts ","Thousands of dollars",111725348,117385478,122177543,135684664,146045078,154242369,161451803,169300669,181853277,192795018,218067133,241051110,266907132,268503844,271100586,282002282,301433888,326220108,339042814,335573318,352606285,377125398,552289037,589657277,502547130,504785372,569880811
 "06000","California",8,SAINC5N,50,"..."," Wages and salaries ","Thousands of dollars",517592617,565624705,638455163,648050300,645996513,666057806,705728279,742516778,791450009,834657501,843122831,798914095,813699083,847516542,903207287,933893533,992025352,1067705274,1117915535,1190747913,1260482440,1335483706,1378351174,1538158062,1599418684,1666632928,1769665607
 "06000","California",8,SAINC5N,60,"..."," Supplements to wages and salaries ","Thousands of dollars",106769081,115148512,128231206,138764200,147832390,161203066,176259238,184801548,189223556,195466736,198972688,190464048,195433240,210218402,211543436,228039293,237704959,250486401,260274929,270049267,280357371,288836160,297287146,313385336,322348959,339626757,361807038
 "06000","California",8,SAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 7/","Thousands of dollars",70787088,76265541,85314993,93184964,100379735,110292146,119848217,126434484,130438355,136813498,140554059,134910783,139902499,151680713,150021671,164322041,170573660,179203693,185883826,192214297,199085583,203429527,210310599,220093534,222408994,234309549,249926107
 "06000","California",8,SAINC5N,62,"...","  Employer contributions for government social insurance ","Thousands of dollars",35981993,38882971,42916213,45579236,47452655,50910920,56411021,58367064,58785201,58653238,58418629,55553265,55530741,58537689,61521765,63717252,67131299,71282708,74391103,77834970,81271788,85406633,86976547,93291802,99939965,105317208,111880931
 "06000","California",8,SAINC5N,70,"..."," Proprietors' income 8/","Thousands of dollars",105703191,113670911,120862876,127949993,138375339,146302561,159565387,164078888,174015772,159602541,137562693,146925074,176864647,191342588,203222874,204538757,208523170,212332740,219017293,222189773,226394931,235916046,237046096,254378858,240110795,244964541,263011461
 "06000","California",8,SAINC5N,71,"...","  Farm proprietors' income ","Thousands of dollars",3719014,3769374,3601763,3174570,3988298,5111847,6882286,6600291,4701601,7540919,5326801,6070023,6972515,9975049,11249438,13707508,16238308,14921734,12219029,11967825,9124080,7954772,10699083,9490834,9459760,6288557,11862748
 "06000","California",8,SAINC5N,72,"...","  Nonfarm proprietors' income ","Thousands of dollars",101984177,109901537,117261113,124775423,134387041,141190714,152683101,157478597,169314171,152061622,132235892,140855051,169892132,181367539,191973436,190831249,192284862,197411006,206798264,210221948,217270851,227961274,226347013,244888024,230651035,238675984,251148713
 "06000","California",8,SAINC5N,81,"111-112"," Farm earnings ","Thousands of dollars",8185866,8939985,8860302,8428700,8965280,10101998,12297742,12380366,10329732,12901869,11119275,12362874,13171164,15225223,17370268,20545796,22609066,21222250,18646282,20041415,15669285,16192419,19232309,16471966,18234034,18019745,21781364
 "06000","California",8,SAINC5N,82,"..."," Nonfarm earnings ","Thousands of dollars",721879023,785504143,878688943,906335793,923238962,963461435,1029255162,1079016848,1144359605,1176824909,1168538937,1123940343,1172825806,1233852309,1300603329,1345925787,1415644415,1509302165,1578561475,1662945538,1751565457,1844043493,1893452107,2089450290,2143644404,2233204481,2372702742
 "06000","California",8,SAINC5N,90,"113-814","  Private nonfarm earnings ","Thousands of dollars",605338014,661571944,743552647,757722228,763670341,794802813,852649251,895351700,951203015,970266303,952448161,907452265,953270731,1010572655,1078632208,1114440338,1173790711,1254343783,1310296929,1386773584,1468405513,1552337313,1589234086,1774655522,1822790616,1888119202,2001575961
 "06000","California",8,SAINC5N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",3548296,3656405,3974897,3943711,4041220,4452437,5105930,5199697,5831645,5863177,5847311,5844750,6405359,6696987,7454062,7873988,8303175,9216947,9898303,10176211,10765747,11259948,12689471,12444904,12840052,13948047,14377173
 "06000","California",8,SAINC5N,101,"113","    Forestry and logging ","Thousands of dollars",223791,224633,233792,233248,229414,223856,246397,248627,227339,176353,167229,135740,201246,198929,195983,181175,184477,263188,251440,253678,261858,309880,454315,406415,358223,399713,407157
 "06000","California",8,SAINC5N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",72413,73238,71409,51591,47781,45858,50809,60556,81308,98588,99694,100630,97400,102504,159301,181318,179186,114182,70696,65127,89765,112040,146692,148755,130045,125340,126989
 "06000","California",8,SAINC5N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",3252092,3358534,3669696,3658872,3764025,4182723,4808724,4890514,5522998,5588236,5580388,5608380,6106713,6395554,7098778,7511495,7939512,8839577,9576167,9857406,10414124,10838028,12088464,11889734,12351784,13422994,13843027
 "06000","California",8,SAINC5N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",1812399,1692244,1829492,2107813,1906278,2159579,2926846,3853720,5224167,5065867,7155321,4404599,4618049,5251746,6036435,6503958,6712256,4963527,3753851,3216216,3717373,3427607,2838847,2645644,3290871,3188003,3281445
