GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "98000","Far West",8,SAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",1314332625,1403240278,1536589462,1592908396,1620545990,1693126430,1800778881,1901852774,2050380972,2155172916,2207774720,2137487407,2226134647,2362927306,2501102067,2536151947,2697504923,2886096453,3016423051,3169740963,3339906496,3526757321,3832383142,4187515691,4225834401,4471564554,4767967689
 "98000","Far West",8,SAINC5N,20,"...","Population (persons) 2/","Number of persons",45798042,46505506,47188420,47891178,48493357,49053068,49601761,50090268,50570529,51031362,51608614,52167532,52684832,53172486,53651785,54122200,54652503,55208367,55738569,56173821,56477002,56663305,56794182,56470195,56534826,56701926,57115560
 "98000","Far West",8,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",28698,30174,32563,33261,33418,34516,36305,37969,40545,42232,42779,40974,42254,44439,46617,46860,49357,52276,54117,56427,59137,62241,67478,74154,74747,78861,83479
 "98000","Far West",8,SAINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",1006155375,1090474616,1204931649,1241472211,1266819269,1321810962,1412752799,1487352319,1579922189,1635809608,1629704171,1567780927,1629352361,1710794768,1803903376,1870581303,1966129710,2089372442,2180662996,2302433511,2428787647,2559961854,2627338088,2893314555,2998561806,3141106843,3339491344
 "98000","Far West",8,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",108700513,116479462,127413321,132590111,136502275,143038131,155498015,163438419,170371638,174759854,177516834,172541956,174523575,164046287,170676845,199349199,210370210,222573612,231944637,244870464,259121727,273236036,277998799,302964955,327611208,343755805,370099621
 "98000","Far West",8,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",54615718,58927730,64693721,67203475,68827764,70968559,76404583,81006877,85938299,89504697,92534561,90871463,91930717,77115699,79622905,105018052,111265401,117727239,123047796,130450483,139841682,148502836,150786682,165995816,179742366,186560282,203373348
 "98000","Far West",8,SAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",54084795,57551732,62719600,65386636,67674511,72069572,79093432,82431542,84433339,85255157,84982273,81670493,82592858,86930588,91053940,94331147,99104809,104846373,108896841,114419981,119280045,124733200,127212117,136969139,147868842,157195523,166726273
 "98000","Far West",8,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-1017469,-1086650,-1187681,-1266263,-1344914,-1506708,-1719738,-1892683,-1961458,-2095475,-2235340,-2098931,-2016296,-1919591,-1975156,-1828944,-2000536,-2123617,-2444839,-2696546,-2814118,-3282655,-3068444,-3845404,-3665008,-3796648,-4085487
 "98000","Far West",8,SAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",896437393,972908504,1076330647,1107615837,1128972080,1177266123,1255535046,1322021217,1407589093,1458954279,1449951997,1393140040,1452812490,1544828890,1631251375,1669403160,1753758964,1864675213,1946273520,2054866501,2166851802,2283443163,2346270845,2586504196,2667285590,2793554390,2965306236
 "98000","Far West",8,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",263388942,267334125,289408495,295379524,287230633,300963457,321279733,344055833,389624918,425974452,449204469,402463877,395504810,437717616,486933371,470177435,516602438,563792359,593756899,637001423,670715850,707029104,715834223,770577572,844867047,956928180,1001577813
 "98000","Far West",8,SAINC5N,47,"..."," Plus: Personal current transfer receipts ","Thousands of dollars",154506290,162997649,170850320,189913035,204343277,214896850,223964102,235775724,253166961,270244185,308618254,341883490,377817347,380380800,382917321,396571352,427143521,457628881,476392632,477873039,502338844,536285054,770278074,830433923,713681764,721081984,801083640
 "98000","Far West",8,SAINC5N,50,"..."," Wages and salaries ","Thousands of dollars",716888052,780820956,868257072,881885289,883409118,911786924,966714660,1020881918,1091335189,1154482352,1170719533,1112940098,1129360301,1175928493,1247695748,1290944122,1369763551,1467381990,1538516730,1636107013,1736835957,1840210931,1892295839,2104326410,2210198141,2319279857,2464421270
 "98000","Far West",8,SAINC5N,60,"..."," Supplements to wages and salaries ","Thousands of dollars",152912853,163755556,180669407,193836826,204924119,222571332,242385460,255380017,262540586,273549882,280005495,270598779,278443345,294146762,299410820,318870380,332389596,348495223,362054072,377331842,394612962,408140375,419123766,443103020,457770189,484195067,515212595
 "98000","Far West",8,SAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 7/","Thousands of dollars",98828058,106203824,117949807,128450190,137249608,150501760,163292028,172948475,178107247,188294725,195023222,188928286,195850487,207216174,208356880,224539233,233284787,243648850,253157231,262911861,275332917,283407175,291911649,306133881,309901347,326999544,348486322
 "98000","Far West",8,SAINC5N,62,"...","  Employer contributions for government social insurance ","Thousands of dollars",54084795,57551732,62719600,65386636,67674511,72069572,79093432,82431542,84433339,85255157,84982273,81670493,82592858,86930588,91053940,94331147,99104809,104846373,108896841,114419981,119280045,124733200,127212117,136969139,147868842,157195523,166726273
 "98000","Far West",8,SAINC5N,70,"..."," Proprietors' income 8/","Thousands of dollars",136354470,145898104,156005170,165750096,178486032,187452706,203652679,211090384,226046414,207777374,178979143,184242050,221548715,240719513,256796808,260766801,263976563,273495229,280092194,288994656,297338728,311610548,315918483,345885125,330593476,337631919,359857479
 "98000","Far West",8,SAINC5N,71,"...","  Farm proprietors' income ","Thousands of dollars",4736200,4291158,4349166,3778277,4775174,6668792,8487778,7642302,5841904,8918777,6338647,6863014,8239688,12388375,13284585,15941997,18098234,18512240,14535656,13881562,10300246,9925146,12906472,11290428,11200616,6424049,11977459
 "98000","Far West",8,SAINC5N,72,"...","  Nonfarm proprietors' income ","Thousands of dollars",131618270,141606946,151656004,161971819,173710858,180783914,195164901,203448082,220204510,198858597,172640496,177379036,213309027,228331138,243512223,244824804,245878329,254982989,265556538,275113094,287038482,301685402,303012011,334594697,319392860,331207870,347880020
 "98000","Far West",8,SAINC5N,81,"111-112"," Farm earnings ","Thousands of dollars",11102633,11608181,11786110,11209439,11813294,13772557,16077283,15895178,13861358,16867359,15027486,16143503,17168636,20268400,22597358,26126188,27774610,27899819,24403836,25376089,20062937,21297167,25381744,22188849,24815070,24218502,27643397
 "98000","Far West",8,SAINC5N,82,"..."," Nonfarm earnings ","Thousands of dollars",995052742,1078866435,1193145539,1230262772,1255005975,1308038405,1396675516,1471457141,1566060831,1618942249,1614676685,1551637424,1612183725,1690526368,1781306018,1844455115,1938355100,2061472623,2156259160,2277057422,2408724710,2538664687,2601956344,2871125706,2973746736,3116888341,3311847947
 "98000","Far West",8,SAINC5N,90,"113-814","  Private nonfarm earnings ","Thousands of dollars",827148788,900667262,1000552050,1020045222,1029803524,1070000688,1146799463,1210497343,1291542769,1326037257,1306778552,1239254535,1294284958,1367524915,1458407752,1510334709,1590239924,1697229575,1773934401,1882786477,2002711206,2119087961,2164793833,2418054689,2509802560,2618308415,2776224312
 "98000","Far West",8,SAINC5N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",5716874,5914948,6423932,(D),6417817,7014332,8103953,8257516,9039710,8670364,8758182,8692068,9989754,10019071,11253035,11660661,12078825,13100958,13782714,14129551,15302990,15742737,(D),(D),17546898,19306529,(D)
 "98000","Far West",8,SAINC5N,101,"113","    Forestry and logging ","Thousands of dollars",1186183,1206841,1257250,1215818,(D),(D),1443972,(D),(D),(D),(D),(D),1420857,1321524,(D),(D),(D),1495608,(D),1331626,(D),(D),(D),1500630,(D),(D),1479394
 "98000","Far West",8,SAINC5N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",569364,629198,682315,591162,577785,(D),(D),(D),1152671,1005111,1060148,(D),(D),(D),(D),(D),(D),910594,(D),(D),1172743,(D),(D),(D),(D),(D),(D)
 "98000","Far West",8,SAINC5N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",3961327,4078909,4484367,(D),(D),5099049,(D),5849874,(D),(D),(D),6842970,(D),(D),8670932,9108941,9659887,10694756,11459872,(D),(D),12988510,(D),14478122,14948321,16429494,17221911
 "98000","Far West",8,SAINC5N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",3825642,3467284,3780359,(D),3821323,4091915,5276472,6377133,8235920,8191176,10804213,7874727,8635735,10058726,11063011,11530386,11767193,9901425,7997758,7734060,8510867,8033333,7050525,6762776,7828821,8024007,8475455
 "98000","Far West",8,SAINC5N,201,"211","    Oil and gas extraction ","Thousands of dollars",1139016,1042837,1190977,1462344,1442396,1697926,(D),(D),4591224,4283182,(D),(D),3917399,4412087,5223567,5818348,6004544,4611547,(D),(D),(D),2536201,1759765,(D),(D),(D),(D)
 "98000","Far West",8,SAINC5N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",1643293,1613814,1537914,(D),1430697,(D),(D),(D),(D),(D),2017714,1969291,2356856,2794136,2943570,2886429,2818547,2755391,2744682,(D),(D),3151884,(D),(D),(D),(D),(D)
 "98000","Far West",8,SAINC5N,203,"213","    Support activities for mining ","Thousands of dollars",1043333,810633,1051468,1137959,948230,(D),1111415,1258576,(D),(D),(D),(D),2361480,2852503,2895874,2825609,2944102,2534487,(D),2029639,2217208,2345248,(D),1735817,2151323,2209426,2357545
 "98000","Far West",8,SAINC5N,300,"22","   Utilities ","Thousands of dollars",6424377,6606979,6976300,8596939,8642231,8648810,8647258,9116914,10725034,10005722,10279915,10045116,10313321,11696482,11274575,12383512,12697405,13538632,14014515,16572148,19205333,19624772,20556765,20226241,20433136,21003649,22152621
 "98000","Far West",8,SAINC5N,400,"23","   Construction ","Thousands of dollars",62746977,71528292,80024437,83810318,86136764,92219295,105297765,116010453,125971500,120543054,102591069,86360046,85136509,81690601,86438226,94670966,102640787,113324481,121361751,132246453,143460272,155029103,153333791,160810730,171831961,177568758,185794002
