GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "15000","Hawaii",8,SAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",32355666,33425568,35403074,36996752,38865557,40734228,43729204,46898050,50182645,53022490,55802589,55408952,56649440,59226400,61161571,61983441,65182153,68200770,70744808,73646392,75266429,78586942,82758504,88650356,91007852,96961368,102703773
 "15000","Hawaii",8,SAINC5N,20,"...","Population (persons) 2/","Number of persons",1215233,1210300,1213519,1225948,1239613,1251154,1273569,1292729,1309731,1315675,1332213,1346717,1365117,1385141,1405255,1423345,1434323,1446452,1456816,1458161,1459965,1456943,1451252,1447029,1440359,1441387,1446146
 "15000","Hawaii",8,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",26625,27618,29174,30178,31353,32557,34336,36278,38315,40301,41887,41144,41498,42758,43523,43548,45445,47150,48561,50506,51554,53940,57026,61264,63184,67269,71019
 "15000","Hawaii",8,SAINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",24118706,25075968,26592658,28063097,29820581,31743079,34029647,36502651,38576666,39888840,40663696,40170530,40943059,42448328,44251530,45587520,47320042,49692036,51393910,53397316,55029248,56919503,53819120,58756620,62039618,66804608,70483602
 "15000","Hawaii",8,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",2671029,2739827,2888904,3047811,3232108,3477835,3652919,3919817,4248382,4449538,4530890,4471818,4705778,4476046,4632160,5413472,5452282,5699609,5840634,6073836,6283567,6537310,6219936,6727312,7314366,8125975,8381427
 "15000","Hawaii",8,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",1343636,1386501,1458479,1541650,1626600,1719567,1844383,1980971,2145432,2283362,2353254,2313426,2337261,1913705,1966078,2596922,2734540,2893871,3025579,3155779,3291572,3462601,3271618,3544017,3902396,4139131,4423129
 "15000","Hawaii",8,SAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",1327393,1353326,1430425,1506161,1605508,1758268,1808536,1938846,2102950,2166176,2177636,2158392,2368517,2562341,2666082,2816550,2717742,2805738,2815055,2918057,2991995,3074709,2948318,3183295,3411970,3986844,3958298
 "15000","Hawaii",8,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "15000","Hawaii",8,SAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",21447677,22336141,23703754,25015286,26588473,28265244,30376728,32582834,34328284,35439302,36132806,35698712,36237281,37972282,39619370,40174048,41867760,43992427,45553276,47323480,48745681,50382193,47599184,52029308,54725252,58678633,62102175
 "15000","Hawaii",8,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",7141738,7167245,7569151,7531095,7470013,7506068,8060854,8587910,9812640,10946583,11943040,11416520,11124832,11601050,12027727,11943231,12699645,13176882,13697555,14362609,14348826,15447080,15792627,16228200,18838095,20921529,22528188
 "15000","Hawaii",8,SAINC5N,47,"..."," Plus: Personal current transfer receipts ","Thousands of dollars",3766251,3922182,4130169,4450371,4807071,4962916,5291622,5727306,6041721,6636605,7726743,8293720,9287327,9653068,9514474,9866162,10614748,11031461,11493977,11960303,12171922,12757669,19366693,20392848,17444505,17361206,18073410
 "15000","Hawaii",8,SAINC5N,50,"..."," Wages and salaries ","Thousands of dollars",17621036,18185436,19173030,19831092,20866818,22004806,23663999,25184859,26869259,28392837,29194443,28515150,28598193,29450174,30666363,31513299,32830343,34592531,36014286,37257168,38103035,39282859,36768242,39819054,42958660,45981847,48636051
 "15000","Hawaii",8,SAINC5N,60,"..."," Supplements to wages and salaries ","Thousands of dollars",4098585,4214313,4474279,4803051,5278627,5913225,6291863,6812039,6982629,7352436,7604647,7487989,7944463,8697484,8854420,9285663,9664567,9924168,10222781,10456656,10966217,11120874,11151000,11694046,12157465,13098629,13719125
 "15000","Hawaii",8,SAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 7/","Thousands of dollars",2771192,2860987,3043854,3296890,3673119,4154957,4483327,4873193,4879679,5186260,5427011,5329597,5575946,6135143,6188338,6469113,6946825,7118430,7407726,7538599,7974222,8046165,8202682,8510751,8745495,9111785,9760827
 "15000","Hawaii",8,SAINC5N,62,"...","  Employer contributions for government social insurance ","Thousands of dollars",1327393,1353326,1430425,1506161,1605508,1758268,1808536,1938846,2102950,2166176,2177636,2158392,2368517,2562341,2666082,2816550,2717742,2805738,2815055,2918057,2991995,3074709,2948318,3183295,3411970,3986844,3958298
 "15000","Hawaii",8,SAINC5N,70,"..."," Proprietors' income 8/","Thousands of dollars",2399085,2676219,2945349,3428954,3675136,3825048,4073785,4505753,4724778,4143567,3864606,4167391,4400403,4300670,4730747,4788558,4825132,5175337,5156843,5683492,5959996,6515770,5899878,7243520,6923493,7724132,8128426
 "15000","Hawaii",8,SAINC5N,71,"...","  Farm proprietors' income ","Thousands of dollars",38283,43843,40387,39138,49889,51285,43923,63156,69370,53353,43955,87232,79623,114529,62139,53324,13126,67877,-5658,60467,21952,4661,14184,43371,91103,64331,88121
 "15000","Hawaii",8,SAINC5N,72,"...","  Nonfarm proprietors' income ","Thousands of dollars",2360802,2632376,2904962,3389816,3625247,3773763,4029862,4442597,4655408,4090214,3820651,4080159,4320780,4186141,4668608,4735234,4812006,5107460,5162501,5623025,5938044,6511109,5885694,7200149,6832390,7659801,8040305
 "15000","Hawaii",8,SAINC5N,81,"111-112"," Farm earnings ","Thousands of dollars",217524,244550,240333,236703,250715,249793,250656,259737,259905,247012,252946,293944,279242,306444,345415,339235,304934,338254,282611,287435,229687,211029,236734,272283,300358,306776,343395
 "15000","Hawaii",8,SAINC5N,82,"..."," Nonfarm earnings ","Thousands of dollars",23901182,24831418,26352325,27826394,29569866,31493286,33778991,36242914,38316761,39641828,40410750,39876586,40663817,42141884,43906115,45248285,47015108,49353782,51111299,53109881,54799561,56708474,53582386,58484337,61739260,66497832,70140207
