GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "24000","Maryland",2,SAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",163509024,173125764,188437155,198926881,206707343,215973447,230279226,242213966,254883062,265895070,278708349,277623634,287359366,303270094,310420376,309329474,318983090,332956246,344195091,356078970,367831289,380447191,400749976,427803175,438306389,469239606,496413907
 "24000","Maryland",2,SAINC5N,20,"...","Population (persons) 2/","Number of persons",5204464,5254509,5311034,5374691,5440389,5496269,5546935,5592379,5627367,5653408,5684965,5730388,5791715,5854930,5914854,5963434,6010059,6050280,6080556,6113486,6139211,6163769,6177935,6179403,6192440,6217062,6263220
 "24000","Maryland",2,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",31417,32948,35480,37012,37995,39295,41515,43311,45293,47033,49026,48448,49616,51797,52481,51871,53075,55032,56606,58245,59915,61723,64868,69231,70781,75476,79259
 "24000","Maryland",2,SAINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",109283695,117257593,127177092,135214123,142403064,149320884,159812577,168343105,176502450,181517421,188471406,189217790,196844218,206188766,211335299,213122352,218545012,228546962,237280340,244491363,250864897,257130403,258549636,275390537,290242043,308886856,328994038
 "24000","Maryland",2,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",11980412,12720933,13591068,14645922,15441720,16156696,17306189,18230838,19380900,20242235,21009175,20984627,21769565,20186727,20768234,23569289,24138685,25382426,25964760,26790743,28084589,29037962,29428495,31596590,33743910,36138162,38476473
 "24000","Maryland",2,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",6118535,6538989,6966470,7518088,7938361,8287485,8739858,9291958,9910322,10443186,10864543,10877612,11068612,8966871,9171126,12114126,12553062,13171202,13566638,14166009,15006581,15552395,15806164,16822708,18263714,19433400,20859773
 "24000","Maryland",2,SAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",5861877,6181944,6624598,7127834,7503359,7869211,8566331,8938880,9470578,9799049,10144632,10107015,10700953,11219856,11597108,11455163,11585623,12211224,12398122,12624734,13078008,13485567,13622331,14773882,15480196,16704762,17616700
 "24000","Maryland",2,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",15668302,16746842,18990066,19867511,20238731,21106302,22552249,23614376,22951977,23616281,23079948,23235706,23637396,23282859,22945770,22919142,22085765,22412412,22575383,23036618,24569277,26382304,28009270,27200418,28607988,30447964,30607691
 "24000","Maryland",2,SAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",112971585,121283502,132576090,140435712,147200075,154270490,165058637,173726643,180073527,184891467,190542179,191468869,198712049,209284898,213512835,212472205,216492092,225576948,233890963,240737238,247349585,254474745,257130411,270994365,285106121,303196658,321125256
 "24000","Maryland",2,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",34249699,34580008,37615109,38614611,38157583,38720501,41225767,42503505,47772252,51649536,54734398,50138960,49453437,53630476,56139475,54636338,57732960,60696923,61268475,65312841,68048277,71109296,69906803,75826753,81650622,91442996,95580320
