GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "92000","Mideast",2,SAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",1428588691,1503323393,1625348430,1692957270,1712114165,1754022671,1842805055,1915929899,2040720851,2173519586,2243334556,2204552281,2290211933,2412404919,2502397160,2523330597,2618310056,2730527647,2817599394,2952031319,3073000203,3189083823,3368948464,3609787288,3663106923,3877788826,4076706032
 "92000","Mideast",2,SAINC5N,20,"...","Population (persons) 2/","Number of persons",45822025,46105834,46386027,46619373,46841190,47034773,47162342,47239239,47334435,47473718,47684886,47943872,48242524,48634053,48972018,49260310,49517953,49725541,49896311,50065581,50216329,50303665,50214888,49988109,49873754,50075539,50464237
 "92000","Mideast",2,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",31177,32606,35040,36314,36551,37292,39074,40558,43113,45784,47045,45982,47473,49603,51099,51224,52876,54912,56469,58963,61195,63397,67091,72213,73448,77439,80784
 "92000","Mideast",2,SAINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",1082089726,1156887519,1251910471,1309382612,1330850061,1363724996,1437631324,1491529770,1572391788,1656690330,1681595144,1646594134,1718633040,1787139222,1846826800,1897061118,1959345260,2035138546,2092335762,2184469803,2277631464,2355519122,2350450349,2525726601,2653797201,2767897927,2924604813
 "92000","Mideast",2,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",116432970,122347842,130693239,136828915,140120990,144165530,151842221,159283749,168426722,177137147,183300525,179772657,184331744,170182330,174490750,203121581,211453809,220361971,225057446,236295957,245099693,254703275,253142891,272240729,295592028,312068624,332471352
 "92000","Mideast",2,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",58094754,61608122,65611009,68738257,70587724,72657019,76586082,80743318,86080112,91035676,94307453,92843074,94778796,77053812,78465942,104258274,108716392,113428855,116814533,123757009,129898691,135618647,135190049,144953910,159302335,167089415,178580342
 "92000","Mideast",2,SAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",58338216,60739720,65082230,68090658,69533266,71508511,75256139,78540431,82346610,86101471,88993072,86929583,89552948,93128518,96024808,98863307,102737417,106933116,108242913,112538948,115201002,119084628,117952842,127286819,136289693,144979209,153891010
 "92000","Mideast",2,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-13004428,-13273736,-11981607,-12804816,-14581981,-15744167,-17750720,-19424216,-22344487,-25143565,-28276727,-24964383,-28634217,-31453340,-32987109,-31502415,-34215031,-35190583,-36109324,-39308545,-41191288,-43533408,-42150674,-48611170,-47343359,-47776099,-53681415
 "92000","Mideast",2,SAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",952652328,1021265941,1109235625,1159748881,1176147090,1203815299,1268038383,1312821805,1381620579,1454409618,1470017892,1441857094,1505667079,1585503552,1639348941,1662437122,1713676420,1779585992,1831168992,1908865301,1991340483,2057282439,2055156784,2204874702,2310861814,2408053204,2538452046
 "92000","Mideast",2,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",276938653,275460272,298158268,298764375,283145292,287406168,298122396,316847278,356448008,399465366,418645143,374446585,368600072,404717082,442748410,434507847,464328792,489872824,508166640,544794104,575165124,597314889,582809542,626017243,682695868,771911076,810637076
 "92000","Mideast",2,SAINC5N,47,"..."," Plus: Personal current transfer receipts ","Thousands of dollars",198997710,206597180,217954537,234444014,252821783,262801204,276644276,286260816,302652264,319644602,354671521,388248602,415944782,422184285,420299809,426385628,440304844,461068831,478263762,498371914,506494596,534486495,730982138,778895343,669549241,697824546,727616910
