GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "26000","Michigan",3,SAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",268711943,282128877,301060433,306670387,306427101,313961005,322698379,329235279,336842607,346731862,356356155,339099994,352074311,372954243,387339206,390857856,407267049,429284900,441557210,454894818,474208013,489569574,532019939,573255740,583072117,617163178,645846762
 "26000","Michigan",3,SAINC5N,20,"...","Population (persons) 2/","Number of persons",9847942,9897116,9952450,9991120,10015710,10041152,10055315,10051137,10036081,10001284,9946889,9901591,9880111,9895652,9921001,9947598,9974914,9987448,10017194,10049914,10070532,10078126,10072703,10041351,10050877,10083356,10140459
 "26000","Michigan",3,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",27286,28506,30250,30694,30595,31267,32092,32756,33563,34669,35826,34247,35635,37689,39042,39292,40829,42982,44080,45264,47089,48577,52818,57090,58012,61206,63690
 "26000","Michigan",3,SAINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",207438191,220800626,235948679,237795063,238158348,242084240,248046013,251126209,253364049,254886680,251958061,232668356,240545864,252855942,263096110,270267697,279281366,293230685,301868841,315061119,327196444,336044506,335776661,363079334,389561021,407243239,424377611
 "26000","Michigan",3,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",24260305,25630699,26849398,26634050,26847650,27221277,28187070,29074535,29870046,30243631,30261259,28284465,28655509,26610266,27743777,32227767,33295683,34694561,35680226,37091301,39018763,39919559,39506921,42220046,46545876,48539530,51302005
 "26000","Michigan",3,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",11989518,12752311,13336593,13380836,13627307,13775872,14249893,14763171,15265538,15547048,15672492,14782733,14995272,12366018,12815491,16883072,17621962,18442571,19152170,20034738,21272238,21816819,21749319,23317179,25888498,26784277,28425210
 "26000","Michigan",3,SAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",12270787,12878388,13512805,13253214,13220343,13445405,13937177,14311364,14604508,14696583,14588767,13501732,13660237,14244248,14928286,15344695,15673721,16251990,16528056,17056563,17746525,18102740,17757602,18902867,20657378,21755253,22876795
 "26000","Michigan",3,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",992850,1080484,1098060,1188640,1215483,1270562,1366786,1442775,1629923,1676067,1681499,1516368,1578562,1724055,1908240,1912729,2067989,2124340,2264542,2319933,2531327,2647253,2643873,3253278,3340754,3211905,3227493
 "26000","Michigan",3,SAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",184170736,196250411,210197341,212349653,212526181,216133525,221225729,223494449,225123926,226319116,223378301,205900259,213468917,227969731,237260573,239952659,248053672,260660464,268453157,280289751,290709008,298772200,298913613,324112566,346355899,361915614,376303099
 "26000","Michigan",3,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",49294591,48106923,51819879,50845824,48838134,50526776,52155708,53291912,55725721,59171034,63265808,55778246,55920531,62442997,67949945,67514914,72755549,77348029,79867828,81384641,86249407,88113562,88648944,100695159,109024259,123398728,128599100
 "26000","Michigan",3,SAINC5N,47,"..."," Plus: Personal current transfer receipts ","Thousands of dollars",35246616,37771543,39043213,43474910,45062786,47300704,49316942,52448918,55992960,61241712,69712046,77421489,82684863,82541515,82128688,83390283,86457828,91276407,93236225,93220426,97249598,102683812,144457382,148448015,127691959,131848836,140944563
 "26000","Michigan",3,SAINC5N,50,"..."," Wages and salaries ","Thousands of dollars",156280307,165325888,174162418,171959344,172325295,175569650,179139970,182331487,183864824,186807562,185465201,170004240,172677209,181917196,189583020,194922501,204249811,214646508,222695080,232053184,240633539,247027756,242933599,262514963,282917758,297168511,310164470
 "26000","Michigan",3,SAINC5N,60,"..."," Supplements to wages and salaries ","Thousands of dollars",35018981,36998045,40567069,41536411,41976470,43125115,45557835,47233481,47578385,47517935,46838227,44980974,45901912,46207563,46443433,47003670,47318340,50180638,51229033,53904210,56748924,57650489,55786343,59224099,61619017,66331535,70103421
