GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "27000","Minnesota",4,SAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",140269135,147376230,159595422,166509015,170085165,177862252,188674909,193583814,203249483,215185417,225533454,216335432,225971601,241599513,255427731,257507779,270190205,282988049,288866631,301748990,317564784,329291605,350469969,387015800,397877372,418091002,437981871
 "27000","Minnesota",4,SAINC5N,20,"...","Population (persons) 2/","Number of persons",4813412,4873481,4933692,4982796,5018935,5053572,5087713,5119598,5163555,5207203,5247018,5281203,5312197,5352946,5388902,5431187,5474193,5510593,5557028,5606013,5650556,5686910,5710735,5718660,5721621,5753048,5793151
 "27000","Minnesota",4,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",29141,30240,32348,33417,33889,35195,37084,37812,39362,41325,42983,40963,42538,45134,47399,47413,49357,51353,51982,53826,56201,57903,61370,67676,69539,72673,75603
 "27000","Minnesota",4,SAINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",110198103,117102517,126849075,131679344,135093435,141095703,150929725,154900880,159552889,167147935,171959840,162567044,169567097,179493894,189437137,194360142,201443195,210015982,213544514,223396198,233241058,240688893,244836102,265045588,282019234,293426204,306486524
 "27000","Minnesota",4,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",12711506,13569490,14524790,15034335,15354054,16036637,16941861,17690273,18558792,19325257,19933376,19268428,19583366,18321245,19063750,22424142,23117096,23937408,24621148,25693344,26968956,27946115,28271041,29743755,32099684,33883918,36030648
 "27000","Minnesota",4,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",6490146,6967045,7433330,7719236,7912051,8174162,8629836,8996907,9505875,9972257,10352177,10037761,10138376,8310229,8594750,11486695,12023003,12522204,12969946,13579781,14377835,14971928,15209899,16067453,17481807,18413838,19604695
 "27000","Minnesota",4,SAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",6221360,6602445,7091460,7315099,7442003,7862475,8312025,8693366,9052917,9353000,9581199,9230667,9444990,10011016,10469000,10937447,11094093,11415204,11651202,12113563,12591121,12974187,13061142,13676302,14617877,15470080,16425953
 "27000","Minnesota",4,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-847215,-951199,-1036759,-1083894,-1112806,-1181001,-1259295,-1321510,-1275976,-1393161,-1421567,-1147796,-1105728,-1142672,-927206,-889569,-920388,-1024054,-1197414,-1336369,-1319577,-1498039,-1435405,-1689320,-1601090,-1650587,-1680653
 "27000","Minnesota",4,SAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",96639382,102581828,111287526,115561115,118626575,123878065,132728569,135889097,139718121,146429517,150604897,142150820,148878003,160029977,169446181,171046431,177405711,185054520,187725952,196366485,204952525,211244739,215129656,233612513,248318460,257891699,268775223
 "27000","Minnesota",4,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",28423895,28806858,31179629,31725678,30588892,32100713,32937871,33582694,36977943,39677676,41968678,38001633,38066748,42229450,46625604,45693369,49539372,53227695,55027414,57275201,61389442,64811952,64144743,74716765,78624778,88073916,91298940
 "27000","Minnesota",4,SAINC5N,47,"..."," Plus: Personal current transfer receipts ","Thousands of dollars",15205858,15987544,17128267,19222222,20869698,21883474,23008469,24112023,26553419,29078224,32959879,36182979,39026850,39340086,39355946,40767979,43245122,44705834,46113265,48107304,51222817,53234914,71195570,78686522,70934134,72125387,77907708
 "27000","Minnesota",4,SAINC5N,50,"..."," Wages and salaries ","Thousands of dollars",83033201,88595038,95704176,98980854,100658944,103497030,109165933,111887009,116916388,123700573,127231904,121063968,124164265,128981626,135332810,139565886,145880985,153855621,158151066,165806439,172885486,179150957,179529331,192137130,205463270,214682173,224993584
 "27000","Minnesota",4,SAINC5N,60,"..."," Supplements to wages and salaries ","Thousands of dollars",17130513,18151011,19865180,21094172,21875906,23710767,25115729,26416332,26091468,27849783,29186477,27788733,28892165,31110468,29826251,31085927,32886563,33551682,34685103,36197423,37983921,39108928,39478267,42069791,43565704,45338992,47164174
