GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "91000","New England",1,SAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",443845826,470836313,518807306,544288083,546839065,558998471,588011034,611753377,655754935,693140404,726656346,719707059,749401642,781043966,802747935,800299618,833957320,874241611,900400668,936295390,981389549,1026200841,1086742778,1178291191,1212152737,1285937115,1356223595
 "91000","New England",1,SAINC5N,20,"...","Population (persons) 2/","Number of persons",13733828,13837653,13949721,14041043,14122441,14182454,14206683,14216656,14245540,14279205,14340115,14403575,14476418,14565199,14651922,14733282,14818531,14871551,14927576,14994888,15053726,15089721,15057350,15118145,15175633,15263573,15386085
 "91000","New England",1,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",32318,34026,37191,38764,38721,39415,41390,43031,46032,48542,50673,49967,51767,53624,54788,54319,56278,58786,60318,62441,65192,68007,72174,77939,79875,84249,88146
 "91000","New England",1,SAINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",330708335,358223620,397232910,416039958,419238595,427387548,451130260,466238798,491296380,512594923,526717383,525644401,549714225,563554942,571842122,580148003,599014378,624842401,642296002,666831511,694301069,724800402,734566484,798026114,840040727,877854346,924532207
 "91000","New England",1,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",35667851,37881694,41129087,42478564,43000261,43937919,46970226,48933191,51093773,53408288,55036027,54094564,55116160,51177670,52752389,61096193,63560630,65956607,67869401,70761037,73841147,76821633,77423051,83681376,89559588,93240103,99709984
 "91000","New England",1,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",18247737,19509587,21141969,21914641,22261278,22795297,24029382,25178625,26603011,27991795,28894938,28287570,28696718,23545754,24146136,31974202,33486192,35050983,36231679,37898564,39800837,41460775,41904138,45117434,49336487,51759647,55149089
 "91000","New England",1,SAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",17420114,18372107,19987118,20563923,20738983,21142622,22940844,23754566,24490762,25416493,26141089,25806994,26419442,27631916,28606253,29121991,30074438,30905624,31637722,32862473,34040310,35360858,35518913,38563942,40223101,41480456,44560895
 "91000","New England",1,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",6550409,6507314,6760200,6808135,6905480,6975613,8008392,8830114,9952207,11524729,12575267,9811656,11713559,12190170,13880710,13004887,13407268,13693947,13010639,15440325,17154390,20353409,19926976,23232671,22051367,23003501,27579694
 "91000","New England",1,SAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",301590893,326849240,362864023,380369529,383143814,390425242,412168426,426135721,450154814,470711364,484256623,481361493,506311624,524567442,532970443,532056697,548861016,572579741,587437240,611510799,637614312,668332178,677070409,737577409,772532506,807617744,852401917
 "91000","New England",1,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",87159421,87099460,95896842,98712260,93505345,95181491,98510581,103580434,119203276,130901037,137966716,123978684,122529937,135011820,147524363,144244202,156452947,165761981,172481196,181647121,193252966,202324054,195981882,215547438,237739708,270843028,284103300
