GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "32000","Nevada",8,SAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",54217238,58623619,64312598,68026741,69952742,74518428,82524683,92194143,99485129,103705970,102535875,96982751,100750401,104596400,108696140,108914362,115514106,125088591,129879146,138846976,148408130,159392975,170447536,192132907,199226555,214392663,228086608
 "32000","Nevada",8,SAINC5N,20,"...","Population (persons) 2/","Number of persons",1853191,1934718,2018741,2098399,2173791,2248850,2346222,2432143,2522658,2601072,2653630,2684665,2701888,2710129,2739290,2769188,2808779,2855986,2904614,2954768,3011007,3068665,3116967,3148141,3176116,3214363,3267467
 "32000","Nevada",8,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",29256,30301,31858,32418,32180,33136,35173,37907,39437,39870,38640,36125,37289,38595,39680,39331,41126,43799,44715,46991,49289,51942,54684,61031,62726,66698,69805
 "32000","Nevada",8,SAINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",41805772,45862373,49672836,52541924,53821316,56630044,62854674,69767266,75563080,77588396,73779720,68985171,71328708,72772816,73886382,75805403,78967964,84114412,86839579,92742368,99135243,106499376,104045446,118986920,131647376,140593436,150151574
 "32000","Nevada",8,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",4785142,5085698,4986377,5291595,5460223,5544316,6066018,6667562,7743374,8138732,7694471,7430901,7309681,6913405,7272322,8011476,8811810,9392224,9840194,10187259,10877859,11963702,11719098,13048729,14993936,16146537,17266233
 "32000","Nevada",8,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",2137785,2342022,2493540,2666427,2753989,2807800,3085232,3393213,3943478,4158693,3963724,3846430,3827543,3139457,3253520,4109291,4555067,4839187,5110681,5290603,5693403,6272420,6246623,6998237,8047471,8593486,9219928
 "32000","Nevada",8,SAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",2647357,2743676,2492837,2625168,2706234,2736516,2980786,3274349,3799896,3980039,3730747,3584471,3482138,3773948,4018802,3902185,4256743,4553037,4729513,4896656,5184456,5691282,5472475,6050492,6946465,7553051,8046305
 "32000","Nevada",8,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-349767,-381954,-338160,-354243,-363795,-409967,-494593,-549047,-473641,-399943,-320325,-307322,-251645,-145292,-156828,-136011,-176855,-127644,-201376,-194670,-206891,-283287,69757,-221423,-327817,-430331,-503033
 "32000","Nevada",8,SAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",36670863,40394721,44348299,46896086,47997298,50675761,56294063,62550657,67346065,69049721,65764924,61246948,63767382,65714119,66457232,67657916,69979299,74594544,76798009,82360439,88050493,94252387,92396105,105716768,116325623,124016568,132382308
 "32000","Nevada",8,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",12194853,12646296,13963369,14341532,14304210,15623833,17354581,20066186,21789779,23342287,23409436,20470471,20156547,21831214,25043886,23685124,26264575,29405588,30777020,33052898,35421061,38358631,38680021,43106228,47666756,53836118,56422354
 "32000","Nevada",8,SAINC5N,47,"..."," Plus: Personal current transfer receipts ","Thousands of dollars",5351522,5582602,6000930,6789123,7651234,8218834,8876039,9577300,10349285,11313962,13361515,15265332,16826472,17051067,17195022,17571322,19270232,21088459,22304117,23433639,24936576,26781957,39371410,43309911,35234176,36539977,39281946
 "32000","Nevada",8,SAINC5N,50,"..."," Wages and salaries ","Thousands of dollars",29696889,32496714,35066884,36852313,37965403,40626907,45343638,50049848,54075479,57353510,57384400,51922391,50359744,51507468,53046897,54921116,57747027,61082036,64540505,67940954,72770226,76706461,74772124,85354581,96327936,102521412,109670772
 "32000","Nevada",8,SAINC5N,60,"..."," Supplements to wages and salaries ","Thousands of dollars",6787163,7608357,7974891,8221047,8522638,9325204,10190675,11227226,11782444,12444711,12513074,12454559,12873329,12260169,12813442,12763476,14513860,15386598,15858876,16388475,16635910,18060866,17824557,19180216,20210923,21959832,23658239
 "32000","Nevada",8,SAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 7/","Thousands of dollars",4139806,4864681,5482054,5595879,5816404,6588688,7209889,7952877,7982548,8464672,8782327,8870088,9391191,8486221,8794640,8861291,10257117,10833561,11129363,11491819,11451454,12369584,12352082,13129724,13264458,14406781,15611934
 "32000","Nevada",8,SAINC5N,62,"...","  Employer contributions for government social insurance ","Thousands of dollars",2647357,2743676,2492837,2625168,2706234,2736516,2980786,3274349,3799896,3980039,3730747,3584471,3482138,3773948,4018802,3902185,4256743,4553037,4729513,4896656,5184456,5691282,5472475,6050492,6946465,7553051,8046305
 "32000","Nevada",8,SAINC5N,70,"..."," Proprietors' income 8/","Thousands of dollars",5321720,5757302,6631061,7468564,7333275,6677933,7320361,8490192,9705157,7790175,3882246,4608221,8095635,9005179,8026043,8120811,6707077,7645778,6440198,8412939,9729107,11732049,11448765,14452123,15108517,16112192,16822563
 "32000","Nevada",8,SAINC5N,71,"...","  Farm proprietors' income ","Thousands of dollars",33594,26925,45344,58846,25041,34381,63453,62986,58949,15325,71925,40836,69411,131847,23350,1393,108720,57156,-11200,17523,14397,103357,96786,103704,187768,49670,38971
 "32000","Nevada",8,SAINC5N,72,"...","  Nonfarm proprietors' income ","Thousands of dollars",5288126,5730377,6585717,7409718,7308234,6643552,7256908,8427206,9646208,7774850,3810321,4567385,8026224,8873332,8002693,8119418,6598357,7588622,6451398,8395416,9714710,11628692,11351979,14348419,14920749,16062522,16783592
 "32000","Nevada",8,SAINC5N,81,"111-112"," Farm earnings ","Thousands of dollars",92773,85367,103938,118112,90203,93194,127178,134689,128656,97549,149913,126016,144582,206146,114313,104638,207572,140227,85556,115914,111762,175661,199708,216298,307740,179433,201278
 "32000","Nevada",8,SAINC5N,82,"..."," Nonfarm earnings ","Thousands of dollars",41712999,45777006,49568898,52423812,53731113,56536850,62727496,69632577,75434424,77490847,73629807,68859155,71184126,72566670,73772069,75700765,78760392,83974185,86754023,92626454,99023481,106323715,103845738,118770622,131339636,140414003,149950296
 "32000","Nevada",8,SAINC5N,90,"113-814","  Private nonfarm earnings ","Thousands of dollars",35829283,39463323,42868671,45151455,45907927,47966238,53399074,59667980,64719707,65970686,61413804,56203408,58210967,59723549,61093288,62682561,65250679,70075611,72441580,77921965,84012892,90416072,87322394,101911662,113798247,121420120,128722780
 "32000","Nevada",8,SAINC5N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",19866,23342,22860,20123,21093,19317,16720,15930,23027,17866,20095,10909,20551,18623,29769,20995,16387,15816,21646,21547,30237,23187,37919,41016,71645,87577,94811
 "32000","Nevada",8,SAINC5N,101,"113","    Forestry and logging ","Thousands of dollars",(T),(T),(T),(D),(D),237,620,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
