GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "36000","New York",2,SAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",600087225,635242742,683214301,709417581,707561130,717555330,749469308,777653227,836022632,899609888,920456535,906188251,943392743,995231357,1039791605,1051798103,1090000795,1137082289,1176654694,1255776700,1298669006,1343851182,1415644942,1515619307,1526280559,1617130923,1699680044
 "36000","New York",2,SAINC5N,20,"...","Population (persons) 2/","Number of persons",18755906,18882725,19001780,19082838,19137800,19175939,19171567,19132610,19104631,19132335,19212436,19307066,19420354,19602134,19758616,19892558,20001317,20087023,20148134,20187407,20219472,20220321,20105171,19848276,19703747,19737367,19867248
 "36000","New York",2,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",31995,33641,35955,37176,36972,37420,39093,40645,43760,47020,47909,46936,48578,50772,52625,52874,54496,56608,58400,62206,64229,66460,70412,76360,77461,81932,85552
 "36000","New York",2,SAINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",469693251,505520129,548638706,572190478,568727600,574045385,600342956,620176352,664219316,712655457,717954304,695908232,732491226,762547281,792648274,814758168,843185214,873804878,901819007,955902952,1003389831,1040755631,1033496890,1121320760,1170342798,1218162404,1292573353
 "36000","New York",2,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",47879824,50241586,54136576,56439048,57155524,58926166,61838183,64650205,68655528,72722824,75367905,73056401,74797877,68955972,70723016,83139466,87657879,91579133,93811661,99231510,102943460,107474525,105582180,114555905,124393398,131408777,140856339
 "36000","New York",2,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",23737501,25199464,27025328,28105928,28340392,29128709,30595323,32264914,34497719,36884896,38248016,37334025,38201799,31057433,31645340,42447785,44560442,46644155,48269125,51507168,54149195,56773752,55686813,59922427,66258588,69684430,74852381
 "36000","New York",2,SAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",24142323,25042122,27111248,28333120,28815132,29797457,31242860,32385291,34157809,35837928,37119889,35722376,36596078,37898539,39077676,40691681,43097437,44934978,45542536,47724342,48794265,50700773,49895367,54633478,58134810,61724347,66003958
 "36000","New York",2,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-27292787,-28503108,-32299036,-33136832,-30982718,-31588117,-36268338,-40254975,-46885441,-55940458,-56406163,-44017796,-50278440,-53994952,-56408931,-56318334,-60207018,-62456141,-64053221,-69829328,-76616647,-87198691,-85398244,-97855507,-100832818,-104904815,-117586986
 "36000","New York",2,SAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",394520640,426775435,462203094,482614598,480589358,483531102,502236435,515271172,548678347,583992175,586180236,578834035,607414909,639596357,665516327,675300368,695320317,719769604,743954125,786842114,823829724,846082415,842516466,908909348,945116582,981848812,1034130028
 "36000","New York",2,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",112238853,112300560,120364952,119590305,110386009,112520916,116359091,132056518,149851104,171935144,177205024,155292270,153506437,170002433,189986918,190663799,204651420,217281595,227645263,247800948,260837078,267514508,254544423,272518857,299446633,340800249,357606927
