GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "39000","Ohio",3,SAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",298491358,307407038,323812505,333209250,338462533,348428738,361752998,371633835,390090034,406786493,422085747,410350426,422204427,449923823,466162071,473218777,492475624,511339811,521622549,541289443,562522960,582299946,623575002,676718303,685892136,730013185,766045778
 "39000","Ohio",3,SAINC5N,20,"...","Population (persons) 2/","Number of persons",11311536,11335454,11363543,11387404,11407889,11434788,11452251,11463320,11481213,11500468,11515391,11528896,11541932,11558178,11573400,11612081,11648921,11674622,11702354,11737959,11763104,11788679,11798905,11767344,11777874,11824034,11883304
 "39000","Ohio",3,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",26388,27119,28496,29261,29669,30471,31588,32419,33976,35371,36654,35593,36580,38927,40279,40752,42277,43799,44574,46114,47821,49395,52850,57508,58236,61740,64464
 "39000","Ohio",3,SAINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",227490743,238238407,249957751,255678501,260080921,268238406,280150739,285960312,297124129,305326636,308875009,295714148,304002535,320788840,333245896,345199656,355784012,367721929,374109439,388338866,401790815,414114134,419244217,447531631,469246684,496462929,522508138
 "39000","Ohio",3,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",25558176,26717261,27074207,27709526,27844618,28970916,30670136,31521176,32776207,33575179,34522134,33455576,33668599,31803260,32859560,36882469,38047589,39385090,40913737,43316058,44177404,46068644,46704923,49177898,53531827,56648554,60426427
 "39000","Ohio",3,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",12453361,13088459,13553470,13780692,14146683,14424079,14984191,15610170,16350166,16901298,17303009,16622110,16883360,14104771,14633575,19129853,20059038,20814770,21475164,22660221,23707669,24763052,25351238,26704039,29278526,30838005,33010112
 "39000","Ohio",3,SAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",13104815,13628802,13520737,13928834,13697935,14546837,15685945,15911006,16426041,16673881,17219125,16833466,16785239,17698489,18225985,17752616,17988551,18570320,19438573,20655837,20469735,21305592,21353685,22473859,24253301,25810549,27416315
 "39000","Ohio",3,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-1819320,-1788586,-1748567,-1736682,-1755669,-1768094,-1713124,-1728122,-1885084,-1973750,-1964322,-1836680,-1794600,-1921700,-1887882,-2315435,-2554582,-2592114,-2689576,-2462397,-2011123,-2330844,-2479467,-2271581,-2535522,-2430478,-2886390
 "39000","Ohio",3,SAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",200113247,209732560,221134977,226232293,230480634,237499396,247767479,252711014,262462838,269777707,272388553,260421892,268539336,287063880,298498454,306001752,315181841,325744725,330506126,342560411,355602288,365714646,370059827,396082152,413179335,437383897,459195321
 "39000","Ohio",3,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",56195638,54153416,56410437,56569888,54161460,54549543,55051192,56498498,61878449,67011141,70812053,64001463,62972570,69735221,76386327,73953901,79287755,84012731,87127703,92223797,97685620,101766111,101297475,114658142,123874853,139299356,144946117
 "39000","Ohio",3,SAINC5N,47,"..."," Plus: Personal current transfer receipts ","Thousands of dollars",42182473,43521062,46267091,50407069,53820439,56379799,58934327,62424323,65748747,69997645,78885141,85927071,90692521,93124722,91277290,93263124,98006028,101582355,103988720,106505235,109235052,114819189,152217700,165978009,148837948,153329932,161904340
 "39000","Ohio",3,SAINC5N,50,"..."," Wages and salaries ","Thousands of dollars",170532031,178845011,187374685,190021284,192172438,197003788,204940163,210350118,217980043,224967049,226722509,215260670,218553061,228203675,239220908,244420686,255081689,264783611,270997873,281633465,291619872,302366774,305617871,326700347,349280405,367273668,386470769
 "39000","Ohio",3,SAINC5N,60,"..."," Supplements to wages and salaries ","Thousands of dollars",37966244,39511822,41065789,42907469,44248937,46868724,49330365,51137269,54028596,54993616,55796471,53260435,54842361,56818583,57358199,61813128,63023324,64910056,65873264,67451842,69855403,71511521,70469654,73033821,75253766,79163088,84951767
 "39000","Ohio",3,SAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 7/","Thousands of dollars",24861429,25883020,27545052,28978635,30551002,32321887,33644420,35226263,37602555,38319735,38577346,36426969,38057122,39120094,39132214,44060512,45034773,46339736,46434691,46796005,49385668,50205929,49115969,50559962,51000465,53352539,57535452
 "39000","Ohio",3,SAINC5N,62,"...","  Employer contributions for government social insurance ","Thousands of dollars",13104815,13628802,13520737,13928834,13697935,14546837,15685945,15911006,16426041,16673881,17219125,16833466,16785239,17698489,18225985,17752616,17988551,18570320,19438573,20655837,20469735,21305592,21353685,22473859,24253301,25810549,27416315
 "39000","Ohio",3,SAINC5N,70,"..."," Proprietors' income 8/","Thousands of dollars",18992468,19881574,21517277,22749748,23659546,24365894,25880211,24472925,25115490,25365971,26356029,27193043,30607113,35766582,36666789,38965842,37678999,38028262,37238302,39253559,40315540,40235839,43156692,47797463,44712513,50026173,51085602
 "39000","Ohio",3,SAINC5N,71,"...","  Farm proprietors' income ","Thousands of dollars",910963,505306,875960,770213,248969,394795,976896,677977,553795,619768,828854,1114920,1217110,2418252,1305066,2515570,1519383,-6137,-98861,446696,999008,32781,1514787,2786501,2117403,2825390,1396484
 "39000","Ohio",3,SAINC5N,72,"...","  Nonfarm proprietors' income ","Thousands of dollars",18081505,19376268,20641317,21979535,23410577,23971099,24903315,23794948,24561695,24746203,25527175,26078123,29390003,33348330,35361723,36450272,36159616,38034399,37337163,38806863,39316532,40203058,41641905,45010962,42595110,47200783,49689118
 "39000","Ohio",3,SAINC5N,81,"111-112"," Farm earnings ","Thousands of dollars",1270303,850846,1207941,1139083,580677,786433,1411725,1065592,932222,1180709,1282483,1590721,1604282,2890446,1941063,3095613,2048889,662874,665639,1063301,1609477,649962,2051218,3324629,2935555,3422393,2286857
