GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "45000","South Carolina",5,SAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",89751886,94148461,100705331,104242061,107305288,111196686,117451820,124416985,134174152,143055124,149954405,146753696,151745851,160391125,168271228,170204761,180837663,192054676,200027426,210387551,219942068,234295415,250250514,277322555,288512633,311235536,332982699
 "45000","South Carolina",5,SAINC5N,20,"...","Population (persons) 2/","Number of persons",3919235,3974682,4024223,4064995,4107795,4150297,4210921,4270150,4357847,4444110,4528996,4589872,4633669,4661744,4699358,4738067,4789723,4850136,4908404,4963742,5019607,5076874,5132249,5194274,5287935,5387830,5478831
 "45000","South Carolina",5,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",22900,23687,25025,25644,26122,26792,27892,29136,30789,32190,33110,31973,32749,34406,35807,35923,37755,39598,40752,42385,43817,46150,48760,53390,54561,57766,60776
 "45000","South Carolina",5,SAINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",65335985,69550347,73814311,75459907,77350806,80561519,84528682,88717627,94342918,99031306,100641309,96341177,99188050,103971400,109973053,113166207,119059563,125823340,130602979,137501595,143465879,151212440,152315393,165259414,178280359,190073603,203503117
 "45000","South Carolina",5,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",7734179,8168801,8622674,8877254,9172176,9560749,10054071,10525597,11431047,11950714,12281407,11924491,12140037,11409738,11741434,13573945,14249195,15009155,15571189,16412340,17242807,18239706,18473208,19808190,22051092,23490804,25314657
 "45000","South Carolina",5,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",3951755,4191727,4399881,4563751,4719323,4894865,5189137,5485942,5953941,6293147,6460257,6299827,6437791,5284580,5482922,7171313,7562325,7990484,8417165,8934156,9497787,10078443,10422806,11169718,12512755,13267240,14314959
 "45000","South Carolina",5,SAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",3782424,3977074,4222793,4313503,4452853,4665884,4864934,5039655,5477106,5657567,5821150,5624664,5702246,6125158,6258512,6402632,6686870,7018671,7154024,7478184,7745020,8161263,8050402,8638472,9538337,10223564,10999698
 "45000","South Carolina",5,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",1115429,1203377,1429211,1519430,1556121,1590651,1673800,1868489,2142308,2513898,2593953,2583059,2525120,2561385,2850824,2953095,3111883,3485906,3905791,4075301,4250793,4526411,5177361,5553124,6175751,6605331,6670807
 "45000","South Carolina",5,SAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",58717235,62584923,66620848,68102083,69734751,72591421,76148411,80060519,85054179,89594490,90953855,86999745,89573133,95123047,101082443,102545357,107922251,114300091,118937581,125164556,130473865,137499145,139019546,151004348,162405018,173188130,184859267
 "45000","South Carolina",5,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",17487016,17189342,18632755,18894831,18845074,18923390,20016856,21471625,24362226,27106861,28617750,26176330,25815621,28519617,30272215,29738275,32581472,34905918,36934387,39517507,41265254,45340690,46481727,53271515,58287966,66397581,70197285
 "45000","South Carolina",5,SAINC5N,47,"..."," Plus: Personal current transfer receipts ","Thousands of dollars",13547635,14374196,15451728,17245147,18725463,19681875,21286553,22884841,24757747,26353773,30382800,33577621,36357097,36748461,36916570,37921129,40333940,42848667,44155458,45705488,48202949,51455580,64749241,73046692,67819649,71649825,77926147
 "45000","South Carolina",5,SAINC5N,50,"..."," Wages and salaries ","Thousands of dollars",49200667,52302192,55252238,56519421,57694488,59694628,62834138,65940609,70159857,73798684,75236617,72110770,73324747,75895212,79010015,81454550,85468076,90528234,94443645,99072752,102899548,108341012,110166526,119714186,132242277,141021059,150966985
 "45000","South Carolina",5,SAINC5N,60,"..."," Supplements to wages and salaries ","Thousands of dollars",10656352,11316375,12251081,12523254,13082832,14220409,14832594,15817544,16825050,18031474,19144161,18336292,18226173,19671972,19393097,20589589,21769926,22342987,22909336,24192461,26242736,27268423,26677807,27480231,28875489,31220224,33671469
 "45000","South Carolina",5,SAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 7/","Thousands of dollars",6873928,7339301,8028288,8209751,8629979,9554525,9967660,10777889,11347944,12373907,13323011,12711628,12523927,13546814,13134585,14186957,15083056,15324316,15755312,16714277,18497716,19107160,18627405,18841759,19337152,20996660,22671771
