GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "96000","Southwest",6,SAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",745894258,784591397,852566456,906746360,924431680,965519150,1021841231,1110529140,1219452541,1290719441,1403111651,1335984424,1407471280,1525380945,1613805076,1656654447,1766252947,1800501270,1801518676,1919437059,2046252237,2155668561,2274113529,2527530396,2701435993,2910200207,3068733296
 "96000","Southwest",6,SAINC5N,20,"...","Population (persons) 2/","Number of persons",30239551,30827272,31380654,31891889,32430969,32923761,33475468,34098071,34944948,35624083,36269039,36899289,37464146,37939733,38459681,38934246,39499579,40097127,40635623,41082659,41504141,41978057,42510726,42954000,43631151,44385963,45098864
 "96000","Southwest",6,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",24666,25451,27169,28432,28505,29326,30525,32569,34896,36232,38686,36206,37568,40205,41961,42550,44716,44903,44333,46721,49302,51352,53495,58843,61915,65566,68045
 "96000","Southwest",6,SAINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",576355697,612402586,666455191,708807950,719744487,745582976,790806718,850561408,934121343,974985386,1030011473,970709635,1019849423,1094454033,1160528888,1218438240,1294501950,1307896592,1304129577,1385535962,1477472576,1549615772,1551430041,1694639446,1884070754,2040547761,2157985752
 "96000","Southwest",6,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",59742461,63268420,68054376,71645408,72977955,75980979,80478379,86110733,92821815,98896996,103193581,101630473,104968433,98721461,104047748,122313075,128707411,134192412,137195115,144708539,152545873,160415117,164294820,177342702,196467695,211519063,226209230
 "96000","Southwest",6,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",31018259,33007464,35439972,37277014,38038398,38862514,41266187,44490235,48496629,51894999,54681875,53947006,55198643,45783319,48000356,64254567,68079164,70926693,72989559,77362069,82470938,87165556,89805460,97066459,108256140,116380093,124785282
 "96000","Southwest",6,SAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",28724202,30260956,32614404,34368394,34939557,37118465,39212192,41620498,44325186,47001997,48511706,47683467,49769790,52938142,56047392,58058508,60628247,63265719,64205556,67346470,70074935,73249561,74489360,80276243,88211555,95138970,101423948
 "96000","Southwest",6,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",426731,537273,603465,678430,744462,889836,1058073,1095685,1029075,980178,880017,583982,350529,-42337,-314307,-615929,-589183,-539348,-93265,257696,171367,45217,79862,642860,354172,219777,213521
 "96000","Southwest",6,SAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",517039967,549671439,599004280,637840972,647510994,670491833,711386412,765546360,842328603,877068568,927697909,869663144,915231519,995690235,1056166833,1095509236,1165205356,1173164832,1166841197,1241085119,1325098070,1389245872,1387215083,1517939604,1687957231,1829248475,1931990043
 "96000","Southwest",6,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",137020959,139514103,152527422,157330098,154376091,163532977,170648208,190976702,211174829,232376945,268522198,238913167,242173242,273559167,301414646,296665357,322868770,332192119,325950389,359515629,387307729,412148079,411274527,463389873,520698979,580628600,612566534
 "96000","Southwest",6,SAINC5N,47,"..."," Plus: Personal current transfer receipts ","Thousands of dollars",91833332,95405855,101034754,111575290,122544595,131494340,139806611,154006078,165949109,181273928,206891544,227408113,250066519,256131543,256223597,264479854,278178821,295144319,308727090,318836311,333846438,354274610,475623919,546200919,492779783,500323132,524176719
 "96000","Southwest",6,SAINC5N,50,"..."," Wages and salaries ","Thousands of dollars",413345338,440229257,480035685,499767920,502602974,514780861,545136243,584658644,640396734,688755776,718469056,691541081,706512312,746400753,793051180,821309352,873069052,910335426,923902919,966418217,1023476234,1084125551,1097623182,1191952665,1319927070,1415993523,1501753112
 "96000","Southwest",6,SAINC5N,60,"..."," Supplements to wages and salaries ","Thousands of dollars",82831010,87610902,95762956,103121985,107850017,115058457,120708349,128596003,138251360,144833255,149364096,151393617,157828610,161783224,169832162,180871682,188972469,197028772,201058904,210451018,224758878,232116285,232150206,243855875,253238439,274040521,293921369
 "96000","Southwest",6,SAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 7/","Thousands of dollars",54106808,57349946,63148552,68753591,72910460,77939992,81496157,86975505,93926174,97831258,100852390,103710150,108058820,108845082,113784770,122813174,128344222,133763053,136853348,143104548,154683943,158866724,157660846,163579632,165026884,178901551,192497421
 "96000","Southwest",6,SAINC5N,62,"...","  Employer contributions for government social insurance ","Thousands of dollars",28724202,30260956,32614404,34368394,34939557,37118465,39212192,41620498,44325186,47001997,48511706,47683467,49769790,52938142,56047392,58058508,60628247,63265719,64205556,67346470,70074935,73249561,74489360,80276243,88211555,95138970,101423948
 "96000","Southwest",6,SAINC5N,70,"..."," Proprietors' income 8/","Thousands of dollars",80179349,84562427,90656550,105918045,109291496,115743658,124962126,137306761,155473249,141396355,162178321,127774937,155508501,186270056,197645546,216257206,232460429,200532394,179167754,208666727,229237464,233373936,221656653,258830906,310905245,350513717,362311271
 "96000","Southwest",6,SAINC5N,71,"...","  Farm proprietors' income ","Thousands of dollars",3324082,5034174,3905765,4575739,4761097,5873300,6615438,6034824,3370965,3551794,852633,-570852,3365943,3904395,3493000,6136483,6111920,7465362,3092575,3913981,2547152,4048816,4415316,5578388,10121304,12114889,9731786
 "96000","Southwest",6,SAINC5N,72,"...","  Nonfarm proprietors' income ","Thousands of dollars",76855267,79528253,86750785,101342306,104530399,109870358,118346688,131271937,152102284,137844561,161325688,128345789,152142558,182365661,194152546,210120723,226348509,193067032,176075179,204752746,226690312,229325120,217241337,253252518,300783941,338398828,352579485
 "96000","Southwest",6,SAINC5N,81,"111-112"," Farm earnings ","Thousands of dollars",4807935,6642249,5526236,6338473,6260801,7521621,8480852,8135421,5247051,5989982,3394805,1880169,5645032,6414747,6283204,8832316,9034845,10272299,5773826,6695611,5456336,6318098,6806174,8428908,12578756,14825425,12950808
 "96000","Southwest",6,SAINC5N,82,"..."," Nonfarm earnings ","Thousands of dollars",571547762,605760337,660928955,702469477,713483686,738061355,782325866,842425987,928874292,968995404,1026616668,968829466,1014204391,1088039286,1154245684,1209605924,1285467105,1297624293,1298355751,1378840351,1472016240,1543297674,1544623867,1686210538,1871491998,2025722336,2145034944
 "96000","Southwest",6,SAINC5N,90,"113-814","  Private nonfarm earnings ","Thousands of dollars",479980808,508809237,556997991,590589303,592677946,609836904,648277072,701522475,779389256,810528467,858764780,793127865,831435168,904449362,968890836,1018592601,1088952323,1093102884,1087842090,1162690800,1248558317,1313251858,1305231140,1439600514,1617372591,1753193902,1853104959
 "96000","Southwest",6,SAINC5N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",1438289,1474984,1601704,1434625,1456492,1461627,1595255,1688690,1883146,1653846,1556664,1627814,1988448,1871247,1978743,1908057,2055160,2288989,2376398,2376250,2466857,2533423,2935994,2765926,2685177,3153651,3262000
 "96000","Southwest",6,SAINC5N,101,"113","    Forestry and logging ","Thousands of dollars",156644,153276,161319,144312,145609,134976,(D),160885,190459,153261,162924,177941,209842,160893,147018,127410,139262,160179,148723,143529,145602,(D),(D),(D),(D),210965,208791
 "96000","Southwest",6,SAINC5N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",16188,17672,21177,57771,50850,44970,(D),25538,31439,-14199,-61296,-78701,-15322,-27568,-18803,-25458,-21394,17956,-1779,-24440,-73671,(D),(D),(D),(D),37184,31598
 "96000","Southwest",6,SAINC5N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",1265457,1304036,1419208,1232542,1260033,1281681,1412455,1502267,1661248,1514784,1455036,1528574,1793928,1737922,1850528,1806105,1937292,2110854,2229454,2257161,2394926,2471158,2778978,2669720,2594028,2905502,3021611
 "96000","Southwest",6,SAINC5N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",19627413,19141978,22338821,25898191,25080635,31460384,40058698,52697183,62758680,54641498,87883530,53727598,62937119,88709181,97667024,107805621,121112588,74395791,54365145,77723719,105091363,101822256,67104928,81004021,118153177,116621814,119576180
 "96000","Southwest",6,SAINC5N,201,"211","    Oil and gas extraction ","Thousands of dollars",12967701,12578951,15631243,18340776,18125853,(D),(D),41499094,48157328,37545993,67509633,(D),46600020,67141397,72561254,80535797,89992424,49021284,36552835,55534329,74694755,72380374,46295364,61682614,91584660,83083587,84450117
 "96000","Southwest",6,SAINC5N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",1781550,1702141,1588985,1544959,1472514,1483112,1928050,1981546,2458859,2815957,3128272,2680911,2636607,3424720,3689862,3859897,4212723,4216478,3923327,3887252,4029747,3799222,3656730,3568773,4766783,5811734,6337391
 "96000","Southwest",6,SAINC5N,203,"213","    Support activities for mining ","Thousands of dollars",4878162,4860886,5118593,6012456,5482268,(D),(D),9216543,12142493,14279548,17245625,(D),13700492,18143064,21415908,23409927,26907441,21158029,13888983,18302138,26366861,25642660,17152834,15752634,21801734,27726493,28788672
 "96000","Southwest",6,SAINC5N,300,"22","   Utilities ","Thousands of dollars",5475380,5994632,6899903,8567363,8402530,8111383,8151656,8138487,9017505,9497501,9086965,8633296,9084023,10284996,10108648,10686847,11086186,11357296,11926807,13535262,15328081,15480963,14829159,15535429,16038644,16264266,17799855
