GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "47000","Tennessee",5,SAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",139760336,145231941,153990107,158125252,162879395,169929514,179892943,188177577,200188916,209746788,218372476,217094703,227613018,241431730,252592322,254464603,263856025,277356111,286532273,299307669,316176537,335601718,360094659,402024651,417424364,453765660,480671240
 "47000","Tennessee",5,SAINC5N,20,"...","Population (persons) 2/","Number of persons",5570045,5638706,5703719,5750789,5795918,5847812,5910809,5991057,6088766,6175727,6247411,6306019,6356388,6404657,6463610,6508290,6559452,6613679,6673101,6740060,6806981,6862615,6927904,6965740,7062217,7148304,7227750
 "47000","Tennessee",5,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",25091,25756,26998,27496,28102,29059,30435,31410,32878,33963,34954,34427,35809,37696,39079,39099,40225,41937,42938,44407,46449,48903,51977,57715,59107,63479,66504
 "47000","Tennessee",5,SAINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",110303791,115606593,121921922,124037951,128528619,133515438,142064931,147601537,156151353,160502483,162069993,159149435,164770290,173810441,182666976,187256165,194835601,204821652,212224922,221567574,233325390,245961604,254036233,282495629,304052056,330265582,348545429
 "47000","Tennessee",5,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",11707894,12360800,12927670,13336813,13906423,14402866,15201208,15832472,16750980,17527595,17986730,17641446,17989483,16681876,17204102,19853508,20599795,21643622,22443183,23713640,24853367,26171660,27326713,29095634,32653092,34681998,37322249
 "47000","Tennessee",5,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",6106700,6478622,6769394,7040087,7355501,7591138,8063738,8532823,9162148,9644841,9866163,9584234,9775971,8134363,8382741,10957679,11574684,12142040,12669636,13424849,14225310,14926641,15661545,16703455,18844902,20006454,21526789
 "47000","Tennessee",5,SAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",5601194,5882178,6158276,6296726,6550922,6811728,7137470,7299649,7588832,7882754,8120567,8057212,8213512,8547513,8821361,8895829,9025111,9501582,9773547,10288791,10628057,11245019,11665168,12392179,13808190,14675544,15795460
 "47000","Tennessee",5,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",-1174757,-1358853,-1549708,-1563074,-1553447,-1560679,-1644785,-1459230,-1385594,-1486085,-1387115,-971815,-750423,-763682,-1076991,-1242361,-1202451,-1322480,-1596417,-1752537,-1976051,-2317916,-2299038,-2259037,-2451509,-2500969,-2242824
 "47000","Tennessee",5,SAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",97421140,101886940,107444544,109138064,113068749,117551893,125218938,130309835,138014779,141488803,142696148,140536174,146030384,156364883,164385883,166160296,173033355,181855550,188185322,196101397,206495972,217472028,224410482,251140958,268947455,293082615,308980356
 "47000","Tennessee",5,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",21846825,21968185,23350521,23696917,22684736,23586279,24050194,25103714,27575924,30218000,32904682,30538632,31172108,33680670,36317851,34875298,36741100,38608058,40198699,43171517,46750800,51112834,51431518,57266564,63299963,72526191,76489374
