GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "00000","United States", ,SAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",7584003000,7978449000,8620234000,8990104000,9146700000,9474684000,10008929000,10540800000,11291446000,11925044000,12423410000,12058253000,12547501000,13299818000,13905749000,14063283000,14778160000,15467113000,15884741000,16658962000,17514402000,18349584000,19613059000,21484168000,22144814000,23577208000,24897613000
 "00000","United States", ,SAINC5N,20,"...","Population (persons) 2/","Number of persons",275854104,279040168,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309378227,311839461,314339099,316726282,319257560,321815121,324353340,326608609,328529577,330226227,331577720,332099760,334017321,336806231,340110988
 "00000","United States", ,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",27493,28592,30551,31548,31801,32659,34183,35669,37843,39588,40854,39307,40557,42650,44238,44402,46289,48062,48974,51006,53311,55567,59151,64692,66298,70002,73204
 "00000","United States", ,SAINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",5707014000,6098042000,6598743000,6865291000,7001002000,7243377000,7674785000,8039238000,8519349000,8866261000,9014085000,8688913000,9023916000,9444387000,9854834000,10180570000,10613874000,11039821000,11311477000,11848205000,12438590000,12988477000,13177632000,14360309000,15301488000,16139128000,17039177000
 "00000","United States", ,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",623685000,660310000,704849000,732117000,750338000,777906000,827820000,871941000,921123000,960011000,986884000,962826000,982045000,915062000,948953000,1102460000,1151698000,1202909000,1237223000,1297292000,1359444000,1422391000,1447112000,1556883000,1701146000,1797879000,1920253000
 "00000","United States", ,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",316929000,337457000,360123000,374669000,384872000,396049000,419777000,444586000,474522000,499034000,516200000,505514000,513895000,423231000,436562000,577062000,606203000,634466000,657084000,693454000,735774000,772947000,789534000,851169000,936851000,984399000,1055257000
 "00000","United States", ,SAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",306756000,322853000,344726000,357448000,365466000,381857000,408043000,427355000,446601000,460977000,470684000,457312000,468150000,491831000,512391000,525398000,545495000,568443000,580139000,603838000,623670000,649444000,657578000,705714000,764295000,813480000,864996000
 "00000","United States", ,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",755000,2515000,2587000,2692000,2657000,2679000,2659000,2614000,2617000,2596000,2649000,3019000,3068000,3201000,3411000,3651000,3438000,3403000,3062000,2980000,3451000,3438000,4012000,4149000,4457000,5068000,5288000
 "00000","United States", ,SAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",5084084000,5440247000,5896481000,6135866000,6253321000,6468150000,6849624000,7169911000,7600843000,7908846000,8029850000,7729106000,8044939000,8532526000,8909292000,9081761000,9465614000,9840315000,10077316000,10553893000,11082597000,11569524000,11734532000,12807575000,13604799000,14346317000,15124212000
 "00000","United States", ,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",1516041000,1512058000,1636473000,1661673000,1608189000,1659306000,1738099000,1854178000,2076789000,2288133000,2438478000,2182454000,2177445000,2408638000,2633469000,2557205000,2771030000,2941428000,3030442000,3249424000,3455566000,3633001000,3643383000,4016407000,4400403000,4974234000,5218016000
 "00000","United States", ,SAINC5N,47,"..."," Plus: Personal current transfer receipts ","Thousands of dollars",983878000,1026144000,1087280000,1192565000,1285190000,1347228000,1421206000,1516711000,1613814000,1728065000,1955082000,2146693000,2325117000,2358654000,2362988000,2424317000,2541516000,2685370000,2776983000,2855645000,2976239000,3147059000,4235144000,4660186000,4139612000,4256657000,4555385000
 "00000","United States", ,SAINC5N,50,"..."," Wages and salaries ","Thousands of dollars",4177471000,4456769000,4823765000,4950126000,4992622000,5133728000,5416803000,5688398000,6051357000,6392832000,6531099000,6241491000,6363368000,6615753000,6918166000,7104786000,7467705000,7851802000,8086749000,8469518000,8888150000,9313643000,9449132000,10302990000,11115183000,11725735000,12381393000
 "00000","United States", ,SAINC5N,60,"..."," Supplements to wages and salaries ","Thousands of dollars",887008000,942209000,1019616000,1081914000,1136091000,1210736000,1293698000,1369719000,1417923000,1477079000,1517532000,1504178000,1546444000,1592949000,1632251000,1714292000,1767120000,1833313000,1869103000,1944272000,2049420000,2112516000,2123246000,2233399000,2309141000,2462687000,2625472000
 "00000","United States", ,SAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 7/","Thousands of dollars",580252000,619356000,674890000,724466000,770625000,828879000,885655000,942364000,971322000,1016102000,1046848000,1046866000,1078294000,1101118000,1119860000,1188894000,1221625000,1264870000,1288964000,1340434000,1425750000,1463072000,1465668000,1527685000,1544846000,1649207000,1760476000
 "00000","United States", ,SAINC5N,62,"...","  Employer contributions for government social insurance ","Thousands of dollars",306756000,322853000,344726000,357448000,365466000,381857000,408043000,427355000,446601000,460977000,470684000,457312000,468150000,491831000,512391000,525398000,545495000,568443000,580139000,603838000,623670000,649444000,657578000,705714000,764295000,813480000,864996000
 "00000","United States", ,SAINC5N,70,"..."," Proprietors' income 8/","Thousands of dollars",642535000,699064000,755362000,833251000,872289000,898913000,964284000,981121000,1050069000,996350000,965454000,943244000,1114104000,1235685000,1304417000,1361492000,1379049000,1354706000,1355625000,1434415000,1501020000,1562318000,1605254000,1823920000,1877164000,1950706000,2032312000
