GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "50000","Vermont",1,SAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",15458643,16326189,17680211,18797433,19198107,19945829,21049089,21477398,22803466,24062984,25449395,25216382,25988718,27547769,28291866,28665970,29724479,30597984,31073264,31960192,33117074,34837966,37392800,39552756,41336548,44058636,46229260
 "50000","Vermont",1,SAINC5N,20,"...","Population (persons) 2/","Number of persons",600416,604683,609618,612223,615442,617858,619920,621215,622892,623481,624151,624817,626366,629600,630693,632859,633872,635912,636397,639087,640680,641847,642977,647210,648142,648708,648493
 "50000","Vermont",1,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",25747,27000,29002,30704,31194,32282,33955,34573,36609,38595,40774,40358,41491,43754,44858,45296,46894,48117,48827,50009,51691,54278,58156,61113,63777,67918,71287
 "50000","Vermont",1,SAINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",10834640,11689580,12684504,13506631,13966633,14463890,15311602,15785712,16275061,16831322,17352245,17104575,17797100,18586425,18975648,19395900,19667799,20159407,20489536,21136196,21843878,22716307,23019239,24829651,26774490,28174458,29597368
 "50000","Vermont",1,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",1266159,1343292,1434689,1522650,1546689,1613499,1702374,1788093,1883665,1992282,2053529,2030292,2064714,1930230,2004400,2323610,2427222,2523512,2581081,2688098,2755462,2792940,2855396,2960482,3248874,3447690,3659642
 "50000","Vermont",1,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",659335,703714,749035,800736,822278,859291,911307,963427,1021407,1087027,1109839,1093850,1102662,910893,926033,1214882,1279193,1326441,1361512,1420726,1486154,1528675,1577492,1672084,1850004,1950345,2072886
 "50000","Vermont",1,SAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",606824,639578,685654,721914,724411,754208,791067,824666,862258,905255,943690,936442,962052,1019337,1078367,1108728,1148029,1197071,1219569,1267372,1269308,1264265,1277904,1288398,1398870,1497345,1586756
 "50000","Vermont",1,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",174300,195548,226789,236785,234332,250512,236860,248977,280657,290626,285062,331251,329974,305190,312588,337616,370651,370707,378286,418928,430797,493514,545013,546691,526152,586638,571230
 "50000","Vermont",1,SAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",9742781,10541836,11476604,12220766,12654276,13100903,13846088,14246596,14672053,15129666,15583778,15405534,16062360,16961385,17283836,17409906,17611228,18006602,18286741,18867026,19519213,20416881,20708856,22415860,24051768,25313406,26508956
 "50000","Vermont",1,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",3598781,3520388,3766397,3904048,3688168,3855568,4080367,3830350,4351725,4752852,5205093,4752405,4578834,5189368,5483334,5458745,6051832,6325125,6387407,6610223,6950951,7541158,7509961,7722285,8459539,9720513,10053793
 "50000","Vermont",1,SAINC5N,47,"..."," Plus: Personal current transfer receipts ","Thousands of dollars",2117081,2263965,2437210,2672619,2855663,2989358,3122634,3400452,3779688,4180466,4660524,5058443,5347524,5397016,5524696,5797319,6061419,6266257,6399116,6482943,6646910,6879927,9173983,9414611,8825241,9024717,9666511
 "50000","Vermont",1,SAINC5N,50,"..."," Wages and salaries ","Thousands of dollars",7750545,8247312,8892966,9346529,9560735,9874819,10383130,10724110,11224595,11667228,12070372,11805327,12020802,12365847,12791242,13198832,13639969,14108594,14453323,14907652,15411031,15962823,15933056,17058118,18651421,19699827,20673159
