GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "55000","Wisconsin",3,SAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",143130045,148737033,158494204,166593201,171010014,175794284,183721399,189779153,201058382,210529869,219194538,216211889,222260933,234631562,244508303,245762269,255165329,266132029,270846626,281979549,295996804,307947503,327298354,357005395,365050072,384719757,403888253
 "55000","Wisconsin",3,SAINC5N,20,"...","Population (persons) 2/","Number of persons",5297672,5332666,5373999,5406835,5445162,5479203,5514026,5546166,5577655,5610775,5640996,5669264,5692038,5713359,5734379,5757584,5778789,5794536,5812814,5836809,5859000,5880280,5897375,5881608,5903975,5930405,5960975
 "55000","Wisconsin",3,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",27018,27892,29493,30812,31406,32084,33319,34218,36047,37522,38857,38138,39048,41067,42639,42685,44156,45928,46595,48311,50520,52370,55499,60699,61831,64872,67755
 "55000","Wisconsin",3,SAINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",106642979,112950338,119592326,125490544,129879609,134072391,141101383,145254978,151722160,156858519,159732596,154756462,158659374,166933320,172983043,177814101,183139236,189869463,192623851,199164897,208428701,215831618,220671165,235772825,248726816,259484381,272472734
 "55000","Wisconsin",3,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",12475711,13251364,13900504,14201539,14656796,15147668,15958620,16606625,17399752,17979085,18550666,18025822,18413326,17234187,17767184,20528158,21173104,21907363,22323215,23303098,24084754,25057021,25577455,26920761,29188686,30806744,32804483
 "55000","Wisconsin",3,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",6286963,6722525,7040503,7250837,7534087,7769787,8180536,8534012,9017148,9401155,9683408,9395583,9526749,7818144,8044090,10555025,10954081,11370331,11762810,12413568,13021952,13602577,13985549,14822105,16217604,16955398,18100200
 "55000","Wisconsin",3,SAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",6188748,6528839,6860001,6950702,7122709,7377881,7778084,8072613,8382604,8577930,8867258,8630239,8886577,9416043,9723094,9973133,10219023,10537032,10560405,10889530,11062802,11454444,11591906,12098656,12971082,13851346,14704283
 "55000","Wisconsin",3,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",2306161,2476947,2707407,2839029,2925062,3000884,3106790,3300419,3423175,3683580,3727762,3290773,3242623,3359897,3298744,3259785,3493462,3636362,3734682,3910706,3939225,4207095,3950080,4228772,4221506,4356609,4464407
 "55000","Wisconsin",3,SAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",96473429,102175921,108399229,114128034,118147875,121925607,128249553,131948772,137745583,142563014,144909692,140021413,143488671,153059030,158514603,160545728,165459594,171598462,174035318,179772505,188283172,194981692,199043790,213080836,223759636,233034246,244132658
 "55000","Wisconsin",3,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",29409648,28606954,30800815,30936165,29696333,30016128,30918164,31521394,35400959,37725453,40417921,37014079,36722897,40919214,44576071,42843602,45348627,48282714,49941138,52980763,55670651,58315867,59197025,66186298,70474703,79341311,82984398
 "55000","Wisconsin",3,SAINC5N,47,"..."," Plus: Personal current transfer receipts ","Thousands of dollars",17246968,17954158,19294160,21529002,23165806,23852549,24553682,26308987,27911840,30241402,33866925,39176397,42049365,40653318,41417629,42372939,44357108,46250853,46870170,49226281,52042981,54649944,69057539,77738261,70815733,72344200,76771197
 "55000","Wisconsin",3,SAINC5N,50,"..."," Wages and salaries ","Thousands of dollars",78957245,83730825,88456938,90654202,93016675,96057447,100924536,103845679,108707669,113109537,115996809,110609433,112413333,116881921,121216554,124686149,129425164,135200404,138766642,143773470,150353500,155584801,157066469,168506918,181595207,189469609,198413360
 "55000","Wisconsin",3,SAINC5N,60,"..."," Supplements to wages and salaries ","Thousands of dollars",18712598,19697896,21036386,22923183,24031204,25353991,26964695,28324239,29032450,30121180,31148566,32235977,31719655,33306507,34203834,34749144,35369185,35883175,36041317,37225664,39590154,40532139,40223581,41290169,42582866,44813969,47778582
 "55000","Wisconsin",3,SAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 7/","Thousands of dollars",12523850,13169057,14176385,15972481,16908495,17976110,19186611,20251626,20649846,21543250,22281308,23605738,22833078,23890464,24480740,24776011,25150162,25346143,25480912,26336134,28527352,29077695,28631675,29191513,29611784,30962623,33074299
 "55000","Wisconsin",3,SAINC5N,62,"...","  Employer contributions for government social insurance ","Thousands of dollars",6188748,6528839,6860001,6950702,7122709,7377881,7778084,8072613,8382604,8577930,8867258,8630239,8886577,9416043,9723094,9973133,10219023,10537032,10560405,10889530,11062802,11454444,11591906,12098656,12971082,13851346,14704283
 "55000","Wisconsin",3,SAINC5N,70,"..."," Proprietors' income 8/","Thousands of dollars",8973136,9521617,10099002,11913159,12831730,12660953,13212152,13085060,13982041,13627802,12587221,11911052,14526386,16744892,17562655,18378808,18344887,18785884,17815892,18165763,18485047,19714678,23381115,25975738,24548743,25200803,26280792
