GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "54000","West Virginia",5,SAINC5N,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",37130579,38078587,40251566,42750333,44243165,44952808,46551205,48854253,52146960,54184672,57958900,58487453,60532086,64059017,65488403,65152569,67156751,68437802,68067852,70797616,74235000,76725017,80440274,87322546,88990064,93770989,97970676
 "54000","West Virginia",5,SAINC5N,20,"...","Population (persons) 2/","Number of persons",1815609,1811799,1807021,1801481,1805414,1812295,1816438,1820492,1827912,1834052,1840310,1847775,1854404,1857305,1858706,1856588,1852948,1846270,1835935,1822742,1810572,1800441,1791646,1785618,1774122,1770495,1769979
 "54000","West Virginia",5,SAINC5N,30,"...","Per capita personal income (dollars) 3/","Dollars",20451,21017,22275,23731,24506,24804,25628,26836,28528,29544,31494,31653,32642,34490,35233,35093,36243,37068,37075,38841,41001,42615,44897,48903,50160,52963,55351
 "54000","West Virginia",5,SAINC5N,35,"..."," Earnings by place of work ","Thousands of dollars",24934470,25907045,27406301,28659645,29411513,30011569,31544893,33311917,35261670,35569125,37158538,36954076,38124713,40288257,41350578,41460579,41961341,42154633,41095822,43083066,46291659,46911087,45519391,48661523,51779969,55218312,58306339
 "54000","West Virginia",5,SAINC5N,36,"..."," Less: Contributions for government social insurance 4/","Thousands of dollars",3720719,3826208,4141034,4114559,4049565,4240307,4367438,4556422,4623531,4503395,4543954,4596389,4700896,4379822,4497827,5040011,5202372,5257452,5278315,5511503,5838456,5853027,5910756,6202506,6592983,6966706,7446821
 "54000","West Virginia",5,SAINC5N,37,"...","  Employee and self-employed contributions for government social insurance ","Thousands of dollars",1544870,1604918,1658166,1754041,1772024,1852904,1952892,2067815,2214961,2335078,2466040,2473924,2532075,2116241,2162554,2715940,2816136,2843397,2856672,3027181,3231707,3255197,3313591,3492497,3767451,3952445,4231339
 "54000","West Virginia",5,SAINC5N,38,"...","  Employer contributions for government social insurance ","Thousands of dollars",2175849,2221290,2482868,2360518,2277541,2387403,2414546,2488607,2408570,2168317,2077914,2122465,2168821,2263581,2335273,2324071,2386236,2414055,2421643,2484322,2606749,2597830,2597165,2710009,2825532,3014261,3215482
 "54000","West Virginia",5,SAINC5N,42,"..."," Plus: Adjustment for residence 5/","Thousands of dollars",438830,500815,625245,772281,816229,960434,1089376,1288434,1336711,1485808,1441294,1328554,1459485,1468037,1215330,1255348,1469412,1468384,1714709,1618996,1233255,1720984,2092603,2313317,2497572,2474334,2491969
 "54000","West Virginia",5,SAINC5N,45,"..."," Equals: Net earnings by place of residence ","Thousands of dollars",21652581,22581652,23890512,25317367,26178177,26731696,28266831,30043929,31974850,32551538,34055878,33686241,34883302,37376472,38068081,37675916,38228381,38365565,37532216,39190559,41686458,42779044,41701238,44772334,47684558,50725940,53351487
 "54000","West Virginia",5,SAINC5N,46,"..."," Plus: Dividends, interest, and rent 6/","Thousands of dollars",6805206,6644022,7073675,7171884,6978145,6860080,6924987,7015519,7571504,8302417,9114378,8836080,8807721,9710468,10121290,9837535,10330635,10641391,10598263,11027777,11463279,12193448,12089126,12893618,14015147,15305080,15730004
 "54000","West Virginia",5,SAINC5N,47,"..."," Plus: Personal current transfer receipts ","Thousands of dollars",8672792,8852913,9287379,10261082,11086843,11361032,11359387,11794805,12600606,13330717,14788644,15965132,16841063,16972077,17299032,17639118,18597735,19430846,19937373,20579280,21085263,21752525,26649910,29656594,27290359,27739969,28889185
 "54000","West Virginia",5,SAINC5N,50,"..."," Wages and salaries ","Thousands of dollars",17901595,18473498,19249275,19983879,20409183,20808680,21888411,22826358,24137046,25174072,26726670,26702303,27249483,28585162,29435511,29479076,30106511,30264757,29719860,30905465,33296479,33413580,32569412,34569416,37266393,39968366,42045292
 "54000","West Virginia",5,SAINC5N,60,"..."," Supplements to wages and salaries ","Thousands of dollars",4681877,4877739,5280789,5401348,5537184,5879504,6142553,6439913,7013061,6884402,7056098,7007373,7029835,7407970,7886383,7990066,7712768,8068499,7656862,8218283,8722476,8988640,8694660,8985259,9094540,9817361,10514106
 "54000","West Virginia",5,SAINC5N,61,"...","  Employer contributions for employee pension and insurance funds 7/","Thousands of dollars",2506028,2656449,2797921,3040830,3259643,3492101,3728007,3951306,4604491,4716085,4978184,4884908,4861014,5144389,5551110,5665995,5326532,5654444,5235219,5733961,6115727,6390810,6097495,6275250,6269008,6803100,7298624
 "54000","West Virginia",5,SAINC5N,62,"...","  Employer contributions for government social insurance ","Thousands of dollars",2175849,2221290,2482868,2360518,2277541,2387403,2414546,2488607,2408570,2168317,2077914,2122465,2168821,2263581,2335273,2324071,2386236,2414055,2421643,2484322,2606749,2597830,2597165,2710009,2825532,3014261,3215482
 "54000","West Virginia",5,SAINC5N,70,"..."," Proprietors' income 8/","Thousands of dollars",2350998,2555808,2876237,3274418,3465146,3323385,3513929,4045646,4111563,3510651,3375770,3244400,3845395,4295125,4028684,3991437,4142062,3821377,3719100,3959318,4272704,4508867,4255319,5106848,5419036,5432585,5746941
 "54000","West Virginia",5,SAINC5N,71,"...","  Farm proprietors' income ","Thousands of dollars",-29579,-46690,-13885,-7948,-74314,-57339,-11117,-22008,-59360,-96367,-65050,-68875,-60774,-19990,-47233,-13364,-28224,-42110,-71339,-29450,-85767,-53176,-95396,-59140,142820,-55860,27822
 "54000","West Virginia",5,SAINC5N,72,"...","  Nonfarm proprietors' income ","Thousands of dollars",2380577,2602498,2890122,3282366,3539460,3380724,3525046,4067654,4170923,3607018,3440820,3313275,3906169,4315115,4075917,4004801,4170286,3863487,3790439,3988768,4358471,4562043,4350715,5165988,5276216,5488445,5719119
 "54000","West Virginia",5,SAINC5N,81,"111-112"," Farm earnings ","Thousands of dollars",793,-13400,19350,29785,-32828,-13939,30338,11365,-24273,-57382,-29966,-35405,-29180,7087,-4460,30269,17807,-3598,-27445,9805,-50193,-23917,-64445,-29530,190322,-961,80922
 "54000","West Virginia",5,SAINC5N,82,"..."," Nonfarm earnings ","Thousands of dollars",24933677,25920445,27386951,28629860,29444341,30025508,31514555,33300552,35285943,35626507,37188504,36989481,38153893,40281170,41355038,41430310,41943534,42158231,41123267,43073261,46341852,46935004,45583836,48691053,51589647,55219273,58225417
