GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "02000","Alaska",8,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",12860420,13131468,13895673,14887161,15712496,16529308,17458433,18591971,19598510,20786860,21813843,22539340,23168006,24464329,25731267,26354487,27135899,27821488,27190688,27155675,28291997,28963025,28351582,29310526,30996069,33239419,35107416
 "02000","Alaska",8,SAINC6N,5,"..."," Wages and salaries ","Thousands of dollars",10328924,10482804,11077295,11733847,12324416,12794998,13460960,14256392,15122490,16103091,17037858,17532353,17998024,18772302,19588215,19949102,20515476,21225740,20517847,20397036,21050053,21844148,21571848,22569614,24130329,25859270,27410614
 "02000","Alaska",8,SAINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",2531496,2648664,2818378,3153314,3388080,3734310,3997473,4335579,4476020,4683769,4775985,5006987,5169982,5692027,6143052,6405385,6620423,6595748,6672841,6758639,7241944,7118877,6779734,6740912,6865740,7380149,7696802
 "02000","Alaska",8,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",1715139,1824247,1957926,2255768,2437978,2756152,2951911,3207185,3251966,3429311,3489261,3698557,3832065,4247881,4591887,4798960,5052673,5018703,5163287,5249117,5715194,5554632,5219611,5070047,5059072,5463711,5677101
 "02000","Alaska",8,SAINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",816357,824417,860452,897546,950102,978158,1045562,1128394,1224054,1254458,1286724,1308430,1337917,1444146,1551165,1606425,1567750,1577045,1509554,1509522,1526750,1564245,1560123,1670865,1806668,1916438,2019701
 "02000","Alaska",8,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",43020,43785,45193,47488,49171,51065,52949,55423,57155,59990,62129,64312,65743,68267,70501,72051,74162,75683,75338,76061,79481,80769,85434,86138,88915,93196,96864
 "02000","Alaska",8,SAINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",7516,10057,6863,6898,6836,6051,6362,6098,6268,6423,13225,19110,18926,18222,20370,20482,20864,19349,20659,25725,23431,23179,24784,25605,27508,31063,33122
 "02000","Alaska",8,SAINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",12852904,13121411,13888810,14880263,15705660,16523257,17452071,18585873,19592242,20780437,21800618,22520230,23149080,24446107,25710897,26334005,27115035,27802139,27170029,27129950,28268566,28939846,28326798,29284921,30968561,33208356,35074294
 "02000","Alaska",8,SAINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",8196413,8343826,8909807,9620112,10007550,10439625,11094943,11845297,12524447,13421233,14154934,14358182,14702801,15525769,16411463,17213220,17746225,18391031,17506565,17339445,18004567,18794966,18241277,19282413,20730572,22263074,23540010
 "02000","Alaska",8,SAINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",70798,73893,74845,(D),45256,45020,42268,43340,35281,30706,28310,28320,40058,59878,49689,53314,55884,54621,49695,48046,49068,56799,(D),49755,54556,52563,52684
 "02000","Alaska",8,SAINC6N,101,"113","    Forestry and logging ","Thousands of dollars",56664,58117,59287,38554,34669,33241,(D),29593,24999,19834,16419,16042,(D),(D),23141,23412,24813,23390,22617,(D),19011,23620,24479,17817,16556,15830,16155
 "02000","Alaska",8,SAINC6N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",11910,14058,13493,(D),(D),7762,8444,9150,(D),(D),(D),6643,14950,32153,21250,24062,25215,24389,20903,21639,(D),24540,23051,22029,28463,25550,24112
 "02000","Alaska",8,SAINC6N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",(T),(T),(T),(D),(D),4017,(D),4597,(D),(D),(D),5635,(D),(D),5298,5840,5856,6842,6175,(D),(D),8639,(D),9909,9537,11183,12417
