GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "01000","Alabama",5,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",64315160,67298370,69928639,72064289,74160739,77096245,81601090,86372328,91134716,95277760,97630091,95329755,96818351,98900846,100361775,102164692,106010648,109998824,112845276,116600536,121575834,126954047,129898385,139392779,149586933,159867029,168349427
 "01000","Alabama",5,SAINC6N,5,"..."," Wages and salaries ","Thousands of dollars",52742568,55189942,57239267,58650321,60174752,62193093,65590374,69327833,73731431,77268164,79136690,76305703,77297084,78940301,81164516,82337068,85162009,88399367,90621984,94032369,98097145,102552723,105149106,112547196,122092340,130404525,137375803
 "01000","Alabama",5,SAINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",11572592,12108428,12689372,13413968,13985987,14903152,16010716,17044495,17403285,18009596,18493401,19024052,19521267,19960545,19197259,19827624,20848639,21599457,22223292,22568167,23478689,24401324,24749279,26845583,27494593,29462504,30973624
 "01000","Alabama",5,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",7595583,7981718,8415821,9031453,9510484,10251982,11155986,11910302,12050191,12425799,12747102,13416165,13616653,13880687,13030519,13571628,14477887,15013746,15614329,15751728,16371424,16959991,17055208,18609609,18667126,20079206,21089139
 "01000","Alabama",5,SAINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",3977009,4126710,4273551,4382515,4475503,4651170,4854730,5134193,5353094,5583797,5746299,5607887,5904614,6079858,6166740,6255996,6370752,6585711,6608963,6816439,7107265,7441333,7694071,8235974,8827467,9383298,9884485
 "01000","Alabama",5,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",32248,33530,34811,36246,37621,39221,40794,42417,43962,45462,47051,48438,49660,50737,51103,51616,53102,54311,55043,56240,57927,59693,63540,66524,69360,72525,75262
 "01000","Alabama",5,SAINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",147279,135732,147715,195029,188097,156954,207778,182909,191073,222971,208790,207292,207283,179672,235240,180493,148737,204769,166687,170575,165346,124717,128151,159396,176146,274871,401234
 "01000","Alabama",5,SAINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",64167881,67162638,69780924,71869260,73972642,76939291,81393312,86189419,90943643,95054789,97421301,95122463,96611068,98721174,100126535,101984199,105861911,109794055,112678589,116429961,121410488,126829330,129770234,139233383,149410787,159592158,167948193
 "01000","Alabama",5,SAINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",50295193,52656934,54675501,56037209,57299561,59164854,62716593,66580222,70477467,73195217,74462483,71290074,72032239,73904694,75752795,77673042,80848067,84215043,86530358,89840946,94233397,98788664,100520743,109036738,118019848,125577630,131509075
 "01000","Alabama",5,SAINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",313313,305589,317203,(D),304010,305107,344929,328405,342468,343035,333410,330023,349912,351887,364135,368515,400773,416505,426634,426552,445476,474360,509370,507570,511726,544147,552973
 "01000","Alabama",5,SAINC6N,101,"113","    Forestry and logging ","Thousands of dollars",201607,193745,194284,(D),187111,189424,216449,203387,212859,213128,198811,190511,207944,210429,210104,211091,231337,239021,239575,231337,237408,245715,267405,271686,277573,294313,299025
 "01000","Alabama",5,SAINC6N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",(T),(T),1592,2279,1888,1263,1748,1428,1652,1633,1741,2291,3266,2797,2612,2581,2463,2123,2083,2016,2795,2637,2894,2897,2712,3154,2486
 "01000","Alabama",5,SAINC6N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",109928,110004,121327,116100,115011,114420,126732,123590,127957,128274,132858,137221,138702,138661,151419,154843,166973,175361,184976,193199,205273,226008,239071,232987,231441,246680,251462
 "01000","Alabama",5,SAINC6N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",559811,527946,477213,485285,479457,468949,484731,559554,588272,601952,662031,630236,687104,756920,781241,744415,725729,660365,460216,570239,654021,639485,581729,521666,616388,710120,777165
 "01000","Alabama",5,SAINC6N,201,"211","    Oil and gas extraction ","Thousands of dollars",37878,38519,42640,52044,46840,57782,53057,58085,69261,79718,83393,86502,90821,92802,94064,91887,93769,60360,57989,62521,64606,60166,42815,48199,54682,73738,67005
 "01000","Alabama",5,SAINC6N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",447393,426139,390405,391192,394375,375267,390297,452426,460814,460746,515558,491771,542826,606998,620195,581103,556733,531965,349151,441821,518142,509242,467963,407601,488839,554864,618819
 "01000","Alabama",5,SAINC6N,203,"213","    Support activities for mining ","Thousands of dollars",74540,63288,44168,42049,38242,35900,41377,49043,58197,61488,63080,51963,53457,57120,66982,71425,75227,68040,53076,65897,71273,70077,70951,65866,72867,81518,91341
 "01000","Alabama",5,SAINC6N,300,"22","   Utilities ","Thousands of dollars",945176,990674,1047996,1291687,1275403,1325353,1384666,1343372,1432967,1505140,1547079,1531677,1544431,1710994,1646004,1727090,1741547,1869708,1995159,1926789,2012322,2157926,2220775,2230198,2218965,2169284,2201574
 "01000","Alabama",5,SAINC6N,400,"23","   Construction ","Thousands of dollars",3448890,3776207,3963654,4021433,3926919,4017448,4241655,4583781,4950497,5371801,5407231,4722664,4688080,4334720,4409749,4447550,4713250,4902991,5186956,5422659,5835655,6415478,6650211,7047515,7827870,8359728,9288874
 "01000","Alabama",5,SAINC6N,401,"236","    Construction of buildings ","Thousands of dollars",991812,1050257,1086945,1177619,1145685,1147853,1197146,1285126,1353629,1474936,1471762,1253637,1191051,1096767,1150140,1175684,1173339,1249084,1310991,1358518,1468410,1666196,1735882,1805303,2005676,2167625,2425568
 "01000","Alabama",5,SAINC6N,402,"237","    Heavy and civil engineering construction ","Thousands of dollars",590535,644058,690212,708567,682825,668691,703605,799475,879711,947716,926225,872737,976615,949373,985779,950159,1065714,1089961,1153898,1283780,1294979,1354251,1362905,1432220,1612845,1668173,1787717
 "01000","Alabama",5,SAINC6N,403,"238","    Specialty trade contractors ","Thousands of dollars",1866543,2081892,2186497,2135247,2098409,2200904,2340904,2499180,2717157,2949149,3009244,2596290,2520414,2288580,2273830,2321707,2474197,2563946,2722067,2780361,3072266,3395031,3551424,3809992,4209349,4523930,5075589
 "01000","Alabama",5,SAINC6N,500,"31-33","   Manufacturing ","Thousands of dollars",13762486,14019364,14094669,14130887,13865385,13824727,14487252,15252737,16016329,16235857,15995428,14284628,14396282,14650804,15237774,15795328,16716575,17268048,17674102,18197908,19013479,19592458,19299587,20668297,22710087,24364815,25817721
 "01000","Alabama",5,SAINC6N,510,"321,327-339","    Durable goods manufacturing ","Thousands of dollars",7716797,7966931,7995265,8109724,8241086,8288474,8931022,9711156,10514298,10739634,10633573,9318146,9404034,9585830,10110550,10524893,11269080,11770705,12019742,12350253,12911371,13255241,12967657,14158591,15661028,17160607,18312533
 "01000","Alabama",5,SAINC6N,511,"321","     Wood product manufacturing ","Thousands of dollars",870074,918208,860360,814391,805038,759110,798969,843488,868263,837027,745255,542916,552032,582226,593750,650921,712845,765597,824401,875286,967459,1039637,1108821,1277225,1422541,1396976,1448589
 "01000","Alabama",5,SAINC6N,512,"327","     Nonmetallic mineral product manufacturing ","Thousands of dollars",379687,391212,413391,421157,410775,416369,426311,451787,496144,549826,512653,412502,391206,383829,371947,388762,408822,435627,455286,482276,505512,540211,541172,594791,654727,731473,834938
 "01000","Alabama",5,SAINC6N,513,"331","     Primary metal manufacturing ","Thousands of dollars",1242966,1258499,1161811,1102722,1078153,1074753,1172567,1239198,1324190,1339270,1380435,1118840,1247764,1384771,1495170,1475701,1597737,1558524,1511114,1542172,1653899,1697568,1615565,1837996,2030377,2237768,2351616
 "01000","Alabama",5,SAINC6N,514,"332","     Fabricated metal product manufacturing ","Thousands of dollars",1090397,1139069,1143180,1134931,1161287,1174957,1220096,1307326,1380860,1455527,1509832,1357075,1305874,1284610,1402979,1398690,1471921,1536252,1537882,1597984,1692553,1746206,1703911,1820435,1976901,2129725,2227176
 "01000","Alabama",5,SAINC6N,515,"333","     Machinery manufacturing ","Thousands of dollars",596970,613531,633399,610527,578610,566715,608147,647669,704843,709725,702881,615917,603343,654676,654824,655715,677613,717373,701227,724326,760495,790179,729800,759066,839309,919669,962611
 "01000","Alabama",5,SAINC6N,516,"334","     Computer and electronic product manufacturing ","Thousands of dollars",885574,825693,846063,877661,838490,883538,890945,889183,964288,957962,837621,818027,755196,714710,657613,653807,677387,696195,704804,734895,761004,744953,718247,737777,735336,776384,800020
 "01000","Alabama",5,SAINC6N,517,"335","     Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",305547,319465,310437,312485,307736,300938,321247,342123,337126,326775,321431,321790,318371,322710,347531,370495,384070,391227,398527,391935,410064,422683,458596,484509,531530,599367,602523
 "01000","Alabama",5,SAINC6N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",1071079,1122630,1162171,1125708,1280195,1421163,1651226,2067376,2342112,2305428,2256874,1823735,1958946,1989130,2239670,2486260,2783066,2935681,3020819,3048311,3170649,3230357,2998915,3438491,4073867,(D),5263488
 "01000","Alabama",5,SAINC6N,519,"3364-3466,3369","     Other transportation equipment manufacturing ","Thousands of dollars",574844,633232,713703,972990,1033316,945588,1039750,1063863,1205821,1370790,1532086,1601456,1595037,1604554,1651421,1728890,1797193,1929652,2009231,2051985,2059359,2116631,2105106,2141348,2277653,(D),2647272
 "01000","Alabama",5,SAINC6N,521,"337","     Furniture and related product manufacturing ","Thousands of dollars",430736,450814,464786,437858,437884,446231,490860,530088,541070,528806,477202,380219,350596,343871,346059,353459,367843,396341,428141,457013,469642,458571,489351,505714,544341,535526,535936
 "01000","Alabama",5,SAINC6N,522,"339","     Miscellaneous manufacturing ","Thousands of dollars",268923,294578,285964,299294,309602,299112,310904,329055,349581,358498,357303,325669,325669,320743,349586,362193,390583,408236,428310,444070,460735,468245,498173,561239,574446,584092,638364
 "01000","Alabama",5,SAINC6N,530,"311-316,322-326","    Nondurable goods manufacturing ","Thousands of dollars",6045689,6052433,6099404,6021163,5624299,5536253,5556230,5541581,5502031,5496223,5361855,4966482,4992248,5064974,5127224,5270435,5447495,5497343,5654360,5847655,6102108,6337217,6331930,6509706,7049059,7204208,7505188
 "01000","Alabama",5,SAINC6N,531,"311","     Food manufacturing ","Thousands of dollars",951012,1022295,1056495,1073467,1097002,1112847,1163169,1150359,1173366,1213424,1230974,1235144,1258956,1204746,1203707,1256815,1291377,1285339,1346954,1407122,1496235,1552353,1598393,1676888,1891448,1881044,2006487
