GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "09000","Connecticut",1,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",82083870,86893617,93731576,97473476,96906969,99647825,105930750,110514970,115267037,122582666,124109560,118301066,120457479,124611273,127339934,129159372,133062026,137549065,138855458,140455748,143354105,146475614,146303092,154773804,166204830,174121545,183630797
 "09000","Connecticut",1,SAINC6N,5,"..."," Wages and salaries ","Thousands of dollars",68510384,72496956,78195987,80744831,79812624,81418081,85974421,89732543,94440650,100686085,101542786,96172920,97780820,101498258,104235119,105454035,108999885,112384762,113353303,114782104,116962154,120275656,120140691,127786550,137795003,144635516,152298775
 "09000","Connecticut",1,SAINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",13573486,14396661,15535589,16728645,17094345,18229744,19956329,20782427,20826387,21896581,22566774,22128146,22676659,23113015,23104815,23705337,24062141,25164303,25502155,25673644,26391951,26199958,26162401,26987254,28409827,29486029,31332022
 "09000","Connecticut",1,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",8901247,9551210,10374237,11422894,11474900,12487912,13933671,14631502,14547756,15352536,15812586,15510881,16012755,16146925,15903382,16374834,16574065,17450596,17692106,17714509,18307725,17970411,17921382,18413160,19193972,19907130,21020756
 "09000","Connecticut",1,SAINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",4672239,4845451,5161352,5305751,5619445,5741832,6022658,6150925,6278631,6544045,6754188,6617265,6663904,6966090,7201433,7330503,7488076,7713707,7810049,7959135,8084226,8229547,8241019,8574094,9215855,9578899,10311266
 "09000","Connecticut",1,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",48020,50143,53351,55593,55771,58074,61487,63806,65916,69524,70332,69915,72070,73916,74692,75210,76894,79040,79572,80498,81923,83785,89840,92536,96514,99303,103945
 "09000","Connecticut",1,SAINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",121084,112950,132316,140594,176124,157101,152035,121834,135487,159163,152547,145883,138726,122356,176019,181185,192206,159704,179925,152997,137476,113755,120291,115293,177036,194704,192143
 "09000","Connecticut",1,SAINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",81962786,86780667,93599260,97332882,96730845,99490724,105778715,110393136,115131550,122423503,123957013,118155183,120318753,124488917,127163915,128978187,132869820,137389361,138675533,140302751,143216629,146361859,146182801,154658511,166027794,173926841,183438654
 "09000","Connecticut",1,SAINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",70168067,74201155,80134842,82843265,81570353,83822135,89276167,93123166,97587117,103881833,104646746,98755781,100672451,104485554,107437523,108602667,111909892,115495353,116690140,118273612,121168808,124571279,123918295,131938294,142326140,148871974,157251277
 "09000","Connecticut",1,SAINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",22510,22074,24303,17661,17942,18671,21616,19956,23718,23561,22097,23843,21606,21721,22701,22716,24748,25970,26109,24777,25392,25472,(D),28026,(D),29197,(D)
 "09000","Connecticut",1,SAINC6N,101,"113","    Forestry and logging ","Thousands of dollars",(T),2194,2221,968,988,1159,1384,879,832,420,253,148,157,249,106,(D),141,246,312,305,307,222,(D),(D),(D),161,(D)
 "09000","Connecticut",1,SAINC6N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",(T),(T),3973,2914,2586,2637,3118,2811,3301,3372,2886,3523,3701,4264,4801,(D),4242,4120,4410,3999,3405,2353,(D),(D),(D),1204,(D)
 "09000","Connecticut",1,SAINC6N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",15013,15644,18109,13779,14368,14875,17114,16266,19585,19769,18958,20172,17748,17208,17794,18262,20365,21604,21387,20473,21680,22897,24624,25576,27561,27832,28243
 "09000","Connecticut",1,SAINC6N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",41524,46429,45340,45632,44817,48271,49256,49636,55690,53505,58684,49775,47352,44859,43950,43366,46848,48672,49511,51382,50380,49641,(D),40577,(D),49349,50403
