GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "19000","Iowa",4,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",46526119,48914622,51506498,53031414,54059523,56041003,59524271,62376868,65573779,69114816,71733737,70657800,71892022,74115522,77838948,80033498,84338972,87449031,90079109,92662351,96352602,98502956,100042961,105614010,112645205,118216437,122990660
 "19000","Iowa",4,SAINC6N,5,"..."," Wages and salaries ","Thousands of dollars",38197432,40182058,41958028,42987825,43745503,45214332,47893382,50009356,52642490,55523375,57467844,56074162,57200782,59355993,62155744,64000479,67142749,70063899,71741705,73778353,76433767,78559316,80140564,85059668,91485783,95898414,99640190
 "19000","Iowa",4,SAINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",8328687,8732564,9548470,10043589,10314020,10826671,11630889,12367512,12931289,13591441,14265893,14583638,14691240,14759529,15683204,16033019,17196223,17385132,18337404,18883998,19918835,19943640,19902397,20554342,21159422,22318023,23350470
 "19000","Iowa",4,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",5292555,5563745,6258203,6702377,6933272,7267962,7916029,8488922,8843087,9317231,9788627,10185347,10053555,9875599,10674229,10939011,11997903,12110886,12772158,13166703,14076163,13926358,13646249,14019765,14111064,15097427,15780086
 "19000","Iowa",4,SAINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",3036132,3168819,3290267,3341212,3380748,3558709,3714860,3878590,4088202,4274210,4477266,4398291,4637685,4883930,5008975,5094008,5198320,5274246,5565246,5717295,5842672,6017282,6256148,6534577,7048358,7220596,7570384
 "19000","Iowa",4,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",31007,32157,33570,34841,35857,37360,39117,40358,41798,43744,45220,45853,46815,47784,49561,50252,52466,53745,55146,56839,58809,59844,63869,66169,69276,71863,74700
 "19000","Iowa",4,SAINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",363942,352209,352980,392016,374098,485629,540950,449992,408957,687572,599580,595643,614954,589993,785651,697515,817492,677633,678347,890188,759054,785016,706313,965174,922454,1010709,1238360
 "19000","Iowa",4,SAINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",46162177,48562413,51153518,52639398,53685425,55555374,58983321,61926876,65164822,68427244,71134157,70062157,71277068,73525529,77053297,79335983,83521480,86771398,89400762,91772163,95593548,97717940,99336648,104648836,111722751,117205728,121752300
 "19000","Iowa",4,SAINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",37947815,39894520,41961133,42914631,43674546,45081188,48022648,50485916,53190977,55866165,57858602,55931770,56672734,58980681,62402930,64008647,67612610,70319917,72361334,74212860,77482695,79463056,80786712,85883115,92544276,97008490,100511900
 "19000","Iowa",4,SAINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",66127,71868,78076,78174,80495,96842,128262,130018,148869,159290,174560,202852,220122,227220,277271,287301,289395,293632,303010,313619,331249,339320,373268,371937,396803,428213,460584
 "19000","Iowa",4,SAINC6N,101,"113","    Forestry and logging ","Thousands of dollars",1668,1364,2077,1193,1346,1001,1023,1079,1208,1353,1158,1020,985,1160,(D),1611,1684,1895,1717,(D),3344,2884,3322,3178,2996,3186,3587
 "19000","Iowa",4,SAINC6N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",(T),(T),(T),298,314,336,380,389,407,422,356,370,378,382,(D),489,900,1015,1023,(D),1361,1367,1471,1347,1628,1565,1703
 "19000","Iowa",4,SAINC6N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",62545,68352,73492,76683,78835,95505,126859,128550,147254,157515,173046,201462,218759,225678,275235,285201,286811,290722,300270,309676,326544,335069,368475,367412,392179,423462,455294
 "19000","Iowa",4,SAINC6N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",84687,89512,89223,97153,92163,92627,105848,111287,116053,117660,122848,119453,118600,123770,129886,133978,143676,152459,159907,174420,187136,186060,172665,179063,191554,205939,210137
 "19000","Iowa",4,SAINC6N,201,"211","    Oil and gas extraction ","Thousands of dollars",(T),(T),(T),(D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(D),(D),(D),(D)
 "19000","Iowa",4,SAINC6N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",82487,87118,85795,96498,(D),91957,105225,110153,115150,116857,120877,117636,116717,121677,128307,131828,141053,148844,156803,170900,183724,181921,168130,170991,186282,200084,205131
 "19000","Iowa",4,SAINC6N,203,"213","    Support activities for mining ","Thousands of dollars",(T),(T),(T),(D),(D),670,623,1134,903,803,1971,1817,1883,2093,1579,2150,2623,3615,3104,3520,3412,4139,4535,(D),(D),(D),(D)
 "19000","Iowa",4,SAINC6N,300,"22","   Utilities ","Thousands of dollars",514204,558610,554157,647433,707135,636683,685988,630767,665608,718059,746523,740002,717635,732819,723208,719363,776238,781860,815118,805347,839775,851205,912588,870567,849807,818717,868738
 "19000","Iowa",4,SAINC6N,400,"23","   Construction ","Thousands of dollars",2469556,2676816,2683390,2733088,2812507,2935479,3164844,3451727,3765864,3832174,4035369,3589613,3419928,3541638,3847728,4135829,4863095,5361941,5814798,5251640,5491504,5739746,5894373,6080340,6706453,7149197,7594611
 "19000","Iowa",4,SAINC6N,401,"236","    Construction of buildings ","Thousands of dollars",591918,645221,644814,639054,677137,685994,745242,827321,875083,907871,980623,791995,727154,783862,810993,861609,1075566,1158818,1188809,1106596,1146361,1158948,1124826,1196627,1378914,1433524,1534750
 "19000","Iowa",4,SAINC6N,402,"237","    Heavy and civil engineering construction ","Thousands of dollars",468333,498231,460709,455916,470299,512320,542412,623052,642251,627326,652751,616891,589822,643370,711705,729292,884698,1115164,1236960,890211,966182,1063462,1149454,1136736,1189136,1224676,1217531
 "19000","Iowa",4,SAINC6N,403,"238","    Specialty trade contractors ","Thousands of dollars",1409305,1533364,1577867,1638118,1665071,1737165,1877190,2001354,2248530,2296977,2401995,2180727,2102952,2114406,2325030,2544928,2902831,3087959,3389029,3254833,3378961,3517336,3620093,3746977,4138403,4490997,4842330
 "19000","Iowa",4,SAINC6N,500,"31-33","   Manufacturing ","Thousands of dollars",10302710,10633399,11104424,11118832,10863463,11034723,11824813,12440992,12862735,13312715,13552063,12198372,12536084,13121985,13830772,14132552,14799202,15024999,14976886,15804656,16793651,16950477,17000051,17817900,19186545,20032075,20433277
 "19000","Iowa",4,SAINC6N,510,"321,327-339","    Durable goods manufacturing ","Thousands of dollars",6594401,6749967,7155145,7097553,6834757,6937766,7591905,8057744,8434714,8692265,8673721,7463035,7673341,8299037,8795443,8964307,9342415,9417501,9105732,9573609,10249956,10217775,9843929,10418621,11165474,11852641,12014648
 "19000","Iowa",4,SAINC6N,511,"321","     Wood product manufacturing ","Thousands of dollars",345050,404231,451308,467202,478641,492144,530567,594582,579992,595956,566636,455461,438531,434429,429711,459276,485663,508634,540139,581123,608720,634979,629750,690850,800793,897711,857929
 "19000","Iowa",4,SAINC6N,512,"327","     Nonmetallic mineral product manufacturing ","Thousands of dollars",277647,296646,323446,341505,334742,311979,327774,326165,331794,316842,309168,263116,257386,269862,292236,296551,319020,368950,379254,402514,410747,422242,423708,443351,471527,491004,510707
 "19000","Iowa",4,SAINC6N,513,"331","     Primary metal manufacturing ","Thousands of dollars",432459,471687,464079,450104,423903,416768,482473,513436,514686,538991,558791,449480,493011,565281,596855,603985,613108,595616,568297,606913,640089,658491,592231,631036,712686,755365,724260
 "19000","Iowa",4,SAINC6N,514,"332","     Fabricated metal product manufacturing ","Thousands of dollars",893746,903681,941702,896884,867082,855532,911506,959788,1039137,1083205,1113502,946355,941057,1017588,1129652,1178892,1228665,1262423,1240463,1291522,1399889,1431074,1374006,1461755,1563819,1642750,1662537
 "19000","Iowa",4,SAINC6N,515,"333","     Machinery manufacturing ","Thousands of dollars",1926233,1838793,1919270,1901868,1783424,1827789,2074894,2235973,2406315,2576974,2702649,2458924,2551966,2887956,3136993,3138364,3237544,3201085,2930885,3136620,3407257,3445851,3321298,3647954,3924215,4262055,4211083
 "19000","Iowa",4,SAINC6N,516,"334","     Computer and electronic product manufacturing ","Thousands of dollars",734060,752858,755244,832661,787539,798518,875473,1000391,1059619,1169053,1173824,1095715,1149010,1244960,1237439,1240075,1290887,1324570,1302407,1417200,1546411,1427189,1453599,1370615,1498485,1569647,1674100
 "19000","Iowa",4,SAINC6N,517,"335","     Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",552603,650159,737988,714941,667992,673504,657428,639923,687591,616592,522516,435350,439385,404678,393013,404520,412815,442906,469467,501988,548129,560472,525933,529074,534345,524971,545156
 "19000","Iowa",4,SAINC6N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",819625,749616,814804,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),802454,844765,905225,813580,(D),(D),715572,707037,640074,(D),757442,(D),853199
 "19000","Iowa",4,SAINC6N,519,"3364-3466,3369","     Other transportation equipment manufacturing ","Thousands of dollars",41501,66618,60395,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),171901,178573,208968,237967,239196,(D),212201,219638,190959,(D),182518,(D),189506
 "19000","Iowa",4,SAINC6N,521,"337","     Furniture and related product manufacturing ","Thousands of dollars",328006,351131,403497,374140,389847,405508,431949,467954,481346,492175,454399,336305,332296,338824,361918,376108,397541,412288,418269,442719,440253,432956,408731,423589,399862,421752,457631
 "19000","Iowa",4,SAINC6N,522,"339","     Miscellaneous manufacturing ","Thousands of dollars",243471,264547,283412,264743,231605,273540,281554,284385,280373,254523,273036,244452,234750,233609,243271,243198,242979,249482,(D),257336,320688,277846,283640,318474,319782,319929,328540
 "19000","Iowa",4,SAINC6N,530,"311-316,322-326","    Nondurable goods manufacturing ","Thousands of dollars",3708309,3883432,3949279,4021279,4028706,4096957,4232908,4383248,4428021,4620450,4878342,4735337,4862743,4822948,5035329,5168245,5456787,5607498,5871154,6231047,6543695,6732702,7156122,7399279,8021071,8179434,8418629
 "19000","Iowa",4,SAINC6N,531,"311","     Food manufacturing ","Thousands of dollars",1877041,1976893,2018998,2095116,2146168,2215715,2315584,2397426,2398384,2508573,2629565,2678947,2743270,2732603,2845241,2905284,3038132,3168704,3332209,3540944,3753256,3918147,4365921,4462585,4792439,4846660,5004797
 "19000","Iowa",4,SAINC6N,532,"312","     Beverage and tobacco product manufacturing ","Thousands of dollars",59613,60083,55561,57486,56812,65290,64480,64277,65448,66406,67107,71952,75850,78718,83371,86477,92523,99933,103981,112853,125356,116921,124827,141254,130216,164573,169517
 "19000","Iowa",4,SAINC6N,533,"313","     Textile mills ","Thousands of dollars",(T),(T),(T),7141,7095,7142,6414,5663,5490,5662,6089,5579,5116,5071,5291,5496,6471,6134,5904,5954,5811,5369,4887,5252,5698,5678,4875
 "19000","Iowa",4,SAINC6N,534,"314","     Textile product mills ","Thousands of dollars",23118,24204,26387,25570,24779,25258,22842,21351,19162,20896,21801,21830,23241,23705,26270,25412,25602,25385,24867,25706,27130,28413,25461,26074,27524,29000,30421
 "19000","Iowa",4,SAINC6N,535,"315","     Apparel manufacturing ","Thousands of dollars",84675,92387,77562,71454,61842,58770,63125,58545,56029,54892,55709,46134,44657,43186,42729,41407,43026,43348,45608,46264,46490,45699,40256,42165,45759,44438,45711
 "19000","Iowa",4,SAINC6N,536,"316","     Leather and allied product manufacturing ","Thousands of dollars",26348,29163,32070,30748,27060,22028,21869,18705,15535,15080,13653,8131,8091,9406,9673,9718,10760,9708,10041,11038,11979,11556,11943,13347,15544,14869,13410
 "19000","Iowa",4,SAINC6N,537,"322","     Paper manufacturing ","Thousands of dollars",214357,254086,226980,270285,240274,243679,253372,255962,250188,249781,256627,237417,244534,246065,247838,250106,256299,253729,262543,274861,279936,295030,298856,276750,297143,289701,290880
 "19000","Iowa",4,SAINC6N,538,"323","     Printing and related support activities ","Thousands of dollars",376338,384573,392745,380582,355508,351360,349826,364954,366931,378399,382901,338626,330643,322984,331536,333870,335507,322483,330413,331019,338036,336995,306942,345349,377048,379413,382689
 "19000","Iowa",4,SAINC6N,539,"324","     Petroleum and coal products manufacturing ","Thousands of dollars",20244,21193,24327,32780,27223,29856,21671,27507,27324,23801,27255,30938,28966,37218,45444,42629,40199,37020,36996,37573,42060,40619,44177,45607,47330,54216,62737
 "19000","Iowa",4,SAINC6N,541,"325","     Chemical manufacturing ","Thousands of dollars",374631,386056,427390,440224,439434,450368,492731,511642,559950,651015,767969,754017,808708,741450,779456,833020,943791,990184,1022179,1094999,1120537,1123613,1123287,1188327,1345032,1434130,1480962
 "19000","Iowa",4,SAINC6N,542,"326","     Plastics and rubber products manufacturing ","Thousands of dollars",645959,646971,658543,609893,642511,627491,620994,657216,663580,645945,649666,541766,549667,582542,618480,634826,664477,650870,696413,749836,793104,810340,809565,852569,937338,916756,932630
 "19000","Iowa",4,SAINC6N,600,"42","   Wholesale trade ","Thousands of dollars",2749548,2953463,2900152,2994192,3047071,3046429,3238960,3478620,3605827,3818942,4072339,3954279,4018683,4268819,4566638,4661178,4823123,4819424,4831809,5006366,5200422,5249099,5367709,5673689,6247660,6653541,6782254
 "19000","Iowa",4,SAINC6N,700,"44-45","   Retail trade ","Thousands of dollars",3937141,4112276,4365290,4241079,4323675,4429918,4529832,4574902,4658703,4748296,4866552,4827339,4771180,4942130,5111813,5142132,5308938,5493954,5724626,5862007,5947253,6044730,6243891,6784407,7152016,7541616,7681206
 "19000","Iowa",4,SAINC6N,701,"441","    Motor vehicle and parts dealers ","Thousands of dollars",720788,784748,808863,852537,864898,880387,893451,892229,897116,923015,921719,863402,910064,973100,1037004,1085240,1132672,1184464,1239629,1263104,1289159,1355995,1402665,1628964,1705385,1806581,1819651
 "19000","Iowa",4,SAINC6N,702,"442","    Furniture and home furnishings stores ","Thousands of dollars",131099,138708,153011,146654,152710,160776,167876,169151,170860,172113,168711,148198,140855,141354,145674,148269,152131,158396,169574,173470,172804,172055,163542,190579,(D),(D),(D)
 "19000","Iowa",4,SAINC6N,703,"443","    Electronics and appliance stores ","Thousands of dollars",236696,202547,213560,222472,226521,220897,207031,212962,223384,209577,218085,222084,224706,242790,244678,237864,232900,231359,241138,242311,230440,233767,235493,240362,(D),(D),(D)
 "19000","Iowa",4,SAINC6N,704,"444","    Building material and garden equipment and supplies dealers ","Thousands of dollars",454630,492576,511873,488996,500492,510967,517586,501831,524432,523291,532344,515255,497747,508064,520540,531161,550911,560206,581877,600774,614522,618295,665729,703015,744720,773364,781044
 "19000","Iowa",4,SAINC6N,705,"445","    Food and beverage stores ","Thousands of dollars",674953,696390,723197,690069,682585,692016,692414,703248,725319,757882,804142,827197,803746,831008,868071,893185,935650,1007646,1036648,1056001,1058102,1068124,1158268,1149919,1156713,1210106,1225222
 "19000","Iowa",4,SAINC6N,706,"446","    Health and personal care stores ","Thousands of dollars",208517,222129,244088,245695,263756,277723,294678,304451,302762,314574,327564,334835,336101,339714,348205,354323,354281,349903,372322,378971,377519,383318,388099,395920,(D),(D),(D)
 "19000","Iowa",4,SAINC6N,707,"447","    Gasoline stations ","Thousands of dollars",295955,314239,334757,311467,316656,310131,321552,316705,318483,332182,338604,339731,350292,361881,377593,390836,412885,458209,496200,518118,537794,569074,592865,645063,(D),(D),(D)
 "19000","Iowa",4,SAINC6N,708,"448","    Clothing and clothing accessories stores ","Thousands of dollars",203765,205584,221382,206503,205710,211647,216301,220470,224730,226958,229723,219905,216544,180329,191334,194240,193733,195822,195936,198607,206084,204926,169896,193763,(D),(D),(D)
 "19000","Iowa",4,SAINC6N,709,"451","    Sporting goods, hobby, musical instrument, and book stores ","Thousands of dollars",115997,147962,139205,126502,131739,137402,145225,150444,150987,145264,145450,140600,137009,135159,136864,139878,141387,147177,146611,146985,145508,143780,142524,168059,(D),(D),(D)
 "19000","Iowa",4,SAINC6N,711,"452","    General merchandise stores ","Thousands of dollars",525932,549321,638005,611817,640961,682348,722252,746432,765965,783017,820108,872735,831400,893400,889991,872992,893043,883331,933772,962298,975368,940086,976876,1069469,(D),(D),(D)
 "19000","Iowa",4,SAINC6N,712,"453","    Miscellaneous store retailers ","Thousands of dollars",236814,247041,258403,216636,220706,213514,210884,211937,203452,202531,198610,190805,175935,178172,182724,181005,188340,191608,188364,191499,193200,200247,186974,209748,(D),(D),(D)
 "19000","Iowa",4,SAINC6N,713,"454","    Nonstore retailers ","Thousands of dollars",131995,111031,118946,121731,116941,132110,140582,145042,151213,157892,161492,152592,146781,157159,169135,113139,121005,125833,122555,129869,146753,155063,160960,189546,(D),(D),(D)
 "19000","Iowa",4,SAINC6N,800,"48-49","   Transportation and warehousing ","Thousands of dollars",1770434,1936914,2053842,2058414,2096627,2162713,2357075,2509230,2649171,2828734,2820744,2741801,2777448,2900132,3070326,3163924,3327984,3506509,3498016,3620894,3831848,3973416,3983716,4422743,4762082,4913218,4998800
 "19000","Iowa",4,SAINC6N,801,"481","    Air transportation ","Thousands of dollars",31055,40975,34218,26889,22344,21075,20487,19187,16669,16764,17488,18164,17448,19886,21451,17175,16465,13799,15344,15802,17909,26200,24688,35386,47611,49345,53739
 "19000","Iowa",4,SAINC6N,802,"482","    Rail transportation ","Thousands of dollars",289997,292563,291614,(D),278899,271690,296812,312755,329079,343528,359563,322090,318638,341766,364233,364679,402250,407308,364180,359179,380184,(D),(D),(D),(D),(D),(D)
 "19000","Iowa",4,SAINC6N,803,"483","    Water transportation ","Thousands of dollars",13233,22852,27345,24222,20941,14812,13077,12484,14179,14896,14957,13511,12374,12530,9747,10153,12253,12067,12613,12872,12315,12725,13239,12746,14593,15162,17297
