GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "21000","Kentucky",5,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",58833731,62813622,66593690,69012573,70936131,73770747,77595503,81576928,85006406,88929868,91480736,88629914,91670953,94653929,98019232,99063135,102371941,107329877,109524346,112533044,116629748,121133560,122286774,131293781,141634671,150646799,157446129
 "21000","Kentucky",5,SAINC6N,5,"..."," Wages and salaries ","Thousands of dollars",48094952,51148699,53945947,55555240,56650063,58473087,61399299,64083952,67307133,70580439,72350823,70412574,71872526,74529050,77055769,78277356,81480090,85379257,87833227,90549717,93333293,96710402,97306815,104857871,114361972,121991368,127718432
 "21000","Kentucky",5,SAINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",10738779,11664923,12647743,13457333,14286068,15297660,16196204,17492976,17699273,18349429,19129913,18217340,19798427,20124879,20963463,20785779,20891851,21950620,21691119,21983327,23296455,24423158,24979959,26435910,27272699,28655431,29727697
 "21000","Kentucky",5,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",6867667,7512869,8422038,9179774,9877312,10789592,11518342,12616027,12605950,13055753,13616308,12755891,14121806,14267217,14887640,14622256,14467649,15228010,14877329,15080850,16286579,17167820,17504763,18454303,18716658,19783818,20222805
 "21000","Kentucky",5,SAINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",3871112,4152054,4225705,4277559,4408756,4508068,4677862,4876949,5093323,5293676,5513605,5461449,5676621,5857662,6075823,6163523,6424202,6722610,6813790,6902477,7009876,7255338,7475196,7981607,8556041,8871613,9504892
 "21000","Kentucky",5,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",32041,33472,34868,36616,38038,39549,41249,42831,44031,45570,47065,47593,49170,50227,51355,51514,52530,54241,54845,55955,57580,59404,63302,65801,68781,71675,74229
 "21000","Kentucky",5,SAINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",215564,230721,216535,264821,326326,356544,346859,276541,302218,355461,337660,319866,303604,259071,365022,371759,375123,330744,367822,378632,343257,284232,303625,289658,483515,578110,560808
 "21000","Kentucky",5,SAINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",58618167,62582901,66377155,68747752,70609805,73414203,77248644,81300387,84704188,88574407,91143076,88310048,91367349,94394858,97654210,98691376,101996818,106999133,109156524,112154412,116286491,120849328,121983149,131004123,141151156,150068689,156885321
 "21000","Kentucky",5,SAINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",47461234,50651346,53783263,55321567,56517742,58511219,61549486,64257782,66334811,69193630,70299983,67568909,68828373,71884766,75113047,75936913,79467469,84090906,86758215,89800633,93192170,97312280,97903662,106324670,115595390,122911647,128221277
 "21000","Kentucky",5,SAINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",174944,188836,210941,200478,192064,195876,219204,210849,238577,233435,241493,250040,243973,240741,252750,251250,265590,284629,297394,301347,316571,341975,389871,381991,391123,429757,444794
 "21000","Kentucky",5,SAINC6N,101,"113","    Forestry and logging ","Thousands of dollars",16129,16038,18513,(D),(D),(D),(D),(D),12385,12544,(D),(D),(D),(D),(D),7193,(D),7412,(D),7488,8163,8661,10442,11530,12375,14098,14216
