GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "30000","Montana",7,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",11027839,11500605,12291758,12875825,13573127,14300842,15184466,16299528,17586162,18911724,19577243,19173242,19684645,20635425,21649001,22267710,23191286,24216796,24754364,26008088,27108421,28199568,29357824,32471915,35282635,37945270,40524656
 "30000","Montana",7,SAINC6N,5,"..."," Wages and salaries ","Thousands of dollars",8912587,9298852,9890097,10389840,10863689,11394099,12088671,12958410,13980713,15055786,15586721,15259215,15506995,16165270,17110385,17618035,18380877,19253590,19823149,20663053,21599439,22517311,23588235,26160014,28666995,30739903,32658183
 "30000","Montana",7,SAINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",2115252,2201753,2401661,2485985,2709438,2906743,3095795,3341118,3605449,3855938,3990522,3914027,4177650,4470155,4538616,4649675,4810409,4963206,4931215,5345035,5508982,5682257,5769589,6311901,6615640,7205367,7866473
 "30000","Montana",7,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",1291798,1359742,1501512,1540861,1699161,1837596,1966510,2114694,2273555,2420916,2527140,2488595,2714828,2921038,2951892,3012750,3098700,3215297,3279481,3511524,3585350,3756047,3713112,4119117,4218558,4639418,5125187
 "30000","Montana",7,SAINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",823454,842011,900149,945124,1010277,1069147,1129285,1226424,1331894,1435022,1463382,1425432,1462822,1549117,1586724,1636925,1711709,1747909,1651734,1833511,1923632,1926210,2056477,2192784,2397082,2565949,2741286
 "30000","Montana",7,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",27863,28620,30041,31099,32492,33797,35024,36812,38609,40566,41943,42609,44015,45732,47036,47702,49294,50515,51136,53196,54826,56247,60332,63845,67169,70759,74722
 "30000","Montana",7,SAINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",142404,142266,156398,157974,175229,155426,167762,186921,180670,213749,204253,223196,198134,196679,271524,306670,294182,246618,284948,298431,289888,213038,305606,333682,315417,345792,434488
 "30000","Montana",7,SAINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",10885435,11358339,12135360,12717851,13397898,14145416,15016704,16112607,17405492,18697975,19372990,18950046,19486511,20438746,21377477,21961040,22897104,23970178,24469416,25709657,26818533,27986530,29052218,32138233,34967218,37599478,40090168
 "30000","Montana",7,SAINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",8043861,8399060,8948534,9402879,9879676,10332689,11034517,11937401,13035792,14077725,14526670,13925392,14331260,15169725,16028344,16579978,17338559,18245081,18520261,19611865,20668912,21698574,22435195,25216022,27948130,30120968,32105185
 "30000","Montana",7,SAINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",68575,72121,76687,74375,86677,84012,91462,89307,99720,103084,102634,96994,102471,112601,129903,133086,145592,161842,170245,183913,189695,192868,222127,242157,257216,283019,312609
