GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "37000","North Carolina",5,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",136226478,145888762,155892552,160371299,162992808,168373061,178532016,188897281,201907019,214633874,219426926,211439778,216509115,222525890,232369107,237845082,250729849,263199167,272553398,285087546,300726703,315960301,325058905,356549685,390232159,414453106,440635944
 "37000","North Carolina",5,SAINC6N,5,"..."," Wages and salaries ","Thousands of dollars",112582392,120556775,129043477,132002644,133601837,136786049,144742613,152363966,163307612,173893777,177812944,169548206,173519323,179966227,187089314,192265489,201604690,212951919,221354380,232415358,245535806,258313222,266510054,294298681,324887136,344495477,365589921
 "37000","North Carolina",5,SAINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",23644086,25331987,26849075,28368655,29390971,31587012,33789403,36533315,38599407,40740097,41613982,41891572,42989792,42559663,45279793,45579593,49125159,50247248,51199018,52672188,55190897,57647079,58548851,62251004,65345023,69957629,75046023
 "37000","North Carolina",5,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",15365682,16527980,17510206,18671663,19651542,21114771,22870925,24846734,26215082,27569296,28062939,28761388,29748802,28586514,30710069,30603962,33329761,33694419,34545275,35708426,37973718,39459534,39690549,41749518,42676453,45684974,49032334
 "37000","North Carolina",5,SAINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",8278404,8804007,9338869,9696992,9739429,10472241,10918478,11686581,12384325,13170801,13551043,13130184,13240990,13973149,14569724,14975631,15795398,16552829,16653743,16963762,17217179,18187545,18858302,20501486,22668570,24272655,26013689
 "37000","North Carolina",5,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",34146,35766,37735,39318,40264,41835,43689,45393,47220,48991,50222,50874,52494,53289,54782,55335,57121,58555,59435,61249,63518,65367,69965,73872,77808,80664,84510
 "37000","North Carolina",5,SAINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",493404,497879,444642,516547,612214,541544,567264,542287,597765,742065,668750,552880,425493,523181,644949,672145,661927,635760,764739,841953,697276,751093,815872,849909,1332878,932459,1184184
 "37000","North Carolina",5,SAINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",135733074,145390883,155447910,159854752,162380594,167831517,177964752,188354994,201309254,213891809,218758176,210886898,216083622,222002709,231724158,237172937,250067922,262563407,271788659,284245593,300029427,315209208,324243033,355699776,388899281,413520647,439451760
 "37000","North Carolina",5,SAINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",109721880,117768137,125798570,128226820,129399695,132536416,140082511,147703625,158431076,167617618,169537170,159967698,163603975,169244132,178549999,183375943,196239637,206580334,214882127,225507341,238515838,251802384,258889421,289014178,318583658,340397691,360958099
 "37000","North Carolina",5,SAINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",275794,281761,299575,311441,329843,342417,390691,386162,428949,437059,428663,466114,472185,477143,519148,532738,593607,616113,633737,639692,663030,676765,725022,720733,736938,781516,822008
 "37000","North Carolina",5,SAINC6N,101,"113","    Forestry and logging ","Thousands of dollars",133911,130038,138041,140939,139163,141410,155956,145082,149061,154602,143473,136281,140195,134977,143205,138149,158518,164813,168435,168577,169929,168499,180411,180844,182924,192930,198847
 "37000","North Carolina",5,SAINC6N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",1653,2427,3614,4273,2303,2088,2592,2472,2211,2432,1784,1983,2118,1982,2149,1458,1584,1329,1350,1723,1927,2016,2326,3092,2799,3212,3326
