GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "31000","Nebraska",4,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",29216040,31017282,32935256,34308038,35689695,37165364,38952140,40614252,42684203,45029132,46666915,46297820,46609251,47946093,50610075,51718402,54294269,56841055,58218198,60579924,63367470,65677932,67186593,71280124,75965040,80143440,84091305
 "31000","Nebraska",4,SAINC6N,5,"..."," Wages and salaries ","Thousands of dollars",24000636,25470909,27013847,27997991,28849334,29908988,31274834,32451246,34293650,36272000,37603765,37040752,37485734,38569717,40467651,41516417,43427985,45775605,46904773,48585116,50446735,52374951,53990375,57593288,62040955,65373603,68245868
 "31000","Nebraska",4,SAINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",5215404,5546373,5921409,6310047,6840361,7256376,7677306,8163006,8390553,8757132,9063150,9257068,9123517,9376376,10142424,10201985,10866284,11065450,11313425,11994808,12920735,13302981,13196218,13686836,13924085,14769837,15845437
 "31000","Nebraska",4,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",3365679,3595836,3882450,4180844,4610721,4942657,5269483,5629647,5675776,5969847,6192840,6403712,6104115,6292204,6990773,7040393,7538528,7604114,7782179,8302569,9152948,9392744,9096297,9399842,9332703,9908964,10680488
 "31000","Nebraska",4,SAINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",1849725,1950537,2038959,2129203,2229640,2313719,2407823,2533359,2714777,2787285,2870310,2853356,3019402,3084172,3151651,3161592,3327756,3461336,3531246,3692239,3767787,3910237,4099921,4286994,4591382,4860873,5164949
 "31000","Nebraska",4,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",31803,33136,34699,36055,37739,39180,40780,42193,43870,45666,47093,47739,48219,49402,51180,51704,53562,55134,56168,58201,60437,62475,66288,69019,72270,74563,77533
 "31000","Nebraska",4,SAINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",343379,327186,365132,417749,388737,460790,436696,388941,429747,522076,546743,545329,494330,526692,565285,553351,583508,640008,621477,714181,692190,671370,601616,646043,757825,753049,943935
 "31000","Nebraska",4,SAINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",28872661,30690096,32570124,33890289,35300958,36704574,38515444,40225311,42254456,44507056,46120172,45752491,46114921,47419401,50044790,51165051,53710761,56201047,57596721,59865743,62675280,65006562,66584977,70634081,75207215,79390391,83147370
 "31000","Nebraska",4,SAINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",23334974,24987016,26617113,27426366,28353187,29288748,30719457,32121994,33636862,35721595,37069383,36302296,36132122,37251685,39820715,40873377,43058282,45135936,46170135,48079825,50572236,52562703,53829319,57393371,61558736,64829352,67667841
 "31000","Nebraska",4,SAINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",63030,64417,69296,63181,59459,64300,75063,81663,89944,102641,114514,134596,133323,153528,178276,192132,205751,204416,216642,221988,231108,239637,273311,264423,269673,297366,313111
 "31000","Nebraska",4,SAINC6N,101,"113","    Forestry and logging ","Thousands of dollars",(T),(T),(T),(D),(D),904,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),440,670,694,672,592,622,500,471,473,689
 "31000","Nebraska",4,SAINC6N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",(T),(T),(T),(D),(D),130,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0,0,0,0,0,0,0,0,0,0
 "31000","Nebraska",4,SAINC6N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",55683,55535,58894,62155,58281,63266,73701,80358,88782,102106,114229,134433,133142,153244,177817,191628,205359,203976,215972,221294,230436,239045,272689,263923,269202,296893,312422
 "31000","Nebraska",4,SAINC6N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",52904,53896,54463,57184,54257,65031,69968,70195,70430,50484,54806,51646,53636,59909,73327,67607,74560,72632,69419,75002,83143,79132,77421,82382,87173,98482,102788
 "31000","Nebraska",4,SAINC6N,201,"211","    Oil and gas extraction ","Thousands of dollars",(T),(T),(T),6566,4254,4755,5106,5759,5254,5354,5982,5279,4092,4007,5431,4262,4116,3331,2698,4993,6118,5674,4808,4812,5226,6767,7292
 "31000","Nebraska",4,SAINC6N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",38357,41713,41991,46142,45957,55362,59108,57967,58077,38367,41385,39722,41701,46797,52767,51371,54642,57134,58266,62105,66526,62602,62905,66103,69068,76551,79890
 "31000","Nebraska",4,SAINC6N,203,"213","    Support activities for mining ","Thousands of dollars",4384,3413,4397,4476,4046,4914,5754,6469,7099,6763,7439,6645,7843,9105,15129,11974,15802,12167,8455,7904,10499,10856,9708,11467,12879,15164,15606
 "31000","Nebraska",4,SAINC6N,300,"22","   Utilities ","Thousands of dollars",111748,111879,106144,124977,156634,187141,206189,188477,202691,252742,303042,250623,198364,201694,196090,154330,190661,157765,147921,150708,171085,203369,191493,388097,327665,290774,268428
 "31000","Nebraska",4,SAINC6N,400,"23","   Construction ","Thousands of dollars",1544715,1728681,1819741,1797313,1871598,1978981,2075080,2083948,2160579,2437831,2498953,2418854,2171864,2097898,2283628,2425404,2691452,2930068,3059659,3192792,3404280,3662828,3944105,4127545,4565066,5007097,5348875
 "31000","Nebraska",4,SAINC6N,401,"236","    Construction of buildings ","Thousands of dollars",337686,378417,407114,393364,403179,415913,429867,444800,483512,582361,598847,501738,464701,445813,473872,491383,547001,598087,641309,657508,718959,744790,809319,843203,950514,1067886,1130147
 "31000","Nebraska",4,SAINC6N,402,"237","    Heavy and civil engineering construction ","Thousands of dollars",285493,319092,315903,310332,313533,323897,355294,360732,387516,468448,417348,446519,356453,352089,401760,410518,494392,490158,470409,483229,493960,512332,602303,638790,674462,722775,840704
 "31000","Nebraska",4,SAINC6N,403,"238","    Specialty trade contractors ","Thousands of dollars",921536,1031172,1096724,1093617,1154886,1239171,1289919,1278416,1289551,1387022,1482758,1470597,1350710,1299996,1407996,1523503,1650059,1841823,1947941,2052055,2191361,2405706,2532483,2645552,2940090,3216436,3378024
 "31000","Nebraska",4,SAINC6N,500,"31-33","   Manufacturing ","Thousands of dollars",4205409,4311229,4557376,4597550,4618831,4657224,4733838,4894735,5072962,5245765,5423576,5035751,5061169,5204707,5464011,5590432,5937176,5990193,6034578,6406158,6848770,6958874,7205116,7761298,8333867,8535730,8755459
 "31000","Nebraska",4,SAINC6N,510,"321,327-339","    Durable goods manufacturing ","Thousands of dollars",2266605,2293539,2435723,2336311,2301316,2279004,2373243,2483694,2633905,2724203,2796566,2458811,2426262,2576918,2710573,2783354,2943239,2971698,2904595,3075215,3254966,3284918,3232523,3525276,3742485,3877707,3913099
 "31000","Nebraska",4,SAINC6N,511,"321","     Wood product manufacturing ","Thousands of dollars",62221,71161,77113,70141,77477,75228,79879,87616,86604,84785,80931,71197,65568,65649,75846,84859,93851,94591,99010,109103,116663,124951,128981,142618,162169,156476,155880
