GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "40000","Oklahoma",6,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",46575574,48461730,52044425,54860527,55950932,57564145,60685488,64126403,69907388,73539725,77533982,75591602,77923620,82393835,86866399,90046814,94015574,95829702,94123317,97100438,101994389,105807334,104636359,109600122,117373267,125545090,132303764
 "40000","Oklahoma",6,SAINC6N,5,"..."," Wages and salaries ","Thousands of dollars",38191567,39820646,42486440,44622573,45171642,46238054,48469663,51111460,56339439,59599333,63303528,61167476,62371565,66177088,70159176,72310886,75569526,76957817,75709303,78207172,82167258,85453900,84414184,88695786,95931306,102880712,108360963
 "40000","Oklahoma",6,SAINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",8384007,8641084,9557985,10237954,10779290,11326091,12215825,13014943,13567949,13940392,14230454,14424126,15552055,16216747,16707223,17735928,18446048,18871885,18414014,18893266,19827131,20353434,20222175,20904336,21441961,22664378,23942801
 "40000","Oklahoma",6,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",5509491,5716356,6437777,6873924,7265523,7660357,8241644,8847831,9190592,9393699,9524039,9809782,10815399,10945306,11036702,11927007,12616782,13082209,12926878,13201165,13850890,14135969,13959116,14258840,14348301,15042498,15908137
 "40000","Oklahoma",6,SAINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",2874516,2924728,3120208,3364030,3513767,3665734,3974181,4167112,4377357,4546693,4706415,4614344,4736656,5271441,5670521,5808921,5829266,5789676,5487136,5692101,5976241,6217465,6263059,6645496,7093660,7621880,8034664
 "40000","Oklahoma",6,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",30715,31619,33278,34778,35946,37753,39313,40745,43246,44686,46324,46692,48516,50702,52410,53603,55314,56174,55718,57242,59287,60753,62784,65102,67429,70328,73215
 "40000","Oklahoma",6,SAINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",187300,212180,206210,233855,169603,196409,276360,265507,250299,360663,399443,296700,296523,318096,403906,347277,356432,221485,244279,250998,219547,275342,290656,260114,320265,315532,386155
 "40000","Oklahoma",6,SAINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",46388274,48249550,51838215,54626672,55781329,57367736,60409128,63860896,69657089,73179062,77134539,75294902,77627097,82075739,86462493,89699537,93659142,95608217,93879038,96849440,101774842,105531992,104345703,109340008,117053002,125229558,131917609
 "40000","Oklahoma",6,SAINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",35687393,36969437,39762628,41784802,42155548,43123740,45466729,48043626,52828596,55172678,58209914,55654608,57105232,61543582,66014077,68614398,72014212,73347069,71304434,73944307,78044314,80576983,78816431,83319177,90261566,96570636,101495732
 "40000","Oklahoma",6,SAINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",69197,73310,81281,75223,79933,86304,102546,103940,114942,113488,111925,117065,119866,119361,126804,132745,148744,159021,172783,182672,196033,189271,218258,231942,244529,260283,265060
 "40000","Oklahoma",6,SAINC6N,101,"113","    Forestry and logging ","Thousands of dollars",9167,10260,11241,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "40000","Oklahoma",6,SAINC6N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "40000","Oklahoma",6,SAINC6N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",59166,62316,69441,65122,66865,74243,90922,91854,104014,103334,101587,107254,108367,108214,114909,121862,136305,145954,159453,168911,181716,176718,205095,218532,232027,246226,249700
 "40000","Oklahoma",6,SAINC6N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",1612661,1544473,1632249,1975016,1827510,2076907,2358544,2800663,4308731,4282297,5044468,4077779,4329902,5614031,6343832,6710998,6996310,6545451,5094324,5885599,6597987,5847400,3984421,3570933,4135873,4606531,4570285
 "40000","Oklahoma",6,SAINC6N,201,"211","    Oil and gas extraction ","Thousands of dollars",1048315,963612,974898,1114050,1050683,1182334,1314359,1507073,2528833,2206205,2563038,2243566,2349601,2980916,3506750,3723021,3762386,4044942,3227399,3235815,3331298,2915836,2413315,2147225,2271050,2523266,2524369
 "40000","Oklahoma",6,SAINC6N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",77851,80576,93979,90389,94263,93873,97589,108862,119746,134770,128804,110195,111104,115410,127018,133425,139359,146002,155895,167147,178902,190740,182269,175322,206491,227185,242047
 "40000","Oklahoma",6,SAINC6N,203,"213","    Support activities for mining ","Thousands of dollars",486495,500285,563372,770577,682564,800700,946596,1184728,1660152,1941322,2352626,1724018,1869197,2517705,2710064,2854552,3094565,2354507,1711030,2482637,3087787,2740824,1388837,1248386,1658332,1856080,1803869
 "40000","Oklahoma",6,SAINC6N,300,"22","   Utilities ","Thousands of dollars",527574,545521,587939,812738,838390,785591,831111,874747,959949,1114177,1142380,1234843,1238585,1285465,1411268,1514389,1821949,1618283,1585110,1460458,1470120,1710369,1423105,1408177,1418867,1460656,1521351
 "40000","Oklahoma",6,SAINC6N,400,"23","   Construction ","Thousands of dollars",1955564,2163540,2363888,2564861,2461927,2500299,2514650,2760223,3070264,3251095,3667201,3414106,3490529,3587149,3906550,4372331,4517955,4761733,4796646,4878062,5258841,5633875,5410607,5549681,5847302,6365210,6944726
 "40000","Oklahoma",6,SAINC6N,401,"236","    Construction of buildings ","Thousands of dollars",409798,461046,506330,570438,632136,572635,557834,616991,687042,732689,823311,747191,767399,746097,744779,810209,809402,882805,973934,865304,876352,990841,1037209,1119962,1224567,1280375,1373110
 "40000","Oklahoma",6,SAINC6N,402,"237","    Heavy and civil engineering construction ","Thousands of dollars",385759,433092,477367,562352,485503,472521,463964,520863,565710,605725,668268,670344,725657,759928,898160,1130881,1117913,1099459,1087796,1260023,1424271,1510154,1282103,1318062,1300505,1404055,1516104
 "40000","Oklahoma",6,SAINC6N,403,"238","    Specialty trade contractors ","Thousands of dollars",1160007,1269402,1380191,1432071,1344288,1455143,1492852,1622369,1817512,1912681,2175622,1996571,1997473,2081124,2263611,2431241,2590640,2779469,2734916,2752735,2958218,3132880,3091295,3111657,3322230,3680780,4055512
 "40000","Oklahoma",6,SAINC6N,500,"31-33","   Manufacturing ","Thousands of dollars",6664217,6743000,7200028,7376606,7036891,7032408,7229504,7525897,8019128,8244415,8446398,7547089,7515348,8196641,8965369,9252735,9815399,9745407,9123074,9388735,10069875,10347573,9741827,9905820,10654754,11541148,12029058
 "40000","Oklahoma",6,SAINC6N,510,"321,327-339","    Durable goods manufacturing ","Thousands of dollars",4533299,4590085,4926104,5035163,4756774,4708279,4885990,5101699,5548683,5798960,6017930,5172709,5065035,5643150,6373925,6590482,6985475,6896860,6247376,6455201,7001194,7137980,6473322,6508523,6969201,7680856,8081551
 "40000","Oklahoma",6,SAINC6N,511,"321","     Wood product manufacturing ","Thousands of dollars",120069,130826,140670,157728,164379,170137,172199,181818,175656,169821,151652,113970,98332,97953,98097,102252,109396,121016,125691,126045,91631,109644,110372,128332,136062,150241,162596
 "40000","Oklahoma",6,SAINC6N,512,"327","     Nonmetallic mineral product manufacturing ","Thousands of dollars",335851,348441,379771,376936,374636,390532,413501,429337,448123,458441,464044,406589,396558,388961,403401,419948,442011,478481,478521,490259,487425,500310,520395,539394,536398,567716,598984
 "40000","Oklahoma",6,SAINC6N,513,"331","     Primary metal manufacturing ","Thousands of dollars",174989,160882,192035,195741,162001,179623,210177,234243,261772,267376,294322,228101,224069,262414,285719,282899,258630,241824,230586,255181,264542,256199,232619,260895,301860,300898,304859
 "40000","Oklahoma",6,SAINC6N,514,"332","     Fabricated metal product manufacturing ","Thousands of dollars",952160,1033841,1095056,1170235,1112692,985510,1008934,1058889,1187903,1239229,1353455,1173243,1123442,1280933,1510224,1550531,1678431,1635161,1410727,1509909,1669854,1728313,1492808,1477651,1641307,1850302,1989108
 "40000","Oklahoma",6,SAINC6N,515,"333","     Machinery manufacturing ","Thousands of dollars",1084082,1065074,1185586,1257550,1113850,1173001,1278116,1406177,1576914,1794891,1916512,1656183,1653237,1949814,2275166,2357501,2499092,2370926,1997649,2069370,2191920,2217908,1894020,1844989,2038384,2283701,2480946
 "40000","Oklahoma",6,SAINC6N,516,"334","     Computer and electronic product manufacturing ","Thousands of dollars",597783,626420,621785,563798,397916,386726,348529,347353,372456,397615,409190,382015,357170,370334,395214,382463,387588,391555,358817,369033,387100,361285,338228,352925,333618,378308,387287
 "40000","Oklahoma",6,SAINC6N,517,"335","     Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",113598,106575,120314,134479,139439,141711,152116,157657,165693,175609,174082,173833,186281,187558,189161,186882,194731,205506,213509,217873,238124,245241,231562,269513,260397,284042,298130
 "40000","Oklahoma",6,SAINC6N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",622670,591236,644685,603112,728767,719963,687200,629547,607241,504383,471814,342251,318707,321780,348476,351793,397559,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
