GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "42000","Pennsylvania",2,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",215788108,227715411,242185623,251930680,257366186,265460839,278916244,290449890,305850359,320420976,328388307,321443079,329369657,342080504,351412084,361269101,372395851,387760184,392912504,407752326,424690188,441115673,438917719,466763367,497853154,522551362,548232697
 "42000","Pennsylvania",2,SAINC6N,5,"..."," Wages and salaries ","Thousands of dollars",175755250,184861731,195893879,201372357,204936278,210522084,220394515,228652623,240660749,253532861,260393288,254386988,259593988,269699896,279983494,285211802,296358847,308370419,312722721,325356295,339272774,354148464,353859689,379803067,409811515,428742097,448196179
 "42000","Pennsylvania",2,SAINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",40032858,42853680,46291744,50558323,52429908,54938755,58521729,61797267,65189610,66888115,67995019,67056091,69775669,72380608,71428590,76057299,76037004,79389765,80189783,82396031,85417414,86967209,85058030,86960300,88041639,93809265,100036518
 "42000","Pennsylvania",2,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",25887430,28220501,30910917,34734278,36357247,38455918,41339451,43630887,46184031,47365676,47964029,47360001,49487252,51135184,49589629,53530104,52838303,55279570,55744407,56832619,59359476,60057731,58876310,59568547,58517269,62512203,67161485
 "42000","Pennsylvania",2,SAINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",14145428,14633179,15380827,15824045,16072661,16482837,17182278,18166380,19005579,19522439,20030990,19696090,20288417,21245424,21838961,22527195,23198701,24110195,24445376,25563412,26057938,26909478,26181720,27391753,29524370,31297062,32875033
 "42000","Pennsylvania",2,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",38037,39453,41216,42869,44073,45794,47866,49381,51441,53563,54880,55525,56845,58452,59481,60882,62207,64227,64558,66337,68314,70248,75247,78037,80433,83212,86423
 "42000","Pennsylvania",2,SAINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",471603,428917,490569,505272,615001,564737,569503,474447,535740,667276,633642,590354,578892,501078,675442,679846,685711,604799,690647,699319,624926,509565,537180,519782,843650,977008,968084
 "42000","Pennsylvania",2,SAINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",215316505,227286494,241695054,251425408,256751185,264896102,278346741,289975443,305314619,319753700,327754665,320852725,328790765,341579426,350736642,360589255,371710140,387155385,392221857,407053007,424065262,440606108,438380539,466243585,497009504,521574354,547264613
 "42000","Pennsylvania",2,SAINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",182204366,192624147,205021905,211489646,214393890,220321837,231090407,241504840,254584797,266930899,273390574,265344641,271454415,284850345,295353415,302959440,313575498,327741338,331993824,346129604,361409097,377437816,373676892,401738311,432299362,454357949,476612798
 "42000","Pennsylvania",2,SAINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",145009,156360,178655,177380,177653,179742,205251,206424,233196,229034,234965,254201,254684,259905,281282,293144,309868,318539,332408,337067,357770,356360,384865,382424,402755,427990,448103
 "42000","Pennsylvania",2,SAINC6N,101,"113","    Forestry and logging ","Thousands of dollars",27075,30018,32582,(D),(D),(D),(D),29648,(D),(D),27529,26184,29467,31263,38371,41414,40497,45583,44599,45518,47140,47262,51107,52026,58016,59633,60279
 "42000","Pennsylvania",2,SAINC6N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",(T),(T),10231,(D),(D),(D),(D),5153,(D),(D),3409,2160,1919,2262,2494,2181,2367,2509,2211,2276,2124,1933,1877,2287,2042,2206,2344
 "42000","Pennsylvania",2,SAINC6N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",111298,119303,135842,139503,144249,148037,167581,171623,197992,193359,204027,225857,223298,226380,240417,249549,267004,270447,285598,289273,308506,307165,331881,328111,342697,366151,385480
 "42000","Pennsylvania",2,SAINC6N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",1033287,990006,987659,1091107,1022151,1018889,1124729,1218547,1356983,1419577,1584011,1618744,2125408,2794052,3278384,3310147,3638373,3257940,2373823,2840295,2991303,3038742,2395392,2379404,2660709,2788796,2752572
 "42000","Pennsylvania",2,SAINC6N,201,"211","    Oil and gas extraction ","Thousands of dollars",115090,113620,113497,121779,112836,109435,119286,125242,164423,184122,237973,247399,420284,554079,729352,821443,900507,906007,759301,858428,716228,771767,680027,672809,740789,612867,618557
 "42000","Pennsylvania",2,SAINC6N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",826031,779183,767800,846463,782623,774762,846785,907291,958301,936010,1013994,955154,1001965,1081167,1135721,1086238,1062992,964710,818002,904596,923262,921972,820371,859649,925729,1048631,1071190
 "42000","Pennsylvania",2,SAINC6N,203,"213","    Support activities for mining ","Thousands of dollars",92166,97203,106362,122865,126692,134692,158658,186014,234259,299445,332044,416191,703159,1158806,1413311,1402466,1674874,1387223,796520,1077271,1351813,1345003,894994,846946,994191,1127298,1062825
 "42000","Pennsylvania",2,SAINC6N,300,"22","   Utilities ","Thousands of dollars",2369828,2468620,2631660,3080387,3101761,2829840,2664906,2574383,2601456,2750475,2870391,2755532,2850996,3146628,3009656,3127429,3197216,3618152,3741150,3669391,3845349,3776433,3939507,3972342,3841580,3804204,4051525
 "42000","Pennsylvania",2,SAINC6N,400,"23","   Construction ","Thousands of dollars",9877832,10977384,12039731,12535972,12727879,13065104,13561981,14450488,15465874,16177907,16289374,14676824,14361395,15097205,15691795,15966483,16939971,17660771,18188376,19892343,21012019,22109969,20863722,22704390,23782716,24699294,25786199
 "42000","Pennsylvania",2,SAINC6N,401,"236","    Construction of buildings ","Thousands of dollars",2406565,2702489,2903903,3011421,3124690,3218333,3477870,3792420,3887477,3843008,3852390,3346126,3190896,3229585,3372796,3502835,3695670,4015757,4218225,4509839,4751166,5053389,4846149,5200571,5766358,6039744,6267567
 "42000","Pennsylvania",2,SAINC6N,402,"237","    Heavy and civil engineering construction ","Thousands of dollars",1409538,1533120,1673385,1827227,1793331,1877013,1958176,2164679,2449088,2570106,2522643,2512943,2640395,3112688,3315413,3131852,3417173,3243576,3190921,3990021,4467866,4439296,3966550,4246460,3749208,3747211,3844060
 "42000","Pennsylvania",2,SAINC6N,403,"238","    Specialty trade contractors ","Thousands of dollars",6061729,6741775,7462443,7697324,7809858,7969758,8125935,8493389,9129309,9764793,9914341,8817755,8530104,8754932,9003586,9331796,9827128,10401438,10779230,11392483,11792987,12617284,12051023,13257359,14267150,14912339,15674572
 "42000","Pennsylvania",2,SAINC6N,500,"31-33","   Manufacturing ","Thousands of dollars",40343519,41228860,43286634,42683683,40874234,39607476,39845440,40662895,41837984,42059965,42173706,38136936,38650162,40062811,40796852,40951586,42322143,43335591,42691268,43970086,45573148,46846646,45280997,47275954,50591124,52608221,54594299
 "42000","Pennsylvania",2,SAINC6N,510,"321,327-339","    Durable goods manufacturing ","Thousands of dollars",24853741,25410849,26454029,25621508,24408829,23670183,24280729,25209911,25946222,26057020,26265380,23070026,23227073,24593444,25173254,25304609,25936886,26653298,25795876,26784461,27990316,28476416,26802732,28162312,30069746,31447175,32740275
 "42000","Pennsylvania",2,SAINC6N,511,"321","     Wood product manufacturing ","Thousands of dollars",866256,942776,994239,1027016,1089247,1135267,1220903,1304601,1285072,1223021,1122630,857018,851804,849457,842926,959477,1044438,1116911,1120977,1163112,1207705,1255535,1258447,1403317,1557860,1535319,1593576
 "42000","Pennsylvania",2,SAINC6N,512,"327","     Nonmetallic mineral product manufacturing ","Thousands of dollars",1695221,1720737,1834231,1828868,1773940,1807679,1734206,1838857,1647036,1649021,1594075,1366288,1326093,1327806,1288090,1282216,1339345,1388557,1419376,1467179,1493101,1557277,1475713,1543416,1616793,1712476,1776794
 "42000","Pennsylvania",2,SAINC6N,513,"331","     Primary metal manufacturing ","Thousands of dollars",3133498,3116254,3287792,3090036,2811621,2688483,2779677,2755899,2947716,3103181,3239582,2603784,2762371,3108190,3200509,3207201,3216373,3090195,2894577,3066889,3305634,3242306,2832183,3095667,3466843,3709258,3884766
 "42000","Pennsylvania",2,SAINC6N,514,"332","     Fabricated metal product manufacturing ","Thousands of dollars",4490182,4569365,4833429,4663835,4520930,4447625,4525189,4822818,4968880,5154893,5266153,4636858,4656017,4933282,5113114,5121074,5237832,5396312,5285071,5525331,5809127,5853166,5517492,5813894,6212751,6568924,6845731
 "42000","Pennsylvania",2,SAINC6N,515,"333","     Machinery manufacturing ","Thousands of dollars",3964118,3907524,3941695,3736651,3431769,3229009,3317931,3546772,3665606,3772045,3829043,3295791,3265207,3567615,3714757,3686283,3756372,3821090,3539682,3715677,3964326,4100521,3803686,3969630,4236365,4483699,4583536
 "42000","Pennsylvania",2,SAINC6N,516,"334","     Computer and electronic product manufacturing ","Thousands of dollars",3301695,3562607,3840696,3836825,3546722,3096368,3008369,3024924,3121210,2729487,2689718,2503950,2484720,2593932,2591338,2589658,2657859,2785273,2728880,2852697,2897923,2920490,2817041,2869678,2929333,3036119,3257051
 "42000","Pennsylvania",2,SAINC6N,517,"335","     Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",1707136,1710480,1731163,1683354,1557563,1557487,1689650,1735832,1873270,1953220,1988135,1867114,2039108,2134357,2173882,2268095,2339611,2410430,2456197,2536613,2576841,2593571,2554827,2591317,2622315,2673808,2890821
 "42000","Pennsylvania",2,SAINC6N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",1356532,1148290,1370605,(D),(D),1133166,1167056,1215171,1240848,1153753,1083894,(D),837913,860688,912039,(D),957750,1080068,(D),(D),1272724,1252205,1046566,1168512,1279506,(D),1482761
 "42000","Pennsylvania",2,SAINC6N,519,"3364-3466,3369","     Other transportation equipment manufacturing ","Thousands of dollars",1948221,2177605,1922061,(D),(D),1661604,1836813,1891171,2055174,2198176,2449915,(D),2335383,2485201,2507524,(D),2516780,2525376,(D),(D),2291425,2488715,2354460,2338037,2464442,(D),2659969
 "42000","Pennsylvania",2,SAINC6N,521,"337","     Furniture and related product manufacturing ","Thousands of dollars",910637,982580,1047920,1036809,1001758,992093,1016302,1007708,1040272,1043754,983018,781091,730073,756626,798722,805689,822791,915932,945802,963585,983822,963955,898831,1000161,1054088,1062063,1084067
 "42000","Pennsylvania",2,SAINC6N,522,"339","     Miscellaneous manufacturing ","Thousands of dollars",1480245,1572631,1650198,1787830,1850196,1921402,1984633,2066158,2101138,2076469,2019217,1946912,1938384,1976290,2030353,1980226,2047735,2123154,2113479,2142718,2187688,2248675,2243486,2368683,2629450,2674168,2681203
 "42000","Pennsylvania",2,SAINC6N,530,"311-316,322-326","    Nondurable goods manufacturing ","Thousands of dollars",15489778,15818011,16832605,17062175,16465405,15937293,15564711,15452984,15891762,16002945,15908326,15066910,15423089,15469367,15623598,15646977,16385257,16682293,16895392,17185625,17582832,18370230,18478265,19113642,20521378,21161046,21854024
 "42000","Pennsylvania",2,SAINC6N,531,"311","     Food manufacturing ","Thousands of dollars",2972989,3066749,3197119,3294294,3309649,3459713,3465315,3443847,3455486,3484438,3475803,3485790,3617285,3686241,3807038,3907620,4148062,4196519,4242436,4374351,4498743,4644311,4782341,5007540,5549273,5729584,6062107
 "42000","Pennsylvania",2,SAINC6N,532,"312","     Beverage and tobacco product manufacturing ","Thousands of dollars",412350,463975,516860,593620,542173,487800,438766,442535,420951,442364,432599,434486,457244,418356,439454,473386,552299,600197,601737,635657,645264,672887,684821,759313,782236,845273,887945
 "42000","Pennsylvania",2,SAINC6N,533,"313","     Textile mills ","Thousands of dollars",440435,428606,441580,404441,352229,310207,282521,261482,242530,239877,224039,183948,190969,183232,189927,182321,197735,220587,208267,205413,217630,210427,194346,199393,211011,211817,219525
 "42000","Pennsylvania",2,SAINC6N,534,"314","     Textile product mills ","Thousands of dollars",300255,312394,327016,307447,297559,303320,295238,258550,220446,220527,223505,174923,170287,177664,189458,193299,206029,172615,171224,176053,179671,169084,152286,170118,175695,176575,170657
 "42000","Pennsylvania",2,SAINC6N,535,"315","     Apparel manufacturing ","Thousands of dollars",913797,847567,820753,713744,622637,551804,526051,491095,467330,391677,366435,306570,296856,273403,260119,210165,206858,204447,212217,188540,202419,211525,181979,198857,231743,224564,217702
 "42000","Pennsylvania",2,SAINC6N,536,"316","     Leather and allied product manufacturing ","Thousands of dollars",175085,173165,181220,134698,106790,89240,76478,55776,51308,46052,41426,32019,33835,39459,39969,39466,39416,36622,33983,33085,34421,34723,32725,38835,40799,37887,34865
 "42000","Pennsylvania",2,SAINC6N,537,"322","     Paper manufacturing ","Thousands of dollars",1647840,1642623,1698502,1771526,1765885,1705073,1657874,1646387,1695157,1749285,1760929,1635879,1714114,1741800,1742142,1749453,1793946,1793726,1778823,1810510,1768971,1800833,1805944,1820498,1920955,2002410,2087534
