GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "46000","South Dakota",4,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",10318723,11071793,11828795,12186565,12692638,13271328,14023042,14692851,15384737,16454399,17317837,17206108,17849062,18677192,19481910,19945405,21145622,21962243,22700747,23675074,24726548,25950027,27036751,28889802,30997409,32897090,34853691
 "46000","South Dakota",4,SAINC6N,5,"..."," Wages and salaries ","Thousands of dollars",8416334,9029033,9631622,10013729,10340048,10719423,11318605,11812035,12487566,13348505,14043897,13943425,14346674,14949759,15753752,16136156,17002958,17736595,18368771,19069097,19827853,20695972,21799321,23411369,25396333,26856507,28337437
 "46000","South Dakota",4,SAINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",1902389,2042760,2197173,2172836,2352590,2551905,2704437,2880816,2897171,3105894,3273940,3262683,3502388,3727433,3728158,3809249,4142664,4225648,4331976,4605977,4898695,5254055,5237430,5478433,5601076,6040583,6516254
 "46000","South Dakota",4,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",1280652,1375749,1488220,1434151,1589385,1760979,1871184,2015016,1964388,2117995,2232678,2223198,2386729,2599859,2546002,2603357,2867148,2914761,2975831,3208812,3460974,3730515,3602894,3751239,3732143,4047067,4407005
 "46000","South Dakota",4,SAINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",621737,667011,708953,738685,763205,790926,833253,865800,932783,987899,1041262,1039485,1115659,1127574,1182156,1205892,1275516,1310887,1356145,1397165,1437721,1523540,1634536,1727194,1868933,1993516,2109249
 "46000","South Dakota",4,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",27365,28563,29961,30772,32094,33485,34867,36035,37040,38859,40260,40792,42191,43719,44780,45517,47586,49090,50369,52186,53876,56087,59990,62415,65091,67744,70973
 "46000","South Dakota",4,SAINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",126421,119992,133387,151997,140903,113305,166795,167259,162973,243709,269275,198282,202315,218922,333639,287493,293292,186835,203566,257779,229478,285748,300140,270645,415716,407771,497953
 "46000","South Dakota",4,SAINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",10192302,10951801,11695408,12034568,12551735,13158023,13856247,14525592,15221764,16210690,17048562,17007826,17646747,18458270,19148271,19657912,20852330,21775408,22497181,23417295,24497070,25664279,26736611,28619157,30581693,32489319,34355738
 "46000","South Dakota",4,SAINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",7894693,8527538,9093830,9403979,9764600,10179102,10694667,11247353,11827674,12658456,13293901,13066868,13539538,14311569,15066818,15482064,16474342,17319418,17903101,18647871,19559785,20530260,21468531,23099424,24915804,26366731,27836733
 "46000","South Dakota",4,SAINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",35493,36427,37843,26629,27190,(D),35238,36631,41473,47070,50256,56880,62118,70076,76744,79696,79063,84048,88917,92102,96890,103613,116857,115499,123353,137929,150379
 "46000","South Dakota",4,SAINC6N,101,"113","    Forestry and logging ","Thousands of dollars",4187,5689,4108,3515,3730,3776,4676,4606,5198,5610,5415,4860,4855,5190,5245,4983,5623,6011,6217,6191,5944,6263,7521,6333,(D),(D),(D)
 "46000","South Dakota",4,SAINC6N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",(T),(T),(T),264,303,(D),451,456,575,598,674,660,578,592,622,762,725,492,495,463,489,366,259,227,(D),(D),(D)
 "46000","South Dakota",4,SAINC6N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",28958,28498,31516,22850,23157,25238,30111,31569,35700,40862,44167,51360,56685,64294,70877,73951,72715,77545,82205,85448,90457,96984,109077,108939,116692,131352,143566
 "46000","South Dakota",4,SAINC6N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",78503,53143,49179,53300,42135,(D),37851,40513,42918,48000,57733,47762,50193,56571,59293,57661,59359,62592,61336,66784,71671,72420,76421,98383,115373,137470,136815
 "46000","South Dakota",4,SAINC6N,201,"211","    Oil and gas extraction ","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),(D),2295,2493,2914,2827,3191,3487,3678,(D),4022,4005,3769,2849,2978,(D),(D),(D),(D),(D),(D)
 "46000","South Dakota",4,SAINC6N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",75973,50172,46089,49279,37714,35478,33348,36191,38375,42177,50172,43287,44595,49825,50465,(D),(D),56780,56290,62459,66152,66167,70463,73226,77645,90054,98076
 "46000","South Dakota",4,SAINC6N,203,"213","    Support activities for mining ","Thousands of dollars",(T),(T),(T),(D),(D),(D),(D),(D),2248,3330,4647,1648,2407,3259,5150,3893,(D),1807,1277,1476,2541,(D),(D),(D),(D),(D),(D)
 "46000","South Dakota",4,SAINC6N,300,"22","   Utilities ","Thousands of dollars",106969,104901,106066,127561,142755,144068,149905,170059,181352,188718,178350,179400,190165,200833,185980,197383,205515,211489,228571,225083,236827,249044,264123,269983,277114,267343,284618
 "46000","South Dakota",4,SAINC6N,400,"23","   Construction ","Thousands of dollars",542719,604300,661966,662587,688446,732331,767604,830560,898467,972006,1002551,977218,957341,972743,998351,1035284,1137159,1236402,1332554,1307188,1384195,1502276,1630301,1727966,1881410,2175493,2401383
 "46000","South Dakota",4,SAINC6N,401,"236","    Construction of buildings ","Thousands of dollars",147545,159325,169372,172847,182117,198504,201801,222109,235604,261856,262091,248039,227804,231100,235729,253715,287342,304567,322237,320374,346942,351030,374255,396757,436374,509560,569749
 "46000","South Dakota",4,SAINC6N,402,"237","    Heavy and civil engineering construction ","Thousands of dollars",112996,136956,145054,140265,143078,142423,150103,153262,174576,176828,197031,223276,200264,205869,207627,209379,225436,244501,310771,255704,260255,322079,377432,366025,385829,449260,476024
 "46000","South Dakota",4,SAINC6N,403,"238","    Specialty trade contractors ","Thousands of dollars",282178,308019,347540,349475,363251,391404,415700,455189,488287,533322,543429,505903,529273,535774,554995,572190,624381,687334,699546,731110,776998,829167,878614,965184,1059207,1216673,1355610
 "46000","South Dakota",4,SAINC6N,500,"31-33","   Manufacturing ","Thousands of dollars",1358234,1411042,1501302,1516665,1486231,1537050,1647705,1742552,1837145,1963693,2030705,1824049,1867795,2059077,2199143,2206168,2378635,2443886,2447239,2627125,2795163,2892265,2910492,3087947,3323967,3444940,3568556
 "46000","South Dakota",4,SAINC6N,510,"321,327-339","    Durable goods manufacturing ","Thousands of dollars",961699,995848,1062647,1060328,1031957,1059757,1148021,1220011,1280343,1356575,1415264,1223526,1241193,1401351,1482582,1503844,1625842,1673826,1637787,1736268,1857571,1899905,1860391,1970381,2110710,2205886,2301496
 "46000","South Dakota",4,SAINC6N,511,"321","     Wood product manufacturing ","Thousands of dollars",76258,82458,92946,83781,90128,91645,99618,103311,100894,100611,99934,87227,88449,97093,99686,102912,109264,114058,113170,114808,121324,127943,149890,150478,151407,151206,150566
 "46000","South Dakota",4,SAINC6N,512,"327","     Nonmetallic mineral product manufacturing ","Thousands of dollars",41780,46856,51007,61433,65621,69623,72705,78904,81950,86376,88833,77826,81416,90269,90353,93826,99661,109488,106594,116293,121135,124324,126625,128580,143530,155281,170537
 "46000","South Dakota",4,SAINC6N,513,"331","     Primary metal manufacturing ","Thousands of dollars",16815,17670,16293,26295,29855,29400,31238,31485,32148,31376,29304,24163,25528,30147,35310,39141,42247,42486,41195,41390,42943,44745,43792,48705,54116,54750,56758
 "46000","South Dakota",4,SAINC6N,514,"332","     Fabricated metal product manufacturing ","Thousands of dollars",104668,116657,124620,113517,119079,123633,137461,150725,158442,163411,180150,153390,168722,183600,216451,218477,225650,218402,212242,228221,226433,229102,218537,240068,266840,294723,318009
 "46000","South Dakota",4,SAINC6N,515,"333","     Machinery manufacturing ","Thousands of dollars",164683,169715,180885,191038,189475,197672,222760,244687,270228,287787,311916,250225,279276,361823,359496,362808,404102,412983,398613,414275,447308,466535,427597,436553,452132,489488,514305
 "46000","South Dakota",4,SAINC6N,516,"334","     Computer and electronic product manufacturing ","Thousands of dollars",222907,222904,239526,224281,186781,182735,182109,166306,152850,153970,157589,127299,107174,122037,124640,120716,124010,100770,98558,112895,123858,125473,124967,145953,149964,158855,147132
