GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "95000","Southeast",5,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",1090252366,1159460354,1240445923,1288591829,1325409297,1385475696,1474080309,1564960320,1654141697,1734279763,1765877082,1710361339,1741319295,1789368886,1856935615,1907457201,1990116039,2086933151,2153875486,2248181791,2358229498,2464349830,2508281874,2737270663,2979885530,3182934562,3374832327
 "95000","Southeast",5,SAINC6N,5,"..."," Wages and salaries ","Thousands of dollars",899685010,956475031,1023853239,1058919709,1081915970,1123531774,1193377635,1265125418,1346705211,1413471381,1435826948,1381105755,1403917150,1449290542,1505452462,1541625724,1611889822,1695215453,1755041860,1833437049,1920680856,2011287733,2051730686,2250937783,2471054276,2630829785,2784704967
 "95000","Southeast",5,SAINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",190567356,202985323,216592684,229672120,243493327,261943922,280702674,299834902,307436486,320808382,330050134,329255584,337402145,340078344,351483153,365831477,378226217,391717698,398833626,414744742,437548642,453062097,456551188,486332880,508831254,552104777,590127360
 "95000","Southeast",5,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",125390950,134133463,143481170,153681683,165457449,180178890,193315500,207776104,209990446,220352186,227385752,228721441,234545718,232480427,239731296,251793506,260113086,268656945,273633755,285350286,303729848,312555928,312875547,331296319,339020944,370701939,396234181
 "95000","Southeast",5,SAINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",65176406,68851860,73111514,75990437,78035878,81765032,87387174,92058798,97446040,100456196,102664382,100534143,102856427,107597917,111751857,114037971,118113131,123060753,125199871,129394456,133818794,140506169,143675641,155036561,169810310,181402838,193893179
 "95000","Southeast",5,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",34071,35414,37194,38848,40131,41822,43722,45578,47293,49078,50507,51411,52697,53647,54857,55600,56861,58291,59040,60763,62724,64510,68855,72668,76076,79345,82985
 "95000","Southeast",5,SAINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",3267074,3202027,3210615,3908413,4038293,3713168,4200321,3816351,4077873,4582042,4587448,4206801,4049836,3683922,4632858,4612000,4576173,4331833,4625924,4564769,4313290,4234860,4637349,5190322,5811454,6678996,8200801
 "95000","Southeast",5,SAINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",1086985292,1156258327,1237235308,1284683416,1321371004,1381762528,1469879988,1561143969,1650063824,1729697721,1761289634,1706154538,1737269459,1785684964,1852302757,1902845201,1985539866,2082601318,2149249562,2243617022,2353916208,2460114970,2503644525,2732080341,2974074076,3176255566,3366631526
 "95000","Southeast",5,SAINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",872980640,930639805,997347886,1031255145,1050872730,1092444089,1161699532,1235961945,1309230743,1369338563,1382084655,1317723451,1337369759,1383790001,1449959786,1496607816,1572587257,1658929647,1717337701,1800673961,1898543721,1991277696,2018241634,2230725512,2455977695,2622342816,2774915556
 "95000","Southeast",5,SAINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",3410324,3423882,3542526,(D),3524858,3603993,4123734,4018591,4378091,4375160,4275014,4391377,4446266,4466582,4757093,4843773,5220474,5510751,5689180,5759294,6072343,6200643,6710172,6676446,6863376,7425981,7706252
 "95000","Southeast",5,SAINC6N,101,"113","    Forestry and logging ","Thousands of dollars",1395722,1347288,1350893,1346859,1330271,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1654200,(D),(D),1672417,1712624,1717768,1849487,1844097,1901567,2004603,2036916
 "95000","Southeast",5,SAINC6N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",83055,91016,105906,82479,(D),64422,76194,66737,(D),(D),74379,74932,79812,79752,85051,82023,88794,(D),(D),120828,171734,167621,178871,177556,(D),201121,209948
 "95000","Southeast",5,SAINC6N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",1931547,1985578,2085727,(D),(D),(D),(D),(D),2731514,2715588,(D),(D),(D),(D),(D),(D),3477480,3688263,3856272,3966049,4187985,4315254,4681814,4654793,(D),5220257,5459388
 "95000","Southeast",5,SAINC6N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",8098000,7424886,7414126,8445561,7821042,7933014,8378558,9120198,10651747,11280679,12925108,12121483,12532467,13630289,14067411,13555432,13519388,12044008,9503991,9812374,10570402,10586697,8842430,8991897,10459741,11706875,12062260
 "95000","Southeast",5,SAINC6N,201,"211","    Oil and gas extraction ","Thousands of dollars",1374300,1315220,1182373,1349720,1223448,1191411,1216185,(D),1390690,1523217,1888880,1831710,1834159,1964621,2285115,(D),(D),2349961,2073269,1681915,1742174,1742526,(D),(D),(D),(D),1784314
 "95000","Southeast",5,SAINC6N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",4537994,4286291,4201245,4476054,4208607,4184793,4502860,(D),5382972,5432255,5955750,5621875,5842505,6456148,6263908,5734117,5381265,4982920,4086632,4634223,4968866,4915414,4190724,4467094,5216057,5879804,6209538
 "95000","Southeast",5,SAINC6N,203,"213","    Support activities for mining ","Thousands of dollars",2185706,1823375,2030508,2619787,2388987,2556810,2659513,2967850,3878085,4325207,5080478,4667898,4855803,5209520,5518388,(D),(D),4711127,3344090,3496236,3859362,3928757,(D),(D),(D),(D),4068408
 "95000","Southeast",5,SAINC6N,300,"22","   Utilities ","Thousands of dollars",9062328,9332649,9767758,(D),11652951,11593288,12246163,12368834,13272035,13434336,14251480,14481294,14370487,15069561,14652230,15503648,16044339,16636931,17803244,17578170,18330390,18936072,20348391,20403584,20858713,20745231,21886187
 "95000","Southeast",5,SAINC6N,400,"23","   Construction ","Thousands of dollars",60603914,66139636,71204468,72955669,73188995,76276821,83176218,92935849,103424379,105915840,100962917,84917224,79404861,77750612,80548104,84024459,91539262,99242718,106307127,115483312,125630768,133748231,135528489,145449261,160380266,176399405,192807267
 "95000","Southeast",5,SAINC6N,401,"236","    Construction of buildings ","Thousands of dollars",15631381,17047391,18223088,18678860,19130201,20260344,22266501,25513866,28358957,28168597,26031105,21140879,19011802,18208165,19488444,20520762,22113344,24266836,26004075,28608045,31114806,32989904,33519960,36310161,40849329,44891479,48709039
 "95000","Southeast",5,SAINC6N,402,"237","    Heavy and civil engineering construction ","Thousands of dollars",11331313,12264706,13188100,13487754,13221180,13363485,14395968,15506338,16965308,17833401,17719159,15862257,15607639,15505737,16014107,16092993,17580090,18924679,19973624,22360193,24460045,25059928,24973446,26332669,28507007,31499978,34708210
 "95000","Southeast",5,SAINC6N,403,"238","    Specialty trade contractors ","Thousands of dollars",33641220,36827539,39793280,40789055,40837614,42652992,46513749,51915645,58100114,59913842,57212653,47914088,44785420,44036710,45045553,47410704,51845828,56051203,60329428,64515074,70055917,75698399,77035083,82806431,91023930,100007948,109390018
 "95000","Southeast",5,SAINC6N,500,"31-33","   Manufacturing ","Thousands of dollars",175539109,179885295,186293400,185759240,181543233,182098104,188036625,192572172,197370117,200011151,196759406,176842512,178041635,182933040,190621088,195524774,205324077,213596037,217566682,225704909,235886103,243687167,239247151,254225668,275441210,290249093,305322782
 "95000","Southeast",5,SAINC6N,510,"321,327-339","    Durable goods manufacturing ","Thousands of dollars",97434563,100836149,105515583,105486708,102591899,102688121,108391865,112902057,117890588,119417537,116637835,102610998,102417505,106853925,113101456,116374822,122671198,128799664,130925729,136249879,142975769,147306571,142445300,153388660,166227248,177716341,187433147
 "95000","Southeast",5,SAINC6N,511,"321","     Wood product manufacturing ","Thousands of dollars",7119097,7510737,7473542,7224959,7286088,7225251,7828714,8524667,8632110,8080253,7123626,5501351,5444791,5618038,5661377,6048134,6587021,6980560,7299647,7868568,8379602,8821983,9158455,10068085,11212963,11424426,11621453
 "95000","Southeast",5,SAINC6N,512,"327","     Nonmetallic mineral product manufacturing ","Thousands of dollars",5536769,5855847,6296339,6494029,6344652,6444759,6723901,7163863,7835392,7966184,7222829,5798952,5650544,5731522,5889892,6089360,6419637,6903582,7162443,7526975,7925037,8324772,8185112,8658305,9477063,10297250,10717173
 "95000","Southeast",5,SAINC6N,513,"331","     Primary metal manufacturing ","Thousands of dollars",6187821,6404852,6444861,6080524,5729894,5576497,5930900,6208452,6541913,6656353,6797136,5503035,5682734,6245447,6791388,6814596,7149205,7216104,7124125,7493709,8113828,8369749,7852141,8818506,9719370,10531770,11040284
