GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "48000","Texas",6,SAINC6N,1,"...","Compensation of employees (thousands of dollars) 1/","Thousands of dollars",348050335,371202133,405530318,424073471,426465999,438001819,460416270,491517043,535987059,577160530,604312411,590920131,609833026,643148472,686639394,717215955,765709998,800552196,812560732,849946746,902023007,952424260,957159784,1035741428,1141110597,1226650861,1302317382
 "48000","Texas",6,SAINC6N,5,"..."," Wages and salaries ","Thousands of dollars",291035692,310514965,339022925,352372323,351936233,358091895,377504862,403719343,441805640,479346820,503931026,487489547,501475560,532552612,568952954,590994444,633135849,661812333,671159861,701806732,743470105,787658775,793340465,863445544,961610362,1032479856,1094563432
 "48000","Texas",6,SAINC6N,6,"..."," Supplements to wages and salaries ","Thousands of dollars",57014643,60687168,66507393,71701148,74529766,79909924,82911408,87797700,94181419,97813710,100381385,103430584,108357466,110595860,117686440,126221511,132574149,138739863,141400871,148140014,158552902,164765485,163819319,172295884,179500235,194171005,207753950
 "48000","Texas",6,SAINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",37404282,39936174,44142901,48222808,50924180,54564335,56350488,59722636,64453284,66210822,67694018,70947610,73998038,74017409,78761336,85793428,89835692,94019467,95759000,100057351,108762128,112764907,111351895,115642881,116804021,126567321,135719327
 "48000","Texas",6,SAINC6N,8,"...","  Employer contributions for government social insurance ","Thousands of dollars",19610361,20750994,22364492,23478340,23605586,25345589,26560920,28075064,29728135,31602888,32687367,32482974,34359428,36578451,38925104,40428083,42738457,44720396,45641871,48082663,49790774,52000578,52467424,56653003,62696214,67603684,72034623
 "48000","Texas",6,SAINC6N,9,"...","Average compensation per job (dollars) 3/","Dollars",37134,38775,41167,42707,43235,44638,46417,48392,51008,53276,54607,54856,56568,58329,60451,61489,63709,65057,65267,67114,69519,71722,75188,78588,82048,85425,89189
 "48000","Texas",6,SAINC6N,81,"111-112"," Farm compensation ","Thousands of dollars",785468,884212,851885,956721,686638,881415,977154,1153993,971667,1308002,1414161,1355111,1277575,1496422,1591322,1443708,1703273,1857004,1588118,1649269,1826909,1363573,1190392,1593933,1311724,1494104,1704935
 "48000","Texas",6,SAINC6N,82,"..."," Nonfarm compensation ","Thousands of dollars",347264867,370317921,404678433,423116750,425779361,437120404,459439116,490363050,535015392,575852528,602898250,589565020,608555451,641652050,685048072,715772247,764006725,798695192,810972614,848297477,900196098,951060687,955969392,1034147495,1139798873,1225156757,1300612447
 "48000","Texas",6,SAINC6N,90,"113-814","  Private nonfarm compensation ","Thousands of dollars",288106021,307514985,337177901,350767358,347490900,354025038,373189413,400237207,439033188,474058850,494650748,474809060,488081650,520591936,562410061,588936847,632575737,661119888,668661202,701988895,748978941,796064987,794490329,867164103,967452171,1040581622,1102273102
 "48000","Texas",6,SAINC6N,100,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",765823,813699,863643,649446,686245,688640,778480,810751,858316,846059,875303,937972,974105,985741,1063887,1049157,1151337,1221522,1283751,1341888,1404450,1454079,1568787,1550283,1546048,1699708,1794234
 "48000","Texas",6,SAINC6N,101,"113","    Forestry and logging ","Thousands of dollars",116009,115648,116732,106136,107422,95415,104818,109554,109605,108315,110677,102465,99124,96483,102960,94933,101922,101451,98947,96200,101576,101572,113690,113020,116115,130566,128601
 "48000","Texas",6,SAINC6N,102,"114","    Fishing, hunting and trapping ","Thousands of dollars",10978,12386,14588,48176,46360,42785,51522,48247,54344,51574,47979,52900,51454,53707,60824,60055,69674,68290,64429,64679,66417,68322,76479,75181,75460,85070,91285
 "48000","Texas",6,SAINC6N,103,"115","    Support activities for agriculture and forestry ","Thousands of dollars",638836,685665,732323,495134,532463,550440,622140,652950,694367,686170,716647,782607,823527,835551,900103,894169,979741,1051781,1120375,1181009,1236457,1284185,1378618,1362082,1354473,1484072,1574348
 "48000","Texas",6,SAINC6N,200,"21","   Mining, quarrying, and oil and gas extraction ","Thousands of dollars",11570893,11820073,12685763,13861033,13031061,13604564,15368765,18349571,22006783,25081673,29629446,26302354,27554251,32547370,37551556,39966579,44601887,40250333,33149041,32864030,36416164,38164379,30675955,27748411,33058130,37641448,41410868
 "48000","Texas",6,SAINC6N,201,"211","    Oil and gas extraction ","Thousands of dollars",7084207,7291356,8069761,8549126,8168142,8325096,9369403,10606554,12363519,13615755,16508992,15801491,16316074,18070088,20539713,21489960,23361005,22714805,20221904,17242627,17505645,18694339,16918596,14454992,15833252,17570236,20274264
 "48000","Texas",6,SAINC6N,202,"212","    Mining (except oil and gas) ","Thousands of dollars",480173,493241,502324,530772,507996,555314,585039,546944,602821,630191,694481,636907,645675,646698,754901,769444,899073,924887,939037,1005092,1168058,1235086,1109881,1151030,1285511,1437107,1650881
