GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "09000","Connecticut",1,SAINC70,1,"...","Current receipts, accrual basis ","Thousands of dollars",5957982,6176468,6537968,7655067,7958294,8081215,8350355,8345735,8457472,9295553,9271924,9091571,9355731,9384174,9634252,10049588,10653559,11244243,11046128,11328388,11197238,11451339,10226594,11696796,11273408
 "09000","Connecticut",1,SAINC70,2,"..."," Output ","Thousands of dollars",168355,180338,132115,107498,136380,191113,280356,296273,167037,93705,105701,107584,104589,102852,100175,104278,118096,154187,214002,190349,169816,196226,196960,200055,183456
 "09000","Connecticut",1,SAINC70,3,"..."," Contributions ","Thousands of dollars",3542095,3666906,3886724,4473511,4679938,4761841,4883024,4903141,5074126,5543648,5586080,5459382,5618899,5833087,6019451,6316256,6651901,6925907,6749078,6845718,6787612,6909155,6180060,6980523,6780349
 "09000","Connecticut",1,SAINC70,4,"...","  Claims to benefits accrued through service to employers ","Thousands of dollars",1294563,1337682,1367595,1399453,1537962,1633580,1696049,1756820,1857817,1885448,2005937,1934777,1986656,2384852,2504825,2687202,2768339,2761758,2666030,2553397,2547802,2563197,2330486,2464305,2470746
 "09000","Connecticut",1,SAINC70,5,"...","   Actual employer contributions 1/","Thousands of dollars",765895,767805,722060,813199,821849,1066151,1293855,1440598,1452466,1589849,1585634,1655508,1874901,2250251,2504435,2664279,2812767,3196890,3315135,3127207,4009589,4964324,5425273,4799661,4874108
 "09000","Connecticut",1,SAINC70,6,"...","   Imputed employer contributions ","Thousands of dollars",410032,446389,458744,362541,507241,388045,297515,230610,180662,-11960,97888,-58902,-297766,-321379,-436241,-422365,-504156,-913385,-1299195,-1215876,-1989779,-2908929,-3684415,-2989022,-3105855
 "09000","Connecticut",1,SAINC70,7,"...","   Actual household contributions ","Thousands of dollars",286991,303826,318906,331211,345252,370497,385035,381885,391726,401264,428116,445755,514110,558832,536806,549566,577824,632440,864092,832415,697808,704028,786588,853721,885949
 "09000","Connecticut",1,SAINC70,8,"...","   Less: Pension service charges ","Thousands of dollars",168355,180338,132115,107498,136380,191113,280356,296273,167037,93705,105701,107584,104589,102852,100175,104278,118096,154187,214002,190349,169816,196226,196960,200055,183456
 "09000","Connecticut",1,SAINC70,9,"...","  Household pension contribution supplements 2/","Thousands of dollars",2247532,2329224,2519129,3074058,3141976,3128261,3186975,3146321,3216309,3658200,3580143,3524605,3632243,3448235,3514626,3629054,3883562,4164149,4083048,4292321,4239810,4345958,3849574,4516218,4309603
 "09000","Connecticut",1,SAINC70,10,"..."," Income receipts on assets (including plans' claims on employers) ","Thousands of dollars",2247532,2329224,2519129,3074058,3141976,3128261,3186975,3146321,3216309,3658200,3580143,3524605,3632243,3448235,3514626,3629054,3883562,4164149,4083048,4292321,4239810,4345958,3849574,4516218,4309603
 "09000","Connecticut",1,SAINC70,11,"...","  Interest ","Thousands of dollars",1763345,1862320,2100294,2680286,2731307,2691871,2747352,2716411,2818977,3319765,3257812,3199909,3322984,3135482,3206272,3338822,3581542,3778225,3622153,3823584,3772645,3827503,3299609,3935919,3755655
 "09000","Connecticut",1,SAINC70,12,"...","   Monetary interest ","Thousands of dollars",665819,552813,645021,885315,967218,863054,808620,777606,676878,520090,518575,521308,515628,515347,561376,557499,503689,680705,671421,538308,506051,540184,559825,528267,499531
