GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "12000","Florida",5,SAINC70,1,"...","Current receipts, accrual basis ","Thousands of dollars",15185982,15138304,15269711,18406229,18344887,17784703,18889419,20069619,17608793,22060166,24488775,23288067,24156270,25039923,23485354,23516194,25213728,26735898,26386699,27418448,25356633,24407616,22690700,26604925,27636463
 "12000","Florida",5,SAINC70,2,"..."," Output ","Thousands of dollars",238150,290970,318372,309836,457701,442155,420016,475800,407982,348235,408387,440649,461365,490614,506932,541061,623801,694684,721803,756275,885191,1035680,1046559,1050859,1212796
 "12000","Florida",5,SAINC70,3,"..."," Contributions ","Thousands of dollars",9959239,10024707,10142469,11825447,11907209,11611601,12325550,13040057,11940147,14175845,15532995,14620860,14767919,15591652,14518733,14367519,15195602,15915523,15765158,16304196,15198069,14639007,13410651,15455160,15947245
 "12000","Florida",5,SAINC70,4,"...","  Claims to benefits accrued through service to employers ","Thousands of dollars",4970646,5202080,5333599,5554501,5927232,5880654,6181697,6486295,6679483,6639759,6985602,6394302,5840933,6633995,6059044,5759905,5801277,5789832,5865420,5946219,5924696,5906078,5177161,5356254,5470823
 "12000","Florida",5,SAINC70,5,"...","   Actual employer contributions 1/","Thousands of dollars",2501280,2261930,2195295,2865645,2821335,2939998,3405071,3862378,3932012,3937813,4205414,3661735,2938442,3484623,3484446,3429193,4049857,4828354,5069013,5189496,5719703,6336357,6902340,7608838,7679331
 "12000","Florida",5,SAINC70,6,"...","   Imputed employer contributions ","Thousands of dollars",2509259,3023555,3267737,2746078,3275013,3132528,2946796,2801520,2808556,2742292,2890088,2419152,2209017,2476657,2093147,1912004,1248535,459679,339776,350144,-114522,-605719,-1918481,-2468982,-2436094
 "12000","Florida",5,SAINC70,7,"...","   Actual household contributions ","Thousands of dollars",198257,207565,188939,252614,288585,250283,249846,298197,346897,307889,298487,754064,1154839,1163329,988383,959769,1126686,1196483,1178434,1162854,1204706,1211120,1239861,1267257,1440382
 "12000","Florida",5,SAINC70,8,"...","   Less: Pension service charges ","Thousands of dollars",238150,290970,318372,309836,457701,442155,420016,475800,407982,348235,408387,440649,461365,490614,506932,541061,623801,694684,721803,756275,885191,1035680,1046559,1050859,1212796
 "12000","Florida",5,SAINC70,9,"...","  Household pension contribution supplements 2/","Thousands of dollars",4988593,4822627,4808870,6270946,5979977,5730947,6143853,6553762,5260664,7536086,8547393,8226558,8926986,8957657,8459689,8607614,9394325,10125691,9899738,10357977,9273373,8732929,8233490,10098906,10476422
 "12000","Florida",5,SAINC70,10,"..."," Income receipts on assets (including plans' claims on employers) ","Thousands of dollars",4988593,4822627,4808870,6270946,5979977,5730947,6143853,6553762,5260664,7536086,8547393,8226558,8926986,8957657,8459689,8607614,9394325,10125691,9899738,10357977,9273373,8732929,8233490,10098906,10476422
 "12000","Florida",5,SAINC70,11,"...","  Interest ","Thousands of dollars",3829115,3836187,3926498,5233448,4582817,4199160,4595682,4988173,3834472,6195005,7052233,6501987,7043718,6826389,6378722,6741116,7419070,7909178,7701189,8304785,7295727,6637160,5997978,7953916,8343968
 "12000","Florida",5,SAINC70,12,"...","   Monetary interest ","Thousands of dollars",2677042,2286468,2312736,2529799,2938925,2793279,2610918,3152930,1927842,1270517,2006813,1876367,1819676,1755665,1660788,1469215,1424788,1845492,2128431,2050696,1739206,1635092,1999657,2446659,2859939
 "12000","Florida",5,SAINC70,13,"...","   Imputed interest on plans' claims on employers 3/","Thousands of dollars",1152073,1549719,1613762,2703649,1643892,1405881,1984764,1835243,1906630,4924488,5045420,4625620,5224042,5070724,4717934,5271901,5994282,6063686,5572758,6254089,5556521,5002068,3998321,5507257,5484029
 "12000","Florida",5,SAINC70,14,"...","  Dividends ","Thousands of dollars",1159478,986440,882372,1037498,1397160,1531787,1548171,1565589,1426192,1341081,1495160,1724571,1883268,2131268,2080967,1866498,1975255,2216513,2198549,2053192,1977646,2095769,2235512,2144990,2132454
 "12000","Florida",5,SAINC70,15,"...","Current expenditures, accrual basis ","Thousands of dollars",15185982,15138304,15269711,18406229,18344887,17784703,18889419,20069619,17608793,22060166,24488775,23288067,24156270,25039923,23485354,23516194,25213728,26735898,26386699,27418448,25356633,24407616,22690700,26604925,27636463
 "12000","Florida",5,SAINC70,16,"..."," Administrative expenses ","Thousands of dollars",238150,290970,318372,309836,457701,442155,420016,475800,407982,348235,408387,440649,461365,490614,506932,541061,623801,694684,721803,756275,885191,1035680,1046559,1050859,1212796
 "12000","Florida",5,SAINC70,17,"..."," Imputed income payments on assets to persons ","Thousands of dollars",4988593,4822627,4808870,6270946,5979977,5730947,6143853,6553762,5260664,7536086,8547393,8226558,8926986,8957657,8459689,8607614,9394325,10125691,9899738,10357977,9273373,8732929,8233490,10098906,10476422
 "12000","Florida",5,SAINC70,18,"...","  Interest ","Thousands of dollars",3829115,3836187,3926498,5233448,4582817,4199160,4595682,4988173,3834472,6195005,7052233,6501987,7043718,6826389,6378722,6741116,7419070,7909178,7701189,8304785,7295727,6637160,5997978,7953916,8343968
 "12000","Florida",5,SAINC70,19,"...","  Dividends ","Thousands of dollars",1159478,986440,882372,1037498,1397160,1531787,1548171,1565589,1426192,1341081,1495160,1724571,1883268,2131268,2080967,1866498,1975255,2216513,2198549,2053192,1977646,2095769,2235512,2144990,2132454
 "12000","Florida",5,SAINC70,20,"..."," Benefit payments and withdrawals ","Thousands of dollars",3066601,3727948,4617871,5296916,5319676,5499393,6038475,6565910,6787125,7170006,7933811,8717754,9422329,9820505,10055468,10939200,11886851,12407319,13032247,13636709,14363984,15070109,15600929,15897984,16852047
