GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "93000","Great Lakes",3,SAINC70,1,"...","Current receipts, accrual basis ","Thousands of dollars",57154412,58259204,64522495,78140467,78454332,80007721,84848627,85700717,85593561,100035436,101479005,103650481,110292162,109990296,108221306,110036286,114279425,121006506,117150635,120791309,117290388,116629641,104457931,116242968,118219821
 "93000","Great Lakes",3,SAINC70,2,"..."," Output ","Thousands of dollars",818819,1160022,1303882,1308272,1392060,1449125,1801316,2040928,1686742,1442634,1592304,1696043,1796557,1895727,1978890,2140173,2416346,2778851,3087963,3426224,3704090,4007583,4068725,4028717,4461433
 "93000","Great Lakes",3,SAINC70,3,"..."," Contributions ","Thousands of dollars",37327310,38451692,42145540,49368636,50319684,51209259,53774915,54451377,54968812,62723086,64490789,65453144,68302591,69492754,68298045,68941834,70532037,73468487,71318177,72870292,71280200,71119702,63202013,68847262,70042130
 "93000","Great Lakes",3,SAINC70,4,"...","  Claims to benefits accrued through service to employers ","Thousands of dollars",18319027,19804202,21072467,21905077,23577096,23859922,24502519,25242965,26030805,26853370,29094877,28951850,28109577,30890939,30353674,29987555,29200995,28709319,28573682,28375499,28974102,29617346,26014820,25480273,26325872
 "93000","Great Lakes",3,SAINC70,5,"...","   Actual employer contributions 1/","Thousands of dollars",8083127,8100687,8676105,11162976,9501774,9304181,9945418,10648475,12095351,13389699,13765408,14678366,16042246,18116961,19675399,21418714,23118808,25720143,26834780,27124455,28031217,29962360,32361406,32350702,33692781
 "93000","Great Lakes",3,SAINC70,6,"...","   Imputed employer contributions ","Thousands of dollars",5979181,7606178,7949483,5961425,9505918,10107888,10184676,10246667,9062240,8159008,10106402,9112166,7024496,7672357,5342912,3086716,463506,-2430912,-3356827,-3562605,-4114567,-5305354,-11630469,-12677610,-13684207
 "93000","Great Lakes",3,SAINC70,7,"...","   Actual household contributions ","Thousands of dollars",5075538,5257359,5750761,6088948,5961464,5896978,6173741,6388751,6559956,6747297,6815371,6857361,6839392,6997348,7314253,7622298,8035027,8198939,8183692,8239873,8761542,8967923,9352608,9835898,10778731
 "93000","Great Lakes",3,SAINC70,8,"...","   Less: Pension service charges ","Thousands of dollars",818819,1160022,1303882,1308272,1392060,1449125,1801316,2040928,1686742,1442634,1592304,1696043,1796557,1895727,1978890,2140173,2416346,2778851,3087963,3426224,3704090,4007583,4068725,4028717,4461433
 "93000","Great Lakes",3,SAINC70,9,"...","  Household pension contribution supplements 2/","Thousands of dollars",19008283,18647490,21073073,27463559,26742588,27349337,29272396,29208412,28938007,35869716,35395912,36501294,40193014,38601815,37944371,38954279,41331042,44759168,42744495,44494793,42306098,41502356,37187193,43366989,43716258
 "93000","Great Lakes",3,SAINC70,10,"..."," Income receipts on assets (including plans' claims on employers) ","Thousands of dollars",19008283,18647490,21073073,27463559,26742588,27349337,29272396,29208412,28938007,35869716,35395912,36501294,40193014,38601815,37944371,38954279,41331042,44759168,42744495,44494793,42306098,41502356,37187193,43366989,43716258
 "93000","Great Lakes",3,SAINC70,11,"...","  Interest ","Thousands of dollars",15654109,15722573,19029310,25430938,24022955,24094392,25586246,25041103,24897578,32392450,31905780,32513788,35704746,33639861,32756356,34173664,36012287,37778500,36455240,38349853,36281305,35870057,30655745,36706465,36795683
 "93000","Great Lakes",3,SAINC70,12,"...","   Monetary interest ","Thousands of dollars",9210855,7250606,7273501,8093343,8083799,8173741,8813070,8767965,7371863,5739431,5477142,5450888,5723266,6173846,6792014,6967750,6634982,7768189,8096303,7495766,7338020,7709553,7904925,8206728,8938337
 "93000","Great Lakes",3,SAINC70,13,"...","   Imputed interest on plans' claims on employers 3/","Thousands of dollars",6443254,8471967,11755809,17337595,15939156,15920651,16773176,16273138,17525715,26653019,26428638,27062900,29981480,27466015,25964342,27205914,29377305,30010311,28358937,30854087,28943285,28160504,22750820,28499737,27857346
 "93000","Great Lakes",3,SAINC70,14,"...","  Dividends ","Thousands of dollars",3354174,2924917,2043763,2032621,2719633,3254945,3686150,4167309,4040429,3477266,3490132,3987506,4488268,4961954,5188015,4780615,5318755,6980668,6289255,6144940,6024793,5632299,6531448,6660524,6920575
 "93000","Great Lakes",3,SAINC70,15,"...","Current expenditures, accrual basis ","Thousands of dollars",57154412,58259204,64522495,78140467,78454332,80007721,84848627,85700717,85593561,100035436,101479005,103650481,110292162,109990296,108221306,110036286,114279425,121006506,117150635,120791309,117290388,116629641,104457931,116242968,118219821
 "93000","Great Lakes",3,SAINC70,16,"..."," Administrative expenses ","Thousands of dollars",818819,1160022,1303882,1308272,1392060,1449125,1801316,2040928,1686742,1442634,1592304,1696043,1796557,1895727,1978890,2140173,2416346,2778851,3087963,3426224,3704090,4007583,4068725,4028717,4461433
 "93000","Great Lakes",3,SAINC70,17,"..."," Imputed income payments on assets to persons ","Thousands of dollars",19008283,18647490,21073073,27463559,26742588,27349337,29272396,29208412,28938007,35869716,35395912,36501294,40193014,38601815,37944371,38954279,41331042,44759168,42744495,44494793,42306098,41502356,37187193,43366989,43716258
 "93000","Great Lakes",3,SAINC70,18,"...","  Interest ","Thousands of dollars",15654109,15722573,19029310,25430938,24022955,24094392,25586246,25041103,24897578,32392450,31905780,32513788,35704746,33639861,32756356,34173664,36012287,37778500,36455240,38349853,36281305,35870057,30655745,36706465,36795683
 "93000","Great Lakes",3,SAINC70,19,"...","  Dividends ","Thousands of dollars",3354174,2924917,2043763,2032621,2719633,3254945,3686150,4167309,4040429,3477266,3490132,3987506,4488268,4961954,5188015,4780615,5318755,6980668,6289255,6144940,6024793,5632299,6531448,6660524,6920575
 "93000","Great Lakes",3,SAINC70,20,"..."," Benefit payments and withdrawals ","Thousands of dollars",18085433,19781229,21516309,23189206,24488824,26157525,28072659,29797211,31966365,34177985,36364340,39104716,41528009,43903030,46054009,48343794,50929485,53356686,54817598,56045078,57910539,60090120,62251254,64645021,69221332
 "93000","Great Lakes",3,SAINC70,21,"..."," Net change in benefit entitlements 4/","Thousands of dollars",19241877,18670463,20629231,26179430,25830860,25051734,25702256,24654166,23002447,28545101,28126449,26348428,26774582,25589724,22244036,20598040,19602552,20111801,16500579,16825214,13369661,11029582,950759,4202241,820798
 "93000","Great Lakes",3,SAINC70,22,"...","Cash flow ","Thousands of dollars",6819442,2592318,923939,2880410,385786,-976805,-1255596,-1865639,-3585508,-6266926,-8408591,-9826638,-10231394,-9548648,-9063218,-9694590,-10238259,-7467598,-8501531,-10466268,-11459057,-11825568,-10169592,-11619886,-13352341
 "93000","Great Lakes",3,SAINC70,23,"..."," Actual employer and household contributions ","Thousands of dollars",13158665,13358046,14426866,17251924,15463238,15201159,16119159,17037226,18655307,20136996,20580779,21535727,22881638,25114309,26989652,29041012,31153835,33919082,35018472,35364328,36792759,38930283,41714014,42186600,44471512
 "93000","Great Lakes",3,SAINC70,24,"..."," Monetary income receipts on assets ","Thousands of dollars",12565029,10175523,9317264,10125964,10803432,11428686,12499220,12935274,11412292,9216697,8967274,9438394,10211534,11135800,11980029,11748365,11953737,14748857,14385558,13640706,13362813,13341852,14436373,14867252,15858912
 "93000","Great Lakes",3,SAINC70,25,"..."," Less: Benefit payments and withdrawals ","Thousands of dollars",18085433,19781229,21516309,23189206,24488824,26157525,28072659,29797211,31966365,34177985,36364340,39104716,41528009,43903030,46054009,48343794,50929485,53356686,54817598,56045078,57910539,60090120,62251254,64645021,69221332
 "93000","Great Lakes",3,SAINC70,26,"..."," Less: Administrative expenses ","Thousands of dollars",818819,1160022,1303882,1308272,1392060,1449125,1801316,2040928,1686742,1442634,1592304,1696043,1796557,1895727,1978890,2140173,2416346,2778851,3087963,3426224,3704090,4007583,4068725,4028717,4461433
