GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "16000","Idaho",7,SAINC70,1,"...","Current receipts, accrual basis ","Thousands of dollars",829259,923952,1088836,1433451,1548125,1519395,1603875,1651581,1643749,1884305,1864830,1843796,1963265,2139491,2195301,2271374,2357798,2580283,2591724,2676116,2641522,2944138,2881004,3105421,3276411
 "16000","Idaho",7,SAINC70,2,"..."," Output ","Thousands of dollars",29049,38454,41496,40268,44150,47563,61290,67345,49558,39891,42433,42097,41848,42198,44613,44810,46166,50521,54228,59221,68448,78660,78598,77618,84036
 "16000","Idaho",7,SAINC70,3,"..."," Contributions ","Thousands of dollars",628474,682446,759702,927757,997976,987617,1037789,1077398,1104942,1240581,1241720,1221271,1281170,1417839,1451318,1501595,1555930,1683274,1708837,1767197,1772381,1918822,1825423,1972693,2049131
 "16000","Idaho",7,SAINC70,4,"...","  Claims to benefits accrued through service to employers ","Thousands of dollars",456738,479394,472064,462331,491977,503402,532993,570560,615693,636748,661043,640843,640923,738385,751948,776626,800228,836786,880178,917499,971688,972166,848440,917583,905887
 "16000","Idaho",7,SAINC70,5,"...","   Actual employer contributions 1/","Thousands of dollars",169093,177257,215457,253115,236446,257616,274473,288396,300616,306555,302059,300919,303448,317271,340823,355929,366330,401973,408702,421659,450267,461103,480406,503969,495623
 "16000","Idaho",7,SAINC70,6,"...","   Imputed employer contributions ","Thousands of dollars",196431,214286,166408,114459,160590,145342,164663,190831,194432,190656,221782,204410,198377,268807,244027,241122,241750,238558,273962,288552,294451,284048,119268,136975,120337
 "16000","Idaho",7,SAINC70,7,"...","   Actual household contributions ","Thousands of dollars",120263,126305,131695,135025,139091,148007,155147,158678,170203,179428,179635,177611,180946,194505,211711,224385,238314,246776,251742,266509,295418,305675,327364,354257,373963
 "16000","Idaho",7,SAINC70,8,"...","   Less: Pension service charges ","Thousands of dollars",29049,38454,41496,40268,44150,47563,61290,67345,49558,39891,42433,42097,41848,42198,44613,44810,46166,50521,54228,59221,68448,78660,78598,77618,84036
 "16000","Idaho",7,SAINC70,9,"...","  Household pension contribution supplements 2/","Thousands of dollars",171736,203052,287638,465426,505999,484215,504796,506838,489249,603833,580677,580428,640247,679454,699370,724969,755702,846488,828659,849698,800693,946656,976983,1055110,1143244
 "16000","Idaho",7,SAINC70,10,"..."," Income receipts on assets (including plans' claims on employers) ","Thousands of dollars",171736,203052,287638,465426,505999,484215,504796,506838,489249,603833,580677,580428,640247,679454,699370,724969,755702,846488,828659,849698,800693,946656,976983,1055110,1143244
