GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "17000","Illinois",3,SAINC70,1,"...","Current receipts, accrual basis ","Thousands of dollars",23450019,24402792,26124220,30089239,30794107,31685120,33937514,34772158,35678560,40926824,42006079,43302800,45620027,46092278,46375831,48009042,49655636,51715259,51940787,52982057,52003742,52704104,45989664,52158887,53182900
 "17000","Illinois",3,SAINC70,2,"..."," Output ","Thousands of dollars",322341,430748,406638,362478,392581,450891,572699,636735,513425,423632,466602,492888,505202,509310,522341,578666,650792,728561,744879,787871,813937,880148,922774,929145,1044120
 "17000","Illinois",3,SAINC70,3,"..."," Contributions ","Thousands of dollars",15361469,16082192,17234807,19350514,20053822,20546771,21785888,22384656,23116147,26017591,27058399,27785752,28968152,30063920,30067307,30605326,31017150,31843616,31923458,32388472,32031913,32596343,28237443,31181671,31848615
 "17000","Illinois",3,SAINC70,4,"...","  Claims to benefits accrued through service to employers ","Thousands of dollars",7595260,8192340,8752032,8974267,9706118,9859313,10206961,10633889,11067159,11531990,12577321,12761592,12821479,14544872,14281124,13780276,13029456,12700534,12651008,12582758,12874021,13368730,11407996,11133600,11558450
 "17000","Illinois",3,SAINC70,5,"...","   Actual employer contributions 1/","Thousands of dollars",2522190,2618626,2745749,3576773,3039398,2767961,2926840,3491530,4807773,5488222,5679893,6321064,7095745,8338831,9029079,9782413,10675327,11989777,12526747,12842491,13405460,14194866,14937878,15096427,15967762
 "17000","Illinois",3,SAINC70,6,"...","   Imputed employer contributions ","Thousands of dollars",3494371,3969772,4226236,3492969,4837585,5340067,5558548,5428013,4376530,4010015,4876330,4357816,3622714,4080188,3115868,1867519,150213,-1439614,-2003217,-2373352,-2813148,-3115948,-5902592,-6509951,-7185076
 "17000","Illinois",3,SAINC70,7,"...","   Actual household contributions ","Thousands of dollars",1901040,2034690,2186685,2267003,2221716,2202176,2294272,2351081,2396281,2457385,2487700,2575600,2608222,2635163,2658518,2709010,2854708,2878932,2872357,2901490,3095646,3169960,3295484,3476269,3819884
 "17000","Illinois",3,SAINC70,8,"...","   Less: Pension service charges ","Thousands of dollars",322341,430748,406638,362478,392581,450891,572699,636735,513425,423632,466602,492888,505202,509310,522341,578666,650792,728561,744879,787871,813937,880148,922774,929145,1044120
 "17000","Illinois",3,SAINC70,9,"...","  Household pension contribution supplements 2/","Thousands of dollars",7766209,7889852,8482775,10376247,10347704,10687458,11578927,11750767,12048988,14485601,14481078,15024160,16146673,15519048,15786183,16825050,17987694,19143082,19272450,19805714,19157892,19227613,16829447,20048071,20290165
 "17000","Illinois",3,SAINC70,10,"..."," Income receipts on assets (including plans' claims on employers) ","Thousands of dollars",7766209,7889852,8482775,10376247,10347704,10687458,11578927,11750767,12048988,14485601,14481078,15024160,16146673,15519048,15786183,16825050,17987694,19143082,19272450,19805714,19157892,19227613,16829447,20048071,20290165
