GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "20000","Kansas",4,SAINC70,1,"...","Current receipts, accrual basis ","Thousands of dollars",2133302,2127747,2385582,2864771,2809125,2783398,2972422,2904400,2933350,3656031,3899818,3914192,4022298,4107754,4104337,4188546,4284735,4464675,4474645,4644341,4470489,4462586,4082659,4722653,4746460
 "20000","Kansas",4,SAINC70,2,"..."," Output ","Thousands of dollars",32609,36986,36473,34482,36710,39330,51083,57550,42593,41517,54806,54870,51592,53640,61935,73839,80865,99322,119018,129578,163678,227406,221302,203553,218514
 "20000","Kansas",4,SAINC70,3,"..."," Contributions ","Thousands of dollars",1412344,1422783,1569468,1826889,1830890,1827711,1942886,1934574,1984914,2386608,2579061,2608025,2667134,2782430,2762581,2800888,2846070,2889395,2852618,2947019,2851118,2814053,2538192,2877521,2897261
 "20000","Kansas",4,SAINC70,4,"...","  Claims to benefits accrued through service to employers ","Thousands of dollars",723995,754805,789827,823489,889365,911354,964433,1022298,1079071,1158702,1313110,1356728,1363562,1510746,1482760,1487069,1488270,1413437,1349609,1379275,1395425,1392926,1215027,1235942,1266576
 "20000","Kansas",4,SAINC70,5,"...","   Actual employer contributions 1/","Thousands of dollars",205355,213911,228032,271939,264982,318025,373269,426445,468662,505102,551942,592456,610170,682141,760330,804744,835342,969258,1150290,1185094,1134382,1199376,1322386,1253514,1304773
 "20000","Kansas",4,SAINC70,6,"...","   Imputed employer contributions ","Thousands of dollars",343631,363694,372753,348878,428812,396699,392423,389793,376272,407839,516979,515302,496605,551821,402434,332276,291086,98545,-129396,-133859,-61554,-76766,-411000,-366811,-418695
 "20000","Kansas",4,SAINC70,7,"...","   Actual household contributions ","Thousands of dollars",207618,214186,225515,237154,232281,235960,249824,263610,276730,287278,298995,303840,308379,330424,381931,423888,442707,444956,447733,457618,486275,497722,524943,552792,599012
 "20000","Kansas",4,SAINC70,8,"...","   Less: Pension service charges ","Thousands of dollars",32609,36986,36473,34482,36710,39330,51083,57550,42593,41517,54806,54870,51592,53640,61935,73839,80865,99322,119018,129578,163678,227406,221302,203553,218514
 "20000","Kansas",4,SAINC70,9,"...","  Household pension contribution supplements 2/","Thousands of dollars",688349,667978,779641,1003400,941525,916357,978453,912276,905843,1227906,1265951,1251297,1303572,1271684,1279821,1313819,1357800,1475958,1503009,1567744,1455693,1421127,1323165,1641579,1630685
 "20000","Kansas",4,SAINC70,10,"..."," Income receipts on assets (including plans' claims on employers) ","Thousands of dollars",688349,667978,779641,1003400,941525,916357,978453,912276,905843,1227906,1265951,1251297,1303572,1271684,1279821,1313819,1357800,1475958,1503009,1567744,1455693,1421127,1323165,1641579,1630685
 "20000","Kansas",4,SAINC70,11,"...","  Interest ","Thousands of dollars",617072,618437,723976,923675,838336,798927,848822,774554,786664,1121895,1144823,1122478,1164339,1108572,1123225,1158354,1174204,1246933,1260433,1339688,1251997,1204937,1089318,1395302,1389608
