GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "21000","Kentucky",5,SAINC70,1,"...","Current receipts, accrual basis ","Thousands of dollars",4049140,4213478,4801905,5726006,5867580,5944970,6033715,6056828,5995690,6918396,7249525,7509856,7999527,8244724,8549218,8688029,8843112,9181860,8886130,9185667,9051263,9107537,8349038,9975384,10166176
 "21000","Kentucky",5,SAINC70,2,"..."," Output ","Thousands of dollars",25457,37134,47189,47886,53076,55761,67158,72565,65538,69951,92411,96978,94981,95940,116846,148227,163843,177550,180657,172169,184079,206373,223033,261362,309438
 "21000","Kentucky",5,SAINC70,3,"..."," Contributions ","Thousands of dollars",2717717,2850116,3179642,3648594,3782847,3818924,3814376,3795620,3793860,4258432,4491809,4647824,4885005,5154774,5328545,5396502,5415458,5497716,5330480,5540932,5505165,5514983,4994618,5822878,5927305
 "21000","Kentucky",5,SAINC70,4,"...","  Claims to benefits accrued through service to employers ","Thousands of dollars",1411751,1523888,1604568,1619068,1751190,1748639,1662195,1606977,1657568,1668419,1826504,1882770,1865464,2160764,2224718,2253202,2151647,1991122,1955487,2068366,2143146,2128802,1863231,1931734,1997872
 "21000","Kentucky",5,SAINC70,5,"...","   Actual employer contributions 1/","Thousands of dollars",531720,425793,390835,481554,494650,595499,685804,739650,844248,924942,1027850,1120642,1199991,1295055,1441168,1584426,1965607,2454967,2581343,2675977,2662218,3005841,3155676,3078616,2994180
 "21000","Kentucky",5,SAINC70,6,"...","   Imputed employer contributions ","Thousands of dollars",399873,590436,705681,641812,755299,659938,486583,380873,305143,232881,287501,247620,172349,360025,274208,158406,-333198,-985563,-1133721,-1119615,-1053170,-1408821,-1812423,-1630373,-1529063
 "21000","Kentucky",5,SAINC70,7,"...","   Actual household contributions ","Thousands of dollars",505615,544793,555241,543588,554317,548963,556966,559019,573715,580547,603564,611486,588105,601624,626188,658597,683081,699268,688522,684173,718177,738155,743011,744853,842193
 "21000","Kentucky",5,SAINC70,8,"...","   Less: Pension service charges ","Thousands of dollars",25457,37134,47189,47886,53076,55761,67158,72565,65538,69951,92411,96978,94981,95940,116846,148227,163843,177550,180657,172169,184079,206373,223033,261362,309438
 "21000","Kentucky",5,SAINC70,9,"...","  Household pension contribution supplements 2/","Thousands of dollars",1305966,1326228,1575074,2029526,2031657,2070285,2152181,2188643,2136292,2590013,2665305,2765054,3019541,2994010,3103827,3143300,3263811,3506594,3374993,3472566,3362019,3386181,3131387,3891144,3929433
 "21000","Kentucky",5,SAINC70,10,"..."," Income receipts on assets (including plans' claims on employers) ","Thousands of dollars",1305966,1326228,1575074,2029526,2031657,2070285,2152181,2188643,2136292,2590013,2665305,2765054,3019541,2994010,3103827,3143300,3263811,3506594,3374993,3472566,3362019,3386181,3131387,3891144,3929433
