GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "29000","Missouri",4,SAINC70,1,"...","Current receipts, accrual basis ","Thousands of dollars",6426221,6737532,7847779,9227583,9131343,9432485,10179237,10090894,9945900,12171695,12430845,11365240,11018240,11292874,11101117,11264835,11725602,12387850,12334622,12755230,12026762,11620500,10321918,12190539,12664571
 "29000","Missouri",4,SAINC70,2,"..."," Output ","Thousands of dollars",83778,110089,132074,157782,189508,212069,279945,313751,227038,262856,452171,488200,504089,650370,674861,581593,648230,770833,750834,691002,721114,770378,712407,659212,682725
 "29000","Missouri",4,SAINC70,3,"..."," Contributions ","Thousands of dollars",4301918,4468686,5083203,5820059,5868408,6037307,6458970,6492489,6559027,7755013,7973405,7308090,6998815,7355242,7268018,7395727,7455560,7584807,7564801,7798323,7453912,7189191,6274604,7264725,7543999
 "29000","Missouri",4,SAINC70,4,"...","  Claims to benefits accrued through service to employers ","Thousands of dollars",2261393,2309929,2450701,2570317,2794981,2854198,3018648,3207835,3399192,3601187,3968136,3739140,3483479,4067980,4109780,4108212,3833748,3552597,3545814,3532418,3602176,3528260,2939697,2998123,3106152
 "29000","Missouri",4,SAINC70,5,"...","   Actual employer contributions 1/","Thousands of dollars",849831,876559,892848,1081383,1044503,1164287,1320265,1511307,1527570,1646823,1859455,1948295,2028400,2333505,2481420,2454641,2613414,2969940,2960731,2865769,2915313,2964757,3021468,3097157,3061171
 "29000","Missouri",4,SAINC70,6,"...","   Imputed employer contributions ","Thousands of dollars",1065624,1072815,1187962,1117092,1388354,1304636,1326516,1312837,1341193,1410376,1722364,1422250,1075291,1467607,1356831,1256672,846426,317740,296271,302696,284988,183616,-569701,-698759,-650079
 "29000","Missouri",4,SAINC70,7,"...","   Actual household contributions ","Thousands of dollars",429716,470644,501965,529624,551632,597344,651812,697442,757467,806844,838488,856795,883877,917238,946390,978492,1022138,1035750,1039646,1054955,1122989,1150265,1200337,1258937,1377785
 "29000","Missouri",4,SAINC70,8,"...","   Less: Pension service charges ","Thousands of dollars",83778,110089,132074,157782,189508,212069,279945,313751,227038,262856,452171,488200,504089,650370,674861,581593,648230,770833,750834,691002,721114,770378,712407,659212,682725
 "29000","Missouri",4,SAINC70,9,"...","  Household pension contribution supplements 2/","Thousands of dollars",2040525,2158757,2632502,3249742,3073427,3183109,3440322,3284654,3159835,4153826,4005269,3568950,3515336,3287262,3158238,3287515,3621812,4032210,4018987,4265905,3851736,3660931,3334907,4266602,4437847
 "29000","Missouri",4,SAINC70,10,"..."," Income receipts on assets (including plans' claims on employers) ","Thousands of dollars",2040525,2158757,2632502,3249742,3073427,3183109,3440322,3284654,3159835,4153826,4005269,3568950,3515336,3287262,3158238,3287515,3621812,4032210,4018987,4265905,3851736,3660931,3334907,4266602,4437847
 "29000","Missouri",4,SAINC70,11,"...","  Interest ","Thousands of dollars",1723363,1871669,2386953,3008405,2786801,2776918,2991069,2855322,2720893,3665064,3589819,3272424,3223783,2987585,2852910,2978055,3281471,3632231,3614143,3762280,3372149,3258005,2858526,3740188,3842291
 "29000","Missouri",4,SAINC70,12,"...","   Monetary interest ","Thousands of dollars",953550,788755,872186,1067417,1103006,1117691,1285360,1177901,700026,507039,547581,522314,516385,519655,588488,609149,626769,840614,916471,729550,588268,580381,647098,780661,855268
 "29000","Missouri",4,SAINC70,13,"...","   Imputed interest on plans' claims on employers 3/","Thousands of dollars",769813,1082914,1514767,1940988,1683795,1659227,1705709,1677421,2020867,3158025,3042238,2750110,2707398,2467930,2264422,2368906,2654702,2791617,2697672,3032730,2783881,2677624,2211428,2959527,2987023
 "29000","Missouri",4,SAINC70,14,"...","  Dividends ","Thousands of dollars",317162,287088,245549,241337,286626,406191,449253,429332,438942,488762,415450,296526,291553,299677,305328,309460,340341,399979,404844,503625,479587,402926,476381,526414,595556
 "29000","Missouri",4,SAINC70,15,"...","Current expenditures, accrual basis ","Thousands of dollars",6426221,6737532,7847779,9227583,9131343,9432485,10179237,10090894,9945900,12171695,12430845,11365240,11018240,11292874,11101117,11264835,11725602,12387850,12334622,12755230,12026762,11620500,10321918,12190539,12664571
 "29000","Missouri",4,SAINC70,16,"..."," Administrative expenses ","Thousands of dollars",83778,110089,132074,157782,189508,212069,279945,313751,227038,262856,452171,488200,504089,650370,674861,581593,648230,770833,750834,691002,721114,770378,712407,659212,682725
 "29000","Missouri",4,SAINC70,17,"..."," Imputed income payments on assets to persons ","Thousands of dollars",2040525,2158757,2632502,3249742,3073427,3183109,3440322,3284654,3159835,4153826,4005269,3568950,3515336,3287262,3158238,3287515,3621812,4032210,4018987,4265905,3851736,3660931,3334907,4266602,4437847
 "29000","Missouri",4,SAINC70,18,"...","  Interest ","Thousands of dollars",1723363,1871669,2386953,3008405,2786801,2776918,2991069,2855322,2720893,3665064,3589819,3272424,3223783,2987585,2852910,2978055,3281471,3632231,3614143,3762280,3372149,3258005,2858526,3740188,3842291
 "29000","Missouri",4,SAINC70,19,"...","  Dividends ","Thousands of dollars",317162,287088,245549,241337,286626,406191,449253,429332,438942,488762,415450,296526,291553,299677,305328,309460,340341,399979,404844,503625,479587,402926,476381,526414,595556
 "29000","Missouri",4,SAINC70,20,"..."," Benefit payments and withdrawals ","Thousands of dollars",1540944,1769603,1969240,2179701,2339351,2490552,2734606,3000935,3241239,3433495,3688732,3840776,3975588,4229354,4489262,4750332,4980498,5290851,5474099,5613989,5844912,6091892,6461599,6896277,7181891
