GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "38000","North Dakota",4,SAINC70,1,"...","Current receipts, accrual basis ","Thousands of dollars",380758,393065,480157,602559,615004,602814,612370,611866,600954,741612,812492,857625,958527,1023533,1058544,1179652,1287470,1372151,1382590,1456530,1433211,1448711,1338330,1443462,1440595
 "38000","North Dakota",4,SAINC70,2,"..."," Output ","Thousands of dollars",10866,14256,15749,15069,17180,23853,31281,31706,22359,13509,13809,14657,14984,16152,17082,17464,18078,18322,19272,21523,26726,29087,27328,27598,30192
 "38000","North Dakota",4,SAINC70,3,"..."," Contributions ","Thousands of dollars",257322,266334,312719,376638,391649,385582,390221,393774,397451,479538,534916,566245,622867,692682,731463,819877,886720,921371,923314,966812,944778,944897,866889,923995,928629
 "38000","North Dakota",4,SAINC70,4,"...","  Claims to benefits accrued through service to employers ","Thousands of dollars",144752,153859,161030,165786,185474,192203,199353,207388,216307,230973,271149,289522,302191,377983,421464,477566,504048,488913,483310,498617,483071,470170,422776,432126,446855
 "38000","North Dakota",4,SAINC70,5,"...","   Actual employer contributions 1/","Thousands of dollars",60551,62357,65201,76202,69562,79031,85322,88658,94584,91407,96355,106663,116338,132639,166416,189780,200006,215286,212648,210493,222849,229465,233597,312157,315713
 "38000","North Dakota",4,SAINC70,6,"...","   Imputed employer contributions ","Thousands of dollars",46246,54974,58115,48235,73290,76387,84900,85106,74358,81292,112432,118474,105483,144472,132730,143136,151072,119709,118368,135189,97264,73818,11927,-67691,-72136
 "38000","North Dakota",4,SAINC70,7,"...","   Actual household contributions ","Thousands of dollars",48821,50784,53463,56418,59802,60638,60412,65330,69724,71783,76171,79042,95354,117024,139400,162114,171048,172240,171566,174458,189684,195974,204580,215258,233470
 "38000","North Dakota",4,SAINC70,8,"...","   Less: Pension service charges ","Thousands of dollars",10866,14256,15749,15069,17180,23853,31281,31706,22359,13509,13809,14657,14984,16152,17082,17464,18078,18322,19272,21523,26726,29087,27328,27598,30192
 "38000","North Dakota",4,SAINC70,9,"...","  Household pension contribution supplements 2/","Thousands of dollars",112570,112475,151689,210852,206175,193379,190868,186386,181144,248565,263767,276723,320676,314699,309999,342311,382672,432458,440004,468195,461707,474727,444113,491869,481774
 "38000","North Dakota",4,SAINC70,10,"..."," Income receipts on assets (including plans' claims on employers) ","Thousands of dollars",112570,112475,151689,210852,206175,193379,190868,186386,181144,248565,263767,276723,320676,314699,309999,342311,382672,432458,440004,468195,461707,474727,444113,491869,481774
 "38000","North Dakota",4,SAINC70,11,"...","  Interest ","Thousands of dollars",81477,87687,133223,192744,182683,164876,159321,151911,152385,224957,238126,250239,286165,274922,271574,298569,333570,378278,383689,407466,395383,393013,348289,411885,419560
 "38000","North Dakota",4,SAINC70,12,"...","   Monetary interest ","Thousands of dollars",81700,63510,70305,92038,92942,74209,70036,72536,62492,51572,48607,50848,60804,56449,54120,64774,72808,95275,100782,96571,98371,106127,104574,91303,101094
 "38000","North Dakota",4,SAINC70,13,"...","   Imputed interest on plans' claims on employers 3/","Thousands of dollars",-223,24177,62918,100706,89741,90667,89285,79375,89893,173385,189519,199391,225361,218473,217454,233795,260762,283003,282907,310895,297012,286886,243715,320582,318466
 "38000","North Dakota",4,SAINC70,14,"...","  Dividends ","Thousands of dollars",31093,24788,18466,18108,23492,28503,31547,34475,28759,23608,25641,26484,34511,39777,38425,43742,49102,54180,56315,60729,66324,81714,95824,79984,62214
 "38000","North Dakota",4,SAINC70,15,"...","Current expenditures, accrual basis ","Thousands of dollars",380758,393065,480157,602559,615004,602814,612370,611866,600954,741612,812492,857625,958527,1023533,1058544,1179652,1287470,1372151,1382590,1456530,1433211,1448711,1338330,1443462,1440595
 "38000","North Dakota",4,SAINC70,16,"..."," Administrative expenses ","Thousands of dollars",10866,14256,15749,15069,17180,23853,31281,31706,22359,13509,13809,14657,14984,16152,17082,17464,18078,18322,19272,21523,26726,29087,27328,27598,30192
 "38000","North Dakota",4,SAINC70,17,"..."," Imputed income payments on assets to persons ","Thousands of dollars",112570,112475,151689,210852,206175,193379,190868,186386,181144,248565,263767,276723,320676,314699,309999,342311,382672,432458,440004,468195,461707,474727,444113,491869,481774
 "38000","North Dakota",4,SAINC70,18,"...","  Interest ","Thousands of dollars",81477,87687,133223,192744,182683,164876,159321,151911,152385,224957,238126,250239,286165,274922,271574,298569,333570,378278,383689,407466,395383,393013,348289,411885,419560
 "38000","North Dakota",4,SAINC70,19,"...","  Dividends ","Thousands of dollars",31093,24788,18466,18108,23492,28503,31547,34475,28759,23608,25641,26484,34511,39777,38425,43742,49102,54180,56315,60729,66324,81714,95824,79984,62214
 "38000","North Dakota",4,SAINC70,20,"..."," Benefit payments and withdrawals ","Thousands of dollars",113395,119342,129787,140291,152394,163212,176618,189313,207502,226997,241815,253055,273834,303020,332566,362173,390496,426920,459387,489764,524748,560955,597542,630724,637688
 "38000","North Dakota",4,SAINC70,21,"..."," Net change in benefit entitlements 4/","Thousands of dollars",143927,146992,182932,236347,239255,222370,213603,204461,189949,252541,293101,313190,349033,389662,398897,457704,496224,494451,463927,477048,420030,383942,269347,293271,290941
 "38000","North Dakota",4,SAINC70,22,"...","Cash flow ","Thousands of dollars",97904,67841,61899,87406,76224,55316,39418,39980,25698,-2136,-8850,-4675,18189,26717,48713,80773,84390,91739,62652,30964,25754,23238,13705,40380,44611
