GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "91000","New England",1,SAINC70,1,"...","Current receipts, accrual basis ","Thousands of dollars",18591098,19330536,21061392,24872369,25919072,26893662,27618094,27432713,27029824,29943379,30235372,29928100,31376235,32703857,33056528,34170066,36893365,38393739,36995502,38207915,38572605,38918526,34486777,39908973,41039205
 "91000","New England",1,SAINC70,2,"..."," Output ","Thousands of dollars",418360,494558,458931,422670,477536,550867,639718,619827,428063,300337,345176,381557,465474,551278,562084,611066,689622,804923,939003,976268,1049132,1217582,1247653,1269660,1451165
 "91000","New England",1,SAINC70,3,"..."," Contributions ","Thousands of dollars",11958114,12455236,13361080,15341900,16140636,16820705,17252969,17259006,17351979,18915109,19409096,19205530,19881630,21156861,21432665,22289929,23732973,24360593,23546580,24183591,24474358,24482050,21569982,24472641,25094898
 "91000","New England",1,SAINC70,4,"...","  Claims to benefits accrued through service to employers ","Thousands of dollars",5743490,6074494,6119699,6234101,6839736,7298615,7527562,7705126,8102197,8187176,8927996,8864517,8852499,10161143,10370886,11020858,11262203,11132370,11036661,11135535,11425243,11263156,9900840,10305969,10601756
 "91000","New England",1,SAINC70,5,"...","   Actual employer contributions 1/","Thousands of dollars",2968286,2953676,2934782,3352050,3135143,3866333,4285704,4524490,4760355,5056092,5266122,5380398,5687897,6427512,6953106,7503213,8096536,9212595,9649997,9654057,10988943,12142989,12820690,12622970,12878841
 "91000","New England",1,SAINC70,6,"...","   Imputed employer contributions ","Thousands of dollars",1356224,1617042,1620779,1218283,2067250,1611651,1527897,1551523,1248521,841239,1320076,1068929,728123,1323114,1031131,1045538,562178,-670964,-1325112,-1239926,-2261003,-3426511,-5653091,-5313538,-5519377
 "91000","New England",1,SAINC70,7,"...","   Actual household contributions ","Thousands of dollars",1837340,1998334,2023069,2086438,2114879,2371498,2353679,2248940,2521384,2590182,2686974,2796747,2901953,2961795,2948733,3083173,3293111,3395662,3650779,3697672,3746435,3764260,3980894,4266197,4693457
 "91000","New England",1,SAINC70,8,"...","   Less: Pension service charges ","Thousands of dollars",418360,494558,458931,422670,477536,550867,639718,619827,428063,300337,345176,381557,465474,551278,562084,611066,689622,804923,939003,976268,1049132,1217582,1247653,1269660,1451165
 "91000","New England",1,SAINC70,9,"...","  Household pension contribution supplements 2/","Thousands of dollars",6214624,6380742,7241381,9107799,9300900,9522090,9725407,9553880,9249782,10727933,10481100,10341013,11029131,10995718,11061779,11269071,12470770,13228223,12509919,13048056,13049115,13218894,11669142,14166672,14493142
 "91000","New England",1,SAINC70,10,"..."," Income receipts on assets (including plans' claims on employers) ","Thousands of dollars",6214624,6380742,7241381,9107799,9300900,9522090,9725407,9553880,9249782,10727933,10481100,10341013,11029131,10995718,11061779,11269071,12470770,13228223,12509919,13048056,13049115,13218894,11669142,14166672,14493142
