GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "31000","Nebraska",4,SAINC70,1,"...","Current receipts, accrual basis ","Thousands of dollars",892689,899497,1020934,1278823,1454606,1516348,1593314,1682595,1809827,2158508,2218419,2253380,2488194,2559948,2482910,2578617,2745804,2998831,3331083,3561983,3659569,3983187,4032880,4010754,4148203
 "31000","Nebraska",4,SAINC70,2,"..."," Output ","Thousands of dollars",20161,27184,30907,30621,32594,31183,39259,44977,33190,27432,33887,35439,35759,35794,35734,45695,58334,62660,71013,79920,89622,99089,97662,107753,119525
 "31000","Nebraska",4,SAINC70,3,"..."," Contributions ","Thousands of dollars",585979,596997,666503,827603,941098,982268,1026195,1090217,1181360,1373522,1439173,1467512,1598767,1702103,1684175,1750527,1844822,1977649,2139203,2256327,2321241,2523093,2502582,2480364,2555481
 "31000","Nebraska",4,SAINC70,4,"...","  Claims to benefits accrued through service to employers ","Thousands of dollars",299430,321681,342979,407004,460184,479371,498335,542816,586083,615968,693814,717083,745099,880052,921174,968132,1002174,1019127,1018336,1030591,1072535,1162088,1069946,1057727,1082284
 "31000","Nebraska",4,SAINC70,5,"...","   Actual employer contributions 1/","Thousands of dollars",126082,133272,146795,156697,157017,218500,241287,254206,271957,304198,331791,345704,371957,404100,436855,462518,477784,515924,521192,519600,534036,506912,489536,508075,485580
 "31000","Nebraska",4,SAINC70,6,"...","   Imputed employer contributions ","Thousands of dollars",86685,100278,100751,137813,185736,132637,121748,146258,149491,121446,156966,159017,140925,222099,215649,232551,252439,229991,230125,246573,258631,339670,215293,170922,261868
 "31000","Nebraska",4,SAINC70,7,"...","   Actual household contributions ","Thousands of dollars",106824,115315,126340,143115,150025,159417,174559,187329,197825,217756,238944,247801,267976,289647,304404,318758,330285,335872,338032,344338,369490,414595,462779,486483,454361
 "31000","Nebraska",4,SAINC70,8,"...","   Less: Pension service charges ","Thousands of dollars",20161,27184,30907,30621,32594,31183,39259,44977,33190,27432,33887,35439,35759,35794,35734,45695,58334,62660,71013,79920,89622,99089,97662,107753,119525
 "31000","Nebraska",4,SAINC70,9,"...","  Household pension contribution supplements 2/","Thousands of dollars",286549,275316,323524,420599,480914,502897,527860,547401,595277,757554,745359,750429,853668,822051,763001,782395,842648,958522,1120867,1225736,1248706,1361005,1432636,1422637,1473197
 "31000","Nebraska",4,SAINC70,10,"..."," Income receipts on assets (including plans' claims on employers) ","Thousands of dollars",286549,275316,323524,420599,480914,502897,527860,547401,595277,757554,745359,750429,853668,822051,763001,782395,842648,958522,1120867,1225736,1248706,1361005,1432636,1422637,1473197
