GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "36000","New York",2,SAINC70,1,"...","Current receipts, accrual basis ","Thousands of dollars",37654679,36805126,38752270,46695084,46722877,46006708,48108112,48306407,49115758,60234495,59737064,58705840,63223184,65904567,66687373,67115532,69341284,74740332,74616562,77471809,73311479,70284957,61894093,67861377,71607927
 "36000","New York",2,SAINC70,2,"..."," Output ","Thousands of dollars",460963,601468,641137,648188,731393,780369,962631,1206150,1049064,895890,1043405,1119270,1217453,1293667,1473346,1580261,1834562,2164948,2367198,2447286,2872389,3528752,3812160,4250835,4906760
 "36000","New York",2,SAINC70,3,"..."," Contributions ","Thousands of dollars",24534099,24182980,25233245,29326212,29927606,29760039,31013331,31349933,32269501,38283432,38630953,37886096,40038434,42886994,43316936,43458597,44147752,46558220,47012026,48836494,47158716,45173819,38654680,41582332,43185685
 "36000","New York",2,SAINC70,4,"...","  Claims to benefits accrued through service to employers ","Thousands of dollars",11874482,12162302,12355357,12605528,13863728,14293739,14881181,15599609,16472308,17228259,18568247,18185622,18071137,21163088,21419845,21381923,20788782,20541056,21774688,22648465,23878342,23591433,19227427,19554122,19670203
 "36000","New York",2,SAINC70,5,"...","   Actual employer contributions 1/","Thousands of dollars",1735772,1966100,2503287,4193652,5832430,7570750,8649473,9864987,10712285,10931654,12755277,14628994,15588321,16992768,18489581,18872286,18183370,19160110,19107768,18273747,18180697,18827938,18291432,18156921,17395127
 "36000","New York",2,SAINC70,6,"...","   Imputed employer contributions ","Thousands of dollars",9319242,9611218,9371073,8010278,7716419,6395593,6064305,5789667,5525273,5802359,5424235,3287563,2307597,4043000,2928400,2523702,2783517,1856704,3299456,5005729,6596192,6171724,2463392,3036037,4542169
 "36000","New York",2,SAINC70,7,"...","   Actual household contributions ","Thousands of dollars",1280431,1186452,1122134,1049786,1046272,1107765,1130034,1151105,1283814,1390136,1432140,1388335,1392672,1420987,1475210,1566196,1656457,1689190,1734662,1816275,1973842,2120523,2284763,2611999,2639667
 "36000","New York",2,SAINC70,8,"...","   Less: Pension service charges ","Thousands of dollars",460963,601468,641137,648188,731393,780369,962631,1206150,1049064,895890,1043405,1119270,1217453,1293667,1473346,1580261,1834562,2164948,2367198,2447286,2872389,3528752,3812160,4250835,4906760
 "36000","New York",2,SAINC70,9,"...","  Household pension contribution supplements 2/","Thousands of dollars",12659617,12020678,12877888,16720684,16063878,15466300,16132150,15750324,15797193,21055173,20062706,19700474,21967297,21723906,21897091,22076674,23358970,26017164,25237338,26188029,23280374,21582386,19427253,22028210,23515482
 "36000","New York",2,SAINC70,10,"..."," Income receipts on assets (including plans' claims on employers) ","Thousands of dollars",12659617,12020678,12877888,16720684,16063878,15466300,16132150,15750324,15797193,21055173,20062706,19700474,21967297,21723906,21897091,22076674,23358970,26017164,25237338,26188029,23280374,21582386,19427253,22028210,23515482
 "36000","New York",2,SAINC70,11,"...","  Interest ","Thousands of dollars",10181222,9739806,10728556,14479479,13295249,12388327,12316510,11638955,12036752,17866842,16885997,16181158,17944720,17279605,17017040,17222335,18297897,20375200,19580503,20599774,17953520,16022919,13548821,16395935,17779921
 "36000","New York",2,SAINC70,12,"...","   Monetary interest ","Thousands of dollars",7217121,5910112,5993090,6724970,6418472,5945138,6049666,6497267,6098080,4998501,4802772,4683892,4907873,5187579,5815723,6395016,6217122,7910476,8434577,7322656,6974923,7631135,8129815,8481161,9441396
 "36000","New York",2,SAINC70,13,"...","   Imputed interest on plans' claims on employers 3/","Thousands of dollars",2964101,3829694,4735466,7754509,6876777,6443189,6266844,5141688,5938672,12868341,12083225,11497266,13036847,12092026,11201317,10827319,12080775,12464724,11145926,13277118,10978597,8391784,5419006,7914774,8338525
 "36000","New York",2,SAINC70,14,"...","  Dividends ","Thousands of dollars",2478395,2280872,2149332,2241205,2768629,3077973,3815640,4111369,3760441,3188331,3176709,3519316,4022577,4444301,4880051,4854339,5061073,5641964,5656835,5588255,5326854,5559467,5878432,5632275,5735561
