GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "40000","Oklahoma",6,SAINC70,1,"...","Current receipts, accrual basis ","Thousands of dollars",2998110,3112641,3485970,3931949,3823957,3824792,4122768,4304348,4244417,5022028,5180617,5000353,5128461,5262649,5175925,5310239,5523153,5729723,5480416,5550750,5309214,5175861,4812660,5666455,5627866
 "40000","Oklahoma",6,SAINC70,2,"..."," Output ","Thousands of dollars",50346,67475,67416,67160,73108,75116,92837,103366,78152,61052,70096,75920,76097,78192,92133,103380,107626,118747,122305,125900,140707,157065,145626,136638,156302
 "40000","Oklahoma",6,SAINC70,3,"..."," Contributions ","Thousands of dollars",1932647,2005762,2207388,2448357,2438759,2453013,2648060,2791918,2787492,3195149,3332416,3224461,3275480,3465744,3438483,3519166,3607444,3656335,3514196,3570923,3447234,3346275,3070108,3523638,3516279
 "40000","Oklahoma",6,SAINC70,4,"...","  Claims to benefits accrued through service to employers ","Thousands of dollars",917530,966358,996222,1031925,1126669,1156350,1266189,1382854,1408719,1429322,1554311,1524489,1498596,1747031,1793174,1831473,1799361,1701694,1670281,1716996,1725961,1673754,1473182,1517459,1560994
 "40000","Oklahoma",6,SAINC70,5,"...","   Actual employer contributions 1/","Thousands of dollars",588967,613882,606202,658580,603395,703519,825739,918629,944980,971833,1003433,1040694,1080114,1120283,1206511,1288224,1264546,1333116,1360458,1336487,1291454,1322922,1419083,1471837,1454819
 "40000","Oklahoma",6,SAINC70,6,"...","   Imputed employer contributions ","Thousands of dollars",74168,90989,125196,106474,259866,182394,151153,154554,127189,103863,201182,145405,75273,272912,224817,182492,182025,25231,-38359,24873,64756,-12536,-342535,-393570,-371614
 "40000","Oklahoma",6,SAINC70,7,"...","   Actual household contributions ","Thousands of dollars",304741,328962,332240,334031,336516,345553,382134,413037,414702,414678,419792,414310,419306,432028,453979,464137,460416,462094,470487,481536,510458,520433,542260,575830,634091
 "40000","Oklahoma",6,SAINC70,8,"...","   Less: Pension service charges ","Thousands of dollars",50346,67475,67416,67160,73108,75116,92837,103366,78152,61052,70096,75920,76097,78192,92133,103380,107626,118747,122305,125900,140707,157065,145626,136638,156302
 "40000","Oklahoma",6,SAINC70,9,"...","  Household pension contribution supplements 2/","Thousands of dollars",1015117,1039404,1211166,1416432,1312090,1296663,1381871,1409064,1378773,1765827,1778105,1699972,1776884,1718713,1645309,1687693,1808083,1954641,1843915,1853927,1721273,1672521,1596926,2006179,1955285
 "40000","Oklahoma",6,SAINC70,10,"..."," Income receipts on assets (including plans' claims on employers) ","Thousands of dollars",1015117,1039404,1211166,1416432,1312090,1296663,1381871,1409064,1378773,1765827,1778105,1699972,1776884,1718713,1645309,1687693,1808083,1954641,1843915,1853927,1721273,1672521,1596926,2006179,1955285
 "40000","Oklahoma",6,SAINC70,11,"...","  Interest ","Thousands of dollars",918445,949038,1124382,1327038,1196998,1159451,1244091,1262769,1234338,1626112,1625591,1526376,1585337,1467831,1350953,1419349,1538816,1645116,1533097,1559313,1447693,1388745,1259022,1630483,1613454
 "40000","Oklahoma",6,SAINC70,12,"...","   Monetary interest ","Thousands of dollars",455871,369514,384267,400332,377973,362775,382291,417704,385958,326954,331945,357300,387492,348632,329469,399537,424416,515889,542565,455521,400146,420007,490466,552107,638909
 "40000","Oklahoma",6,SAINC70,13,"...","   Imputed interest on plans' claims on employers 3/","Thousands of dollars",462574,579524,740115,926706,819025,796676,861800,845065,848380,1299158,1293646,1169076,1197845,1119199,1021484,1019812,1114400,1129227,990532,1103792,1047547,968738,768556,1078376,974545
 "40000","Oklahoma",6,SAINC70,14,"...","  Dividends ","Thousands of dollars",96672,90366,86784,89394,115092,137212,137780,146295,144435,139715,152514,173596,191547,250882,294356,268344,269267,309525,310818,294614,273580,283776,337904,375696,341831
 "40000","Oklahoma",6,SAINC70,15,"...","Current expenditures, accrual basis ","Thousands of dollars",2998110,3112641,3485970,3931949,3823957,3824792,4122768,4304348,4244417,5022028,5180617,5000353,5128461,5262649,5175925,5310239,5523153,5729723,5480416,5550750,5309214,5175861,4812660,5666455,5627866
 "40000","Oklahoma",6,SAINC70,16,"..."," Administrative expenses ","Thousands of dollars",50346,67475,67416,67160,73108,75116,92837,103366,78152,61052,70096,75920,76097,78192,92133,103380,107626,118747,122305,125900,140707,157065,145626,136638,156302
 "40000","Oklahoma",6,SAINC70,17,"..."," Imputed income payments on assets to persons ","Thousands of dollars",1015117,1039404,1211166,1416432,1312090,1296663,1381871,1409064,1378773,1765827,1778105,1699972,1776884,1718713,1645309,1687693,1808083,1954641,1843915,1853927,1721273,1672521,1596926,2006179,1955285
 "40000","Oklahoma",6,SAINC70,18,"...","  Interest ","Thousands of dollars",918445,949038,1124382,1327038,1196998,1159451,1244091,1262769,1234338,1626112,1625591,1526376,1585337,1467831,1350953,1419349,1538816,1645116,1533097,1559313,1447693,1388745,1259022,1630483,1613454
 "40000","Oklahoma",6,SAINC70,19,"...","  Dividends ","Thousands of dollars",96672,90366,86784,89394,115092,137212,137780,146295,144435,139715,152514,173596,191547,250882,294356,268344,269267,309525,310818,294614,273580,283776,337904,375696,341831
 "40000","Oklahoma",6,SAINC70,20,"..."," Benefit payments and withdrawals ","Thousands of dollars",1045771,1098356,1156777,1237321,1289856,1352802,1429844,1515679,1638933,1723440,1820677,1918274,1976017,2056431,2180563,2317749,2375324,2471689,2569260,2619518,2813760,2951772,2970242,3069204,3347396
 "40000","Oklahoma",6,SAINC70,21,"..."," Net change in benefit entitlements 4/","Thousands of dollars",886876,907406,1050611,1211036,1148903,1100211,1218216,1276239,1148559,1471709,1511739,1306187,1299463,1409313,1257920,1201417,1232120,1184646,944936,951405,633474,394503,99866,454434,168883
 "40000","Oklahoma",6,SAINC70,22,"...","Cash flow ","Thousands of dollars",350134,236893,185300,177856,70012,121141,205263,276620,172990,68688,16911,-8294,26345,17202,11619,-887,-64305,30188,-7237,-177260,-478829,-561699,-326155,-230372,-434048
 "40000","Oklahoma",6,SAINC70,23,"..."," Actual employer and household contributions ","Thousands of dollars",893708,942844,938442,992611,939911,1049072,1207873,1331666,1359682,1386511,1423225,1455004,1499420,1552311,1660490,1752361,1724962,1795210,1830945,1818023,1801912,1843355,1961343,2047667,2088910
 "40000","Oklahoma",6,SAINC70,24,"..."," Monetary income receipts on assets ","Thousands of dollars",552543,459880,471051,489726,493065,499987,520071,563999,530393,466669,484459,530896,579039,599514,623825,667881,693683,825414,853383,750135,673726,703783,828370,927803,980740
