GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "42000","Pennsylvania",2,SAINC70,1,"...","Current receipts, accrual basis ","Thousands of dollars",11679495,12147680,15176938,19294831,19750210,19935961,21050552,20474904,18770472,22439322,23501901,22969193,22684282,23048920,22352819,22559725,24043405,24786484,24275078,24994613,24076758,24155078,20758961,24039208,23939532
 "42000","Pennsylvania",2,SAINC70,2,"..."," Output ","Thousands of dollars",370173,513109,596023,585542,595071,593139,812374,1014337,857765,726502,755101,762766,745183,697018,638325,630245,689747,739539,732089,809409,985288,1045034,886076,826070,813342
 "42000","Pennsylvania",2,SAINC70,3,"..."," Contributions ","Thousands of dollars",8236638,8573367,10308834,12547356,13072907,13185092,13691047,13400490,12674851,14659935,15549229,15223700,14868324,15609942,15113555,15084584,15751415,15968132,15712094,16085362,15573926,15336782,12971188,14606932,14617531
 "42000","Pennsylvania",2,SAINC70,4,"...","  Claims to benefits accrued through service to employers ","Thousands of dollars",5163954,5512163,6036753,6385423,6990675,7027362,7143916,7340413,7436995,7607050,8351658,8240973,7797549,8867982,8512616,8239688,8149172,7889319,7881199,7985520,8056382,7563520,6069491,6000726,6108872
 "42000","Pennsylvania",2,SAINC70,5,"...","   Actual employer contributions 1/","Thousands of dollars",1138657,906274,791834,1153263,1376326,1615294,2077810,2388810,2295029,2261520,2342165,2908693,3510740,4050679,4548766,5387710,6655401,8142003,8489068,8461139,9243638,9569150,9462998,8929937,8248992
 "42000","Pennsylvania",2,SAINC70,6,"...","   Imputed employer contributions ","Thousands of dollars",3331149,3971664,4590463,4461633,4839517,4630510,4451832,4506349,4593744,4595013,5181419,4382274,3344765,3849492,2992751,1853795,400182,-1366745,-1750954,-1569203,-2202902,-2984871,-4598801,-4257441,-3737864
 "42000","Pennsylvania",2,SAINC70,7,"...","   Actual household contributions ","Thousands of dollars",1064321,1147334,1250479,1356069,1369903,1374697,1426648,1459591,1405987,1477019,1583175,1712772,1687227,1664829,1609424,1628428,1783336,1853600,1875174,1902993,2000934,2024275,2091370,2154300,2411086
 "42000","Pennsylvania",2,SAINC70,8,"...","   Less: Pension service charges ","Thousands of dollars",370173,513109,596023,585542,595071,593139,812374,1014337,857765,726502,755101,762766,745183,697018,638325,630245,689747,739539,732089,809409,985288,1045034,886076,826070,813342
 "42000","Pennsylvania",2,SAINC70,9,"...","  Household pension contribution supplements 2/","Thousands of dollars",3072684,3061204,4272081,6161933,6082232,6157730,6547131,6060077,5237856,7052885,7197571,6982727,7070775,6741960,6600939,6844896,7602243,8078813,7830895,8099842,7517544,7773262,6901697,8606206,8508659
 "42000","Pennsylvania",2,SAINC70,10,"..."," Income receipts on assets (including plans' claims on employers) ","Thousands of dollars",3072684,3061204,4272081,6161933,6082232,6157730,6547131,6060077,5237856,7052885,7197571,6982727,7070775,6741960,6600939,6844896,7602243,8078813,7830895,8099842,7517544,7773262,6901697,8606206,8508659
 "42000","Pennsylvania",2,SAINC70,11,"...","  Interest ","Thousands of dollars",2113907,2275405,3619922,5521720,5328554,5251591,5423589,4960665,4445397,6286195,6541194,6495743,6549566,6104046,5962181,6237029,6858580,7194530,7002266,7366053,6847925,7024477,5988868,7601400,7680330
 "42000","Pennsylvania",2,SAINC70,12,"...","   Monetary interest ","Thousands of dollars",2489690,1861427,1758541,1927562,1956781,1962260,2088845,2136297,1830886,1364343,1330812,1206384,882232,771497,717994,693624,765590,1080764,1271243,1212258,1162636,1561264,1638628,1972765,2094887
 "42000","Pennsylvania",2,SAINC70,13,"...","   Imputed interest on plans' claims on employers 3/","Thousands of dollars",-375783,413978,1861381,3594158,3371773,3289331,3334744,2824368,2614511,4921852,5210382,5289359,5667334,5332549,5244187,5543405,6092990,6113766,5731023,6153795,5685289,5463213,4350240,5628635,5585443
 "42000","Pennsylvania",2,SAINC70,14,"...","  Dividends ","Thousands of dollars",958777,785799,652159,640213,753678,906139,1123542,1099412,792459,766690,656377,486984,521209,637914,638758,607867,743663,884283,828629,733789,669619,748785,912829,1004806,828329
 "42000","Pennsylvania",2,SAINC70,15,"...","Current expenditures, accrual basis ","Thousands of dollars",11679495,12147680,15176938,19294831,19750210,19935961,21050552,20474904,18770472,22439322,23501901,22969193,22684282,23048920,22352819,22559725,24043405,24786484,24275078,24994613,24076758,24155078,20758961,24039208,23939532
 "42000","Pennsylvania",2,SAINC70,16,"..."," Administrative expenses ","Thousands of dollars",370173,513109,596023,585542,595071,593139,812374,1014337,857765,726502,755101,762766,745183,697018,638325,630245,689747,739539,732089,809409,985288,1045034,886076,826070,813342
 "42000","Pennsylvania",2,SAINC70,17,"..."," Imputed income payments on assets to persons ","Thousands of dollars",3072684,3061204,4272081,6161933,6082232,6157730,6547131,6060077,5237856,7052885,7197571,6982727,7070775,6741960,6600939,6844896,7602243,8078813,7830895,8099842,7517544,7773262,6901697,8606206,8508659
 "42000","Pennsylvania",2,SAINC70,18,"...","  Interest ","Thousands of dollars",2113907,2275405,3619922,5521720,5328554,5251591,5423589,4960665,4445397,6286195,6541194,6495743,6549566,6104046,5962181,6237029,6858580,7194530,7002266,7366053,6847925,7024477,5988868,7601400,7680330
 "42000","Pennsylvania",2,SAINC70,19,"...","  Dividends ","Thousands of dollars",958777,785799,652159,640213,753678,906139,1123542,1099412,792459,766690,656377,486984,521209,637914,638758,607867,743663,884283,828629,733789,669619,748785,912829,1004806,828329
 "42000","Pennsylvania",2,SAINC70,20,"..."," Benefit payments and withdrawals ","Thousands of dollars",4378991,4812660,5364876,5885275,6489731,6944638,7297646,7989271,8115639,8327541,9021956,9907438,10343965,10740002,10937561,11126840,11823042,12450036,12688936,12879606,13261163,13654956,14166945,14606337,15741019
 "42000","Pennsylvania",2,SAINC70,21,"..."," Net change in benefit entitlements 4/","Thousands of dollars",3857647,3760707,4943958,6662081,6583176,6240454,6393401,5411219,4559212,6332394,6527273,5316262,4524359,4869940,4175994,3957744,3928373,3518096,3023158,3205756,2312763,1681826,-1195757,595,-1123488
 "42000","Pennsylvania",2,SAINC70,22,"...","Cash flow ","Thousands of dollars",902281,-624935,-1507886,-1393710,-1628114,-1679387,-1393175,-1919498,-2649043,-3184471,-3864528,-4355371,-4487740,-4312101,-4060944,-3439456,-2564799,-1228925,-956911,-1378836,-1169624,-796516,-947196,-1370599,-2971067
 "42000","Pennsylvania",2,SAINC70,23,"..."," Actual employer and household contributions ","Thousands of dollars",2202978,2053608,2042313,2509332,2746229,2989991,3504458,3848401,3701016,3738539,3925340,4621465,5197967,5715508,6158190,7016138,8438737,9995603,10364242,10364132,11244572,11593425,11554368,11084237,10660078
 "42000","Pennsylvania",2,SAINC70,24,"..."," Monetary income receipts on assets ","Thousands of dollars",3448467,2647226,2410700,2567775,2710459,2868399,3212387,3235709,2623345,2131033,1987189,1693368,1403441,1409411,1356752,1301491,1509253,1965047,2099872,1946047,1832255,2310049,2551457,2977571,2923216
 "42000","Pennsylvania",2,SAINC70,25,"..."," Less: Benefit payments and withdrawals ","Thousands of dollars",4378991,4812660,5364876,5885275,6489731,6944638,7297646,7989271,8115639,8327541,9021956,9907438,10343965,10740002,10937561,11126840,11823042,12450036,12688936,12879606,13261163,13654956,14166945,14606337,15741019
 "42000","Pennsylvania",2,SAINC70,26,"..."," Less: Administrative expenses ","Thousands of dollars",370173,513109,596023,585542,595071,593139,812374,1014337,857765,726502,755101,762766,745183,697018,638325,630245,689747,739539,732089,809409,985288,1045034,886076,826070,813342
 "42000","Pennsylvania",2,SAINC70,27,"...","Employers' normal cost ","Thousands of dollars",4099633,4364829,4786274,5029354,5620772,5652665,5717268,5880822,6031008,6130031,6768483,6528201,6110322,7203153,6903192,6611260,6365836,6035719,6006025,6082527,6055448,5539245,3978121,3846426,3697786
 "42000","Pennsylvania",2,SAINC70,28,"...","Interest accrued on benefit entitlements ","Thousands of dollars",6137051,6616192,7452221,8055989,8091763,8462156,8885675,9160681,9399257,9662499,9557925,9795865,9940024,9023071,9203394,9339896,9613983,9907969,10132222,10279486,10437234,10680014,12160950,12411866,12564132
 "42000","Pennsylvania",2,SAINC70,29,"...","Benefit entitlements ","Thousands of dollars",109927115,123874763,134022829,139603811,153816853,161633609,166877908,171230102,176037128,181981675,196740098,200058453,203933515,231285177,234927205,242168233,249956994,255685959,259410201,263372961,270015937,279815784,252487693,256040166,261525793
 "42000","Pennsylvania",2,SAINC70,30,"...","Pension plan assets ","Thousands of dollars",103027511,92851627,74120415,85570961,94010615,101001618,115525788,123693371,86548971,87281805,90952873,86711405,93190253,100180498,96342184,89843638,97113217,112410665,105565255,121375790,133435645,154911514,139915048,144331313,151814098
 "42000","Pennsylvania",2,SAINC70,31,"...","Plans' claims on employers ","Thousands of dollars",6899604,31023136,59902414,54032850,59806238,60631991,51352120,47536731,89488157,94699870,105787225,113347048,110743262,131104679,138585021,152324595,152843777,143275294,153844946,141997171,136580292,124904270,112572645,111708853,109711695
 "42000","Pennsylvania",2,SAINC70,32,"...","Funded ratio 5/","Ratio",93.7,75.0,55.3,61.3,61.1,62.5,69.2,72.2,49.2,48.0,46.2,43.3,45.7,43.3,41.0,37.1,38.9,44.0,40.7,46.1,49.4,55.4,55.4,56.4,58.0
"Note: See the included footnote file."
"SAINC70: Transactions of state and local government defined benefit pension plans "
"Last updated: September 26, 2025-- new statistics for 2024; revised statistics for 2020-2023."
"U.S. Bureau of Economic Analysis"
