GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "96000","Southwest",6,SAINC70,1,"...","Current receipts, accrual basis ","Thousands of dollars",29539372,31278356,37785036,45801610,45649502,45162355,47760939,49617537,48761102,55995791,56876799,57319791,60309362,63737944,64401084,66220644,69261483,72223391,71374615,73800575,72589196,74277852,66942345,75537759,76718854
 "96000","Southwest",6,SAINC70,2,"..."," Output ","Thousands of dollars",267749,344969,385997,400575,448890,476729,619589,689211,555192,500834,626837,680441,686534,781937,890482,1000476,1086881,1138763,1183678,1253684,1383521,1616567,1738389,1984079,2248508
 "96000","Southwest",6,SAINC70,3,"..."," Contributions ","Thousands of dollars",20074646,21466892,25171719,29645364,30012006,29687984,31186116,32522094,32649402,36775513,38107317,38403447,39996622,43286500,43948772,45464298,47553830,49182568,48678680,49508267,48975555,50309196,45211719,49877772,50769642
 "96000","Southwest",6,SAINC70,4,"...","  Claims to benefits accrued through service to employers ","Thousands of dollars",10877669,12000397,12944399,13889693,14823400,14690342,15230882,16115862,17092894,18056069,19964672,20167544,20370416,23616993,24386942,25708428,26933058,27280508,27166423,26469643,26745435,27957107,25219482,26201864,27068938
 "96000","Southwest",6,SAINC70,5,"...","   Actual employer contributions 1/","Thousands of dollars",3375074,3572111,3751743,4569886,4479292,5069644,5452238,5966521,6528158,7055195,7415389,7620591,7626073,8074706,8915795,9821469,10576354,11654603,11624900,11645956,12459249,14302971,16099440,19407826,19839947
 "96000","Southwest",6,SAINC70,6,"...","   Imputed employer contributions ","Thousands of dollars",4722357,5496228,6096365,5944792,6834178,6033874,5920165,5899489,5933189,6123668,7576732,7485141,7561718,10306919,9995711,10113281,10067117,8845856,8580157,7713518,6577111,5605385,418043,-2497567,-2009974
 "96000","Southwest",6,SAINC70,7,"...","   Actual household contributions ","Thousands of dollars",3047987,3277027,3482288,3775590,3958820,4063553,4478068,4939063,5186739,5378040,5599388,5742253,5869159,6017305,6365918,6774154,7376468,7918812,8145044,8363853,9092596,9665318,10440388,11275684,11487473
 "96000","Southwest",6,SAINC70,8,"...","   Less: Pension service charges ","Thousands of dollars",267749,344969,385997,400575,448890,476729,619589,689211,555192,500834,626837,680441,686534,781937,890482,1000476,1086881,1138763,1183678,1253684,1383521,1616567,1738389,1984079,2248508
 "96000","Southwest",6,SAINC70,9,"...","  Household pension contribution supplements 2/","Thousands of dollars",9196977,9466495,12227320,15755671,15188606,14997642,15955234,16406232,15556508,18719444,18142645,18235903,19626206,19669507,19561830,19755870,20620772,21902060,21512257,23038624,22230120,22352089,19992237,23675908,23700704
 "96000","Southwest",6,SAINC70,10,"..."," Income receipts on assets (including plans' claims on employers) ","Thousands of dollars",9196977,9466495,12227320,15755671,15188606,14997642,15955234,16406232,15556508,18719444,18142645,18235903,19626206,19669507,19561830,19755870,20620772,21902060,21512257,23038624,22230120,22352089,19992237,23675908,23700704
 "96000","Southwest",6,SAINC70,11,"...","  Interest ","Thousands of dollars",7541506,7838077,10671267,14221595,13483112,12934104,13506758,13662664,13038804,16644772,16095753,15929629,17064316,16814223,16505866,16941204,17805722,18480033,18105633,19856893,18996027,18935443,16501890,20040601,19925032
 "96000","Southwest",6,SAINC70,12,"...","   Monetary interest ","Thousands of dollars",6634877,5249170,5433848,6230088,6190862,5522157,5826424,6193066,4893209,3717936,3830242,3622509,3298953,3881917,4054227,3379484,3226734,4027677,4312495,3929932,4134286,4472385,4595843,4859442,5411689
 "96000","Southwest",6,SAINC70,13,"...","   Imputed interest on plans' claims on employers 3/","Thousands of dollars",906629,2588907,5237419,7991507,7292250,7411947,7680334,7469598,8145595,12926836,12265511,12307120,13765363,12932306,12451639,13561720,14578988,14452356,13793138,15926961,14861741,14463058,11906047,15181159,14513343
 "96000","Southwest",6,SAINC70,14,"...","  Dividends ","Thousands of dollars",1655471,1628418,1556053,1534076,1705494,2063538,2448476,2743568,2517704,2074672,2046892,2306274,2561890,2855284,3055964,2814666,2815050,3422027,3406624,3181731,3234093,3416646,3490347,3635307,3775672
 "96000","Southwest",6,SAINC70,15,"...","Current expenditures, accrual basis ","Thousands of dollars",29539372,31278356,37785036,45801610,45649502,45162355,47760939,49617537,48761102,55995791,56876799,57319791,60309362,63737944,64401084,66220644,69261483,72223391,71374615,73800575,72589196,74277852,66942345,75537759,76718854
 "96000","Southwest",6,SAINC70,16,"..."," Administrative expenses ","Thousands of dollars",267749,344969,385997,400575,448890,476729,619589,689211,555192,500834,626837,680441,686534,781937,890482,1000476,1086881,1138763,1183678,1253684,1383521,1616567,1738389,1984079,2248508
 "96000","Southwest",6,SAINC70,17,"..."," Imputed income payments on assets to persons ","Thousands of dollars",9196977,9466495,12227320,15755671,15188606,14997642,15955234,16406232,15556508,18719444,18142645,18235903,19626206,19669507,19561830,19755870,20620772,21902060,21512257,23038624,22230120,22352089,19992237,23675908,23700704
 "96000","Southwest",6,SAINC70,18,"...","  Interest ","Thousands of dollars",7541506,7838077,10671267,14221595,13483112,12934104,13506758,13662664,13038804,16644772,16095753,15929629,17064316,16814223,16505866,16941204,17805722,18480033,18105633,19856893,18996027,18935443,16501890,20040601,19925032
 "96000","Southwest",6,SAINC70,19,"...","  Dividends ","Thousands of dollars",1655471,1628418,1556053,1534076,1705494,2063538,2448476,2743568,2517704,2074672,2046892,2306274,2561890,2855284,3055964,2814666,2815050,3422027,3406624,3181731,3234093,3416646,3490347,3635307,3775672
 "96000","Southwest",6,SAINC70,20,"..."," Benefit payments and withdrawals ","Thousands of dollars",8757340,9690285,10711485,11498132,12468053,13238471,13956080,15224303,16148513,16947796,18311742,19651384,20791990,21857097,23338207,24858715,26409435,27497317,28157913,29660168,30931679,33108095,34968595,37198539,37860223
 "96000","Southwest",6,SAINC70,21,"..."," Net change in benefit entitlements 4/","Thousands of dollars",11317306,11776607,14460234,18147232,17543953,16449513,17230036,17297791,16500889,19827717,19795575,18752063,19204632,21429403,20610565,20605583,21144395,21685251,20520767,19848099,18043876,17201101,10243124,12679233,12909419
 "96000","Southwest",6,SAINC70,22,"...","Cash flow ","Thousands of dollars",5688320,3691472,3126450,4210933,3417525,3003692,3629537,3928704,2422105,777213,-46668,-1040198,-2122449,-1809822,-1836785,-3069418,-3501710,-1612961,-1852528,-3792380,-3394976,-2867342,-2080966,-4359,406050
 "96000","Southwest",6,SAINC70,23,"..."," Actual employer and household contributions ","Thousands of dollars",6423061,6849138,7234031,8345476,8438112,9133197,9930306,10905584,11714897,12433235,13014777,13362844,13495232,14092011,15281713,16595623,17952822,19573415,19769944,20009809,21551845,23968289,26539828,30683510,31327420
 "96000","Southwest",6,SAINC70,24,"..."," Monetary income receipts on assets ","Thousands of dollars",8290348,6877588,6989901,7764164,7896356,7585695,8274900,8936634,7410913,5792608,5877134,5928783,5860843,6737201,7110191,6194150,6041784,7449704,7719119,7111663,7368379,7889031,8086190,8494749,9187361
