GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "47000","Tennessee",5,SAINC70,1,"...","Current receipts, accrual basis ","Thousands of dollars",4918331,4836261,5370904,6595274,6622496,6623190,6901831,7013370,6383122,7131611,7521527,7758917,8109524,8256936,7908786,7557778,7831769,8596363,8340393,8529657,8097470,8063667,7205035,7673140,7982714
 "47000","Tennessee",5,SAINC70,2,"..."," Output ","Thousands of dollars",49258,58435,64045,60645,62917,64937,80570,88930,63545,53507,63129,67096,70353,75363,83870,103775,127741,148703,161204,160009,167605,208936,191867,184774,205859
 "47000","Tennessee",5,SAINC70,3,"..."," Contributions ","Thousands of dollars",3103466,3073611,3370192,4029830,4136347,4179611,4352049,4428512,4150001,4562543,4836185,4947062,5106312,5344994,5179454,4981873,5099269,5486884,5348994,5436179,5228283,5258325,4656222,4860791,5019864
 "47000","Tennessee",5,SAINC70,4,"...","  Claims to benefits accrued through service to employers ","Thousands of dollars",1337859,1369396,1433525,1525031,1713115,1800969,1882837,1932584,1980425,2046982,2213972,2202303,2173453,2508415,2533992,2509743,2494510,2526108,2518799,2502710,2526701,2661919,2299276,2233216,2262873
 "47000","Tennessee",5,SAINC70,5,"...","   Actual employer contributions 1/","Thousands of dollars",465588,452228,482862,608904,654918,786825,887408,978342,1003948,1015821,1101561,1190750,1199842,1231445,1289065,1338942,1348886,1493811,1516978,1456994,1433909,1466953,1508599,1505183,1505772
 "47000","Tennessee",5,SAINC70,6,"...","   Imputed employer contributions ","Thousands of dollars",706828,747644,775032,727319,867085,814624,799817,753539,735329,773931,857996,760024,721644,1021319,984774,908458,884624,771690,737207,763336,778283,914053,487586,414388,395047
 "47000","Tennessee",5,SAINC70,7,"...","   Actual household contributions ","Thousands of dollars",214701,227959,239676,249453,254029,264457,276182,289633,304693,310737,317544,318625,322320,331014,344023,366118,388741,409310,425818,442389,482114,489849,494958,498419,567913
 "47000","Tennessee",5,SAINC70,8,"...","   Less: Pension service charges ","Thousands of dollars",49258,58435,64045,60645,62917,64937,80570,88930,63545,53507,63129,67096,70353,75363,83870,103775,127741,148703,161204,160009,167605,208936,191867,184774,205859
 "47000","Tennessee",5,SAINC70,9,"...","  Household pension contribution supplements 2/","Thousands of dollars",1765607,1704215,1936667,2504799,2423232,2378642,2469212,2495928,2169576,2515561,2622213,2744759,2932859,2836579,2645462,2472130,2604759,2960776,2830195,2933469,2701582,2596406,2356946,2627575,2756991
 "47000","Tennessee",5,SAINC70,10,"..."," Income receipts on assets (including plans' claims on employers) ","Thousands of dollars",1765607,1704215,1936667,2504799,2423232,2378642,2469212,2495928,2169576,2515561,2622213,2744759,2932859,2836579,2645462,2472130,2604759,2960776,2830195,2933469,2701582,2596406,2356946,2627575,2756991
 "47000","Tennessee",5,SAINC70,11,"...","  Interest ","Thousands of dollars",1468250,1452931,1720335,2296760,2157726,2081770,2135170,2102091,1791145,2198204,2306168,2356238,2456280,2308573,2135413,2046376,2147944,2347814,2239309,2384837,2138964,1972281,1688979,1996991,2160116
 "47000","Tennessee",5,SAINC70,12,"...","   Monetary interest ","Thousands of dollars",1331099,1069025,1108529,1331575,1330728,1210597,1173317,1169114,838437,668781,840825,821434,767084,765986,730800,609565,602348,792022,843321,758877,757988,797316,791253,775303,857824
 "47000","Tennessee",5,SAINC70,13,"...","   Imputed interest on plans' claims on employers 3/","Thousands of dollars",137151,383906,611806,965185,826998,871173,961853,932977,952708,1529423,1465343,1534804,1689196,1542587,1404613,1436811,1545596,1555792,1395988,1625960,1380976,1174965,897726,1221688,1302292
 "47000","Tennessee",5,SAINC70,14,"...","  Dividends ","Thousands of dollars",297357,251284,216332,208039,265506,296872,334042,393837,378431,317357,316045,388521,476579,528006,510049,425754,456815,612962,590886,548632,562618,624125,667967,630584,596875
 "47000","Tennessee",5,SAINC70,15,"...","Current expenditures, accrual basis ","Thousands of dollars",4918331,4836261,5370904,6595274,6622496,6623190,6901831,7013370,6383122,7131611,7521527,7758917,8109524,8256936,7908786,7557778,7831769,8596363,8340393,8529657,8097470,8063667,7205035,7673140,7982714
 "47000","Tennessee",5,SAINC70,16,"..."," Administrative expenses ","Thousands of dollars",49258,58435,64045,60645,62917,64937,80570,88930,63545,53507,63129,67096,70353,75363,83870,103775,127741,148703,161204,160009,167605,208936,191867,184774,205859
 "47000","Tennessee",5,SAINC70,17,"..."," Imputed income payments on assets to persons ","Thousands of dollars",1765607,1704215,1936667,2504799,2423232,2378642,2469212,2495928,2169576,2515561,2622213,2744759,2932859,2836579,2645462,2472130,2604759,2960776,2830195,2933469,2701582,2596406,2356946,2627575,2756991
 "47000","Tennessee",5,SAINC70,18,"...","  Interest ","Thousands of dollars",1468250,1452931,1720335,2296760,2157726,2081770,2135170,2102091,1791145,2198204,2306168,2356238,2456280,2308573,2135413,2046376,2147944,2347814,2239309,2384837,2138964,1972281,1688979,1996991,2160116
 "47000","Tennessee",5,SAINC70,19,"...","  Dividends ","Thousands of dollars",297357,251284,216332,208039,265506,296872,334042,393837,378431,317357,316045,388521,476579,528006,510049,425754,456815,612962,590886,548632,562618,624125,667967,630584,596875
 "47000","Tennessee",5,SAINC70,20,"..."," Benefit payments and withdrawals ","Thousands of dollars",1091677,1173504,1257255,1351430,1457774,1555158,1668074,1788547,1947056,2079215,2212963,2349303,2509232,2696647,2871827,3029330,3169727,3329680,3481138,3610475,3771027,4045199,4284169,4369932,4428471
